"pld0044","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Hamburg","vocational + Abi","7","","","","5"
"Never","2003","Schleswig-Holstein","in school","3","","","","5"
"Never","2003","Schleswig-Holstein","inadequately","4","","","","5"
"Never","2003","Hamburg","middle vocational","58","0.464925332191138","0.382305773007014","0.547544891375262","5"
"Never","2003","Schleswig-Holstein","general elemantary","41","0.441335310720159","0.337590423177717","0.545080198262602","5"
"Never","2003","Schleswig-Holstein","higher vocational","11","","","","5"
"Never","2003","Schleswig-Holstein","middle vocational","123","0.349019566804529","0.299780966855334","0.398258166753723","5"
"Never","2003","Hamburg","general elemantary","12","","","","5"
"Never","2003","Schleswig-Holstein","vocational + Abi","11","","","","5"
"Never","2003","Schleswig-Holstein","higher education","25","","","","5"
"Never","2003","Hamburg","in school","1","","","","5"
"Never","2003","Hamburg","inadequately","","","","","5"
"Never","2003","Hamburg","higher vocational","5","","","","5"
"Never","2003","Hamburg","higher education","33","0.34834306356584","0.240515310842931","0.456170816288749","5"
"Never","2003","Lower Saxony","in school","6","","","","5"
"Never","2003","Lower Saxony","middle vocational","543","0.554595827259304","0.523667410098951","0.585524244419657","5"
"Never","2003","Lower Saxony","general elemantary","157","0.641343677718311","0.584136455126019","0.698550900310604","5"
"Never","2003","Lower Saxony","inadequately","12","","","","5"
"Never","2003","Lower Saxony","vocational + Abi","49","0.464060721110716","0.374832411191312","0.55328903103012","5"
"Never","2003","Lower Saxony","higher vocational","62","0.551561369147041","0.463670458400309","0.639452279893773","5"
"Never","2003","Lower Saxony","higher education","143","0.464000369357006","0.407473633838067","0.520527104875946","5"
"Never","2003","Bremen","in school","","","","","5"
"Never","2003","Bremen","inadequately","","","","","5"
"Never","2003","Bremen","general elemantary","11","","","","5"
"Never","2003","Bremen","middle vocational","50","0.566573376218304","0.461225811167455","0.671920941269153","5"
"Never","2003","Bremen","vocational + Abi","7","","","","5"
"Never","2003","Bremen","higher vocational","6","","","","5"
"Never","2003","Bremen","higher education","17","","","","5"
"Never","2003","North Rhine-Westphalia","in school","26","","","","5"
"Never","2003","North Rhine-Westphalia","inadequately","57","0.609520126093686","0.514376268348877","0.704663983838495","5"
"Never","2003","North Rhine-Westphalia","general elemantary","317","0.584410969142268","0.544475262312523","0.624346675972013","5"
"Never","2003","North Rhine-Westphalia","middle vocational","1242","0.576079865483229","0.555674195173398","0.59648553579306","5"
"Never","2003","North Rhine-Westphalia","vocational + Abi","138","0.393058266827865","0.341141145951465","0.444975387704265","5"
"Never","2003","North Rhine-Westphalia","higher vocational","172","0.504573888586952","0.450953903369952","0.558193873803952","5"
"Never","2003","North Rhine-Westphalia","higher education","366","0.403862566903068","0.370759604181514","0.436965529624623","5"
"Never","2003","Hesse","in school","6","","","","5"
"Never","2003","Hesse","inadequately","7","","","","5"
"Never","2003","Hesse","general elemantary","123","0.592926718088448","0.5255096569165","0.660343779260395","5"
"Never","2003","Hesse","middle vocational","380","0.570670531789036","0.533870875571002","0.607470188007069","5"
"Never","2003","Hesse","vocational + Abi","47","0.458486976947967","0.367020148535365","0.549953805360568","5"
"Never","2003","Hesse","higher vocational","48","0.447636350508934","0.349187585718872","0.546085115298996","5"
"Never","2003","Hesse","higher education","143","0.452230528194559","0.397952297774549","0.506508758614568","5"
"Never","2003","Rhineland-Palatinate,Saarland","in school","6","","","","5"
"Never","2003","Rhineland-Palatinate,Saarland","inadequately","12","","","","5"
"Never","2003","Rhineland-Palatinate,Saarland","general elemantary","139","0.603780665341278","0.539728839390894","0.667832491291662","5"
"Never","2003","Rhineland-Palatinate,Saarland","middle vocational","397","0.552321315567443","0.514891959599517","0.58975067153537","5"
"Never","2003","Rhineland-Palatinate,Saarland","vocational + Abi","23","","","","5"
"Never","2003","Rhineland-Palatinate,Saarland","higher vocational","62","0.590517242836373","0.495087861960122","0.685946623712624","5"
"Never","2003","Rhineland-Palatinate,Saarland","higher education","87","0.383636714434877","0.313183468243337","0.454089960626417","5"
"Never","2003","Baden-Württemberg","in school","13","","","","5"
"Never","2003","Baden-Württemberg","inadequately","34","0.721272570279525","0.590269523183876","0.852275617375174","5"
"Never","2003","Baden-Württemberg","general elemantary","255","0.599709017098468","0.554788144496238","0.644629889700697","5"
"Never","2003","Baden-Württemberg","middle vocational","657","0.537164582813664","0.509589282629744","0.564739882997583","5"
"Never","2003","Baden-Württemberg","vocational + Abi","64","0.423563886001799","0.342576920777844","0.504550851225755","5"
"Never","2003","Baden-Württemberg","higher vocational","88","0.404957236170539","0.338406384298292","0.471508088042785","5"
"Never","2003","Baden-Württemberg","higher education","213","0.403968584113249","0.359606950176899","0.448330218049599","5"
"Never","2003","Bavaria","in school","11","","","","5"
"Never","2003","Bavaria","inadequately","20","","","","5"
"Never","2003","Bavaria","general elemantary","217","0.572070420800358","0.523215211306228","0.620925630294488","5"
"Never","2003","Bavaria","middle vocational","821","0.52168727854329","0.497525850255996","0.545848706830583","5"
"Never","2003","Bavaria","vocational + Abi","67","0.402599336700321","0.323049179741721","0.482149493658922","5"
"Never","2003","Bavaria","higher vocational","125","0.495608796645046","0.433256440456382","0.557961152833709","5"
"Never","2003","Bavaria","higher education","269","0.498480706070828","0.457998209998532","0.538963202143125","5"
"Never","2003","Berlin","in school","6","","","","5"
"Never","2003","Berlin","inadequately","6","","","","5"
"Never","2003","Berlin","general elemantary","31","0.449034443485901","0.336465261073584","0.561603625898218","5"
"Never","2003","Berlin","middle vocational","159","0.504339425283804","0.451733216860195","0.556945633707413","5"
"Never","2003","Berlin","vocational + Abi","11","","","","5"
"Never","2003","Berlin","higher vocational","29","","","","5"
"Never","2003","Berlin","higher education","111","0.456428435551239","0.394184757330029","0.518672113772448","5"
"Never","2003","Brandenburg","in school","5","","","","5"
"Never","2003","Brandenburg","inadequately","1","","","","5"
"Never","2003","Brandenburg","general elemantary","46","0.625791762124188","0.516272867404929","0.735310656843448","5"
"Never","2003","Brandenburg","middle vocational","271","0.612675216055915","0.568206926155967","0.657143505955862","5"
"Never","2003","Brandenburg","vocational + Abi","12","","","","5"
"Never","2003","Brandenburg","higher vocational","46","0.584472815583026","0.476482458704995","0.692463172461058","5"
"Never","2003","Brandenburg","higher education","141","0.527903276523239","0.467105054235491","0.588701498810988","5"
"Never","2003","Mecklenburg-Western Pomerania","in school","3","","","","5"
"Never","2003","Mecklenburg-Western Pomerania","inadequately","3","","","","5"
"Never","2003","Mecklenburg-Western Pomerania","general elemantary","26","","","","5"
"Never","2003","Mecklenburg-Western Pomerania","middle vocational","155","0.598528718820694","0.540380487917895","0.656676949723494","5"
"Never","2003","Mecklenburg-Western Pomerania","vocational + Abi","3","","","","5"
"Never","2003","Mecklenburg-Western Pomerania","higher vocational","22","","","","5"
"Never","2003","Mecklenburg-Western Pomerania","higher education","65","0.519908303453605","0.436552849319197","0.603263757588012","5"
"Never","2003","Saxony","in school","11","","","","5"
"Never","2003","Saxony","inadequately","2","","","","5"
"Never","2003","Saxony","general elemantary","73","0.679788750038597","0.596312535320374","0.763264964756819","5"
"Never","2003","Saxony","middle vocational","557","0.639355458384155","0.607593175935084","0.671117740833226","5"
"Never","2003","Saxony","vocational + Abi","21","","","","5"
"Never","2003","Saxony","higher vocational","80","0.650283908370839","0.569540885689218","0.73102693105246","5"
"Never","2003","Saxony","higher education","203","0.523099560972326","0.472275756082041","0.573923365862612","5"
"Never","2003","Saxony-Anhalt","in school","7","","","","5"
"Never","2003","Saxony-Anhalt","inadequately","1","","","","5"
"Never","2003","Saxony-Anhalt","general elemantary","47","0.687022925294561","0.582771218710355","0.791274631878767","5"
"Never","2003","Saxony-Anhalt","middle vocational","280","0.632649498905266","0.588546954009696","0.676752043800837","5"
"Never","2003","Saxony-Anhalt","vocational + Abi","12","","","","5"
"Never","2003","Saxony-Anhalt","higher vocational","59","0.627709868067005","0.531508230591277","0.723911505542733","5"
"Never","2003","Saxony-Anhalt","higher education","132","0.590752733267845","0.526362522678085","0.655142943857605","5"
"Never","2003","Thuringia","in school","4","","","","5"
"Never","2003","Thuringia","inadequately","1","","","","5"
"Never","2003","Thuringia","general elemantary","33","0.619125844774143","0.504547178030004","0.733704511518282","5"
"Never","2003","Thuringia","middle vocational","353","0.635912976734563","0.596549487435905","0.675276466033222","5"
"Never","2003","Thuringia","vocational + Abi","8","","","","5"
"Never","2003","Thuringia","higher vocational","53","0.696500889965784","0.593134144241375","0.799867635690193","5"
"Never","2003","Thuringia","higher education","96","0.561269647587075","0.487957426685587","0.634581868488563","5"
"Often","2003","Schleswig-Holstein","general elemantary","2","","","","2"
"Often","2003","Schleswig-Holstein","inadequately","","","","","2"
"Often","2003","Hesse","inadequately","","","","","2"
"Often","2003","Hesse","general elemantary","11","","","","2"
"Often","2003","Hesse","in school","5","","","","2"
"Often","2003","Hesse","vocational + Abi","4","","","","2"
"Often","2003","Hesse","higher vocational","1","","","","2"
"Often","2003","Schleswig-Holstein","in school","2","","","","2"
"Often","2003","Hesse","middle vocational","22","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","in school","2","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","inadequately","","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","general elemantary","1","","","","2"
"Often","2003","Hesse","higher education","7","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","middle vocational","8","","","","2"
"Often","2003","Schleswig-Holstein","middle vocational","7","","","","2"
"Often","2003","Schleswig-Holstein","vocational + Abi","","","","","2"
"Often","2003","North Rhine-Westphalia","higher education","23","","","","2"
"Often","2003","Hamburg","inadequately","","","","","2"
"Often","2003","Hamburg","general elemantary","1","","","","2"
"Often","2003","Hamburg","middle vocational","5","","","","2"
"Often","2003","Rhineland-Palatinate,Saarland","in school","3","","","","2"
"Often","2003","Rhineland-Palatinate,Saarland","inadequately","","","","","2"
"Often","2003","Schleswig-Holstein","higher vocational","2","","","","2"
"Often","2003","Schleswig-Holstein","higher education","1","","","","2"
"Often","2003","Hamburg","in school","1","","","","2"
"Often","2003","Hamburg","vocational + Abi","","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","vocational + Abi","","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","higher vocational","","","","","2"
"Often","2003","Rhineland-Palatinate,Saarland","general elemantary","10","","","","2"
"Often","2003","Rhineland-Palatinate,Saarland","middle vocational","9","","","","2"
"Often","2003","Rhineland-Palatinate,Saarland","vocational + Abi","1","","","","2"
"Often","2003","Mecklenburg-Western Pomerania","higher education","3","","","","2"
"Often","2003","Saxony","in school","8","","","","2"
"Often","2003","Saxony","inadequately","","","","","2"
"Often","2003","Saxony","general elemantary","5","","","","2"
"Often","2003","Saxony","middle vocational","12","","","","2"
"Often","2003","Saxony","vocational + Abi","","","","","2"
"Often","2003","Saxony","higher vocational","","","","","2"
"Often","2003","Lower Saxony","in school","14","","","","2"
"Often","2003","Hamburg","higher vocational","","","","","2"
"Often","2003","Hamburg","higher education","2","","","","2"
"Often","2003","Lower Saxony","inadequately","1","","","","2"
"Often","2003","Lower Saxony","general elemantary","16","","","","2"
"Often","2003","Lower Saxony","middle vocational","23","","","","2"
"Often","2003","Lower Saxony","vocational + Abi","3","","","","2"
"Often","2003","Lower Saxony","higher vocational","1","","","","2"
"Often","2003","Lower Saxony","higher education","12","","","","2"
