"pld0044","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","no migration background","(0) in school","16","","",""
"Very often","2003","no migration background","(1a) inadequately completed","","","",""
"Very often","2003","no migration background","(1b) general elementary school","3","","",""
"Very often","2003","no migration background","(1c) basic vocational qualification","14","","",""
"Very often","2003","no migration background","(2b) intermediate general qualification","14","","",""
"Very often","2003","no migration background","(2a) intermediate vocational","7","","",""
"Very often","2003","no migration background","(2c_gen) general maturity certificate","14","","",""
"Very often","2003","no migration background","(2c_voc) vocational maturity certificate","6","","",""
"Very often","2003","no migration background","(3a) lower tertiary education","4","","",""
"Very often","2003","no migration background","(3b) higher tertiary education","4","","",""
"Very often","2003","direct migration background","(0) in school","3","","",""
"Very often","2003","direct migration background","(1a) inadequately completed","","","",""
"Very often","2003","direct migration background","(1b) general elementary school","5","","",""
"Very often","2003","direct migration background","(1c) basic vocational qualification","8","","",""
"Very often","2003","direct migration background","(2b) intermediate general qualification","2","","",""
"Very often","2003","direct migration background","(2a) intermediate vocational","1","","",""
"Very often","2003","direct migration background","(2c_gen) general maturity certificate","2","","",""
"Very often","2003","direct migration background","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2003","direct migration background","(3a) lower tertiary education","","","",""
"Very often","2003","direct migration background","(3b) higher tertiary education","4","","",""
"Very often","2003","indirect migration background","(0) in school","5","","",""
"Very often","2003","indirect migration background","(1a) inadequately completed","","","",""
"Very often","2003","indirect migration background","(1b) general elementary school","1","","",""
"Very often","2003","indirect migration background","(1c) basic vocational qualification","1","","",""
"Very often","2003","indirect migration background","(2b) intermediate general qualification","3","","",""
"Very often","2003","indirect migration background","(2a) intermediate vocational","2","","",""
"Very often","2003","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","indirect migration background","(3a) lower tertiary education","","","",""
"Very often","2003","indirect migration background","(3b) higher tertiary education","","","",""
"Often","2003","no migration background","(0) in school","97","0.176813656162908","0.143204897477284","0.210422414848531"
"Often","2003","no migration background","(1a) inadequately completed","1","","",""
"Often","2003","no migration background","(1b) general elementary school","39","0.0236186924959512","0.0157146797896147","0.0315227052022877"
"Often","2003","no migration background","(1c) basic vocational qualification","56","0.0118031377883625","0.00892394520001823","0.0146823303767067"
"Often","2003","no migration background","(2b) intermediate general qualification","39","0.0807153470414785","0.0569575883939695","0.104473105688987"
"Often","2003","no migration background","(2a) intermediate vocational","65","0.0159410694723663","0.0124132611599225","0.0194688777848102"
"Often","2003","no migration background","(2c_gen) general maturity certificate","77","0.122989008475895","0.0978758651896934","0.148102151762096"
"Often","2003","no migration background","(2c_voc) vocational maturity certificate","14","","",""
"Often","2003","no migration background","(3a) lower tertiary education","22","","",""
"Often","2003","no migration background","(3b) higher tertiary education","47","0.0260036710081281","0.019488335633363","0.0325190063828931"
"Often","2003","direct migration background","(0) in school","2","","",""
"Often","2003","direct migration background","(1a) inadequately completed","3","","",""
"Often","2003","direct migration background","(1b) general elementary school","25","","",""
"Often","2003","direct migration background","(1c) basic vocational qualification","22","","",""
"Often","2003","direct migration background","(2b) intermediate general qualification","2","","",""
"Often","2003","direct migration background","(2a) intermediate vocational","4","","",""
"Often","2003","direct migration background","(2c_gen) general maturity certificate","9","","",""
"Often","2003","direct migration background","(2c_voc) vocational maturity certificate","13","","",""
"Often","2003","direct migration background","(3a) lower tertiary education","2","","",""
"Often","2003","direct migration background","(3b) higher tertiary education","13","","",""
"Often","2003","indirect migration background","(0) in school","15","","",""
"Often","2003","indirect migration background","(1a) inadequately completed","1","","",""
"Often","2003","indirect migration background","(1b) general elementary school","13","","",""
"Often","2003","indirect migration background","(1c) basic vocational qualification","4","","",""
"Often","2003","indirect migration background","(2b) intermediate general qualification","14","","",""
"Often","2003","indirect migration background","(2a) intermediate vocational","7","","",""
"Often","2003","indirect migration background","(2c_gen) general maturity certificate","5","","",""
"Often","2003","indirect migration background","(2c_voc) vocational maturity certificate","3","","",""
"Often","2003","indirect migration background","(3a) lower tertiary education","","","",""
"Often","2003","indirect migration background","(3b) higher tertiary education","4","","",""
"Sometimes","2003","no migration background","(0) in school","156","0.348373922791619","0.306401161739631","0.390346683843607"
"Sometimes","2003","no migration background","(1a) inadequately completed","15","","",""
"Sometimes","2003","no migration background","(1b) general elementary school","107","0.0689231770141102","0.0557380178226828","0.0821083362055377"
"Sometimes","2003","no migration background","(1c) basic vocational qualification","482","0.0919909663105243","0.0842860501575717","0.0996958824634768"
"Sometimes","2003","no migration background","(2b) intermediate general qualification","119","0.206423094250896","0.171122984616846","0.241723203884945"
"Sometimes","2003","no migration background","(2a) intermediate vocational","511","0.112693881061945","0.103787062519005","0.121600699604885"
"Sometimes","2003","no migration background","(2c_gen) general maturity certificate","194","0.289276716436342","0.254605233484272","0.323948199388412"
"Sometimes","2003","no migration background","(2c_voc) vocational maturity certificate","196","0.167754987141571","0.146805383592435","0.188704590690708"
"Sometimes","2003","no migration background","(3a) lower tertiary education","187","0.122077509084132","0.106116022767721","0.138038995400543"
"Sometimes","2003","no migration background","(3b) higher tertiary education","300","0.145459698474209","0.131025974336581","0.159893422611836"
"Sometimes","2003","direct migration background","(0) in school","13","","",""
"Sometimes","2003","direct migration background","(1a) inadequately completed","27","","",""
"Sometimes","2003","direct migration background","(1b) general elementary school","94","0.169718656341974","0.139707115930448","0.1997301967535"
"Sometimes","2003","direct migration background","(1c) basic vocational qualification","124","0.188401426606375","0.160378723661213","0.216424129551537"
"Sometimes","2003","direct migration background","(2b) intermediate general qualification","15","","",""
"Sometimes","2003","direct migration background","(2a) intermediate vocational","28","","",""
"Sometimes","2003","direct migration background","(2c_gen) general maturity certificate","34","0.322880748876464","0.240912295414903","0.404849202338026"
"Sometimes","2003","direct migration background","(2c_voc) vocational maturity certificate","50","0.216206389551319","0.168827572434857","0.263585206667782"
"Sometimes","2003","direct migration background","(3a) lower tertiary education","16","","",""
"Sometimes","2003","direct migration background","(3b) higher tertiary education","52","0.175421987169045","0.131110863674518","0.219733110663571"
