"pld0044","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Couple + C. LE and GT 16","vocational + Abi","24","","","","5"
"Never","2003","Couple + C. LE and GT 16","inadequately","15","","","","5"
"Never","2003","Couple + C. LE and GT 16","general elemantary","103","0.392974630815116","0.337521555381562","0.44842770624867","5"
"Never","2003","Couple + C. LE and GT 16","middle vocational","359","0.482972803057108","0.44713793396606","0.518807672148156","5"
"Never","2003","Couple + C. LE 16 ","higher vocational","212","0.46931654603339","0.423359754967041","0.515273337099738","5"
"Never","2003","Couple + C. LE 16 ","higher education","429","0.405897712117013","0.375672592544459","0.436122831689567","5"
"Never","2003","Couple + C. GT 16 ","in school","48","0.196284809646978","0.150883449925174","0.241686169368781","5"
"Never","2003","Couple + C. GT 16 ","inadequately","36","0.79593075037248","0.692211225199975","0.899650275544985","5"
"Never","2003","Couple + C. GT 16 ","middle vocational","924","0.508979062404812","0.486629379609252","0.531328745200371","5"
"Never","2003","Couple + C. GT 16 ","vocational + Abi","54","0.421433991502507","0.346765962370986","0.496102020634028","5"
"Never","2003","Couple + C. GT 16 ","higher vocational","119","0.410557015988283","0.347661193559431","0.473452838417134","5"
"Never","2003","Couple + C. LE and GT 16","higher vocational","62","0.555376663334699","0.464157600605259","0.64659572606414","5"
"Never","2003","Couple + C. LE and GT 16","higher education","125","0.438413753731948","0.380398092339807","0.496429415124088","5"
"Never","2003","1-pers.-HH","middle vocational","836","0.545504058145889","0.520866332375296","0.570141783916481","5"
"Never","2003","1-pers.-HH","vocational + Abi","73","0.378095486770838","0.306045141252731","0.450145832288946","5"
"Never","2003","1-pers.-HH","higher vocational","103","0.456287777050451","0.390169152582707","0.522406401518196","5"
"Never","2003","(Married) couple without C. ","in school","2","","","","5"
"Never","2003","(Married) couple without C. ","general elemantary","552","0.724096497373707","0.692628140257437","0.755564854489977","5"
"Never","2003","(Married) couple without C. ","middle vocational","2417","0.646032000774615","0.630879489207732","0.661184512341499","5"
"Never","2003","(Married) couple without C. ","vocational + Abi","143","0.408554080973322","0.35607146950942","0.461036692437225","5"
"Never","2003","(Married) couple without C. ","higher education","865","0.518001719414768","0.49384791587371","0.542155522955827","5"
"Never","2003","Single parent ","in school","11","","","","5"
"Never","2003","Single parent ","general elemantary","116","0.459874380506527","0.395742925212963","0.52400583580009","5"
"Never","2003","Single parent ","middle vocational","261","0.4504629991436","0.408498770685402","0.492427227601797","5"
"Never","2003","Single parent ","vocational + Abi","20","","","","5"
"Never","2003","Single parent ","higher education","50","0.436770267667734","0.348396224301214","0.525144311034255","5"
"Never","2003","Couple + C. LE 16 ","inadequately","22","","","","5"
"Never","2003","Couple + C. LE 16 ","middle vocational","1091","0.484774210171772","0.463819053078594","0.505729367264949","5"
"Never","2003","Couple + C. LE 16 ","vocational + Abi","153","0.41598319286029","0.363821509820191","0.468144875900389","5"
"Never","2003","Couple + C. GT 16 ","general elemantary","227","0.48407957869833","0.441732745303521","0.526426412093139","5"
"Never","2003","Single parent ","higher vocational","18","","","","5"
