"pld0044","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","in school","","","",""
"Very often","2003","lower secondary degree","inadequately","","","",""
"Very often","2003","lower secondary degree","general elemantary","5","","",""
"Very often","2003","lower secondary degree","middle vocational","18","","",""
"Very often","2003","lower secondary degree","vocational + Abi","","","",""
"Very often","2003","lower secondary degree","higher vocational","","","",""
"Very often","2003","lower secondary degree","higher education","","","",""
"Very often","2003","secondary school degree","in school","","","",""
"Very often","2003","secondary school degree","inadequately","","","",""
"Very often","2003","secondary school degree","general elemantary","19","","",""
"Very often","2003","secondary school degree","middle vocational","9","","",""
"Very often","2003","secondary school degree","vocational + Abi","","","",""
"Very often","2003","secondary school degree","higher vocational","1","","",""
"Very often","2003","secondary school degree","higher education","1","","",""
"Very often","2003","college entrance qualification","in school","","","",""
"Very often","2003","college entrance qualification","inadequately","","","",""
"Very often","2003","college entrance qualification","general elemantary","","","",""
"Very often","2003","college entrance qualification","middle vocational","16","","",""
"Very often","2003","college entrance qualification","vocational + Abi","4","","",""
"Very often","2003","college entrance qualification","higher vocational","2","","",""
"Very often","2003","college entrance qualification","higher education","9","","",""
"Very often","2003","Other degree","in school","","","",""
"Very often","2003","Other degree","inadequately","","","",""
"Very often","2003","Other degree","general elemantary","4","","",""
"Very often","2003","Other degree","middle vocational","6","","",""
"Very often","2003","Other degree","vocational + Abi","2","","",""
"Very often","2003","Other degree","higher vocational","1","","",""
"Very often","2003","Other degree","higher education","2","","",""
"Very often","2003","no degree/no degree yet","in school","24","","",""
"Very often","2003","no degree/no degree yet","inadequately","","","",""
"Very often","2003","no degree/no degree yet","general elemantary","","","",""
"Very often","2003","no degree/no degree yet","middle vocational","","","",""
"Very often","2003","no degree/no degree yet","vocational + Abi","","","",""
"Very often","2003","no degree/no degree yet","higher vocational","","","",""
"Very often","2003","no degree/no degree yet","higher education","","","",""
"Often","2003","lower secondary degree","in school","","","",""
"Often","2003","lower secondary degree","inadequately","","","",""
"Often","2003","lower secondary degree","general elemantary","64","0.0323699997235654","0.0240399123894449","0.040700087057686"
"Often","2003","lower secondary degree","middle vocational","69","0.0130215633812234","0.0100048530089033","0.0160382737535435"
"Often","2003","lower secondary degree","vocational + Abi","2","","",""
"Often","2003","lower secondary degree","higher vocational","6","","",""
"Often","2003","lower secondary degree","higher education","4","","",""
"Often","2003","secondary school degree","in school","","","",""
"Often","2003","secondary school degree","inadequately","","","",""
"Often","2003","secondary school degree","general elemantary","55","0.0894900553196613","0.0671824730485522","0.11179763759077"
"Often","2003","secondary school degree","middle vocational","63","0.017057268401277","0.013219952519441","0.020894584283113"
"Often","2003","secondary school degree","vocational + Abi","3","","",""
"Often","2003","secondary school degree","higher vocational","12","","",""
"Often","2003","secondary school degree","higher education","6","","",""
"Often","2003","college entrance qualification","in school","","","",""
"Often","2003","college entrance qualification","inadequately","","","",""
"Often","2003","college entrance qualification","general elemantary","","","",""
"Often","2003","college entrance qualification","middle vocational","86","0.118626183486924","0.0960497500861928","0.141202616887656"
"Often","2003","college entrance qualification","vocational + Abi","17","","",""
"Often","2003","college entrance qualification","higher vocational","4","","",""
"Often","2003","college entrance qualification","higher education","72","0.0258448992953769","0.0204295778358839","0.0312602207548699"
"Often","2003","Other degree","in school","","","",""
"Often","2003","Other degree","inadequately","2","","",""
"Often","2003","Other degree","general elemantary","11","","",""
"Often","2003","Other degree","middle vocational","11","","",""
"Often","2003","Other degree","vocational + Abi","2","","",""
"Often","2003","Other degree","higher vocational","4","","",""
"Often","2003","Other degree","higher education","5","","",""
"Often","2003","no degree/no degree yet","in school","114","0.151047038626875","0.122768585040891","0.179325492212859"
"Often","2003","no degree/no degree yet","inadequately","5","","",""
"Often","2003","no degree/no degree yet","general elemantary","","","",""
"Often","2003","no degree/no degree yet","middle vocational","","","",""
"Often","2003","no degree/no degree yet","vocational + Abi","","","",""
"Often","2003","no degree/no degree yet","higher vocational","","","",""
"Often","2003","no degree/no degree yet","higher education","","","",""
"Sometimes","2003","lower secondary degree","in school","","","",""
"Sometimes","2003","lower secondary degree","inadequately","","","",""
"Sometimes","2003","lower secondary degree","general elemantary","163","0.0918014961140605","0.0782108903374104","0.105392101890711"
"Sometimes","2003","lower secondary degree","middle vocational","519","0.0988209958217554","0.0908799378736969","0.106762053769814"
"Sometimes","2003","lower secondary degree","vocational + Abi","3","","",""
"Sometimes","2003","lower secondary degree","higher vocational","42","0.0952378557564335","0.0693523513802802","0.121123360132587"
"Sometimes","2003","lower secondary degree","higher education","10","","",""
"Sometimes","2003","secondary school degree","in school","","","",""
"Sometimes","2003","secondary school degree","inadequately","","","",""
"Sometimes","2003","secondary school degree","general elemantary","150","0.218080482477438","0.18580949945917","0.250351465495705"
"Sometimes","2003","secondary school degree","middle vocational","500","0.118212282156281","0.108644263240943","0.127780301071619"
"Sometimes","2003","secondary school degree","vocational + Abi","6","","",""
"Sometimes","2003","secondary school degree","higher vocational","78","0.130881674743236","0.10664681567431","0.155116533812162"
"Sometimes","2003","secondary school degree","higher education","49","0.0693363721964698","0.0497018863796845","0.0889708580132552"
"Sometimes","2003","college entrance qualification","in school","","","",""
"Sometimes","2003","college entrance qualification","inadequately","","","",""
"Sometimes","2003","college entrance qualification","general elemantary","","","",""
"Sometimes","2003","college entrance qualification","middle vocational","239","0.307291821109715","0.275078489701802","0.339505152517628"
"Sometimes","2003","college entrance qualification","vocational + Abi","167","0.190522579717794","0.16571921818357","0.215325941252018"
"Sometimes","2003","college entrance qualification","higher vocational","58","0.140663813101607","0.105285764073308","0.176041862129906"
"Sometimes","2003","college entrance qualification","higher education","477","0.160091836415719","0.147577055252629","0.172606617578808"
"Sometimes","2003","Other degree","in school","","","",""
"Sometimes","2003","Other degree","inadequately","5","","",""
"Sometimes","2003","Other degree","general elemantary","53","0.135368837070245","0.100414668783952","0.170323005356537"
"Sometimes","2003","Other degree","middle vocational","79","0.196101937308178","0.158918248748438","0.233285625867919"
"Sometimes","2003","Other degree","vocational + Abi","27","","",""
"Sometimes","2003","Other degree","higher vocational","6","","",""
"Sometimes","2003","Other degree","higher education","37","0.153020934413548","0.102491719765842","0.203550149061255"
"Sometimes","2003","no degree/no degree yet","in school","191","0.335037065020955","0.297763332710408","0.372310797331502"
"Sometimes","2003","no degree/no degree yet","inadequately","37","0.15864936674709","0.111017066386944","0.206281667107236"
"Sometimes","2003","no degree/no degree yet","general elemantary","","","",""
"Sometimes","2003","no degree/no degree yet","middle vocational","8","","",""
"Sometimes","2003","no degree/no degree yet","vocational + Abi","","","",""
"Sometimes","2003","no degree/no degree yet","higher vocational","","","",""
"Sometimes","2003","no degree/no degree yet","higher education","","","",""
"Rarely","2003","lower secondary degree","in school","","","",""
"Rarely","2003","lower secondary degree","inadequately","","","",""
"Rarely","2003","lower secondary degree","general elemantary","407","0.22162839202547","0.202079158464745","0.241177625586195"
"Rarely","2003","lower secondary degree","middle vocational","1432","0.257321215963459","0.245688355303299","0.268954076623618"
"Rarely","2003","lower secondary degree","vocational + Abi","11","","",""
"Rarely","2003","lower secondary degree","higher vocational","149","0.294205828756126","0.25402218762521","0.334389469887043"
"Rarely","2003","lower secondary degree","higher education","50","0.257815114185668","0.196101685395126","0.31952854297621"
"Rarely","2003","secondary school degree","in school","","","",""
"Rarely","2003","secondary school degree","inadequately","","","",""
"Rarely","2003","secondary school degree","general elemantary","201","0.315260546945791","0.278951047954473","0.351570045937108"
"Rarely","2003","secondary school degree","middle vocational","1566","0.356516000096163","0.342321598423765","0.37071040176856"
"Rarely","2003","secondary school degree","vocational + Abi","5","","",""
"Rarely","2003","secondary school degree","higher vocational","287","0.394041359089082","0.358929484323053","0.429153233855111"
"Rarely","2003","secondary school degree","higher education","231","0.357603274367869","0.320556960043448","0.39464958869229"
"Rarely","2003","college entrance qualification","in school","","","",""
"Rarely","2003","college entrance qualification","inadequately","","","",""
"Rarely","2003","college entrance qualification","general elemantary","","","",""
"Rarely","2003","college entrance qualification","middle vocational","295","0.343662245302017","0.310502240299967","0.376822250304068"
"Rarely","2003","college entrance qualification","vocational + Abi","388","0.384411518691322","0.353687474139994","0.41513556324265"
"Rarely","2003","college entrance qualification","higher vocational","142","0.391841619596278","0.34216811914196","0.441515120050596"
"Rarely","2003","college entrance qualification","higher education","1280","0.399315612218083","0.382600700668915","0.416030523767251"
"Rarely","2003","Other degree","in school","","","",""
"Rarely","2003","Other degree","inadequately","6","","",""
"Rarely","2003","Other degree","general elemantary","71","0.178965989624312","0.139801722087106","0.218130257161518"
"Rarely","2003","Other degree","middle vocational","105","0.234092344996449","0.194437811334038","0.27374687865886"
"Rarely","2003","Other degree","vocational + Abi","42","0.304305296368288","0.225813326301542","0.382797266435033"
"Rarely","2003","Other degree","higher vocational","17","","",""
"Rarely","2003","Other degree","higher education","56","0.309810519122599","0.244907778937422","0.374713259307775"
"Rarely","2003","no degree/no degree yet","in school","179","0.284826708181615","0.249185391966494","0.320468024396735"
"Rarely","2003","no degree/no degree yet","inadequately","46","0.186494537010351","0.135712845185821","0.237276228834881"
"Rarely","2003","no degree/no degree yet","general elemantary","","","",""
"Rarely","2003","no degree/no degree yet","middle vocational","11","","",""
"Rarely","2003","no degree/no degree yet","vocational + Abi","","","",""
"Rarely","2003","no degree/no degree yet","higher vocational","","","",""
"Rarely","2003","no degree/no degree yet","higher education","1","","",""
"Never","2003","lower secondary degree","in school","","","",""
"Never","2003","lower secondary degree","inadequately","","","",""
"Never","2003","lower secondary degree","general elemantary","1095","0.649850176715946","0.627398068805162","0.672302284626731"
"Never","2003","lower secondary degree","middle vocational","3387","0.627199290228668","0.614331932823794","0.640066647633542"
"Never","2003","lower secondary degree","vocational + Abi","13","","",""
"Never","2003","lower secondary degree","higher vocational","297","0.590817410269542","0.547459351247224","0.63417546929186"
"Never","2003","lower secondary degree","higher education","129","0.666724376661786","0.600220895664443","0.733227857659129"
"Never","2003","secondary school degree","in school","","","",""
"Never","2003","secondary school degree","inadequately","","","",""
"Never","2003","secondary school degree","general elemantary","204","0.346240292517515","0.309059328434321","0.38342125660071"
"Never","2003","secondary school degree","middle vocational","2236","0.504180867948783","0.489363757341238","0.518997978556328"
"Never","2003","secondary school degree","vocational + Abi","21","","",""
"Never","2003","secondary school degree","higher vocational","366","0.456793957150171","0.421000463131023","0.49258745116932"
"Never","2003","secondary school degree","higher education","356","0.553044751426129","0.514616133730087","0.59147336912217"
"Never","2003","college entrance qualification","in school","","","",""
"Never","2003","college entrance qualification","inadequately","","","",""
"Never","2003","college entrance qualification","general elemantary","","","",""
"Never","2003","college entrance qualification","middle vocational","152","0.210310162677322","0.181856158793997","0.238764166560648"
"Never","2003","college entrance qualification","vocational + Abi","387","0.394840241171197","0.363967110415361","0.425713371927032"
"Never","2003","college entrance qualification","higher vocational","165","0.450293701802663","0.399667606896724","0.500919796708603"
"Never","2003","college entrance qualification","higher education","1460","0.41181060750409","0.395013669319101","0.428607545689079"
"Never","2003","Other degree","in school","","","",""
"Never","2003","Other degree","inadequately","22","","",""
"Never","2003","Other degree","general elemantary","229","0.636825973793363","0.587690861126869","0.685961086459857"
"Never","2003","Other degree","middle vocational","237","0.514222516473061","0.467416113119124","0.561028919826998"
"Never","2003","Other degree","vocational + Abi","59","0.424503611762817","0.340185063328875","0.508822160196758"
"Never","2003","Other degree","higher vocational","35","0.533069499473597","0.409873712766838","0.656265286180356"
"Never","2003","Other degree","higher education","95","0.503875336450947","0.433699476285167","0.574051196616728"
"Never","2003","no degree/no degree yet","in school","108","0.197641126540963","0.166194017595593","0.229088235486334"
"Never","2003","no degree/no degree yet","inadequately","138","0.632817669743349","0.569972188405461","0.695663151081236"
"Never","2003","no degree/no degree yet","general elemantary","","","",""
"Never","2003","no degree/no degree yet","middle vocational","24","","",""
"Never","2003","no degree/no degree yet","vocational + Abi","","","",""
