"pld0044","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Not Employed","no migration background","4375","0.667593785657396","0.656416939020749","0.678770632294042","5"
"Never","2003","Not Employed","direct migration background","633","0.593239903056736","0.563470741878504","0.623009064234969","5"
"Never","2003","Not Employed","indirect migration background","84","0.325533954266684","0.267098314015837","0.383969594517531","5"
"Never","2003","Employed","no migration background","5391","0.446799567537222","0.437867083724824","0.455732051349619","5"
"Never","2003","Employed","direct migration background","666","0.400350318903877","0.376044204796575","0.42465643301118","5"
"Never","2003","Employed","indirect migration background","149","0.285908860242717","0.247692301531038","0.324125418954395","5"
"Often","2003","Not Employed","indirect migration background","27","","","","2"
"Often","2003","Not Employed","no migration background","154","0.0162454069851961","0.0132459870997995","0.0192448268705927","2"
"Often","2003","Not Employed","direct migration background","29","","","","2"
"Often","2003","Employed","direct migration background","71","0.0544760516747792","0.0432174172467451","0.0657346861028133","2"
"Often","2003","Employed","no migration background","317","0.0288280712328297","0.0258217840586913","0.0318343584069682","2"
"Often","2003","Employed","indirect migration background","44","0.0867338544598396","0.0629296346990682","0.110538074220611","2"
"Rarely","2003","Not Employed","indirect migration background","82","0.30617051880046","0.248691721259453","0.363649316341467","4"
"Rarely","2003","Not Employed","no migration background","1642","0.230498717768809","0.220506370640446","0.240491064897173","4"
"Rarely","2003","Not Employed","direct migration background","226","0.20938502881691","0.184728179633343","0.234041878000478","4"
"Rarely","2003","Employed","direct migration background","484","0.310649712133116","0.287693401229536","0.333606023036696","4"
"Rarely","2003","Employed","no migration background","4444","0.369208859658068","0.360538173642681","0.377879545673455","4"
"Rarely","2003","Employed","indirect migration background","189","0.351643787238165","0.311258864072806","0.392028710403524","4"
"Sometimes","2003","Not Employed","no migration background","628","0.0829716656651043","0.0764270392087012","0.0895162921215073","3"
"Sometimes","2003","Not Employed","direct migration background","148","0.16471924176964","0.142240569553198","0.187197913986082","3"
"Sometimes","2003","Not Employed","indirect migration background","49","0.227669657781959","0.175375431676455","0.279963883887462","3"
"Sometimes","2003","Employed","direct migration background","320","0.220888590580729","0.200309173754842","0.241468007406615","3"
"Sometimes","2003","Employed","no migration background","1689","0.149201901380876","0.142800500216691","0.15560330254506","3"
"Sometimes","2003","Employed","indirect migration background","147","0.25206250150242","0.2153386922551","0.288786310749741","3"
"Very often","2003","Not Employed","no migration background","25","","","","1"
"Very often","2003","Not Employed","direct migration background","10","","","","1"
"Very often","2003","Not Employed","indirect migration background","5","","","","1"
"Very often","2003","Employed","no migration background","59","0.00596160019100537","0.00457848734591997","0.00734471303609078","1"
"Very often","2003","Employed","direct migration background","20","","","","1"
"Very often","2003","Employed","indirect migration background","8","","","","1"
"Never","2004","Not Employed","no migration background","","","","","5"
"Never","2004","Not Employed","direct migration background","","","","","5"
"Never","2004","Not Employed","indirect migration background","","","","","5"
"Never","2004","Employed","no migration background","","","","","5"
"Never","2004","Employed","direct migration background","","","","","5"
"Never","2004","Employed","indirect migration background","","","","","5"
"Often","2004","Not Employed","direct migration background","","","","","2"
"Often","2004","Not Employed","no migration background","","","","","2"
"Often","2004","Not Employed","indirect migration background","","","","","2"
"Often","2004","Employed","no migration background","","","","","2"
"Often","2004","Employed","direct migration background","","","","","2"
"Often","2004","Employed","indirect migration background","","","","","2"
"Rarely","2004","Not Employed","no migration background","","","","","4"
"Rarely","2004","Not Employed","indirect migration background","","","","","4"
"Rarely","2004","Not Employed","direct migration background","","","","","4"
"Rarely","2004","Employed","direct migration background","","","","","4"
"Rarely","2004","Employed","no migration background","","","","","4"
"Rarely","2004","Employed","indirect migration background","","","","","4"
"Sometimes","2004","Not Employed","direct migration background","","","","","3"
"Sometimes","2004","Employed","direct migration background","","","","","3"
"Sometimes","2004","Not Employed","no migration background","","","","","3"
"Sometimes","2004","Not Employed","indirect migration background","","","","","3"
"Sometimes","2004","Employed","no migration background","","","","","3"
"Sometimes","2004","Employed","indirect migration background","","","","","3"
"Very often","2004","Not Employed","indirect migration background","","","","","1"
"Very often","2004","Not Employed","no migration background","","","","","1"
"Very often","2004","Not Employed","direct migration background","","","","","1"
"Very often","2004","Employed","no migration background","","","","","1"
"Very often","2004","Employed","direct migration background","","","","","1"
"Very often","2004","Employed","indirect migration background","","","","","1"
"Never","2005","Not Employed","indirect migration background","","","","","5"
"Never","2005","Not Employed","no migration background","","","","","5"
"Never","2005","Not Employed","direct migration background","","","","","5"
"Never","2005","Employed","no migration background","","","","","5"
"Never","2005","Employed","direct migration background","","","","","5"
"Never","2005","Employed","indirect migration background","","","","","5"
"Often","2005","Not Employed","no migration background","","","","","2"
"Often","2005","Not Employed","direct migration background","","","","","2"
"Often","2005","Not Employed","indirect migration background","","","","","2"
"Often","2005","Employed","direct migration background","","","","","2"
"Often","2005","Employed","no migration background","","","","","2"
"Often","2005","Employed","indirect migration background","","","","","2"
"Rarely","2005","Not Employed","direct migration background","","","","","4"
"Rarely","2005","Not Employed","no migration background","","","","","4"
"Rarely","2005","Not Employed","indirect migration background","","","","","4"
"Rarely","2005","Employed","no migration background","","","","","4"
"Rarely","2005","Employed","direct migration background","","","","","4"
"Rarely","2005","Employed","indirect migration background","","","","","4"
"Sometimes","2005","Not Employed","no migration background","","","","","3"
"Sometimes","2005","Not Employed","indirect migration background","","","","","3"
"Sometimes","2005","Employed","no migration background","","","","","3"
"Sometimes","2005","Employed","indirect migration background","","","","","3"
"Sometimes","2005","Not Employed","direct migration background","","","","","3"
"Sometimes","2005","Employed","direct migration background","","","","","3"
"Very often","2005","Not Employed","no migration background","","","","","1"
"Very often","2005","Not Employed","direct migration background","","","","","1"
"Very often","2005","Not Employed","indirect migration background","","","","","1"
"Very often","2005","Employed","no migration background","","","","","1"
"Very often","2005","Employed","direct migration background","","","","","1"
"Very often","2005","Employed","indirect migration background","","","","","1"
"Never","2006","Not Employed","direct migration background","","","","","5"
"Never","2006","Not Employed","no migration background","","","","","5"
"Never","2006","Employed","no migration background","","","","","5"
"Never","2006","Not Employed","indirect migration background","","","","","5"
"Never","2006","Employed","direct migration background","","","","","5"
"Never","2006","Employed","indirect migration background","","","","","5"
"Often","2006","Not Employed","no migration background","","","","","2"
"Often","2006","Not Employed","indirect migration background","","","","","2"
"Often","2006","Not Employed","direct migration background","","","","","2"
"Often","2006","Employed","direct migration background","","","","","2"
"Often","2006","Employed","no migration background","","","","","2"
"Often","2006","Employed","indirect migration background","","","","","2"
"Rarely","2006","Not Employed","no migration background","","","","","4"
"Rarely","2006","Not Employed","indirect migration background","","","","","4"
"Rarely","2006","Not Employed","direct migration background","","","","","4"
"Rarely","2006","Employed","direct migration background","","","","","4"
"Rarely","2006","Employed","no migration background","","","","","4"
"Rarely","2006","Employed","indirect migration background","","","","","4"
"Sometimes","2006","Not Employed","indirect migration background","","","","","3"
"Sometimes","2006","Not Employed","no migration background","","","","","3"
"Sometimes","2006","Not Employed","direct migration background","","","","","3"
"Sometimes","2006","Employed","no migration background","","","","","3"
"Sometimes","2006","Employed","direct migration background","","","","","3"
"Sometimes","2006","Employed","indirect migration background","","","","","3"
"Very often","2006","Not Employed","no migration background","","","","","1"
"Very often","2006","Not Employed","direct migration background","","","","","1"
"Very often","2006","Not Employed","indirect migration background","","","","","1"
"Very often","2006","Employed","no migration background","","","","","1"
"Very often","2006","Employed","direct migration background","","","","","1"
"Very often","2006","Employed","indirect migration background","","","","","1"
"Never","2007","Not Employed","no migration background","","","","","5"
"Never","2007","Not Employed","indirect migration background","","","","","5"
"Never","2007","Not Employed","direct migration background","","","","","5"
"Never","2007","Employed","no migration background","","","","","5"
"Never","2007","Employed","direct migration background","","","","","5"
"Never","2007","Employed","indirect migration background","","","","","5"
"Often","2007","Not Employed","direct migration background","","","","","2"
"Often","2007","Not Employed","no migration background","","","","","2"
"Often","2007","Not Employed","indirect migration background","","","","","2"
"Often","2007","Employed","no migration background","","","","","2"
"Often","2007","Employed","direct migration background","","","","","2"
"Often","2007","Employed","indirect migration background","","","","","2"
"Rarely","2007","Not Employed","no migration background","","","","","4"
"Rarely","2007","Not Employed","direct migration background","","","","","4"
"Rarely","2007","Not Employed","indirect migration background","","","","","4"
"Rarely","2007","Employed","no migration background","","","","","4"
"Rarely","2007","Employed","direct migration background","","","","","4"
"Rarely","2007","Employed","indirect migration background","","","","","4"
"Sometimes","2007","Not Employed","no migration background","","","","","3"
"Sometimes","2007","Not Employed","direct migration background","","","","","3"
"Sometimes","2007","Not Employed","indirect migration background","","","","","3"
"Sometimes","2007","Employed","no migration background","","","","","3"
"Sometimes","2007","Employed","direct migration background","","","","","3"
"Sometimes","2007","Employed","indirect migration background","","","","","3"
"Very often","2007","Not Employed","indirect migration background","","","","","1"
"Very often","2007","Employed","indirect migration background","","","","","1"
"Very often","2007","Not Employed","no migration background","","","","","1"
"Very often","2007","Not Employed","direct migration background","","","","","1"
"Very often","2007","Employed","no migration background","","","","","1"
"Very often","2007","Employed","direct migration background","","","","","1"
"Never","2008","Not Employed","no migration background","4238","0.672129461312742","0.660642806331769","0.683616116293714","5"
"Never","2008","Not Employed","direct migration background","496","0.594032890933287","0.559853669329345","0.62821211253723","5"
"Never","2008","Not Employed","indirect migration background","89","0.412955471741784","0.345719510907448","0.480191432576119","5"
"Never","2008","Employed","no migration background","4912","0.460698795251057","0.451030760863895","0.470366829638219","5"
"Never","2008","Employed","direct migration background","468","0.426822542560832","0.397593137649601","0.456051947472063","5"
"Never","2008","Employed","indirect migration background","176","0.349530900354716","0.310213934972339","0.388847865737093","5"
"Often","2008","Not Employed","direct migration background","15","","","","2"
"Often","2008","Not Employed","no migration background","134","0.0205386885112108","0.0170681576498233","0.0240092193725984","2"
"Often","2008","Not Employed","indirect migration background","16","","","","2"
"Often","2008","Employed","no migration background","214","0.0252558142674957","0.0222125478952159","0.0282990806397755","2"
"Often","2008","Employed","direct migration background","38","0.0387380167761329","0.0273344338965356","0.0501415996557302","2"
"Often","2008","Employed","indirect migration background","36","0.0762861149756223","0.0543976476675202","0.0981745822837244","2"
"Rarely","2008","Not Employed","no migration background","1525","0.229636012239671","0.219344388551001","0.239927635928341","4"
"Rarely","2008","Not Employed","direct migration background","182","0.252158263525884","0.221934193313842","0.282382333737927","4"
"Rarely","2008","Not Employed","indirect migration background","45","0.213084032519988","0.157165712757148","0.269002352282828","4"
"Rarely","2008","Employed","no migration background","3710","0.36853297225845","0.359176169661265","0.377889774855635","4"
"Rarely","2008","Employed","direct migration background","377","0.337638138488578","0.309691784486451","0.365584492490705","4"
"Rarely","2008","Employed","indirect migration background","224","0.372819491455177","0.33294736037161","0.412691622538744","4"
"Sometimes","2008","Not Employed","no migration background","493","0.0736082775896561","0.0672186348842771","0.079997920295035","3"
"Sometimes","2008","Not Employed","direct migration background","98","0.123146254086069","0.100275226322846","0.146017281849291","3"
"Sometimes","2008","Not Employed","indirect migration background","54","0.294960250270112","0.232686785615652","0.357233714924573","3"
"Sometimes","2008","Employed","no migration background","1323","0.13975986172479","0.133034509485559","0.146485213964021","3"
"Sometimes","2008","Employed","direct migration background","213","0.193003329011501","0.169681101908831","0.216325556114171","3"
"Sometimes","2008","Employed","indirect migration background","120","0.185848868873051","0.153774631165485","0.217923106580618","3"
"Very often","2008","Not Employed","no migration background","26","","","","1"
"Very often","2008","Not Employed","direct migration background","2","","","","1"
"Very often","2008","Not Employed","indirect migration background","2","","","","1"
"Very often","2008","Employed","no migration background","52","0.00575255649820752","0.00428568645032399","0.00721942654609105","1"
"Very often","2008","Employed","direct migration background","4","","","","1"
"Very often","2008","Employed","indirect migration background","9","","","","1"
"Never","2009","Not Employed","direct migration background","","","","","5"
"Never","2009","Not Employed","no migration background","","","","","5"
"Never","2009","Not Employed","indirect migration background","","","","","5"
"Never","2009","Employed","no migration background","","","","","5"
"Never","2009","Employed","direct migration background","","","","","5"
"Never","2009","Employed","indirect migration background","","","","","5"
"Often","2009","Not Employed","no migration background","","","","","2"
"Often","2009","Not Employed","direct migration background","","","","","2"
"Often","2009","Not Employed","indirect migration background","","","","","2"
"Often","2009","Employed","no migration background","","","","","2"
"Often","2009","Employed","direct migration background","","","","","2"
"Often","2009","Employed","indirect migration background","","","","","2"
"Rarely","2009","Not Employed","direct migration background","","","","","4"
"Rarely","2009","Not Employed","no migration background","","","","","4"
"Rarely","2009","Not Employed","indirect migration background","","","","","4"
"Rarely","2009","Employed","no migration background","","","","","4"
"Rarely","2009","Employed","direct migration background","","","","","4"
"Rarely","2009","Employed","indirect migration background","","","","","4"
"Sometimes","2009","Not Employed","no migration background","","","","","3"
"Sometimes","2009","Not Employed","indirect migration background","","","","","3"
"Sometimes","2009","Not Employed","direct migration background","","","","","3"
"Sometimes","2009","Employed","direct migration background","","","","","3"
"Sometimes","2009","Employed","indirect migration background","","","","","3"
"Sometimes","2009","Employed","no migration background","","","","","3"
"Very often","2009","Not Employed","no migration background","","","","","1"
"Very often","2009","Not Employed","direct migration background","","","","","1"
"Very often","2009","Not Employed","indirect migration background","","","","","1"
"Very often","2009","Employed","no migration background","","","","","1"
"Very often","2009","Employed","indirect migration background","","","","","1"
"Very often","2009","Employed","direct migration background","","","","","1"
"Never","2010","Not Employed","no migration background","","","","","5"
"Never","2010","Not Employed","indirect migration background","","","","","5"
"Never","2010","Employed","no migration background","","","","","5"
"Never","2010","Not Employed","direct migration background","","","","","5"
"Never","2010","Employed","direct migration background","","","","","5"
"Never","2010","Employed","indirect migration background","","","","","5"
"Often","2010","Not Employed","no migration background","","","","","2"
"Often","2010","Not Employed","direct migration background","","","","","2"
"Often","2010","Not Employed","indirect migration background","","","","","2"
"Often","2010","Employed","no migration background","","","","","2"
"Often","2010","Employed","direct migration background","","","","","2"
"Often","2010","Employed","indirect migration background","","","","","2"
"Rarely","2010","Not Employed","no migration background","","","","","4"
"Rarely","2010","Not Employed","direct migration background","","","","","4"
"Rarely","2010","Not Employed","indirect migration background","","","","","4"
"Rarely","2010","Employed","no migration background","","","","","4"
"Rarely","2010","Employed","direct migration background","","","","","4"
"Rarely","2010","Employed","indirect migration background","","","","","4"
"Sometimes","2010","Not Employed","no migration background","","","","","3"
"Sometimes","2010","Not Employed","direct migration background","","","","","3"
"Sometimes","2010","Not Employed","indirect migration background","","","","","3"
"Sometimes","2010","Employed","direct migration background","","","","","3"
"Sometimes","2010","Employed","no migration background","","","","","3"
"Sometimes","2010","Employed","indirect migration background","","","","","3"
"Very often","2010","Not Employed","no migration background","","","","","1"
"Very often","2010","Not Employed","indirect migration background","","","","","1"
"Very often","2010","Employed","indirect migration background","","","","","1"
"Very often","2010","Not Employed","direct migration background","","","","","1"
"Very often","2010","Employed","no migration background","","","","","1"
"Very often","2010","Employed","direct migration background","","","","","1"
"Never","2011","Not Employed","direct migration background","","","","","5"
"Never","2011","Not Employed","indirect migration background","","","","","5"
"Never","2011","Employed","direct migration background","","","","","5"
"Never","2011","Not Employed","no migration background","","","","","5"
"Never","2011","Employed","no migration background","","","","","5"
"Never","2011","Employed","indirect migration background","","","","","5"
"Often","2011","Not Employed","no migration background","","","","","2"
"Often","2011","Not Employed","direct migration background","","","","","2"
"Often","2011","Not Employed","indirect migration background","","","","","2"
"Often","2011","Employed","no migration background","","","","","2"
"Often","2011","Employed","direct migration background","","","","","2"
"Often","2011","Employed","indirect migration background","","","","","2"
"Rarely","2011","Not Employed","no migration background","","","","","4"
"Rarely","2011","Not Employed","direct migration background","","","","","4"
"Rarely","2011","Not Employed","indirect migration background","","","","","4"
"Rarely","2011","Employed","no migration background","","","","","4"
"Rarely","2011","Employed","direct migration background","","","","","4"
"Rarely","2011","Employed","indirect migration background","","","","","4"
"Sometimes","2011","Not Employed","no migration background","","","","","3"
"Sometimes","2011","Not Employed","indirect migration background","","","","","3"
"Sometimes","2011","Not Employed","direct migration background","","","","","3"
"Sometimes","2011","Employed","no migration background","","","","","3"
"Sometimes","2011","Employed","direct migration background","","","","","3"
"Sometimes","2011","Employed","indirect migration background","","","","","3"
"Very often","2011","Not Employed","no migration background","","","","","1"
"Very often","2011","Not Employed","direct migration background","","","","","1"
"Very often","2011","Employed","direct migration background","","","","","1"
"Very often","2011","Not Employed","indirect migration background","","","","","1"
"Very often","2011","Employed","no migration background","","","","","1"
"Very often","2011","Employed","indirect migration background","","","","","1"
"Never","2012","Not Employed","direct migration background","","","","","5"
"Never","2012","Not Employed","no migration background","","","","","5"
"Never","2012","Not Employed","indirect migration background","","","","","5"
"Never","2012","Employed","no migration background","","","","","5"
"Never","2012","Employed","direct migration background","","","","","5"
"Never","2012","Employed","indirect migration background","","","","","5"
"Often","2012","Not Employed","no migration background","","","","","2"
"Often","2012","Not Employed","direct migration background","","","","","2"
"Often","2012","Not Employed","indirect migration background","","","","","2"
"Often","2012","Employed","no migration background","","","","","2"
"Often","2012","Employed","indirect migration background","","","","","2"
"Often","2012","Employed","direct migration background","","","","","2"
"Rarely","2012","Not Employed","no migration background","","","","","4"
"Rarely","2012","Not Employed","direct migration background","","","","","4"
"Rarely","2012","Not Employed","indirect migration background","","","","","4"
"Rarely","2012","Employed","no migration background","","","","","4"
"Rarely","2012","Employed","direct migration background","","","","","4"
"Rarely","2012","Employed","indirect migration background","","","","","4"
"Sometimes","2012","Not Employed","indirect migration background","","","","","3"
"Sometimes","2012","Not Employed","no migration background","","","","","3"
"Sometimes","2012","Not Employed","direct migration background","","","","","3"
"Sometimes","2012","Employed","direct migration background","","","","","3"
"Sometimes","2012","Employed","no migration background","","","","","3"
"Sometimes","2012","Employed","indirect migration background","","","","","3"
"Very often","2012","Not Employed","no migration background","","","","","1"
"Very often","2012","Not Employed","direct migration background","","","","","1"
"Very often","2012","Not Employed","indirect migration background","","","","","1"
"Very often","2012","Employed","no migration background","","","","","1"
"Very often","2012","Employed","indirect migration background","","","","","1"
"Very often","2012","Employed","direct migration background","","","","","1"
"Never","2013","Not Employed","no migration background","4839","0.669439675422277","0.658800469625687","0.680078881218866","5"
"Never","2013","Not Employed","direct migration background","559","0.657827900883824","0.627498585581874","0.688157216185775","5"
"Never","2013","Not Employed","indirect migration background","101","0.319369384070547","0.267552621302156","0.371186146838938","5"
"Never","2013","Employed","no migration background","6949","0.463471643496944","0.455256476059522","0.471686810934365","5"
"Never","2013","Employed","direct migration background","742","0.408015285044676","0.384707681568264","0.431322888521088","5"
"Never","2013","Employed","indirect migration background","324","0.360114458529964","0.328271574362848","0.391957342697081","5"
"Often","2013","Not Employed","no migration background","170","0.0190361724082098","0.0159455607823571","0.0221267840340626","2"
"Often","2013","Not Employed","direct migration background","27","","","","2"
"Often","2013","Not Employed","indirect migration background","36","0.0759194409294823","0.0464820500944231","0.105356831764541","2"
"Often","2013","Employed","no migration background","352","0.0279216613913877","0.0252075369485789","0.0306357858341965","2"
"Often","2013","Employed","direct migration background","88","0.0534374429576236","0.0427714411567042","0.0641034447585431","2"
"Often","2013","Employed","indirect migration background","52","0.0557395743848039","0.0405211851541932","0.0709579636154146","2"
"Rarely","2013","Not Employed","no migration background","1779","0.228031944623897","0.21854283131413","0.237521057933663","4"
