"year","age_gr","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1984","16-34 y.","general elemantary","8","9","1283","7.87","8.13","5","7","10","10"
"1984","16-34 y.","higher education","8","8","248","7.76","8.24","5","7","9","10"
"1984","16-34 y.","higher vocational","7.86","8","211","7.6","8.12","5","7","10","10"
"1984","16-34 y.","in school","8.49","9","187","8.2","8.78","5","8","10","10"
"1984","16-34 y.","inadequately","7.32","8","309","7.02","7.62","4","6","10","10"
"1984","16-34 y.","middle vocational","7.93","8","2178","7.84","8.02","5","7","10","10"
"1984","16-34 y.","vocational + Abi","7.84","8","164","7.5","8.18","5","7","9","10"
"1984","35-65 y.","general elemantary","6.14","6","1662","6.01","6.27","3","5","8","10"
"1984","35-65 y.","higher education","7.32","8","481","7.11","7.53","4","6","9","10"
"1984","35-65 y.","higher vocational","6.66","7","365","6.39","6.93","3","5","8","10"
"1984","35-65 y.","in school","","","","","","","","",""
"1984","35-65 y.","inadequately","6.04","6","695","5.83","6.25","2","4","8","10"
"1984","35-65 y.","middle vocational","6.67","7","2959","6.57","6.77","3","5","9","10"
"1984","35-65 y.","vocational + Abi","6.83","7.38","128","6.37","7.29","3","5","9","10"
"1984","66 and older","general elemantary","4.93","5","517","4.68","5.18","1","3","7","9"
"1984","66 and older","higher education","6.66","7","63","5.95","7.37","2","5","9","10"
"1984","66 and older","higher vocational","5.38","5","82","4.77","5.99","1","4","8","9"
"1984","66 and older","in school","","","","","","","","",""
"1984","66 and older","inadequately","","","","","","","","",""
"1984","66 and older","middle vocational","5.56","5","578","5.33","5.79","1","4","8","10"
"1984","66 and older","vocational + Abi","","","","","","","","",""
"1985","16-34 y.","general elemantary","7.86","8","1141","7.74","7.98","5","7","10","10"
"1985","16-34 y.","higher education","7.66","8","240","7.43","7.89","5","7","9","10"
"1985","16-34 y.","higher vocational","7.51","8","195","7.21","7.81","5","7","9","10"
"1985","16-34 y.","in school","8.14","8","186","7.88","8.4","5","7","10","10"
"1985","16-34 y.","inadequately","6.76","8","238","6.42","7.1","2","5","10","10"
"1985","16-34 y.","middle vocational","7.79","8","1945","7.7","7.88","5","7","9","10"
"1985","16-34 y.","vocational + Abi","7.34","8","146","6.97","7.71","4","7","9","10"
"1985","35-65 y.","general elemantary","6.22","6","1499","6.09","6.35","3","5","8","10"
"1985","35-65 y.","higher education","7.32","8","462","7.14","7.5","5","6","9","10"
"1985","35-65 y.","higher vocational","6.65","7","343","6.39","6.91","3","5","8","10"
"1985","35-65 y.","in school","","","","","","","","",""
"1985","35-65 y.","inadequately","6.2","7","590","5.98","6.42","2","4","8","10"
"1985","35-65 y.","middle vocational","6.57","7","2713","6.48","6.66","4","5","8","10"
"1985","35-65 y.","vocational + Abi","6.52","7","111","6.04","7","2","5","8","10"
"1985","66 and older","general elemantary","5.32","5","424","5.07","5.57","2","4","7","9"
"1985","66 and older","higher education","6.88","7","55","6.22","7.54","3","5","9","10"
"1985","66 and older","higher vocational","5.43","5","80","4.86","6","2","4","8","9"
"1985","66 and older","in school","","","","","","","","",""
"1985","66 and older","inadequately","","","","","","","","",""
"1985","66 and older","middle vocational","5.59","6","518","5.35","5.83","2","4","8","10"
"1985","66 and older","vocational + Abi","","","","","","","","",""
"1986","16-34 y.","general elemantary","7.78","8","1125","7.66","7.9","5","7","9","10"
"1986","16-34 y.","higher education","7.79","8","228","7.54","8.04","5","7","9","10"
"1986","16-34 y.","higher vocational","7.53","8","190","7.24","7.82","5","7","9","10"
"1986","16-34 y.","in school","8.2","8.1","188","7.95","8.45","6","7","10","10"
"1986","16-34 y.","inadequately","6.66","7","233","6.32","7","3","5","9","10"
"1986","16-34 y.","middle vocational","7.7","8","1901","7.61","7.79","5","7","9","10"
"1986","16-34 y.","vocational + Abi","7.66","8","155","7.33","7.99","5","7","9","10"
"1986","35-65 y.","general elemantary","6.12","6","1393","5.99","6.25","3","5","8","9"
"1986","35-65 y.","higher education","7.07","8","469","6.88","7.26","4","6","9","10"
"1986","35-65 y.","higher vocational","6.66","7","318","6.41","6.91","3","5","8","9"
"1986","35-65 y.","in school","","","","","","","","",""
"1986","35-65 y.","inadequately","5.94","6","535","5.71","6.17","2","4","8","10"
"1986","35-65 y.","middle vocational","6.5","7","2624","6.41","6.59","3","5","8","10"
"1986","35-65 y.","vocational + Abi","6.52","6","103","6.1","6.94","4","5","8","9"
