"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","direct migration background","7.04","8","3410","3","5","10","10","6.95","7.13","8","8"
"1984","indirect migration background","6.8","7","128","3","5","9","10","6.39","7.21","8","9"
"1984","no migration background","6.79","7","8672","3","5","9","10","6.73","6.85","7","8"
"1985","direct migration background","6.89","7","2925","3","5","9","10","6.8","6.98","8","8"
"1985","indirect migration background","7.21","8","144","1","5","10","10","6.83","7.59","8","10"
"1985","no migration background","6.75","7","7963","3","5","9","10","6.7","6.8","7","7"
"1986","direct migration background","6.81","7","2848","3","5","9","10","6.72","6.9","7","8"
"1986","indirect migration background","6.66","8","155","2","5","9","10","6.3","7.02","8","9"
"1986","no migration background","6.71","7","7613","3","5","8","10","6.66","6.76","7","7"
"1987","direct migration background","6.85","7","2833","4","5","8","10","6.76","6.94","7","8"
"1987","indirect migration background","6.8","8","177","3","4","9","10","6.46","7.14","8","9"
"1987","no migration background","6.63","7","7485","3","5","8","10","6.58","6.68","7","7"
"1988","direct migration background","6.64","7","2684","3","5","8","10","6.55","6.73","7","8"
"1988","indirect migration background","7.13","8","222","4","5","9","10","6.86","7.4","8","9"
"1988","no migration background","6.54","7","7095","3","5","8","9","6.48","6.6","7","7"
"1989","direct migration background","6.53","7","2594","3","5","8","10","6.44","6.62","7","7"
"1989","indirect migration background","7.24","8","259","4","5","9","10","6.98","7.5","8","9"
"1989","no migration background","6.52","7","6829","3","5","8","10","6.46","6.58","7","7"
"1990","direct migration background","6.57","7","2686","3","5","8","10","6.48","6.66","7","7"
"1990","indirect migration background","7.41","8","296","5","6","9","10","7.19","7.63","8","9"
"1990","no migration background","6.56","7","10955","3","5","8","10","6.51","6.61","7","7"
"1991","direct migration background","6.6","7","2641","3","5","8","10","6.51","6.69","7","7"
"1991","indirect migration background","7.31","8","349","4","5","9","10","7.1","7.52","8","9"
"1991","no migration background","6.53","7","10652","3","5","8","9","6.49","6.57","7","7"
"1992","direct migration background","6.59","7","2563","3","5","8","10","6.5","6.68","7","7"
"1992","indirect migration background","7.73","8","408","5","7","9","10","7.54","7.92","8","9"
"1992","no migration background","6.61","7","10372","3","5","8","9","6.57","6.65","7","7"
"1993","direct migration background","6.45","7","2491","3","5","8","10","6.35","6.55","7","7"
"1993","indirect migration background","7.94","8","474","5","7","10","10","7.76","8.12","8","9"
"1993","no migration background","6.47","7","10180","3","5","8","9","6.43","6.51","7","7"
"1994","direct migration background","6.32","7","2365","3","5","8","9","6.22","6.42","7","7"
"1994","indirect migration background","7.46","8","493","4","6","9","10","7.27","7.65","8","8"
