"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","direct migration background","Female","6.86","7","1596","3","5","9","10","6.73","6.99","7","8"
"1984","direct migration background","Male","7.2","8","1814","3","5","10","10","7.08","7.32","8","8"
"1984","indirect migration background","Female","6.28","6.06","66","2","4","9","10","5.65","6.91","8","9"
"1984","indirect migration background","Male","7.6","8","62","5","5","9","10","7.08","8.12","8","10"
"1984","no migration background","Female","6.62","7","4561","3","5","9","10","6.54","6.7","7","7"
"1984","no migration background","Male","6.98","8","4111","3","5","9","10","6.9","7.06","8","8"
"1985","direct migration background","Female","6.64","7","1365","3","5","9","10","6.5","6.78","7","7"
"1985","direct migration background","Male","7.12","8","1560","4","5","9","10","7","7.24","8","8"
"1985","indirect migration background","Female","7.07","8","78","1","5","10","10","6.56","7.58","8","10"
"1985","indirect migration background","Male","7.42","8","66","5","6","9","10","6.84","8","8","9"
"1985","no migration background","Female","6.62","7","4162","3","5","9","10","6.54","6.7","7","7"
"1985","no migration background","Male","6.89","7","3801","3","5","9","10","6.81","6.97","7","8"
"1986","direct migration background","Female","6.49","7","1313","3","5","9","10","6.35","6.63","7","7"
"1986","direct migration background","Male","7.11","8","1535","4","6","9","10","6.99","7.23","8","8"
"1986","indirect migration background","Female","5.84","5.94","82","0","3","9","10","5.27","6.41","8","9"
"1986","indirect migration background","Male","7.82","8","73","6","7","10","10","7.41","8.23","8","9"
"1986","no migration background","Female","6.53","7","3966","3","5","8","10","6.45","6.61","7","7"
"1986","no migration background","Male","6.91","7","3647","4","5","9","10","6.83","6.99","7","8"
"1987","direct migration background","Female","6.67","7","1316","3","5","8","10","6.54","6.8","7","7"
"1987","direct migration background","Male","7.02","7","1517","4","5","9","10","6.9","7.14","8","8"
"1987","indirect migration background","Female","7.02","8","94","3","4","10","10","6.58","7.46","8","9"
"1987","indirect migration background","Male","6.48","7","83","3","4","9","10","5.94","7.02","8","9"
"1987","no migration background","Female","6.46","7","3888","3","5","8","10","6.38","6.54","7","7"
"1987","no migration background","Male","6.82","7","3597","4","5","8","10","6.75","6.89","7","8"
"1988","direct migration background","Female","6.47","7","1265","3","5","8","10","6.33","6.61","7","7"
"1988","direct migration background","Male","6.81","7","1419","4","5","8","10","6.69","6.93","7","8"
"1988","indirect migration background","Female","6.9","8","116","4","5","9","10","6.5","7.3","8","9"
"1988","indirect migration background","Male","7.41","7","106","5","6","9","10","7.06","7.76","8","9"
"1988","no migration background","Female","6.43","7","3678","3","5","8","9","6.35","6.51","7","7"
"1988","no migration background","Male","6.66","7","3417","3","5","8","9","6.58","6.74","7","7"
"1989","direct migration background","Female","6.27","7","1242","3","5","8","9","6.13","6.41","7","7"
"1989","direct migration background","Male","6.79","7","1352","3","5","8","10","6.66","6.92","7","8"
"1989","indirect migration background","Female","7.02","8","136","4","5","9","10","6.62","7.42","8","9"
"1989","indirect migration background","Male","7.5","8","123","4","6","10","10","7.17","7.83","8","9"
"1989","no migration background","Female","6.35","7","3533","3","5","8","10","6.27","6.43","7","7"
"1989","no migration background","Male","6.7","7","3296","3","5","8","10","6.62","6.78","7","7"
"1990","direct migration background","Female","6.38","7","1283","3","5","8","10","6.25","6.51","7","7"
"1990","direct migration background","Male","6.76","7","1403","4","5","8","10","6.64","6.88","7","8"
"1990","indirect migration background","Female","7.3","8","151","4","6","9","10","6.97","7.63","8","9"
"1990","indirect migration background","Male","7.53","8","145","5","6","9","10","7.24","7.82","8","9"
"1990","no migration background","Female","6.39","7","5714","3","5","8","9","6.33","6.45","7","7"
"1990","no migration background","Male","6.75","7","5241","3","5","8","10","6.69","6.81","7","7"
"1991","direct migration background","Female","6.43","7","1266","3","5","8","9","6.3","6.56","7","7"
"1991","direct migration background","Male","6.78","7","1375","3","5","8","10","6.66","6.9","7","8"
"1991","indirect migration background","Female","7.14","7.57","176","4","5","9","10","6.84","7.44","8","9"
"1991","indirect migration background","Male","7.5","8","173","4","6","9","10","7.2","7.8","8","9"
"1991","no migration background","Female","6.36","7","5553","3","5","8","9","6.3","6.42","7","7"
"1991","no migration background","Male","6.71","7","5099","3","5","8","9","6.65","6.77","7","7"
"1992","direct migration background","Female","6.42","7","1233","3","5","8","9","6.29","6.55","7","7"
"1992","direct migration background","Male","6.76","7","1330","4","5","8","10","6.63","6.89","7","8"
"1992","indirect migration background","Female","7.39","8","203","4","6","9","10","7.09","7.69","8","8"
"1992","indirect migration background","Male","8.09","9","205","5","7","10","10","7.85","8.33","8","9"
"1992","no migration background","Female","6.43","7","5442","3","5","8","9","6.37","6.49","7","7"
"1992","no migration background","Male","6.81","7","4930","3","5","8","10","6.75","6.87","7","8"
"1993","direct migration background","Female","6.31","7","1198","3","5","8","10","6.17","6.45","6","7"
"1993","direct migration background","Male","6.59","7","1293","3","5","8","10","6.46","6.72","7","7"
"1993","indirect migration background","Female","7.95","8","235","5","7","10","10","7.69","8.21","8","8"
"1993","indirect migration background","Male","7.93","8","239","5","7","10","10","7.69","8.17","8","9"
"1993","no migration background","Female","6.32","7","5332","3","5","8","9","6.26","6.38","7","7"
"1993","no migration background","Male","6.64","7","4848","3","5","8","9","6.58","6.7","7","7"
"1994","direct migration background","Female","6.19","7","1149","3","5","8","9","6.05","6.33","7","7"
"1994","direct migration background","Male","6.44","7","1216","3","5","8","9","6.3","6.58","7","7"
"1994","indirect migration background","Female","7.22","8","246","4","6","9","10","6.93","7.51","8","8"
"1994","indirect migration background","Male","7.7","8","247","5","7","9","10","7.47","7.93","8","9"
"1994","no migration background","Female","6.21","7","5287","3","5","8","9","6.15","6.27","7","7"
"1994","no migration background","Male","6.56","7","4765","3","5","8","9","6.5","6.62","7","7"
"1995","direct migration background","Female","6.48","7","1383","3","5","8","9","6.36","6.6","7","7"
"1995","direct migration background","Male","6.77","7","1417","3","5","8","10","6.65","6.89","7","8"
"1995","indirect migration background","Female","7.39","8","256","4","5","9","10","7.11","7.67","8","8"
"1995","indirect migration background","Male","7.65","8","253","5","7","9","10","7.42","7.88","8","8"
"1995","no migration background","Female","6.22","7","5265","3","5","8","9","6.16","6.28","7","7"
"1995","no migration background","Male","6.57","7","4741","3","5","8","9","6.51","6.63","7","7"
"1996","direct migration background","Female","6.36","7","1301","3","5","8","9","6.24","6.48","7","7"
"1996","direct migration background","Male","6.39","7","1314","3","5","8","9","6.26","6.52","7","7"
"1996","indirect migration background","Female","7.38","8","280","5","6","9","10","7.13","7.63","8","8"
"1996","indirect migration background","Male","7.41","8","269","3","6","9","10","7.17","7.65","8","9"
"1996","no migration background","Female","6.28","7","5221","3","5","8","9","6.22","6.34","7","7"
"1996","no migration background","Male","6.56","7","4726","3","5","8","9","6.5","6.62","7","7"
"1997","direct migration background","Female","6.41","7","1232","3","5","8","9","6.28","6.54","7","7"
"1997","direct migration background","Male","6.53","7","1254","3","5","8","10","6.4","6.66","7","7"
"1997","indirect migration background","Female","7.68","8","280","5","7","9","10","7.43","7.93","8","8"
"1997","indirect migration background","Male","7.91","8","293","5","7","10","10","7.71","8.11","8","9"
"1997","no migration background","Female","6.26","7","5151","3","5","8","9","6.2","6.32","7","7"
"1997","no migration background","Male","6.5","7","4672","3","5","8","9","6.44","6.56","7","7"
"1998","direct migration background","Female","6.35","7","1193","3","5","8","9","6.22","6.48","7","7"
"1998","direct migration background","Male","6.65","7","1220","3","5","8","9","6.52","6.78","7","7"
"1998","indirect migration background","Female","7.49","8","293","5","6","9","10","7.26","7.72","8","8"
"1998","indirect migration background","Male","7.91","8","309","5","7","10","10","7.7","8.12","8","8"
"1998","no migration background","Female","6.37","7","5897","3","5","8","9","6.31","6.43","7","7"
"1998","no migration background","Male","6.64","7","5362","3","5","8","9","6.58","6.7","7","7"
"1999","direct migration background","Female","6.39","7","1100","3","5","8","9","6.26","6.52","7","7"
"1999","direct migration background","Male","6.54","7","1113","3","5","8","10","6.4","6.68","7","7"
"1999","indirect migration background","Female","7.36","8","300","4","6","9","10","7.12","7.6","8","8"
"1999","indirect migration background","Male","7.75","8","310","5","7","9","10","7.54","7.96","8","8"
"1999","no migration background","Female","6.32","7","5697","3","5","8","9","6.26","6.38","7","7"
"1999","no migration background","Male","6.59","7","5208","3","5","8","9","6.53","6.65","7","7"
"2000","direct migration background","Female","6.56","7","1697","3","5","8","10","6.45","6.67","7","7"
"2000","direct migration background","Male","6.86","7","1640","3","5","9","10","6.75","6.97","7","8"
"2000","indirect migration background","Female","7.74","8","419","5","7","9","10","7.54","7.94","8","8"
"2000","indirect migration background","Male","7.82","8","411","5","7","9","10","7.64","8","8","8"
"2000","no migration background","Female","6.54","7","10469","3","5","8","9","6.5","6.58","7","7"
"2000","no migration background","Male","6.76","7","9588","4","5","8","9","6.72","6.8","7","7"
"2001","direct migration background","Female","6.69","7","1497","4","5","8","9","6.58","6.8","7","7"
"2001","direct migration background","Male","6.81","7","1439","3","5","8","10","6.69","6.93","7","7"
"2001","indirect migration background","Female","7.66","8","396","5","7","9","10","7.45","7.87","8","8"
"2001","indirect migration background","Male","7.81","8","380","5","7","9","10","7.62","8","8","8"
"2001","no migration background","Female","6.53","7","9545","3","5","8","9","6.48","6.58","7","7"
"2001","no migration background","Male","6.76","7","8726","4","5","8","9","6.71","6.81","7","7"
"2002","direct migration background","Female","6.4","7","1445","3","5","8","9","6.28","6.52","7","7"
"2002","direct migration background","Male","6.64","7","1366","3","5","8","9","6.52","6.76","7","7"
"2002","indirect migration background","Female","7.32","8","409","5","6","9","10","7.12","7.52","8","8"
"2002","indirect migration background","Male","7.37","8","372","4","6","9","10","7.17","7.57","8","8"
"2002","no migration background","Female","6.46","7","10100","3","5","8","9","6.42","6.5","7","7"
"2002","no migration background","Male","6.69","7","9411","3","5","8","9","6.65","6.73","7","7"
"2003","direct migration background","Female","6.55","7","1370","3","5","8","10","6.43","6.67","7","7"
"2003","direct migration background","Male","6.71","7","1269","4","5","8","9","6.58","6.84","7","7"
"2003","indirect migration background","Female","7.16","8","415","4","6","9","9","6.96","7.36","8","8"
"2003","indirect migration background","Male","7.46","8","375","5","6","9","10","7.27","7.65","8","8"
"2003","no migration background","Female","6.42","7","9760","3","5","8","9","6.38","6.46","7","7"
"2003","no migration background","Male","6.68","7","9068","3","5","8","9","6.64","6.72","7","7"
"2004","direct migration background","Female","6.37","7","1325","3","5","8","9","6.25","6.49","7","7"
"2004","direct migration background","Male","6.61","7","1218","3","5","8","10","6.48","6.74","7","7"
"2004","indirect migration background","Female","7.12","8","418","5","5","9","10","6.92","7.32","8","8"
"2004","indirect migration background","Male","7.45","8","387","4","7","9","10","7.26","7.64","8","8"
"2004","no migration background","Female","6.28","7","9518","3","5","8","9","6.23","6.33","7","7"
"2004","no migration background","Male","6.51","7","8788","3","5","8","9","6.46","6.56","7","7"
"2005","direct migration background","Female","6.39","7","1257","3","5","8","9","6.26","6.52","7","7"
"2005","direct migration background","Male","6.43","7","1124","3","5","8","10","6.29","6.57","7","7"
"2005","indirect migration background","Female","7.43","8","427","5","6","9","10","7.24","7.62","8","8"
"2005","indirect migration background","Male","7.53","8","404","4","6","9","10","7.34","7.72","8","8"
"2005","no migration background","Female","6.37","7","9146","3","5","8","9","6.32","6.42","7","7"
"2005","no migration background","Male","6.55","7","8390","3","5","8","9","6.5","6.6","7","7"
"2006","direct migration background","Female","6.4","7","1280","3","5","8","9","6.27","6.53","7","7"
"2006","direct migration background","Male","6.52","7","1103","3","5","8","10","6.38","6.66","7","7"
"2006","indirect migration background","Female","7.26","8","428","4","6","9","10","7.06","7.46","8","8"
"2006","indirect migration background","Male","7.4","8","396","4","7","9","10","7.21","7.59","8","8"
"2006","no migration background","Female","6.4","7","9818","3","5","8","9","6.36","6.44","7","7"
"2006","no migration background","Male","6.52","7","9002","3","5","8","9","6.47","6.57","7","7"
"2007","direct migration background","Female","6.21","7","1148","3","5","8","9","6.08","6.34","7","7"
"2007","direct migration background","Male","6.46","7","984","3","5","8","9","6.32","6.6","7","7"
"2007","indirect migration background","Female","7.31","8","414","5","6","9","10","7.11","7.51","8","8"
"2007","indirect migration background","Male","7.48","8","370","5","7","9","10","7.29","7.67","8","8"
"2007","no migration background","Female","6.38","7","9219","3","5","8","9","6.33","6.43","7","7"
"2007","no migration background","Male","6.52","7","8445","3","5","8","9","6.47","6.57","7","7"
"2008","direct migration background","Female","6.26","7","1030","3","5","8","9","6.12","6.4","7","7"
"2008","direct migration background","Male","6.33","7","885","3","5","8","9","6.17","6.49","7","7"
"2008","indirect migration background","Female","7.08","8","401","4","5","9","10","6.87","7.29","8","8"
"2008","indirect migration background","Male","7.41","8","372","5","6","9","10","7.21","7.61","8","8"
"2008","no migration background","Female","6.38","7","8733","3","5","8","9","6.33","6.43","7","7"
"2008","no migration background","Male","6.5","7","7982","3","5","8","9","6.45","6.55","7","7"
"2009","direct migration background","Female","6.21","7","905","3","5","8","9","6.06","6.36","6","7"
"2009","direct migration background","Male","6.36","7","762","3","5","8","9","6.2","6.52","7","7"
"2009","indirect migration background","Female","7.16","8","370","4","6","9","10","6.94","7.38","8","8"
"2009","indirect migration background","Male","7.42","8","345","4","6","9","10","7.22","7.62","8","8"
"2009","no migration background","Female","6.35","7","8186","3","5","8","9","6.3","6.4","7","7"
"2009","no migration background","Male","6.41","7","7527","3","5","8","9","6.36","6.46","7","7"
"2010","direct migration background","Female","6.48","7","1606","3","5","8","9","6.37","6.59","7","7"
"2010","direct migration background","Male","6.73","7","1299","4","5","8","10","6.61","6.85","7","8"
"2010","indirect migration background","Female","7.17","8","633","4","5","9","10","7","7.34","8","8"
"2010","indirect migration background","Male","7.71","8","514","5","7","9","10","7.54","7.88","8","8"
"2010","no migration background","Female","6.37","7","10853","3","5","8","9","6.33","6.41","7","7"
"2010","no migration background","Male","6.47","7","9125","3","5","8","9","6.42","6.52","7","7"
"2011","direct migration background","Female","6.45","7","1619","3","5","8","9","6.34","6.56","7","7"
"2011","direct migration background","Male","6.66","7","1291","3","5","8","9","6.53","6.79","7","7"
"2011","indirect migration background","Female","7.18","8","678","4","6","9","10","7.01","7.35","8","8"
"2011","indirect migration background","Male","7.54","8","541","5","7","9","10","7.38","7.7","8","8"
"2011","no migration background","Female","6.35","7","11914","3","5","8","9","6.31","6.39","7","7"
"2011","no migration background","Male","6.55","7","9843","3","5","8","9","6.51","6.59","7","7"
"2012","direct migration background","Female","6.56","7","1614","3","5","8","9","6.45","6.67","7","7"
"2012","direct migration background","Male","6.83","7","1295","4","5","8","9","6.71","6.95","7","8"
