"plh0183","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","1-pers.-HH","in school","","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","inadequately","","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","general elemantary","1","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","middle vocational","2","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","higher vocational","2","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","higher education","1","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","in school","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","inadequately","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","general elemantary","4","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","middle vocational","7","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","higher vocational","2","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","higher education","2","","","","0"
"0 Completely dissatisfied","1990","Single parent ","in school","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","inadequately","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","general elemantary","1","","","","0"
"0 Completely dissatisfied","1990","Single parent ","middle vocational","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","higher vocational","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","higher education","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","in school","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","inadequately","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","general elemantary","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","middle vocational","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","higher vocational","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","higher education","4","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","in school","1","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","inadequately","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","general elemantary","","","","","0"
