"plh0183","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","Full Time","in school","","","","","0"
"0 Completely dissatisfied","1991","Full Time","inadequately","1","","","","0"
"0 Completely dissatisfied","1991","Full Time","general elemantary","4","","","","0"
"0 Completely dissatisfied","1991","Full Time","middle vocational","5","","","","0"
"0 Completely dissatisfied","1991","Full Time","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1991","Full Time","higher vocational","","","","","0"
"0 Completely dissatisfied","1991","Full Time","higher education","1","","","","0"
"0 Completely dissatisfied","1991","Part Time","in school","","","","","0"
"0 Completely dissatisfied","1991","Part Time","inadequately","","","","","0"
"0 Completely dissatisfied","1991","Part Time","general elemantary","1","","","","0"
"0 Completely dissatisfied","1991","Part Time","middle vocational","2","","","","0"
"0 Completely dissatisfied","1991","Part Time","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1991","Part Time","higher vocational","1","","","","0"
"0 Completely dissatisfied","1991","Part Time","higher education","","","","","0"
"0 Completely dissatisfied","1991","Not Working","in school","","","","","0"
"0 Completely dissatisfied","1991","Not Working","inadequately","","","","","0"
"0 Completely dissatisfied","1991","Not Working","general elemantary","8","","","","0"
"0 Completely dissatisfied","1991","Not Working","middle vocational","7","","","","0"
"0 Completely dissatisfied","1991","Not Working","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1991","Not Working","higher vocational","1","","","","0"
"0 Completely dissatisfied","1991","Not Working","higher education","","","","","0"
"1 on Scale 1 to 10","1991","Not Working","middle vocational","10","","","","1"
"1 on Scale 1 to 10","1991","Not Working","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1991","Not Working","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1991","Not Working","higher education","1","","","","1"
"1 on Scale 1 to 10","1991","Full Time","general elemantary","2","","","","1"
"1 on Scale 1 to 10","1991","Full Time","middle vocational","3","","","","1"
"1 on Scale 1 to 10","1991","Full Time","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1991","Part Time","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1991","Part Time","higher vocational","","","","","1"
"1 on Scale 1 to 10","1991","Part Time","higher education","","","","","1"
"1 on Scale 1 to 10","1991","Not Working","in school","","","","","1"
"1 on Scale 1 to 10","1991","Not Working","inadequately","1","","","","1"
