"plh0183","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","16-34 y.","in school","1","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","inadequately","","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","general elemantary","1","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","middle vocational","3","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","higher vocational","","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","higher education","2","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","in school","","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","inadequately","","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","general elemantary","3","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","middle vocational","9","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","higher vocational","1","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","higher education","3","","","","0"
"0 Completely dissatisfied","1990","66 and older","in school","","","","","0"
"0 Completely dissatisfied","1990","66 and older","inadequately","","","","","0"
"0 Completely dissatisfied","1990","66 and older","general elemantary","2","","","","0"
"0 Completely dissatisfied","1990","66 and older","middle vocational","3","","","","0"
"0 Completely dissatisfied","1990","66 and older","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1990","66 and older","higher vocational","3","","","","0"
"0 Completely dissatisfied","1990","66 and older","higher education","2","","","","0"
"1 on Scale 1 to 10","1990","66 and older","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","higher vocational","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","higher education","1","","","","1"
"1 on Scale 1 to 10","1990","66 and older","middle vocational","","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","general elemantary","1","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","middle vocational","2","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","higher education","1","","","","1"
"1 on Scale 1 to 10","1990","66 and older","in school","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","inadequately","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","general elemantary","2","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","in school","","","","","1"
