"plh0183","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","Full Time","1-pers.-HH","6","","","","0"
"0 Completely dissatisfied","1991","Full Time","(Married) couple without C. ","","","","","0"
"0 Completely dissatisfied","1991","Full Time","Single parent ","1","","","","0"
"0 Completely dissatisfied","1991","Full Time","Couple + C. LE 16 ","2","","","","0"
"0 Completely dissatisfied","1991","Full Time","Couple + C. GT 16 ","1","","","","0"
"0 Completely dissatisfied","1991","Full Time","Couple + C. LE and GT 16","","","","","0"
"0 Completely dissatisfied","1991","Part Time","1-pers.-HH","","","","","0"
"0 Completely dissatisfied","1991","Part Time","(Married) couple without C. ","","","","","0"
"0 Completely dissatisfied","1991","Part Time","Single parent ","","","","","0"
"0 Completely dissatisfied","1991","Part Time","Couple + C. LE 16 ","3","","","","0"
"0 Completely dissatisfied","1991","Part Time","Couple + C. GT 16 ","1","","","","0"
"0 Completely dissatisfied","1991","Part Time","Couple + C. LE and GT 16","","","","","0"
"0 Completely dissatisfied","1991","Not Working","1-pers.-HH","7","","","","0"
"0 Completely dissatisfied","1991","Not Working","(Married) couple without C. ","5","","","","0"
"0 Completely dissatisfied","1991","Not Working","Single parent ","","","","","0"
"0 Completely dissatisfied","1991","Not Working","Couple + C. LE 16 ","","","","","0"
"0 Completely dissatisfied","1991","Not Working","Couple + C. GT 16 ","3","","","","0"
"0 Completely dissatisfied","1991","Not Working","Couple + C. LE and GT 16","","","","","0"
"1 on Scale 1 to 10","1991","Full Time","1-pers.-HH","1","","","","1"
"1 on Scale 1 to 10","1991","Full Time","(Married) couple without C. ","","","","","1"
"1 on Scale 1 to 10","1991","Full Time","Couple + C. GT 16 ","2","","","","1"
"1 on Scale 1 to 10","1991","Full Time","Single parent ","2","","","","1"
"1 on Scale 1 to 10","1991","Full Time","Couple + C. LE 16 ","","","","","1"
"1 on Scale 1 to 10","1991","Full Time","Couple + C. LE and GT 16","1","","","","1"
"1 on Scale 1 to 10","1991","Part Time","1-pers.-HH","2","","","","1"
"1 on Scale 1 to 10","1991","Part Time","(Married) couple without C. ","1","","","","1"
"1 on Scale 1 to 10","1991","Part Time","Single parent ","1","","","","1"
"1 on Scale 1 to 10","1991","Part Time","Couple + C. LE 16 ","1","","","","1"
"1 on Scale 1 to 10","1991","Part Time","Couple + C. GT 16 ","2","","","","1"
"1 on Scale 1 to 10","1991","Part Time","Couple + C. LE and GT 16","","","","","1"
"1 on Scale 1 to 10","1991","Not Working","1-pers.-HH","9","","","","1"
"1 on Scale 1 to 10","1991","Not Working","(Married) couple without C. ","8","","","","1"
"1 on Scale 1 to 10","1991","Not Working","Single parent ","","","","","1"
"1 on Scale 1 to 10","1991","Not Working","Couple + C. LE 16 ","2","","","","1"
"1 on Scale 1 to 10","1991","Not Working","Couple + C. LE and GT 16","","","","","1"
"1 on Scale 1 to 10","1991","Not Working","Couple + C. GT 16 ","1","","","","1"
"10 Completely satisfied","1991","Full Time","Couple + C. LE and GT 16","39","0.08363400010879","0.0571896461746441","0.110078354042936","10"
"10 Completely satisfied","1991","Not Working","Couple + C. LE and GT 16","28","","","","10"
"10 Completely satisfied","1991","Part Time","1-pers.-HH","6","","","","10"
"10 Completely satisfied","1991","Part Time","Couple + C. LE 16 ","46","0.0742323221058504","0.0513910460519448","0.097073598159756","10"
"10 Completely satisfied","1991","Not Working","Couple + C. GT 16 ","50","0.0713492351540376","0.0512171323008429","0.0914813380072322","10"
"10 Completely satisfied","1991","Part Time","(Married) couple without C. ","30","0.0949812708139825","0.0615244358167107","0.128438105811254","10"
"10 Completely satisfied","1991","Part Time","Single parent ","6","","","","10"
"10 Completely satisfied","1991","Full Time","1-pers.-HH","36","0.0642138977399778","0.0414126077771906","0.0870151877027649","10"
"10 Completely satisfied","1991","Full Time","(Married) couple without C. ","103","0.0930862853754694","0.0753935880451073","0.110778982705832","10"
"10 Completely satisfied","1991","Full Time","Single parent ","17","","","","10"
"10 Completely satisfied","1991","Full Time","Couple + C. LE 16 ","88","0.0784519656680646","0.0623411656979411","0.094562765638188","10"
"10 Completely satisfied","1991","Full Time","Couple + C. GT 16 ","66","0.0681838361797431","0.0517617004504394","0.0846059719090467","10"
"10 Completely satisfied","1991","Part Time","Couple + C. GT 16 ","30","0.0737435768605237","0.0480671687031798","0.0994199850178675","10"
"10 Completely satisfied","1991","Part Time","Couple + C. LE and GT 16","18","","","","10"
"10 Completely satisfied","1991","Not Working","1-pers.-HH","23","","","","10"
"10 Completely satisfied","1991","Not Working","(Married) couple without C. ","109","0.113206934710462","0.0927773393353893","0.133636530085534","10"
"10 Completely satisfied","1991","Not Working","Single parent ","10","","","","10"
"10 Completely satisfied","1991","Not Working","Couple + C. LE 16 ","37","0.0632726491424991","0.0415160924632721","0.0850292058217261","10"
"2 on Scale 1 to 10","1991","Full Time","1-pers.-HH","5","","","","2"
"2 on Scale 1 to 10","1991","Full Time","(Married) couple without C. ","4","","","","2"
"2 on Scale 1 to 10","1991","Full Time","Single parent ","","","","","2"
"2 on Scale 1 to 10","1991","Full Time","Couple + C. LE 16 ","1","","","","2"
"2 on Scale 1 to 10","1991","Full Time","Couple + C. GT 16 ","5","","","","2"
"2 on Scale 1 to 10","1991","Full Time","Couple + C. LE and GT 16","1","","","","2"
"2 on Scale 1 to 10","1991","Part Time","1-pers.-HH","1","","","","2"
"2 on Scale 1 to 10","1991","Part Time","(Married) couple without C. ","4","","","","2"
"2 on Scale 1 to 10","1991","Part Time","Single parent ","2","","","","2"
"2 on Scale 1 to 10","1991","Part Time","Couple + C. LE 16 ","1","","","","2"
"2 on Scale 1 to 10","1991","Part Time","Couple + C. GT 16 ","3","","","","2"
"2 on Scale 1 to 10","1991","Part Time","Couple + C. LE and GT 16","","","","","2"
"2 on Scale 1 to 10","1991","Not Working","Couple + C. GT 16 ","10","","","","2"
"2 on Scale 1 to 10","1991","Not Working","Couple + C. LE and GT 16","","","","","2"
"2 on Scale 1 to 10","1991","Not Working","Single parent ","6","","","","2"
"2 on Scale 1 to 10","1991","Not Working","Couple + C. LE 16 ","2","","","","2"
"2 on Scale 1 to 10","1991","Not Working","(Married) couple without C. ","17","","","","2"
"2 on Scale 1 to 10","1991","Not Working","1-pers.-HH","10","","","","2"
"3 on Scale 1 to 10","1991","Full Time","1-pers.-HH","8","","","","3"
"3 on Scale 1 to 10","1991","Full Time","(Married) couple without C. ","17","","","","3"
"3 on Scale 1 to 10","1991","Full Time","Single parent ","1","","","","3"
"3 on Scale 1 to 10","1991","Full Time","Couple + C. LE 16 ","10","","","","3"
"3 on Scale 1 to 10","1991","Full Time","Couple + C. GT 16 ","15","","","","3"
"3 on Scale 1 to 10","1991","Full Time","Couple + C. LE and GT 16","10","","","","3"
"3 on Scale 1 to 10","1991","Part Time","1-pers.-HH","5","","","","3"
"3 on Scale 1 to 10","1991","Part Time","(Married) couple without C. ","4","","","","3"
"3 on Scale 1 to 10","1991","Part Time","Single parent ","2","","","","3"
"3 on Scale 1 to 10","1991","Part Time","Couple + C. LE 16 ","11","","","","3"
"3 on Scale 1 to 10","1991","Part Time","Couple + C. GT 16 ","10","","","","3"
"3 on Scale 1 to 10","1991","Part Time","Couple + C. LE and GT 16","4","","","","3"
"3 on Scale 1 to 10","1991","Not Working","Single parent ","5","","","","3"
"3 on Scale 1 to 10","1991","Not Working","(Married) couple without C. ","36","0.0428545812223003","0.0297958887153647","0.0559132737292359","3"
"3 on Scale 1 to 10","1991","Not Working","Couple + C. LE and GT 16","8","","","","3"
"3 on Scale 1 to 10","1991","Not Working","1-pers.-HH","21","","","","3"
"3 on Scale 1 to 10","1991","Not Working","Couple + C. GT 16 ","12","","","","3"
"3 on Scale 1 to 10","1991","Not Working","Couple + C. LE 16 ","8","","","","3"
"4 on Scale 1 to 10","1991","Full Time","1-pers.-HH","14","","","","4"
"4 on Scale 1 to 10","1991","Full Time","(Married) couple without C. ","20","","","","4"
"4 on Scale 1 to 10","1991","Full Time","Single parent ","5","","","","4"
"4 on Scale 1 to 10","1991","Full Time","Couple + C. LE 16 ","26","","","","4"
"4 on Scale 1 to 10","1991","Full Time","Couple + C. GT 16 ","32","0.0403769524107579","0.0275524387527845","0.0532014660687313","4"
"4 on Scale 1 to 10","1991","Full Time","Couple + C. LE and GT 16","9","","","","4"
"4 on Scale 1 to 10","1991","Part Time","1-pers.-HH","4","","","","4"
"4 on Scale 1 to 10","1991","Part Time","(Married) couple without C. ","10","","","","4"
"4 on Scale 1 to 10","1991","Part Time","Single parent ","6","","","","4"
"4 on Scale 1 to 10","1991","Part Time","Couple + C. LE 16 ","14","","","","4"
"4 on Scale 1 to 10","1991","Part Time","Couple + C. GT 16 ","10","","","","4"
"4 on Scale 1 to 10","1991","Part Time","Couple + C. LE and GT 16","4","","","","4"
"4 on Scale 1 to 10","1991","Not Working","1-pers.-HH","25","","","","4"
"4 on Scale 1 to 10","1991","Not Working","(Married) couple without C. ","43","0.0510649864950928","0.0368714064344047","0.0652585665557808","4"
