"plh0183","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","Schleswig-Holstein","Male","","","","","0"
"0 Completely dissatisfied","1990","Schleswig-Holstein","Female","","","","","0"
"0 Completely dissatisfied","1990","Hamburg","Male","","","","","0"
"0 Completely dissatisfied","1990","Hamburg","Female","","","","","0"
"0 Completely dissatisfied","1990","Lower Saxony","Male","","","","","0"
"0 Completely dissatisfied","1990","Lower Saxony","Female","","","","","0"
"0 Completely dissatisfied","1990","Bremen","Male","","","","","0"
"0 Completely dissatisfied","1990","Bremen","Female","","","","","0"
"0 Completely dissatisfied","1990","North Rhine-Westphalia","Male","","","","","0"
"0 Completely dissatisfied","1990","North Rhine-Westphalia","Female","","","","","0"
"0 Completely dissatisfied","1990","Hesse","Male","","","","","0"
"0 Completely dissatisfied","1990","Hesse","Female","","","","","0"
"0 Completely dissatisfied","1990","Rhineland-Palatinate,Saarland","Male","","","","","0"
"0 Completely dissatisfied","1990","Rhineland-Palatinate,Saarland","Female","","","","","0"
"0 Completely dissatisfied","1990","Baden-Württemberg","Male","","","","","0"
"0 Completely dissatisfied","1990","Baden-Württemberg","Female","","","","","0"
"0 Completely dissatisfied","1990","Bavaria","Male","","","","","0"
"0 Completely dissatisfied","1990","Bavaria","Female","","","","","0"
"0 Completely dissatisfied","1990","Berlin","Male","1","","","","0"
"0 Completely dissatisfied","1990","Berlin","Female","5","","","","0"
"0 Completely dissatisfied","1990","Brandenburg","Male","5","","","","0"
"0 Completely dissatisfied","1990","Brandenburg","Female","3","","","","0"
"0 Completely dissatisfied","1990","Mecklenburg-Western Pomerania","Male","3","","","","0"
"0 Completely dissatisfied","1990","Mecklenburg-Western Pomerania","Female","4","","","","0"
"0 Completely dissatisfied","1990","Saxony","Male","3","","","","0"
"0 Completely dissatisfied","1990","Saxony","Female","2","","","","0"
"0 Completely dissatisfied","1990","Saxony-Anhalt","Male","","","","","0"
"0 Completely dissatisfied","1990","Saxony-Anhalt","Female","3","","","","0"
"0 Completely dissatisfied","1990","Thuringia","Male","2","","","","0"
"0 Completely dissatisfied","1990","Thuringia","Female","2","","","","0"
"1 on Scale 1 to 10","1990","Hesse","Male","","","","","1"
"1 on Scale 1 to 10","1990","North Rhine-Westphalia","Male","","","","","1"
"1 on Scale 1 to 10","1990","Hamburg","Female","","","","","1"
"1 on Scale 1 to 10","1990","Brandenburg","Female","2","","","","1"
"1 on Scale 1 to 10","1990","North Rhine-Westphalia","Female","","","","","1"
"1 on Scale 1 to 10","1990","Bremen","Male","","","","","1"
"1 on Scale 1 to 10","1990","Lower Saxony","Male","","","","","1"
"1 on Scale 1 to 10","1990","Bremen","Female","","","","","1"
"1 on Scale 1 to 10","1990","Hesse","Female","","","","","1"
"1 on Scale 1 to 10","1990","Lower Saxony","Female","","","","","1"
"1 on Scale 1 to 10","1990","Mecklenburg-Western Pomerania","Male","","","","","1"
"1 on Scale 1 to 10","1990","Saxony","Male","1","","","","1"
"1 on Scale 1 to 10","1990","Mecklenburg-Western Pomerania","Female","2","","","","1"
"1 on Scale 1 to 10","1990","Schleswig-Holstein","Male","","","","","1"
"1 on Scale 1 to 10","1990","Schleswig-Holstein","Female","","","","","1"
"1 on Scale 1 to 10","1990","Hamburg","Male","","","","","1"
"1 on Scale 1 to 10","1990","Bavaria","Male","","","","","1"
"1 on Scale 1 to 10","1990","Bavaria","Female","","","","","1"
"1 on Scale 1 to 10","1990","Berlin","Male","1","","","","1"
"1 on Scale 1 to 10","1990","Berlin","Female","","","","","1"
"1 on Scale 1 to 10","1990","Brandenburg","Male","","","","","1"
"1 on Scale 1 to 10","1990","Saxony","Female","2","","","","1"
"1 on Scale 1 to 10","1990","Saxony-Anhalt","Male","1","","","","1"
