"plh0183","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","in school","Urban Area","1","","","","0"
"0 Completely dissatisfied","1990","in school","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","inadequately","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","inadequately","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","general elemantary","Urban Area","2","","","","0"
"0 Completely dissatisfied","1990","general elemantary","Rural Area","4","","","","0"
"0 Completely dissatisfied","1990","middle vocational","Urban Area","4","","","","0"
"0 Completely dissatisfied","1990","middle vocational","Rural Area","11","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","higher vocational","Urban Area","2","","","","0"
"0 Completely dissatisfied","1990","higher vocational","Rural Area","2","","","","0"
"0 Completely dissatisfied","1990","higher education","Urban Area","5","","","","0"
"0 Completely dissatisfied","1990","higher education","Rural Area","2","","","","0"
"1 on Scale 1 to 10","1990","higher vocational","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","in school","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","higher education","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","in school","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1990","higher education","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Rural Area","","","","","1"
"10 Completely satisfied","1990","general elemantary","Rural Area","59","0.169843707691821","0.130278385686758","0.209409029696884","10"
"10 Completely satisfied","1990","in school","Rural Area","6","","","","10"
"10 Completely satisfied","1990","middle vocational","Urban Area","118","0.151704444695014","0.1272402561231","0.176168633266928","10"
"10 Completely satisfied","1990","in school","Urban Area","1","","","","10"
"10 Completely satisfied","1990","inadequately","Urban Area","3","","","","10"
"10 Completely satisfied","1990","general elemantary","Urban Area","21","","","","10"
"10 Completely satisfied","1990","vocational + Abi","Urban Area","2","","","","10"
"10 Completely satisfied","1990","vocational + Abi","Rural Area","2","","","","10"
