"plh0183","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","Full Time","Male","6","","","","0"
"0 Completely dissatisfied","1991","Full Time","Female","5","","","","0"
"0 Completely dissatisfied","1991","Part Time","Male","1","","","","0"
"0 Completely dissatisfied","1991","Part Time","Female","3","","","","0"
"0 Completely dissatisfied","1991","Not Working","Male","5","","","","0"
"0 Completely dissatisfied","1991","Not Working","Female","12","","","","0"
"1 on Scale 1 to 10","1991","Full Time","Male","3","","","","1"
"1 on Scale 1 to 10","1991","Part Time","Male","3","","","","1"
"1 on Scale 1 to 10","1991","Part Time","Female","4","","","","1"
"1 on Scale 1 to 10","1991","Full Time","Female","4","","","","1"
"1 on Scale 1 to 10","1991","Not Working","Male","7","","","","1"
"1 on Scale 1 to 10","1991","Not Working","Female","14","","","","1"
"10 Completely satisfied","1991","Full Time","Male","248","0.0720455140860446","0.0628435889433731","0.0812474392287162","10"
"10 Completely satisfied","1991","Full Time","Female","120","0.0893038975133358","0.0738784535078585","0.104729341518813","10"
"10 Completely satisfied","1991","Part Time","Female","89","0.0633000853202132","0.0495343870760274","0.0770657835643991","10"
"10 Completely satisfied","1991","Part Time","Male","58","0.0965533381924252","0.071241006543762","0.121865669841088","10"
"10 Completely satisfied","1991","Not Working","Male","101","0.0847385162184639","0.067503541708278","0.10197349072865","10"
"10 Completely satisfied","1991","Not Working","Female","175","0.0788917820126309","0.0674678947057848","0.0903156693194769","10"
"2 on Scale 1 to 10","1991","Full Time","Male","17","","","","2"
"2 on Scale 1 to 10","1991","Full Time","Female","2","","","","2"
"2 on Scale 1 to 10","1991","Part Time","Male","3","","","","2"
"2 on Scale 1 to 10","1991","Part Time","Female","9","","","","2"
"2 on Scale 1 to 10","1991","Not Working","Male","21","","","","2"
"2 on Scale 1 to 10","1991","Not Working","Female","29","","","","2"
"3 on Scale 1 to 10","1991","Full Time","Male","44","0.0134540965350982","0.00935396485868465","0.0175542282115118","3"
"3 on Scale 1 to 10","1991","Full Time","Female","21","","","","3"
"3 on Scale 1 to 10","1991","Part Time","Male","16","","","","3"
"3 on Scale 1 to 10","1991","Part Time","Female","20","","","","3"
"3 on Scale 1 to 10","1991","Not Working","Male","34","0.0393957824433872","0.0273566626934746","0.0514349021932998","3"
"3 on Scale 1 to 10","1991","Not Working","Female","59","0.0338774282383959","0.0262106300755258","0.0415442264012659","3"
"4 on Scale 1 to 10","1991","Full Time","Male","83","0.032200204457795","0.0259176832468831","0.0384827256687069","4"
"4 on Scale 1 to 10","1991","Full Time","Female","31","0.0215656941920867","0.0137085760211973","0.0294228123629761","4"
"4 on Scale 1 to 10","1991","Part Time","Male","16","","","","4"
"4 on Scale 1 to 10","1991","Part Time","Female","37","0.0309017537266515","0.0211187701477586","0.0406847373055443","4"
"4 on Scale 1 to 10","1991","Not Working","Male","40","0.0409458639341687","0.0286820880519729","0.0532096398163646","4"
"4 on Scale 1 to 10","1991","Not Working","Female","79","0.0439952179721965","0.0353041035439701","0.0526863324004229","4"
"5 on Scale 1 to 10","1991","Full Time","Male","267","0.0959398472500343","0.085458670107184","0.106421024392884","5"
"5 on Scale 1 to 10","1991","Full Time","Female","138","0.100088405853339","0.083855078832501","0.116321732874178","5"
"5 on Scale 1 to 10","1991","Part Time","Male","44","0.0989757153352198","0.073382207192917","0.124569223477523","5"
"5 on Scale 1 to 10","1991","Part Time","Female","117","0.100446004898744","0.0834527798300222","0.117439229967465","5"
"5 on Scale 1 to 10","1991","Not Working","Male","139","0.14571530552115","0.123880389652895","0.167550221389406","5"
"5 on Scale 1 to 10","1991","Not Working","Female","248","0.137702056586528","0.123099073333786","0.152305039839269","5"
"6 on Scale 1 to 10","1991","Not Working","Female","241","0.11912790281297","0.105399946970117","0.132855858655823","6"
"6 on Scale 1 to 10","1991","Not Working","Male","100","0.104822617473003","0.0858651781357769","0.123780056810228","6"
"6 on Scale 1 to 10","1991","Full Time","Male","289","0.100113118243495","0.0894311485709305","0.110795087916059","6"
"6 on Scale 1 to 10","1991","Full Time","Female","97","0.0827801657244437","0.067875728146705","0.0976846033021824","6"
"6 on Scale 1 to 10","1991","Part Time","Male","46","0.0800848980784353","0.056822931122126","0.103346865034745","6"
"6 on Scale 1 to 10","1991","Part Time","Female","109","0.0787692762497132","0.0635407284252173","0.0939978240742091","6"
"7 on Scale 1 to 10","1991","Part Time","Male","78","0.148037438956966","0.117601038932322","0.178473838981609","7"
"7 on Scale 1 to 10","1991","Full Time","Male","576","0.187082733092355","0.173203933234013","0.200961532950696","7"
"7 on Scale 1 to 10","1991","Full Time","Female","212","0.167931846265515","0.14771275142079","0.18815094111024","7"
"7 on Scale 1 to 10","1991","Part Time","Female","209","0.175298509060594","0.15380371155116","0.196793306570028","7"
"7 on Scale 1 to 10","1991","Not Working","Male","160","0.157453878749428","0.134912984157511","0.179994773341345","7"
"7 on Scale 1 to 10","1991","Not Working","Female","400","0.182487293778674","0.166118892257919","0.198855695299429","7"
"8 on Scale 1 to 10","1991","Full Time","Female","430","0.331654701227674","0.306188787958049","0.357120614497299","8"
"8 on Scale 1 to 10","1991","Full Time","Male","984","0.322605401958169","0.305968648990369","0.33924215492597","8"
"8 on Scale 1 to 10","1991","Part Time","Male","157","0.324989131059535","0.284848236396596","0.365130025722474","8"
"8 on Scale 1 to 10","1991","Part Time","Female","389","0.331139177087263","0.304533824474786","0.35774452969974","8"
"8 on Scale 1 to 10","1991","Not Working","Female","612","0.270756885749164","0.251926092185269","0.28958767931306","8"
