"plh0183","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","1-pers.-HH","Male","2","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","Female","4","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Male","7","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Female","8","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Male","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Female","1","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Male","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Female","4","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Male","2","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Female","1","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Male","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Female","1","","","","0"
"1 on Scale 1 to 10","1990","1-pers.-HH","Male","","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Female","1","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Female","1","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Male","1","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","2","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","Female","2","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Male","2","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","1","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","1","","","","1"
"10 Completely satisfied","1990","1-pers.-HH","Male","16","","","","10"
"10 Completely satisfied","1990","1-pers.-HH","Female","39","0.169978621846468","0.121954884964361","0.218002358728575","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Male","77","0.172015590525246","0.137896759181897","0.206134421868596","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Female","73","0.156748903843868","0.124156615329346","0.18934119235839","10"
"10 Completely satisfied","1990","Single parent ","Male","15","","","","10"
"10 Completely satisfied","1990","Single parent ","Female","22","","","","10"
"10 Completely satisfied","1990","Couple + C. LE 16 ","Male","82","0.123297803672213","0.0993985354644708","0.147197071879956","10"
"10 Completely satisfied","1990","Couple + C. LE 16 ","Female","89","0.127696994587043","0.103714980946492","0.151679008227595","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","Male","67","0.138398738603099","0.106242484126554","0.170554993079645","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","Female","66","0.163587925787106","0.126396565563033","0.200779286011179","10"
"10 Completely satisfied","1990","Couple + C. LE and GT 16","Male","20","","","","10"
"10 Completely satisfied","1990","Couple + C. LE and GT 16","Female","20","","","","10"
"2 on Scale 1 to 10","1990","1-pers.-HH","Female","4","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","8","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","6","","","","2"
"2 on Scale 1 to 10","1990","(Married) couple without C. ","Male","8","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","3","","","","2"
"2 on Scale 1 to 10","1990","(Married) couple without C. ","Female","10","","","","2"
"2 on Scale 1 to 10","1990","1-pers.-HH","Male","4","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","1","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","2","","","","2"
"2 on Scale 1 to 10","1990","Single parent ","Male","1","","","","2"
"2 on Scale 1 to 10","1990","Single parent ","Female","3","","","","2"
"3 on Scale 1 to 10","1990","Single parent ","Female","7","","","","3"
"3 on Scale 1 to 10","1990","1-pers.-HH","Male","1","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","1","","","","3"
"3 on Scale 1 to 10","1990","1-pers.-HH","Female","13","","","","3"
"3 on Scale 1 to 10","1990","(Married) couple without C. ","Male","15","","","","3"
"3 on Scale 1 to 10","1990","Single parent ","Male","2","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","17","","","","3"
"3 on Scale 1 to 10","1990","(Married) couple without C. ","Female","14","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","18","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","12","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","5","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","1","","","","3"
"4 on Scale 1 to 10","1990","1-pers.-HH","Male","4","","","","4"
"4 on Scale 1 to 10","1990","1-pers.-HH","Female","6","","","","4"
"4 on Scale 1 to 10","1990","(Married) couple without C. ","Female","11","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","11","","","","4"
"4 on Scale 1 to 10","1990","Single parent ","Male","1","","","","4"
"4 on Scale 1 to 10","1990","Single parent ","Female","4","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","11","","","","4"
"4 on Scale 1 to 10","1990","(Married) couple without C. ","Male","12","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","7","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","13","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","3","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","4","","","","4"
"5 on Scale 1 to 10","1990","1-pers.-HH","Female","39","0.160697266912163","0.113742712473067","0.20765182135126","5"
"5 on Scale 1 to 10","1990","(Married) couple without C. ","Male","65","0.150505966479891","0.118179652490206","0.182832280469576","5"
"5 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","42","0.110136237548215","0.0786599741033031","0.141612500993126","5"
"5 on Scale 1 to 10","1990","(Married) couple without C. ","Female","64","0.136330859368119","0.105569542026637","0.167092176709601","5"
"5 on Scale 1 to 10","1990","Single parent ","Female","17","","","","5"
"5 on Scale 1 to 10","1990","1-pers.-HH","Male","20","","","","5"
"5 on Scale 1 to 10","1990","Single parent ","Male","1","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","80","0.10789109442326","0.0853392211595716","0.130442967686948","5"
"5 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","77","0.102558457492177","0.0807587609590776","0.124358154025277","5"
"5 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","43","0.0961636719164116","0.0687102399541978","0.123617103878625","5"
"5 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","14","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","10","","","","5"
"6 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","17","","","","6"
"6 on Scale 1 to 10","1990","1-pers.-HH","Female","15","","","","6"
"6 on Scale 1 to 10","1990","Single parent ","Female","17","","","","6"
"6 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","41","0.0551025901173461","0.0385159194543128","0.0716892607803793","6"
"6 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","39","0.0537160743785651","0.037515720999555","0.0699164277575752","6"
