"plh0183","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","16-34 y.","Male","3","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","Female","4","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","Male","5","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","Female","11","","","","0"
"0 Completely dissatisfied","1990","66 and older","Male","6","","","","0"
"0 Completely dissatisfied","1990","66 and older","Female","4","","","","0"
"1 on Scale 1 to 10","1990","16-34 y.","Male","2","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","Male","2","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","Female","2","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","Female","2","","","","1"
"1 on Scale 1 to 10","1990","66 and older","Male","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","Female","3","","","","1"
"10 Completely satisfied","1990","16-34 y.","Male","101","0.125702398534069","0.103108209289524","0.148296587778613","10"
"10 Completely satisfied","1990","16-34 y.","Female","109","0.128968071704951","0.106593609845289","0.151342533564614","10"
"10 Completely satisfied","1990","35-65 y.","Male","168","0.153486457331925","0.132404535478225","0.174568379185625","10"
"10 Completely satisfied","1990","35-65 y.","Female","178","0.15127752566572","0.130745811117728","0.171809240213712","10"
"10 Completely satisfied","1990","66 and older","Male","24","","","","10"
"10 Completely satisfied","1990","66 and older","Female","52","0.193544488917429","0.147596179939634","0.239492797895223","10"
"2 on Scale 1 to 10","1990","16-34 y.","Male","8","","","","2"
"2 on Scale 1 to 10","1990","16-34 y.","Female","6","","","","2"
"2 on Scale 1 to 10","1990","35-65 y.","Male","15","","","","2"
"2 on Scale 1 to 10","1990","35-65 y.","Female","19","","","","2"
"2 on Scale 1 to 10","1990","66 and older","Male","1","","","","2"
"2 on Scale 1 to 10","1990","66 and older","Female","4","","","","2"
"3 on Scale 1 to 10","1990","16-34 y.","Male","18","","","","3"
"3 on Scale 1 to 10","1990","16-34 y.","Female","17","","","","3"
"3 on Scale 1 to 10","1990","35-65 y.","Male","29","","","","3"
"3 on Scale 1 to 10","1990","35-65 y.","Female","31","0.0258512404364302","0.0167582131452248","0.0349442677276355","3"
"3 on Scale 1 to 10","1990","66 and older","Male","4","","","","3"
"3 on Scale 1 to 10","1990","66 and older","Female","15","","","","3"
"4 on Scale 1 to 10","1990","16-34 y.","Male","15","","","","4"
"4 on Scale 1 to 10","1990","16-34 y.","Female","19","","","","4"
"4 on Scale 1 to 10","1990","35-65 y.","Male","23","","","","4"
"4 on Scale 1 to 10","1990","35-65 y.","Female","27","","","","4"
"4 on Scale 1 to 10","1990","66 and older","Female","8","","","","4"
"4 on Scale 1 to 10","1990","66 and older","Male","3","","","","4"
"5 on Scale 1 to 10","1990","16-34 y.","Male","88","0.102093120598924","0.0814578948172718","0.122728346380575","5"
"5 on Scale 1 to 10","1990","16-34 y.","Female","85","0.0995485004051071","0.079561759524901","0.119535241285313","5"
"5 on Scale 1 to 10","1990","35-65 y.","Male","128","0.118014751679013","0.0991453981195447","0.136884105238482","5"
"5 on Scale 1 to 10","1990","35-65 y.","Female","140","0.121079213647652","0.102386824068992","0.139771603226312","5"
"5 on Scale 1 to 10","1990","66 and older","Male","27","","","","5"
"5 on Scale 1 to 10","1990","66 and older","Female","46","0.157183724586326","0.114852662454337","0.199514786718316","5"
"6 on Scale 1 to 10","1990","16-34 y.","Male","47","0.0629076078044035","0.0463598891819254","0.0794553264268816","6"
"6 on Scale 1 to 10","1990","16-34 y.","Female","50","0.0585741578413542","0.0428979669805617","0.0742503487021467","6"
"6 on Scale 1 to 10","1990","35-65 y.","Male","87","0.0794929394677379","0.0636718621427125","0.0953140167927633","6"
"6 on Scale 1 to 10","1990","35-65 y.","Female","96","0.0830703040748851","0.0672561458649818","0.0988844622847883","6"
"6 on Scale 1 to 10","1990","66 and older","Male","13","","","","6"
"6 on Scale 1 to 10","1990","66 and older","Female","13","","","","6"
"7 on Scale 1 to 10","1990","16-34 y.","Male","131","0.149644955288078","0.125332628593149","0.173957281983008","7"
"7 on Scale 1 to 10","1990","16-34 y.","Female","129","0.144691891477034","0.121207579034903","0.168176203919165","7"
