"ple0015","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","in school","","","",""
"Yes","2009","Not Employed","inadequately","1","","",""
"Yes","2009","Not Employed","general elemantary","45","0.0479251265955693","0.0350538256898159","0.0607964275013227"
"Yes","2009","Not Employed","middle vocational","248","0.0714581057792497","0.0629894227002385","0.0799267888582609"
"Yes","2009","Not Employed","vocational + Abi","15","","",""
"Yes","2009","Not Employed","higher vocational","40","0.09273393874586","0.0651897505393654","0.120278126952355"
"Yes","2009","Not Employed","higher education","110","0.0929440514198642","0.0758398769375142","0.110048225902214"
"Yes","2009","Employed","in school","","","",""
"Yes","2009","Employed","inadequately","1","","",""
"Yes","2009","Employed","general elemantary","6","","",""
"Yes","2009","Employed","middle vocational","119","0.0251639414870542","0.0210459730032793","0.0292819099708292"
"Yes","2009","Employed","vocational + Abi","13","","",""
"Yes","2009","Employed","higher vocational","20","","",""
"Yes","2009","Employed","higher education","64","0.018309540663717","0.0134649982046219","0.023154083122812"
"No","2009","Not Employed","in school","252","1","1","1"
"No","2009","Not Employed","inadequately","96","0.989083150060395","0.968404256591742","1.00976204352905"
"No","2009","Not Employed","general elemantary","1013","0.952074873404431","0.939203572498677","0.964946174310184"
"No","2009","Not Employed","middle vocational","3306","0.92854189422075","0.920073211141739","0.937010577299762"
"No","2009","Not Employed","vocational + Abi","229","0.951571280408764","0.924635762261908","0.978506798555621"
"No","2009","Not Employed","higher vocational","386","0.90726606125414","0.879721873047645","0.934810249460635"
"No","2009","Not Employed","higher education","997","0.907055948580136","0.889951774097786","0.924160123062486"
"No","2009","Employed","in school","61","1","1","1"
"No","2009","Employed","inadequately","71","0.994205666339669","0.976674060020739","1.0117372726586"
"No","2009","Employed","general elemantary","748","0.993356676655526","0.987558282670421","0.999155070640631"
"No","2009","Employed","middle vocational","5438","0.974836058512946","0.970718090029171","0.978954026996721"
"No","2009","Employed","vocational + Abi","746","0.975840997688334","0.964917638093632","0.986764357283036"
"No","2009","Employed","higher vocational","892","0.977482758413037","0.967854165658883","0.987111351167191"
"No","2009","Employed","higher education","2878","0.981690459336283","0.976845916877188","0.986535001795378"
"Yes","2010","Not Employed","in school","","","",""
"Yes","2010","Not Employed","inadequately","","","",""
"Yes","2010","Not Employed","general elemantary","","","",""
"Yes","2010","Not Employed","middle vocational","","","",""
"Yes","2010","Not Employed","vocational + Abi","","","",""
"Yes","2010","Not Employed","higher vocational","","","",""
"Yes","2010","Not Employed","higher education","","","",""
"Yes","2010","Employed","in school","","","",""
"Yes","2010","Employed","inadequately","","","",""
"Yes","2010","Employed","general elemantary","","","",""
"Yes","2010","Employed","middle vocational","","","",""
"Yes","2010","Employed","vocational + Abi","","","",""
"Yes","2010","Employed","higher vocational","","","",""
"Yes","2010","Employed","higher education","","","",""
"No","2010","Not Employed","in school","","","",""
"No","2010","Not Employed","inadequately","","","",""
"No","2010","Not Employed","general elemantary","","","",""
"No","2010","Not Employed","middle vocational","","","",""
"No","2010","Not Employed","vocational + Abi","","","",""
"No","2010","Not Employed","higher vocational","","","",""
"No","2010","Not Employed","higher education","","","",""
"No","2010","Employed","in school","","","",""
"No","2010","Employed","inadequately","","","",""
"No","2010","Employed","general elemantary","","","",""
"No","2010","Employed","middle vocational","","","",""
"No","2010","Employed","vocational + Abi","","","",""
"No","2010","Employed","higher vocational","","","",""
"No","2010","Employed","higher education","","","",""
"Yes","2011","Not Employed","in school","2","","",""
"Yes","2011","Not Employed","inadequately","7","","",""
"Yes","2011","Not Employed","general elemantary","72","0.0562272481354886","0.0435926982629681","0.068861798008009"
"Yes","2011","Not Employed","middle vocational","332","0.0796020802017841","0.0714767606951904","0.0877273997083778"
"Yes","2011","Not Employed","vocational + Abi","22","","",""
"Yes","2011","Not Employed","higher vocational","48","0.0822779908934936","0.0575665141718039","0.106989467615183"
"Yes","2011","Not Employed","higher education","137","0.100103156654977","0.084021148245487","0.116185165064466"
"Yes","2011","Employed","in school","","","",""
"Yes","2011","Employed","inadequately","4","","",""
"Yes","2011","Employed","general elemantary","18","","",""
"Yes","2011","Employed","middle vocational","158","0.0306911192263251","0.0264269649495392","0.034955273503111"
"Yes","2011","Employed","vocational + Abi","20","","",""
"Yes","2011","Employed","higher vocational","25","","",""
"Yes","2011","Employed","higher education","103","0.0277628943498882","0.022124900745609","0.0334008879541674"
"No","2011","Not Employed","in school","247","0.990132495967063","0.977855312924446","1.00240967900968"
"No","2011","Not Employed","inadequately","132","0.9313972152591","0.889374991497412","0.973419439020787"
"No","2011","Not Employed","general elemantary","1205","0.943772751864511","0.931138201991991","0.956407301737032"
"No","2011","Not Employed","middle vocational","3931","0.920397919798216","0.912272600291622","0.92852323930481"
"No","2011","Not Employed","vocational + Abi","252","0.945085281983777","0.918110826384735","0.972059737582819"
"No","2011","Not Employed","higher vocational","427","0.917722009106506","0.893010532384817","0.942433485828196"
"No","2011","Not Employed","higher education","1201","0.899896843345023","0.883814834935534","0.915978851754513"
"No","2011","Employed","in school","64","1","1","1"
"No","2011","Employed","inadequately","90","0.978892587713864","0.949834356116808","1.00795081931092"
"No","2011","Employed","general elemantary","893","0.978165801413639","0.968675854827785","0.987655747999493"
"No","2011","Employed","middle vocational","6127","0.969308880773675","0.965044726496889","0.973573035050461"
"No","2011","Employed","vocational + Abi","915","0.96960726978308","0.958603916053902","0.980610623512258"
"No","2011","Employed","higher vocational","954","0.974249777193998","0.964328161561627","0.984171392826368"
"No","2011","Employed","higher education","3159","0.972237105650112","0.966599112045833","0.977875099254391"
"Yes","2012","Not Employed","in school","","","",""
"Yes","2012","Not Employed","inadequately","","","",""
"Yes","2012","Not Employed","general elemantary","","","",""
"Yes","2012","Not Employed","middle vocational","","","",""
"Yes","2012","Not Employed","vocational + Abi","","","",""
"Yes","2012","Not Employed","higher vocational","","","",""
"Yes","2012","Not Employed","higher education","","","",""
"Yes","2012","Employed","in school","","","",""
"Yes","2012","Employed","inadequately","","","",""
"Yes","2012","Employed","general elemantary","","","",""
"Yes","2012","Employed","middle vocational","","","",""
"Yes","2012","Employed","vocational + Abi","","","",""
"Yes","2012","Employed","higher vocational","","","",""
"Yes","2012","Employed","higher education","","","",""
"No","2012","Not Employed","in school","","","",""
"No","2012","Not Employed","inadequately","","","",""
"No","2012","Not Employed","general elemantary","","","",""
"No","2012","Not Employed","middle vocational","","","",""
"No","2012","Not Employed","vocational + Abi","","","",""
"No","2012","Not Employed","higher vocational","","","",""
"No","2012","Not Employed","higher education","","","",""
"No","2012","Employed","in school","","","",""
"No","2012","Employed","inadequately","","","",""
"No","2012","Employed","general elemantary","","","",""
"No","2012","Employed","middle vocational","","","",""
"No","2012","Employed","vocational + Abi","","","",""
"No","2012","Employed","higher vocational","","","",""
"No","2012","Employed","higher education","","","",""
