"ple0015","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","1-pers.-HH","15","","",""
"Yes","2009","Full Time","(Married) couple without C. ","56","0.0226334882544509","0.016414245113527","0.0288527313953747"
"Yes","2009","Full Time","Single parent ","8","","",""
"Yes","2009","Full Time","Couple + C. LE 16 ","9","","",""
"Yes","2009","Full Time","Couple + C. GT 16 ","26","","",""
"Yes","2009","Full Time","Couple + C. LE and GT 16","7","","",""
"Yes","2009","Part Time","1-pers.-HH","20","","",""
"Yes","2009","Part Time","(Married) couple without C. ","46","0.0553869793251114","0.0418204869252126","0.0689534717250102"
"Yes","2009","Part Time","Single parent ","7","","",""
"Yes","2009","Part Time","Couple + C. LE 16 ","11","","",""
"Yes","2009","Part Time","Couple + C. GT 16 ","11","","",""
"Yes","2009","Part Time","Couple + C. LE and GT 16","4","","",""
"Yes","2009","Not Working","1-pers.-HH","101","0.0699513441069825","0.0569124640512394","0.0829902241627255"
"Yes","2009","Not Working","(Married) couple without C. ","297","0.0823818931634499","0.0731292238584645","0.0916345624684353"
"Yes","2009","Not Working","Single parent ","8","","",""
"Yes","2009","Not Working","Couple + C. LE 16 ","8","","",""
"Yes","2009","Not Working","Couple + C. GT 16 ","29","","",""
"Yes","2009","Not Working","Couple + C. LE and GT 16","3","","",""
"No","2009","Full Time","1-pers.-HH","983","0.986376509638911","0.979184531223567","0.993568488054256"
"No","2009","Full Time","(Married) couple without C. ","2141","0.977366511745549","0.971147268604625","0.983585754886473"
"No","2009","Full Time","Single parent ","350","0.953150011876598","0.931260204039202","0.975039819713994"
"No","2009","Full Time","Couple + C. LE 16 ","1401","0.993637964730799","0.989487940244523","0.997787989217075"
"No","2009","Full Time","Couple + C. GT 16 ","1425","0.987790660764849","0.982140082130244","0.993441239399453"
"No","2009","Full Time","Couple + C. LE and GT 16","485","0.989502989879696","0.980497509113589","0.998508470645803"
"No","2009","Part Time","1-pers.-HH","422","0.965196780513235","0.948110221972924","0.982283339053547"
"No","2009","Part Time","(Married) couple without C. ","1046","0.944613020674889","0.93104652827499","0.958179513074787"
"No","2009","Part Time","Single parent ","338","0.961560289228395","0.941273334556614","0.981847243900175"
"No","2009","Part Time","Couple + C. LE 16 ","1010","0.987823997239231","0.981096905116651","0.994551089361812"
"No","2009","Part Time","Couple + C. GT 16 ","863","0.984752612708668","0.976628916740348","0.992876308676988"
"No","2009","Part Time","Couple + C. LE and GT 16","383","0.994287200586611","0.98677835764285","1.00179604353037"
"No","2009","Not Working","1-pers.-HH","1369","0.930048655893018","0.917009775837274","0.943087535948761"
"No","2009","Not Working","(Married) couple without C. ","3095","0.91761810683655","0.908365437531565","0.926870776141536"
"No","2009","Not Working","Single parent ","285","0.97154812116224","0.952510971934077","0.990585270390404"
"No","2009","Not Working","Couple + C. LE 16 ","421","0.974904076694235","0.960102704571922","0.989705448816548"
"No","2009","Not Working","Couple + C. GT 16 ","811","0.968642347487766","0.956856469372684","0.980428225602848"
"No","2009","Not Working","Couple + C. LE and GT 16","299","0.995063905607855","0.987159634381884","1.00296817683383"
"Yes","2010","Full Time","1-pers.-HH","","","",""
"Yes","2010","Full Time","(Married) couple without C. ","","","",""
"Yes","2010","Full Time","Single parent ","","","",""
"Yes","2010","Full Time","Couple + C. LE 16 ","","","",""
"Yes","2010","Full Time","Couple + C. GT 16 ","","","",""
"Yes","2010","Full Time","Couple + C. LE and GT 16","","","",""
"Yes","2010","Part Time","1-pers.-HH","","","",""
"Yes","2010","Part Time","(Married) couple without C. ","","","",""
"Yes","2010","Part Time","Single parent ","","","",""
"Yes","2010","Part Time","Couple + C. LE 16 ","","","",""
"Yes","2010","Part Time","Couple + C. GT 16 ","","","",""
"Yes","2010","Part Time","Couple + C. LE and GT 16","","","",""
"Yes","2010","Not Working","1-pers.-HH","","","",""
"Yes","2010","Not Working","(Married) couple without C. ","","","",""
"Yes","2010","Not Working","Single parent ","","","",""
"Yes","2010","Not Working","Couple + C. LE 16 ","","","",""
"Yes","2010","Not Working","Couple + C. GT 16 ","","","",""
"Yes","2010","Not Working","Couple + C. LE and GT 16","","","",""
"No","2010","Full Time","1-pers.-HH","","","",""
"No","2010","Full Time","(Married) couple without C. ","","","",""
"No","2010","Full Time","Single parent ","","","",""
"No","2010","Full Time","Couple + C. LE 16 ","","","",""
"No","2010","Full Time","Couple + C. GT 16 ","","","",""
"No","2010","Full Time","Couple + C. LE and GT 16","","","",""
"No","2010","Part Time","1-pers.-HH","","","",""
"No","2010","Part Time","(Married) couple without C. ","","","",""
"No","2010","Part Time","Single parent ","","","",""
"No","2010","Part Time","Couple + C. LE 16 ","","","",""
"No","2010","Part Time","Couple + C. GT 16 ","","","",""
"No","2010","Part Time","Couple + C. LE and GT 16","","","",""
"No","2010","Not Working","1-pers.-HH","","","",""
"No","2010","Not Working","(Married) couple without C. ","","","",""
"No","2010","Not Working","Single parent ","","","",""
"No","2010","Not Working","Couple + C. LE 16 ","","","",""
"No","2010","Not Working","Couple + C. GT 16 ","","","",""
"No","2010","Not Working","Couple + C. LE and GT 16","","","",""
"Yes","2011","Full Time","1-pers.-HH","27","","",""
"Yes","2011","Full Time","(Married) couple without C. ","84","0.028852905170868","0.0224062344101903","0.0352995759315457"
"Yes","2011","Full Time","Single parent ","9","","",""
