"ple0015","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","Male","67","0.0109474697804865","0.00793717999522389","0.0139577595657491"
"Yes","2009","Full Time","Female","55","0.0272752787113227","0.0207910047058081","0.0337595527168373"
"Yes","2009","Part Time","Male","24","","",""
"Yes","2009","Part Time","Female","77","0.0303304560768095","0.024250187489125","0.0364107246644941"
"Yes","2009","Not Working","Male","205","0.0624646936607633","0.0536234406440279","0.0713059466774986"
"Yes","2009","Not Working","Female","255","0.0672856857831798","0.059524193833357","0.0750471777330026"
"No","2009","Full Time","Male","4523","0.989052530219514","0.986042240434251","0.992062820004776"
"No","2009","Full Time","Female","2369","0.972724721288677","0.966240447283163","0.979208995294192"
"No","2009","Part Time","Male","1152","0.973425290733199","0.964232867665775","0.982617713800622"
"No","2009","Part Time","Female","2979","0.96966954392319","0.963589275335506","0.975749812510875"
"No","2009","Not Working","Male","2673","0.937535306339237","0.928694053322501","0.946376559355972"
"No","2009","Not Working","Female","3747","0.93271431421682","0.924952822266997","0.940475806166643"
"Yes","2010","Full Time","Male","","","",""
"Yes","2010","Full Time","Female","","","",""
"Yes","2010","Part Time","Male","","","",""
"Yes","2010","Part Time","Female","","","",""
"Yes","2010","Not Working","Male","","","",""
"Yes","2010","Not Working","Female","","","",""
"No","2010","Full Time","Male","","","",""
"No","2010","Full Time","Female","","","",""
"No","2010","Part Time","Male","","","",""
"No","2010","Part Time","Female","","","",""
"No","2010","Not Working","Male","","","",""
"No","2010","Not Working","Female","","","",""
"Yes","2011","Full Time","Male","88","0.0159598664002536","0.0124948835503306","0.0194248492501767"
"Yes","2011","Full Time","Female","81","0.0305982544903045","0.0242018529946374","0.0369946559859715"
"Yes","2011","Part Time","Male","36","0.0340386370269734","0.0244992753139076","0.0435779987400392"
"Yes","2011","Part Time","Female","123","0.0444770008179759","0.0376628463015774","0.0512911553343744"
"Yes","2011","Not Working","Male","281","0.0760204955499554","0.0671458517926097","0.0848951393073011"
"Yes","2011","Not Working","Female","341","0.0735447661892169","0.0660980432300183","0.0809914891484155"
"No","2011","Full Time","Male","4937","0.984040133599746","0.980575150749823","0.987505116449669"
"No","2011","Full Time","Female","2704","0.969401745509695","0.963005344014028","0.975798147005363"
"No","2011","Part Time","Male","1352","0.965961362973027","0.956422001259961","0.975500724686093"
"No","2011","Part Time","Female","3393","0.955522999182024","0.948708844665626","0.962337153698423"
"No","2011","Not Working","Male","3145","0.923979504450045","0.915104860692699","0.93285414820739"
"No","2011","Not Working","Female","4379","0.926455233810783","0.919008510851585","0.933901956769982"
"Yes","2012","Full Time","Male","","","",""
"Yes","2012","Full Time","Female","","","",""
"Yes","2012","Part Time","Male","","","",""
"Yes","2012","Part Time","Female","","","",""
"Yes","2012","Not Working","Male","","","",""
"Yes","2012","Not Working","Female","","","",""
"No","2012","Full Time","Male","","","",""
"No","2012","Full Time","Female","","","",""
"No","2012","Part Time","Male","","","",""
"No","2012","Part Time","Female","","","",""
"No","2012","Not Working","Male","","","",""
"No","2012","Not Working","Female","","","",""
"Yes","2013","Full Time","Male","106","0.0227574737719529","0.0183610437928833","0.0271539037510224"
"Yes","2013","Full Time","Female","72","0.0321701366572405","0.0253574746367623","0.0389827986777187"
"Yes","2013","Part Time","Male","45","0.040895831697766","0.0299777342628753","0.0518139291326567"
"Yes","2013","Part Time","Female","136","0.0474609536294561","0.0402436509852579","0.0546782562736544"
"Yes","2013","Not Working","Male","323","0.103500194668527","0.0929296240338096","0.114070765303245"
"Yes","2013","Not Working","Female","367","0.09889689878837","0.0898535962991756","0.107940201277564"
"No","2013","Full Time","Male","4314","0.977242526228047","0.972846096248978","0.981638956207117"
"No","2013","Full Time","Female","2505","0.96782986334276","0.961017201322281","0.974642525363238"
"No","2013","Part Time","Male","1219","0.959104168302234","0.948186070867343","0.970022265737125"
"No","2013","Part Time","Female","3198","0.952539046370544","0.945321743726346","0.959756349014742"
"No","2013","Not Working","Male","2867","0.896499805331473","0.885929234696755","0.90707037596619"
"No","2013","Not Working","Female","3819","0.90110310121163","0.892059798722436","0.910146403700824"
"Yes","2014","Full Time","Male","","","",""
"Yes","2014","Full Time","Female","","","",""
"Yes","2014","Part Time","Male","","","",""
"Yes","2014","Part Time","Female","","","",""
"Yes","2014","Not Working","Male","","","",""
"Yes","2014","Not Working","Female","","","",""
"No","2014","Full Time","Male","","","",""
"No","2014","Full Time","Female","","","",""
"No","2014","Part Time","Male","","","",""
"No","2014","Part Time","Female","","","",""
"No","2014","Not Working","Male","","","",""
"No","2014","Not Working","Female","","","",""
"Yes","2015","Full Time","Male","104","0.01756762796182","0.0143145426828604","0.0208207132407797"
"Yes","2015","Full Time","Female","93","0.037024720313014","0.030541968827774","0.0435074717982541"
"Yes","2015","Part Time","Male","57","0.0378078002952949","0.0290234329885286","0.0465921676020612"
"Yes","2015","Part Time","Female","169","0.0368692759882274","0.031809387961614","0.0419291640148407"
"Yes","2015","Not Working","Male","327","0.10685737885185","0.0965352703355405","0.117179487368159"
"Yes","2015","Not Working","Female","422","0.100943393814723","0.0926477906696071","0.10923899695984"
"No","2015","Full Time","Male","6161","0.98243237203818","0.97917928675922","0.98568545731714"
"No","2015","Full Time","Female","3166","0.962975279686986","0.956492528201746","0.969458031172226"
"No","2015","Part Time","Male","1754","0.962192199704705","0.953407832397939","0.970976567011472"
"No","2015","Part Time","Female","5159","0.963130724011773","0.958070835985159","0.968190612038386"
"No","2015","Not Working","Male","3114","0.89314262114815","0.88282051263184","0.903464729664459"
"No","2015","Not Working","Female","4644","0.899056606185276","0.89076100304016","0.907352209330393"
"Yes","2016","Full Time","Male","","","",""
"Yes","2016","Full Time","Female","","","",""
"Yes","2016","Part Time","Male","","","",""
"Yes","2016","Part Time","Female","","","",""
"Yes","2016","Not Working","Male","","","",""
"Yes","2016","Not Working","Female","","","",""
"No","2016","Full Time","Male","","","",""
"No","2016","Full Time","Female","","","",""
"No","2016","Part Time","Male","","","",""
"No","2016","Part Time","Female","","","",""
"No","2016","Not Working","Male","","","",""
"No","2016","Not Working","Female","","","",""
"Yes","2017","Full Time","Male","132","0.0181899583857111","0.0149850032324669","0.0213949135389552"
"Yes","2017","Full Time","Female","121","0.0341190890379403","0.028293307696734","0.0399448703791465"
"Yes","2017","Part Time","Male","64","0.0341962303385029","0.0263768451835205","0.0420156154934853"
"Yes","2017","Part Time","Female","184","0.0428749212677831","0.0375716200098003","0.0481782225257659"
"Yes","2017","Not Working","Male","357","0.104533172691617","0.0945180718174552","0.114548273565779"
"Yes","2017","Not Working","Female","440","0.100296034585194","0.0920101838724942","0.108581885297894"
"No","2017","Full Time","Male","6547","0.981810041614289","0.978605086461045","0.985014996767533"
"No","2017","Full Time","Female","3609","0.96588091096206","0.960055129620853","0.971706692303266"
"No","2017","Part Time","Male","2011","0.965803769661497","0.957984384506515","0.973623154816479"
"No","2017","Part Time","Female","5421","0.957125078732217","0.951821777474234","0.9624283799902"
"No","2017","Not Working","Male","3228","0.895466827308383","0.885451726434221","0.905481928182545"
"No","2017","Not Working","Female","4609","0.899703965414806","0.891418114702106","0.907989816127506"
"Yes","2018","Full Time","Male","","","",""
"Yes","2018","Full Time","Female","","","",""
"Yes","2018","Part Time","Male","","","",""
"Yes","2018","Part Time","Female","","","",""
"Yes","2018","Not Working","Male","","","",""
"Yes","2018","Not Working","Female","","","",""
"No","2018","Full Time","Male","","","",""
"No","2018","Full Time","Female","","","",""
"No","2018","Part Time","Male","","","",""
"No","2018","Part Time","Female","","","",""
"No","2018","Not Working","Male","","","",""
"No","2018","Not Working","Female","","","",""
"Yes","2019","Full Time","Male","180","0.0189988687622574","0.0157573715540487","0.0222403659704661"
"Yes","2019","Full Time","Female","154","0.0445778585461161","0.0379326098856693","0.0512231072065628"
"Yes","2019","Part Time","Male","82","0.0349351544594566","0.0269259475500849","0.0429443613688283"
"Yes","2019","Part Time","Female","198","0.0441028008058181","0.0385307126392138","0.0496748889724224"
"Yes","2019","Not Working","Male","358","0.106641573654924","0.0964450319262468","0.116838115383602"
"Yes","2019","Not Working","Female","423","0.108431195023022","0.0994431468067333","0.117419243239311"
"No","2019","Full Time","Male","6634","0.981001131237743","0.977759634029534","0.984242628445951"
"No","2019","Full Time","Female","3551","0.955422141453884","0.948776892793437","0.962067390114331"
"No","2019","Part Time","Male","1937","0.965064845540543","0.957055638631172","0.973074052449915"
"No","2019","Part Time","Female","5018","0.955897199194182","0.950325111027578","0.961469287360786"
"No","2019","Not Working","Male","3162","0.893358426345076","0.883161884616398","0.903554968073753"
"No","2019","Not Working","Female","4174","0.891568804976978","0.882580756760689","0.900556853193267"
