"ple0015","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Male","8","","",""
"Yes","2009","Schleswig-Holstein","Female","13","","",""
"Yes","2009","Hamburg","Male","7","","",""
"Yes","2009","Hamburg","Female","9","","",""
"Yes","2009","Lower Saxony","Male","33","1","1","1"
"Yes","2009","Lower Saxony","Female","37","1","1","1"
"Yes","2009","Bremen","Male","4","","",""
"Yes","2009","Bremen","Female","2","","",""
"Yes","2009","North Rhine-Westphalia","Male","53","1","1","1"
"Yes","2009","North Rhine-Westphalia","Female","79","1","1","1"
"Yes","2009","Hesse","Male","12","","",""
"Yes","2009","Hesse","Female","30","1","1","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Male","20","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Female","16","","",""
"Yes","2009","Baden-Württemberg","Male","29","","",""
"Yes","2009","Baden-Württemberg","Female","48","1","1","1"
"Yes","2009","Bavaria","Male","46","1","1","1"
"Yes","2009","Bavaria","Female","52","1","1","1"
"Yes","2009","Berlin","Male","15","","",""
"Yes","2009","Berlin","Female","20","","",""
"Yes","2009","Brandenburg","Male","9","","",""
"Yes","2009","Brandenburg","Female","15","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Male","6","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Female","13","","",""
"Yes","2009","Saxony","Male","22","","",""
"Yes","2009","Saxony","Female","27","","",""
"Yes","2009","Saxony-Anhalt","Male","15","","",""
"Yes","2009","Saxony-Anhalt","Female","14","","",""
"Yes","2009","Thuringia","Male","17","","",""
"Yes","2009","Thuringia","Female","12","","",""
"Yes","2010","Schleswig-Holstein","Male","","","",""
"Yes","2010","Schleswig-Holstein","Female","","","",""
"Yes","2010","Hamburg","Male","","","",""
"Yes","2010","Hamburg","Female","","","",""
"Yes","2010","Lower Saxony","Male","","","",""
"Yes","2010","Lower Saxony","Female","","","",""
"Yes","2010","Bremen","Male","","","",""
"Yes","2010","Bremen","Female","","","",""
"Yes","2010","North Rhine-Westphalia","Male","","","",""
"Yes","2010","North Rhine-Westphalia","Female","","","",""
"Yes","2010","Hesse","Male","","","",""
"Yes","2010","Hesse","Female","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","Male","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","Female","","","",""
"Yes","2010","Baden-Württemberg","Male","","","",""
"Yes","2010","Baden-Württemberg","Female","","","",""
"Yes","2010","Bavaria","Male","","","",""
"Yes","2010","Bavaria","Female","","","",""
"Yes","2010","Berlin","Male","","","",""
"Yes","2010","Berlin","Female","","","",""
"Yes","2010","Brandenburg","Male","","","",""
"Yes","2010","Brandenburg","Female","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","Male","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","Female","","","",""
"Yes","2010","Saxony","Male","","","",""
"Yes","2010","Saxony","Female","","","",""
"Yes","2010","Saxony-Anhalt","Male","","","",""
"Yes","2010","Saxony-Anhalt","Female","","","",""
"Yes","2010","Thuringia","Male","","","",""
"Yes","2010","Thuringia","Female","","","",""
"Yes","2011","Schleswig-Holstein","Male","11","","",""
"Yes","2011","Schleswig-Holstein","Female","23","","",""
"Yes","2011","Hamburg","Male","11","","",""
"Yes","2011","Hamburg","Female","14","","",""
"Yes","2011","Lower Saxony","Male","42","1","1","1"
"Yes","2011","Lower Saxony","Female","52","1","1","1"
"Yes","2011","Bremen","Male","2","","",""
"Yes","2011","Bremen","Female","3","","",""
"Yes","2011","North Rhine-Westphalia","Male","83","1","1","1"
"Yes","2011","North Rhine-Westphalia","Female","109","1","1","1"
"Yes","2011","Hesse","Male","16","","",""
"Yes","2011","Hesse","Female","43","1","1","1"
"Yes","2011","Rhineland-Palatinate,Saarland","Male","21","","",""
"Yes","2011","Rhineland-Palatinate,Saarland","Female","30","1","1","1"
"Yes","2011","Baden-Württemberg","Male","52","1","1","1"
"Yes","2011","Baden-Württemberg","Female","58","1","1","1"
"Yes","2011","Bavaria","Male","55","1","1","1"
"Yes","2011","Bavaria","Female","90","1","1","1"
"Yes","2011","Berlin","Male","24","","",""
"Yes","2011","Berlin","Female","21","","",""
"Yes","2011","Brandenburg","Male","23","","",""
"Yes","2011","Brandenburg","Female","19","","",""
"Yes","2011","Mecklenburg-Western Pomerania","Male","9","","",""
"Yes","2011","Mecklenburg-Western Pomerania","Female","16","","",""
"Yes","2011","Saxony","Male","22","","",""
"Yes","2011","Saxony","Female","27","","",""
"Yes","2011","Saxony-Anhalt","Male","21","","",""
"Yes","2011","Saxony-Anhalt","Female","28","","",""
"Yes","2011","Thuringia","Male","13","","",""
"Yes","2011","Thuringia","Female","12","","",""
"Yes","2012","Schleswig-Holstein","Male","","","",""
"Yes","2012","Schleswig-Holstein","Female","","","",""
"Yes","2012","Hamburg","Male","","","",""
"Yes","2012","Hamburg","Female","","","",""
"Yes","2012","Lower Saxony","Male","","","",""
"Yes","2012","Lower Saxony","Female","","","",""
"Yes","2012","Bremen","Male","","","",""
"Yes","2012","Bremen","Female","","","",""
"Yes","2012","North Rhine-Westphalia","Male","","","",""
"Yes","2012","North Rhine-Westphalia","Female","","","",""
"Yes","2012","Hesse","Male","","","",""
"Yes","2012","Hesse","Female","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Male","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","Female","","","",""
