"ple0015","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","in school","West Germany","","","",""
"Yes","2009","in school","East Germany","","","",""
"Yes","2009","inadequately","West Germany","2","","",""
"Yes","2009","inadequately","East Germany","","","",""
"Yes","2009","general elemantary","West Germany","45","0.0322643864850116","0.0234562626108201","0.041072510359203"
"Yes","2009","general elemantary","East Germany","6","","",""
"Yes","2009","middle vocational","West Germany","285","0.0434497121318277","0.038568887155592","0.0483305371080634"
"Yes","2009","middle vocational","East Germany","82","0.0406456477023209","0.0327602020949359","0.0485310933097059"
"Yes","2009","vocational + Abi","West Germany","24","","",""
"Yes","2009","vocational + Abi","East Germany","4","","",""
"Yes","2009","higher vocational","West Germany","41","0.0449410246471065","0.0318696574616407","0.0580123918325723"
"Yes","2009","higher vocational","East Germany","19","","",""
"Yes","2009","higher education","West Germany","118","0.0357530639044134","0.0289243379014937","0.0425817899073332"
"Yes","2009","higher education","East Germany","56","0.0451379411750511","0.0334355090125689","0.0568403733375332"
"No","2009","in school","West Germany","258","1","1","1"
"No","2009","in school","East Germany","55","1","1","1"
"No","2009","inadequately","West Germany","151","0.990580123472617","0.975273838829423","1.00588640811581"
"No","2009","inadequately","East Germany","16","","",""
"No","2009","general elemantary","West Germany","1501","0.967735613514988","0.958927489640797","0.97654373738918"
"No","2009","general elemantary","East Germany","260","0.980560650189993","0.963969160912759","0.997152139467227"
"No","2009","middle vocational","West Germany","6417","0.956550287868172","0.951669462891936","0.961431112844408"
"No","2009","middle vocational","East Germany","2327","0.959354352297679","0.951468906690294","0.967239797905064"
"No","2009","vocational + Abi","West Germany","826","0.966945677851644","0.954927080265264","0.978964275438025"
"No","2009","vocational + Abi","East Germany","149","0.989541056419108","0.973421124817396","1.00566098802082"
"No","2009","higher vocational","West Germany","924","0.955058975352894","0.941987608167428","0.968130342538359"
"No","2009","higher vocational","East Germany","354","0.952863894090087","0.931356590718637","0.974371197461538"
"No","2009","higher education","West Germany","2722","0.964246936095587","0.957418210092667","0.971075662098506"
"No","2009","higher education","East Germany","1153","0.954862058824949","0.943159626662467","0.966564490987431"
"Yes","2010","in school","West Germany","","","",""
"Yes","2010","in school","East Germany","","","",""
"Yes","2010","inadequately","West Germany","","","",""
"Yes","2010","inadequately","East Germany","","","",""
"Yes","2010","general elemantary","West Germany","","","",""
"Yes","2010","general elemantary","East Germany","","","",""
"Yes","2010","middle vocational","West Germany","","","",""
"Yes","2010","middle vocational","East Germany","","","",""
"Yes","2010","vocational + Abi","West Germany","","","",""
"Yes","2010","vocational + Abi","East Germany","","","",""
"Yes","2010","higher vocational","West Germany","","","",""
"Yes","2010","higher vocational","East Germany","","","",""
"Yes","2010","higher education","West Germany","","","",""
"Yes","2010","higher education","East Germany","","","",""
"No","2010","in school","West Germany","","","",""
"No","2010","in school","East Germany","","","",""
"No","2010","inadequately","West Germany","","","",""
"No","2010","inadequately","East Germany","","","",""
"No","2010","general elemantary","West Germany","","","",""
"No","2010","general elemantary","East Germany","","","",""
"No","2010","middle vocational","West Germany","","","",""
"No","2010","middle vocational","East Germany","","","",""
"No","2010","vocational + Abi","West Germany","","","",""
"No","2010","vocational + Abi","East Germany","","","",""
"No","2010","higher vocational","West Germany","","","",""
"No","2010","higher vocational","East Germany","","","",""
"No","2010","higher education","West Germany","","","",""
"No","2010","higher education","East Germany","","","",""
"Yes","2011","in school","West Germany","2","","",""
"Yes","2011","in school","East Germany","","","",""
"Yes","2011","inadequately","West Germany","9","","",""
"Yes","2011","inadequately","East Germany","2","","",""
"Yes","2011","general elemantary","West Germany","84","0.0454360228304494","0.0360445266288858","0.054827519032013"
"Yes","2011","general elemantary","East Germany","6","","",""
"Yes","2011","middle vocational","West Germany","392","0.0519299472195236","0.0470380057197538","0.0568218887192934"
"Yes","2011","middle vocational","East Germany","98","0.0431886134952595","0.0354416224979202","0.0509356044925987"
"Yes","2011","vocational + Abi","West Germany","39","0.0390480911691751","0.02722395317338","0.0508722291649701"
"Yes","2011","vocational + Abi","East Germany","3","","",""
"Yes","2011","higher vocational","West Germany","49","0.0446309836543649","0.0321411329511195","0.0571208343576102"
"Yes","2011","higher vocational","East Germany","24","","",""
"Yes","2011","higher education","West Germany","165","0.0441926668783094","0.0371889976812363","0.0511963360753826"
"Yes","2011","higher education","East Germany","75","0.0613928266427212","0.0483034916250477","0.0744821616603947"
"No","2011","in school","West Germany","276","0.991783203386887","0.981171494286777","1.002394912487"
"No","2011","in school","East Germany","35","1","1","1"
"No","2011","inadequately","West Germany","195","0.95080192773573","0.921122735476066","0.980481119995394"
"No","2011","inadequately","East Germany","27","","",""
"No","2011","general elemantary","West Germany","1805","0.954563977169551","0.945172480967987","0.963955473371114"
"No","2011","general elemantary","East Germany","293","0.98616150306547","0.972920192240805","0.999402813890135"
"No","2011","middle vocational","West Germany","7511","0.948070052780476","0.943178111280707","0.952961994280246"
"No","2011","middle vocational","East Germany","2547","0.956811386504741","0.949064395507401","0.96455837750208"
"No","2011","vocational + Abi","West Germany","992","0.960951908830825","0.94912777083503","0.97277604682662"
"No","2011","vocational + Abi","East Germany","175","0.989090409209015","0.973830206041133","1.0043506123769"
"No","2011","higher vocational","West Germany","1001","0.955369016345635","0.94287916564239","0.96785886704888"
"No","2011","higher vocational","East Germany","380","0.957335864510966","0.937628840398845","0.977042888623087"
"No","2011","higher education","West Germany","3143","0.955807333121691","0.948803663924617","0.962811002318764"
"No","2011","higher education","East Germany","1217","0.938607173357279","0.925517838339605","0.951696508374952"
"Yes","2012","in school","West Germany","","","",""
"Yes","2012","in school","East Germany","","","",""
"Yes","2012","inadequately","West Germany","","","",""
"Yes","2012","inadequately","East Germany","","","",""
"Yes","2012","general elemantary","West Germany","","","",""
"Yes","2012","general elemantary","East Germany","","","",""
"Yes","2012","middle vocational","West Germany","","","",""
"Yes","2012","middle vocational","East Germany","","","",""
"Yes","2012","vocational + Abi","West Germany","","","",""
"Yes","2012","vocational + Abi","East Germany","","","",""
"Yes","2012","higher vocational","West Germany","","","",""
"Yes","2012","higher vocational","East Germany","","","",""
"Yes","2012","higher education","West Germany","","","",""
"Yes","2012","higher education","East Germany","","","",""
"No","2012","in school","West Germany","","","",""
"No","2012","in school","East Germany","","","",""
"No","2012","inadequately","West Germany","","","",""
"No","2012","inadequately","East Germany","","","",""
"No","2012","general elemantary","West Germany","","","",""
"No","2012","general elemantary","East Germany","","","",""
"No","2012","middle vocational","West Germany","","","",""
"No","2012","middle vocational","East Germany","","","",""
"No","2012","vocational + Abi","West Germany","","","",""
"No","2012","vocational + Abi","East Germany","","","",""
"No","2012","higher vocational","West Germany","","","",""
"No","2012","higher vocational","East Germany","","","",""
"No","2012","higher education","West Germany","","","",""
"No","2012","higher education","East Germany","","","",""
"Yes","2013","in school","West Germany","1","","",""
"Yes","2013","in school","East Germany","","","",""
"Yes","2013","inadequately","West Germany","6","","",""
"Yes","2013","inadequately","East Germany","2","","",""
"Yes","2013","general elemantary","West Germany","88","0.06327143682047","0.0514091188159253","0.0751337548250147"
"Yes","2013","general elemantary","East Germany","10","","",""
"Yes","2013","middle vocational","West Germany","405","0.0646104491096976","0.0588873156487505","0.0703335825706447"
"Yes","2013","middle vocational","East Germany","130","0.0644986961397434","0.0546113444926312","0.0743860477868557"
"Yes","2013","vocational + Abi","West Germany","44","0.0519759195232858","0.0377247367521654","0.0662271022944062"
"Yes","2013","vocational + Abi","East Germany","2","","",""
"Yes","2013","higher vocational","West Germany","55","0.0577081774952038","0.0429339931826158","0.0724823618077918"
"Yes","2013","higher vocational","East Germany","26","","",""
"Yes","2013","higher education","West Germany","189","0.054093521943779","0.0463369423569684","0.0618501015305897"
