"ple0015","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","131","1","1","1"
"Yes","2009","lower secondary degree","Female","166","1","1","1"
"Yes","2009","secondary school degree","Male","70","1","1","1"
"Yes","2009","secondary school degree","Female","119","1","1","1"
"Yes","2009","college entrance qualification","Male","81","1","1","1"
"Yes","2009","college entrance qualification","Female","85","1","1","1"
"Yes","2009","Other degree","Male","11","","",""
"Yes","2009","Other degree","Female","12","","",""
"Yes","2009","no degree/no degree yet","Male","2","","",""
"Yes","2009","no degree/no degree yet","Female","3","","",""
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","174","1","1","1"
"Yes","2011","lower secondary degree","Female","219","1","1","1"
"Yes","2011","secondary school degree","Male","104","1","1","1"
"Yes","2011","secondary school degree","Female","158","1","1","1"
"Yes","2011","college entrance qualification","Male","100","1","1","1"
"Yes","2011","college entrance qualification","Female","130","1","1","1"
"Yes","2011","Other degree","Male","20","","",""
"Yes","2011","Other degree","Female","25","","",""
"Yes","2011","no degree/no degree yet","Male","6","","",""
"Yes","2011","no degree/no degree yet","Female","12","","",""
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","193","1","1","1"
"Yes","2013","lower secondary degree","Female","232","1","1","1"
"Yes","2013","secondary school degree","Male","119","1","1","1"
"Yes","2013","secondary school degree","Female","174","1","1","1"
"Yes","2013","college entrance qualification","Male","127","1","1","1"
"Yes","2013","college entrance qualification","Female","132","1","1","1"
"Yes","2013","Other degree","Male","23","","",""
"Yes","2013","Other degree","Female","29","","",""
"Yes","2013","no degree/no degree yet","Male","9","","",""
"Yes","2013","no degree/no degree yet","Female","5","","",""
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","178","1","1","1"
"Yes","2015","lower secondary degree","Female","250","1","1","1"
"Yes","2015","secondary school degree","Male","125","1","1","1"
"Yes","2015","secondary school degree","Female","217","1","1","1"
"Yes","2015","college entrance qualification","Male","136","1","1","1"
"Yes","2015","college entrance qualification","Female","156","1","1","1"
"Yes","2015","Other degree","Male","35","1","1","1"
"Yes","2015","Other degree","Female","43","1","1","1"
"Yes","2015","no degree/no degree yet","Male","9","","",""
"Yes","2015","no degree/no degree yet","Female","10","","",""
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","195","1","1","1"
"Yes","2017","lower secondary degree","Female","245","1","1","1"
"Yes","2017","secondary school degree","Male","138","1","1","1"
"Yes","2017","secondary school degree","Female","240","1","1","1"
"Yes","2017","college entrance qualification","Male","169","1","1","1"
"Yes","2017","college entrance qualification","Female","183","1","1","1"
"Yes","2017","Other degree","Male","36","1","1","1"
"Yes","2017","Other degree","Female","53","1","1","1"
"Yes","2017","no degree/no degree yet","Male","9","","",""
"Yes","2017","no degree/no degree yet","Female","9","","",""
"Yes","2018","lower secondary degree","Male","","","",""
"Yes","2018","lower secondary degree","Female","","","",""
"Yes","2018","secondary school degree","Male","","","",""
"Yes","2018","secondary school degree","Female","","","",""
"Yes","2018","college entrance qualification","Male","","","",""
"Yes","2018","college entrance qualification","Female","","","",""
"Yes","2018","Other degree","Male","","","",""
"Yes","2018","Other degree","Female","","","",""
"Yes","2018","no degree/no degree yet","Male","","","",""
"Yes","2018","no degree/no degree yet","Female","","","",""
"Yes","2019","lower secondary degree","Male","188","1","1","1"
"Yes","2019","lower secondary degree","Female","221","1","1","1"
"Yes","2019","secondary school degree","Male","173","1","1","1"
"Yes","2019","secondary school degree","Female","260","1","1","1"
"Yes","2019","college entrance qualification","Male","202","1","1","1"
"Yes","2019","college entrance qualification","Female","212","1","1","1"
"Yes","2019","Other degree","Male","42","1","1","1"
"Yes","2019","Other degree","Female","57","1","1","1"
"Yes","2019","no degree/no degree yet","Male","4","","",""
"Yes","2019","no degree/no degree yet","Female","7","","",""
