"ple0015","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Couple + C. GT 16 ","3099","0.981717716852542","0.977050373363406","0.986385060341678","2"
"No","2009","1-pers.-HH","2774","0.955538257796647","0.948049343256724","0.963027172336569","2"
"No","2009","(Married) couple without C. ","6282","0.942517763474026","0.936936417350426","0.948099109597626","2"
"No","2009","Couple + C. LE and GT 16","1167","0.992442718338311","0.987503494918308","0.997381941758313","2"
"No","2009","Single parent ","973","0.961779856341709","0.949872854581873","0.973686858101545","2"
"No","2009","Couple + C. LE 16 ","2832","0.98871878770823","0.984848178247652","0.992589397168808","2"
"Yes","2009","1-pers.-HH","136","0.0444617422033533","0.0369728276634309","0.0519506567432757","1"
"Yes","2009","(Married) couple without C. ","399","0.0574822365259739","0.0519008904023737","0.063063582649574","1"
"Yes","2009","Single parent ","23","","","","1"
"Yes","2009","Couple + C. LE 16 ","28","","","","1"
"Yes","2009","Couple + C. GT 16 ","66","0.0182822831474583","0.0136149396583223","0.0229496266365944","1"
"Yes","2009","Couple + C. LE and GT 16","14","","","","1"
"No","2010","Couple + C. GT 16 ","","","","","2"
"No","2010","1-pers.-HH","","","","","2"
"No","2010","Couple + C. LE and GT 16","","","","","2"
"No","2010","(Married) couple without C. ","","","","","2"
"No","2010","Single parent ","","","","","2"
"No","2010","Couple + C. LE 16 ","","","","","2"
"Yes","2010","1-pers.-HH","","","","","1"
"Yes","2010","(Married) couple without C. ","","","","","1"
"Yes","2010","Single parent ","","","","","1"
"Yes","2010","Couple + C. LE 16 ","","","","","1"
"Yes","2010","Couple + C. GT 16 ","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","","","","","1"
"No","2011","1-pers.-HH","3365","0.947287339684739","0.939961301956518","0.95461337741296","2"
"No","2011","Couple + C. GT 16 ","3127","0.977011533315647","0.971819827186576","0.982203239444717","2"
"No","2011","Couple + C. LE and GT 16","1220","0.988808484181444","0.982939119969209","0.994677848393679","2"
"No","2011","(Married) couple without C. ","7590","0.935693946351513","0.930366790707239","0.941021101995787","2"
"No","2011","Single parent ","1144","0.972090951106502","0.962669018119027","0.981512884093978","2"
"No","2011","Couple + C. LE 16 ","3068","0.981333345724386","0.976581949917367","0.986084741531405","2"
"Yes","2011","1-pers.-HH","209","0.0527126603152611","0.0453866225870402","0.060038698043482","1"
"Yes","2011","(Married) couple without C. ","555","0.064306053648487","0.0589788980042125","0.0696332092927615","1"
"Yes","2011","Single parent ","30","0.0279090488934976","0.0184871159060223","0.0373309818809728","1"
"Yes","2011","Couple + C. LE 16 ","49","0.0186666542756142","0.013915258468595","0.0234180500826334","1"
"Yes","2011","Couple + C. GT 16 ","74","0.0229884666843535","0.0177967605552829","0.028180172813424","1"
"Yes","2011","Couple + C. LE and GT 16","14","","","","1"
"No","2012","1-pers.-HH","","","","","2"
"No","2012","(Married) couple without C. ","","","","","2"
"No","2012","Couple + C. GT 16 ","","","","","2"
"No","2012","Couple + C. LE and GT 16","","","","","2"
"No","2012","Single parent ","","","","","2"
"No","2012","Couple + C. LE 16 ","","","","","2"
"Yes","2012","1-pers.-HH","","","","","1"
"Yes","2012","(Married) couple without C. ","","","","","1"
"Yes","2012","Single parent ","","","","","1"
"Yes","2012","Couple + C. LE 16 ","","","","","1"
"Yes","2012","Couple + C. GT 16 ","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","","","","","1"
"No","2013","1-pers.-HH","3244","0.932517978976934","0.92417505383827","0.940860904115598","2"
"No","2013","(Married) couple without C. ","7026","0.917506687865084","0.911343725959155","0.923669649771014","2"
"No","2013","Single parent ","1078","0.952959976612795","0.940538103498258","0.965381849727331","2"
"No","2013","Couple + C. LE 16 ","2735","0.984234671528391","0.979598345181151","0.988870997875632","2"
"No","2013","Couple + C. GT 16 ","2552","0.971467035719507","0.965108930857365","0.977825140581648","2"
"No","2013","Couple + C. LE and GT 16","929","0.986344514892642","0.978933280939967","0.993755748845316","2"
"Yes","2013","1-pers.-HH","229","0.0674820210230661","0.0591390958844023","0.0758249461617299","1"
"Yes","2013","(Married) couple without C. ","629","0.0824933121349155","0.076330350228986","0.0886562740408451","1"
"Yes","2013","Single parent ","38","0.0470400233872052","0.0346181502726689","0.0594618965017416","1"
"Yes","2013","Couple + C. LE 16 ","38","0.0157653284716087","0.0111290021243679","0.0204016548188494","1"
"Yes","2013","Couple + C. GT 16 ","82","0.028532964280493","0.0221748594183515","0.0348910691426345","1"
"Yes","2013","Couple + C. LE and GT 16","13","","","","1"
"No","2014","1-pers.-HH","","","","","2"
"No","2014","(Married) couple without C. ","","","","","2"
"No","2014","Single parent ","","","","","2"
"No","2014","Couple + C. LE 16 ","","","","","2"
"No","2014","Couple + C. GT 16 ","","","","","2"
