"ple0015","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","Male","43","0.0270989722485173","0.0179988840051036","0.036199060491931"
"Yes","2009","1-pers.-HH","Female","93","0.0585878428834339","0.047380976215243","0.0697947095516248"
"Yes","2009","(Married) couple without C. ","Male","196","0.0551763374828637","0.0473968403909537","0.0629558345747737"
"Yes","2009","(Married) couple without C. ","Female","203","0.0598386767432044","0.0518330287728414","0.0678443247135675"
"Yes","2009","Single parent ","Male","2","","",""
"Yes","2009","Single parent ","Female","21","","",""
"Yes","2009","Couple + C. LE 16 ","Male","10","","",""
"Yes","2009","Couple + C. LE 16 ","Female","18","","",""
"Yes","2009","Couple + C. GT 16 ","Male","33","0.0130261306471077","0.00763460166938544","0.0184176596248299"
"Yes","2009","Couple + C. GT 16 ","Female","33","0.0248954885639441","0.0169198215180407","0.0328711556098474"
"Yes","2009","Couple + C. LE and GT 16","Male","6","","",""
"Yes","2009","Couple + C. LE and GT 16","Female","8","","",""
"No","2009","1-pers.-HH","Male","1180","0.972901027751483","0.963800939508069","0.982001115994896"
"No","2009","1-pers.-HH","Female","1594","0.941412157116566","0.930205290448375","0.952619023784757"
"No","2009","(Married) couple without C. ","Male","3113","0.944823662517136","0.937044165425226","0.952603159609046"
"No","2009","(Married) couple without C. ","Female","3169","0.940161323256796","0.932155675286433","0.948166971227159"
"No","2009","Single parent ","Male","288","0.99410035315489","0.985286268572318","1.00291443773746"
"No","2009","Single parent ","Female","685","0.948714423122827","0.932443540409089","0.964985305836565"
"No","2009","Couple + C. LE 16 ","Male","1376","0.993697162885685","0.989530757320395","0.997863568450974"
"No","2009","Couple + C. LE 16 ","Female","1456","0.983608290566979","0.97712608852887","0.990090492605089"
"No","2009","Couple + C. GT 16 ","Male","1666","0.986973869352892","0.98158234037517","0.992365398330614"
"No","2009","Couple + C. GT 16 ","Female","1433","0.975104511436056","0.967128844390152","0.983080178481959"
"No","2009","Couple + C. LE and GT 16","Male","589","0.992978852301107","0.986269761613068","0.999687942989146"
"No","2009","Couple + C. LE and GT 16","Female","578","0.991821569229877","0.984529495548713","0.999113642911041"
"Yes","2010","1-pers.-HH","Male","","","",""
"Yes","2010","1-pers.-HH","Female","","","",""
"Yes","2010","(Married) couple without C. ","Male","","","",""
"Yes","2010","(Married) couple without C. ","Female","","","",""
"Yes","2010","Single parent ","Male","","","",""
"Yes","2010","Single parent ","Female","","","",""
"Yes","2010","Couple + C. LE 16 ","Male","","","",""
"Yes","2010","Couple + C. LE 16 ","Female","","","",""
"Yes","2010","Couple + C. GT 16 ","Male","","","",""
"Yes","2010","Couple + C. GT 16 ","Female","","","",""
"Yes","2010","Couple + C. LE and GT 16","Male","","","",""
"Yes","2010","Couple + C. LE and GT 16","Female","","","",""
"No","2010","1-pers.-HH","Male","","","",""
"No","2010","1-pers.-HH","Female","","","",""
"No","2010","(Married) couple without C. ","Male","","","",""
"No","2010","(Married) couple without C. ","Female","","","",""
"No","2010","Single parent ","Male","","","",""
"No","2010","Single parent ","Female","","","",""
"No","2010","Couple + C. LE 16 ","Male","","","",""
"No","2010","Couple + C. LE 16 ","Female","","","",""
"No","2010","Couple + C. GT 16 ","Male","","","",""
"No","2010","Couple + C. GT 16 ","Female","","","",""
"No","2010","Couple + C. LE and GT 16","Male","","","",""
"No","2010","Couple + C. LE and GT 16","Female","","","",""
"Yes","2011","1-pers.-HH","Male","64","0.0369055135986092","0.0272940184939653","0.046517008703253"
"Yes","2011","1-pers.-HH","Female","145","0.0649047863173945","0.0543580343869267","0.0754515382478622"
"Yes","2011","(Married) couple without C. ","Male","279","0.0640086448930105","0.0564693724425157","0.0715479173435053"
"Yes","2011","(Married) couple without C. ","Female","276","0.0646092566544429","0.0570806947959091","0.0721378185129768"
"Yes","2011","Single parent ","Male","4","","",""
"Yes","2011","Single parent ","Female","26","","",""
"Yes","2011","Couple + C. LE 16 ","Male","16","","",""
"Yes","2011","Couple + C. LE 16 ","Female","33","0.031737395509215","0.0232141768546802","0.0402606141637499"
"Yes","2011","Couple + C. GT 16 ","Male","30","0.0151905280283618","0.00934882344055859","0.021032232616165"
"Yes","2011","Couple + C. GT 16 ","Female","44","0.03237589864186","0.0234691426406279","0.0412826546430921"
"Yes","2011","Couple + C. LE and GT 16","Male","4","","",""
"Yes","2011","Couple + C. LE and GT 16","Female","10","","",""
"No","2011","1-pers.-HH","Male","1414","0.963094486401391","0.953482991296747","0.972705981506035"
"No","2011","1-pers.-HH","Female","1951","0.935095213682605","0.924548461752138","0.945641965613073"
"No","2011","(Married) couple without C. ","Male","3770","0.935991355106989","0.928452082656495","0.943530627557484"
"No","2011","(Married) couple without C. ","Female","3820","0.935390743345557","0.927862181487023","0.942919305204091"
"No","2011","Single parent ","Male","329","0.986940819602748","0.97474728849177","0.999134350713726"
"No","2011","Single parent ","Female","815","0.96259958030237","0.949775944805448","0.975423215799293"
"No","2011","Couple + C. LE 16 ","Male","1476","0.994013098701412","0.990098738543697","0.997927458859127"
"No","2011","Couple + C. LE 16 ","Female","1592","0.968262604490785","0.95973938583625","0.97678582314532"
"No","2011","Couple + C. GT 16 ","Male","1654","0.984809471971638","0.978967767383835","0.990651176559441"
"No","2011","Couple + C. GT 16 ","Female","1473","0.96762410135814","0.958717345356908","0.976530857359372"
"No","2011","Couple + C. LE and GT 16","Male","624","0.993632848181987","0.987411939276031","0.999853757087943"
"No","2011","Couple + C. LE and GT 16","Female","596","0.983026051489479","0.972741491095289","0.99331061188367"
"Yes","2012","1-pers.-HH","Male","","","",""
"Yes","2012","1-pers.-HH","Female","","","",""
"Yes","2012","(Married) couple without C. ","Male","","","",""
"Yes","2012","(Married) couple without C. ","Female","","","",""
"Yes","2012","Single parent ","Male","","","",""
"Yes","2012","Single parent ","Female","","","",""
"Yes","2012","Couple + C. LE 16 ","Male","","","",""
"Yes","2012","Couple + C. LE 16 ","Female","","","",""
"Yes","2012","Couple + C. GT 16 ","Male","","","",""
"Yes","2012","Couple + C. GT 16 ","Female","","","",""
"Yes","2012","Couple + C. LE and GT 16","Male","","","",""
"Yes","2012","Couple + C. LE and GT 16","Female","","","",""
"No","2012","1-pers.-HH","Male","","","",""
"No","2012","1-pers.-HH","Female","","","",""
"No","2012","(Married) couple without C. ","Male","","","",""
"No","2012","(Married) couple without C. ","Female","","","",""
"No","2012","Single parent ","Male","","","",""
"No","2012","Single parent ","Female","","","",""
"No","2012","Couple + C. LE 16 ","Male","","","",""
"No","2012","Couple + C. LE 16 ","Female","","","",""
"No","2012","Couple + C. GT 16 ","Male","","","",""
"No","2012","Couple + C. GT 16 ","Female","","","",""
"No","2012","Couple + C. LE and GT 16","Male","","","",""
"No","2012","Couple + C. LE and GT 16","Female","","","",""
"Yes","2013","1-pers.-HH","Male","75","0.0470877149845176","0.0361772293685203","0.057998200600515"
"Yes","2013","1-pers.-HH","Female","154","0.0834343299236264","0.0713898025825825","0.0954788572646703"
"Yes","2013","(Married) couple without C. ","Male","333","0.0881015689347644","0.0790895655074985","0.0971135723620303"
"Yes","2013","(Married) couple without C. ","Female","296","0.076788232893627","0.0683833067374696","0.0851931590497845"
"Yes","2013","Single parent ","Male","7","","",""
"Yes","2013","Single parent ","Female","31","0.0618891008488694","0.0452129780580564","0.0785652236396824"
"Yes","2013","Couple + C. LE 16 ","Male","13","","",""
"Yes","2013","Couple + C. LE 16 ","Female","25","","",""
"Yes","2013","Couple + C. GT 16 ","Male","30","0.0176321499275251","0.0107083730601444","0.0245559267949058"
"Yes","2013","Couple + C. GT 16 ","Female","52","0.0420715446106949","0.0309247541965301","0.0532183350248596"
"Yes","2013","Couple + C. LE and GT 16","Male","6","","",""
"Yes","2013","Couple + C. LE and GT 16","Female","7","","",""
"No","2013","1-pers.-HH","Male","1373","0.952912285015482","0.942001799399485","0.96382277063148"
"No","2013","1-pers.-HH","Female","1871","0.916565670076374","0.90452114273533","0.928610197417417"
"No","2013","(Married) couple without C. ","Male","3467","0.911898431065236","0.90288642763797","0.920910434492502"
"No","2013","(Married) couple without C. ","Female","3559","0.923211767106373","0.914806840950215","0.93161669326253"
"No","2013","Single parent ","Male","307","0.978915973514698","0.963025649563557","0.994806297465838"
"No","2013","Single parent ","Female","771","0.938110899151131","0.921434776360317","0.954787021941944"
"No","2013","Couple + C. LE 16 ","Male","1307","0.991982795366715","0.987171913643522","0.996793677089908"
"No","2013","Couple + C. LE 16 ","Female","1428","0.976397895236018","0.968592335207093","0.984203455264943"
"No","2013","Couple + C. GT 16 ","Male","1358","0.982367850072475","0.975444073205094","0.989291626939856"
"No","2013","Couple + C. GT 16 ","Female","1194","0.957928455389305","0.94678166497514","0.96907524580347"
"No","2013","Couple + C. LE and GT 16","Male","439","0.984671550723214","0.973256893055503","0.996086208390926"
"No","2013","Couple + C. LE and GT 16","Female","490","0.988092584421951","0.97855633784128","0.997628831002623"
"Yes","2014","1-pers.-HH","Male","","","",""
"Yes","2014","1-pers.-HH","Female","","","",""
"Yes","2014","(Married) couple without C. ","Male","","","",""
"Yes","2014","(Married) couple without C. ","Female","","","",""
"Yes","2014","Single parent ","Male","","","",""
"Yes","2014","Single parent ","Female","","","",""
"Yes","2014","Couple + C. LE 16 ","Male","","","",""
"Yes","2014","Couple + C. LE 16 ","Female","","","",""
"Yes","2014","Couple + C. GT 16 ","Male","","","",""
"Yes","2014","Couple + C. GT 16 ","Female","","","",""
"Yes","2014","Couple + C. LE and GT 16","Male","","","",""
"Yes","2014","Couple + C. LE and GT 16","Female","","","",""
"No","2014","1-pers.-HH","Male","","","",""
"No","2014","1-pers.-HH","Female","","","",""
"No","2014","(Married) couple without C. ","Male","","","",""
"No","2014","(Married) couple without C. ","Female","","","",""
"No","2014","Single parent ","Male","","","",""
"No","2014","Single parent ","Female","","","",""
"No","2014","Couple + C. LE 16 ","Male","","","",""
"No","2014","Couple + C. LE 16 ","Female","","","",""
"No","2014","Couple + C. GT 16 ","Male","","","",""
"No","2014","Couple + C. GT 16 ","Female","","","",""
"No","2014","Couple + C. LE and GT 16","Male","","","",""
"No","2014","Couple + C. LE and GT 16","Female","","","",""
