"ple0015","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","lower secondary degree","1","","",""
"Yes","2009","16-34 y.","secondary school degree","7","","",""
"Yes","2009","16-34 y.","college entrance qualification","3","","",""
"Yes","2009","16-34 y.","Other degree","","","",""
"Yes","2009","16-34 y.","no degree/no degree yet","","","",""
"Yes","2009","35-65 y.","lower secondary degree","98","1","1","1"
"Yes","2009","35-65 y.","secondary school degree","109","1","1","1"
"Yes","2009","35-65 y.","college entrance qualification","88","1","1","1"
"Yes","2009","35-65 y.","Other degree","9","","",""
"Yes","2009","35-65 y.","no degree/no degree yet","2","","",""
"Yes","2009","66 and older","lower secondary degree","198","1","1","1"
"Yes","2009","66 and older","secondary school degree","73","1","1","1"
"Yes","2009","66 and older","college entrance qualification","75","1","1","1"
"Yes","2009","66 and older","Other degree","14","","",""
"Yes","2009","66 and older","no degree/no degree yet","3","","",""
"Yes","2010","16-34 y.","lower secondary degree","","","",""
"Yes","2010","16-34 y.","secondary school degree","","","",""
"Yes","2010","16-34 y.","college entrance qualification","","","",""
"Yes","2010","16-34 y.","Other degree","","","",""
"Yes","2010","16-34 y.","no degree/no degree yet","","","",""
"Yes","2010","35-65 y.","lower secondary degree","","","",""
"Yes","2010","35-65 y.","secondary school degree","","","",""
"Yes","2010","35-65 y.","college entrance qualification","","","",""
"Yes","2010","35-65 y.","Other degree","","","",""
"Yes","2010","35-65 y.","no degree/no degree yet","","","",""
"Yes","2010","66 and older","lower secondary degree","","","",""
"Yes","2010","66 and older","secondary school degree","","","",""
"Yes","2010","66 and older","college entrance qualification","","","",""
"Yes","2010","66 and older","Other degree","","","",""
"Yes","2010","66 and older","no degree/no degree yet","","","",""
"Yes","2011","16-34 y.","lower secondary degree","3","","",""
"Yes","2011","16-34 y.","secondary school degree","5","","",""
"Yes","2011","16-34 y.","college entrance qualification","5","","",""
"Yes","2011","16-34 y.","Other degree","1","","",""
"Yes","2011","16-34 y.","no degree/no degree yet","4","","",""
"Yes","2011","35-65 y.","lower secondary degree","143","1","1","1"
"Yes","2011","35-65 y.","secondary school degree","149","1","1","1"
"Yes","2011","35-65 y.","college entrance qualification","122","1","1","1"
"Yes","2011","35-65 y.","Other degree","26","","",""
"Yes","2011","35-65 y.","no degree/no degree yet","8","","",""
"Yes","2011","66 and older","lower secondary degree","247","1","1","1"
"Yes","2011","66 and older","secondary school degree","108","1","1","1"
"Yes","2011","66 and older","college entrance qualification","103","1","1","1"
"Yes","2011","66 and older","Other degree","18","","",""
"Yes","2011","66 and older","no degree/no degree yet","6","","",""
"Yes","2012","16-34 y.","lower secondary degree","","","",""
"Yes","2012","16-34 y.","secondary school degree","","","",""
"Yes","2012","16-34 y.","college entrance qualification","","","",""
"Yes","2012","16-34 y.","Other degree","","","",""
"Yes","2012","16-34 y.","no degree/no degree yet","","","",""
"Yes","2012","35-65 y.","lower secondary degree","","","",""
"Yes","2012","35-65 y.","secondary school degree","","","",""
"Yes","2012","35-65 y.","college entrance qualification","","","",""
"Yes","2012","35-65 y.","Other degree","","","",""
"Yes","2012","35-65 y.","no degree/no degree yet","","","",""
"Yes","2012","66 and older","lower secondary degree","","","",""
"Yes","2012","66 and older","secondary school degree","","","",""
"Yes","2012","66 and older","college entrance qualification","","","",""
"Yes","2012","66 and older","Other degree","","","",""
"Yes","2012","66 and older","no degree/no degree yet","","","",""
