"ple0015","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","16-34 y.","1-pers.-HH","548","0.993669868659099","0.987053709058539","1.00028602825966","2"
"No","2009","16-34 y.","Couple + C. GT 16 ","1079","0.999557642322356","0.998304137668396","1.00081114697632","2"
"No","2009","35-65 y.","Couple + C. GT 16 ","1850","0.971403323608104","0.963916938017786","0.978889709198423","2"
"No","2009","16-34 y.","Single parent ","403","1","1","1","2"
"No","2009","16-34 y.","Couple + C. LE 16 ","758","0.999052777898866","0.996864273971636","1.0012412818261","2"
"No","2009","66 and older","1-pers.-HH","1091","0.918627217781475","0.903020900733375","0.934233534829575","2"
"No","2009","66 and older","(Married) couple without C. ","2464","0.905789723821748","0.894801537696578","0.916777909946917","2"
"No","2009","66 and older","Couple + C. LE 16 ","3","","","","2"
"No","2009","66 and older","Couple + C. GT 16 ","170","0.954829856725974","0.924490905218742","0.985168808233207","2"
"No","2009","66 and older","Couple + C. LE and GT 16","2","","","","2"
"No","2009","35-65 y.","Couple + C. LE and GT 16","793","0.988205990077292","0.980757541752409","0.995654438402175","2"
"No","2009","16-34 y.","(Married) couple without C. ","740","0.996452411035587","0.992180162082388","1.00072465998879","2"
"No","2009","66 and older","Single parent ","58","0.90778471168399","0.83576603407778","0.979803389290201","2"
"No","2009","16-34 y.","Couple + C. LE and GT 16","372","1","1","1","2"
"No","2009","35-65 y.","1-pers.-HH","1135","0.972129065659822","0.962733370523746","0.981524760795898","2"
"No","2009","35-65 y.","(Married) couple without C. ","3078","0.957825092905052","0.950885156424732","0.964765029385372","2"
"No","2009","35-65 y.","Single parent ","512","0.929671597218272","0.90792301307976","0.951420181356784","2"
"No","2009","35-65 y.","Couple + C. LE 16 ","2071","0.984850191404419","0.979620920855742","0.990079461953095","2"
"Yes","2009","16-34 y.","1-pers.-HH","4","","","","1"
"Yes","2009","16-34 y.","(Married) couple without C. ","4","","","","1"
"Yes","2009","16-34 y.","Single parent ","","","","","1"
"Yes","2009","16-34 y.","Couple + C. LE 16 ","1","","","","1"
"Yes","2009","16-34 y.","Couple + C. GT 16 ","2","","","","1"
"Yes","2009","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","2009","35-65 y.","1-pers.-HH","44","0.0278709343401778","0.0184752392041019","0.0372666294762536","1"
"Yes","2009","35-65 y.","(Married) couple without C. ","144","0.0421749070949481","0.0352349706146283","0.049114843575268","1"
"Yes","2009","35-65 y.","Single parent ","19","","","","1"
"Yes","2009","35-65 y.","Couple + C. LE 16 ","25","","","","1"
"Yes","2009","35-65 y.","Couple + C. GT 16 ","54","0.0285966763918956","0.0211102908015774","0.0360830619822138","1"
"Yes","2009","35-65 y.","Couple + C. LE and GT 16","14","","","","1"
"Yes","2009","66 and older","1-pers.-HH","88","0.0813727822185252","0.0657664651704249","0.0969790992666254","1"
"Yes","2009","66 and older","(Married) couple without C. ","251","0.0942102761782522","0.0832220900530826","0.105198462303422","1"
"Yes","2009","66 and older","Single parent ","4","","","","1"
"Yes","2009","66 and older","Couple + C. LE 16 ","2","","","","1"
"Yes","2009","66 and older","Couple + C. GT 16 ","10","","","","1"
"Yes","2009","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","2010","35-65 y.","Couple + C. GT 16 ","","","","","2"
"No","2010","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"No","2010","66 and older","1-pers.-HH","","","","","2"
"No","2010","66 and older","(Married) couple without C. ","","","","","2"
"No","2010","16-34 y.","1-pers.-HH","","","","","2"
"No","2010","16-34 y.","Single parent ","","","","","2"
"No","2010","16-34 y.","Couple + C. LE 16 ","","","","","2"
"No","2010","16-34 y.","Couple + C. GT 16 ","","","","","2"
"No","2010","66 and older","Single parent ","","","","","2"
"No","2010","66 and older","Couple + C. LE 16 ","","","","","2"
"No","2010","66 and older","Couple + C. GT 16 ","","","","","2"
"No","2010","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","2010","16-34 y.","(Married) couple without C. ","","","","","2"
"No","2010","16-34 y.","Couple + C. LE and GT 16","","","","","2"
