"ple0015","year","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Male","8348","0.970168681589004","0.966582349012166","0.973755014165843","2"
"No","2009","Female","9095","0.954150751937691","0.949940842798385","0.958360661076997","2"
"Yes","2009","Male","296","0.0298313184109955","0.0262449858341569","0.0334176509878341","1"
"Yes","2009","Female","387","0.0458492480623089","0.0416393389230031","0.0500591572016146","1"
"No","2010","Male","","","","","2"
"No","2010","Female","","","","","2"
"Yes","2010","Male","","","","","1"
"Yes","2010","Female","","","","","1"
"No","2011","Male","9434","0.961509557022962","0.957708311969164","0.965310802076759","2"
"No","2011","Female","10476","0.946359624302613","0.942153214344385","0.950566034260841","2"
"Yes","2011","Male","405","0.0384904429770382","0.0346891979232406","0.0422916880308359","1"
"Yes","2011","Female","545","0.0536403756973871","0.0494339657391587","0.0578467856556155","1"
"No","2012","Male","","","","","2"
"No","2012","Female","","","","","2"
"Yes","2012","Male","","","","","1"
"Yes","2012","Female","","","","","1"
"No","2013","Male","8400","0.946300417349071","0.941610249882619","0.950990584815523","2"
"No","2013","Female","9522","0.933720131395344","0.928867792852756","0.938572469937932","2"
"Yes","2013","Male","474","0.0536995826509289","0.0490094151844767","0.058389750117381","1"
"Yes","2013","Female","575","0.0662798686046556","0.0614275300620676","0.0711322071472436","1"
"No","2014","Male","","","","","2"
"No","2014","Female","","","","","2"
"Yes","2014","Male","","","","","1"
"Yes","2014","Female","","","","","1"
"No","2015","Male","11029","0.950514890345215","0.946553978849596","0.954475801840835","2"
"No","2015","Female","12969","0.936503892733845","0.932413524661115","0.940594260806575","2"
"Yes","2015","Male","488","0.0494851096547846","0.0455241981591652","0.0534460211504041","1"
"Yes","2015","Female","684","0.0634961072661551","0.059405739193425","0.0675864753388852","1"
"No","2016","Male","","","","","2"
"No","2016","Female","","","","","2"
"Yes","2016","Male","","","","","1"
"Yes","2016","Female","","","","","1"
"No","2017","Male","11786","0.952310983109102","0.948550819948114","0.956071146270089","2"
"No","2017","Female","13639","0.936285309653274","0.932293846294132","0.940276773012415","2"
"Yes","2017","Male","553","0.0476890168908981","0.0439288537299106","0.0514491800518856","1"
"Yes","2017","Female","745","0.0637146903467262","0.0597232269875847","0.0677061537058676","1"
"No","2018","Male","","","","","2"
"No","2018","Female","","","","","2"
"Yes","2018","Male","","","","","1"
"Yes","2018","Female","","","","","1"
"No","2019","Male","11733","0.951156577083743","0.947355637874817","0.954957516292668","2"
"No","2019","Female","12743","0.930659077636962","0.926376729349187","0.934941425924736","2"
"Yes","2019","Male","620","0.0488434229162573","0.0450424837073314","0.0526443621251832","1"
"Yes","2019","Female","775","0.0693409223630384","0.0650585740752643","0.0736232706508125","1"
