"ple0015","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","(0) in school","","","",""
"Yes","2009","no migration background","(1a) inadequately completed","3","","",""
"Yes","2009","no migration background","(1b) general elementary school","33","1","1","1"
"Yes","2009","no migration background","(1c) basic vocational qualification","238","1","1","1"
"Yes","2009","no migration background","(2b) intermediate general qualification","5","","",""
"Yes","2009","no migration background","(2a) intermediate vocational","146","1","1","1"
"Yes","2009","no migration background","(2c_gen) general maturity certificate","6","","",""
"Yes","2009","no migration background","(2c_voc) vocational maturity certificate","35","1","1","1"
"Yes","2009","no migration background","(3a) lower tertiary education","76","1","1","1"
"Yes","2009","no migration background","(3b) higher tertiary education","89","1","1","1"
"Yes","2009","direct migration background","(0) in school","","","",""
"Yes","2009","direct migration background","(1a) inadequately completed","2","","",""
"Yes","2009","direct migration background","(1b) general elementary school","11","","",""
"Yes","2009","direct migration background","(1c) basic vocational qualification","13","","",""
"Yes","2009","direct migration background","(2b) intermediate general qualification","1","","",""
"Yes","2009","direct migration background","(2a) intermediate vocational","4","","",""
"Yes","2009","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2009","direct migration background","(2c_voc) vocational maturity certificate","5","","",""
"Yes","2009","direct migration background","(3a) lower tertiary education","1","","",""
"Yes","2009","direct migration background","(3b) higher tertiary education","7","","",""
"Yes","2009","indirect migration background","(0) in school","","","",""
"Yes","2009","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2009","indirect migration background","(1b) general elementary school","1","","",""
"Yes","2009","indirect migration background","(1c) basic vocational qualification","1","","",""
"Yes","2009","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2009","indirect migration background","(2a) intermediate vocational","1","","",""
"Yes","2009","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2009","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2009","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2009","indirect migration background","(3b) higher tertiary education","1","","",""
"Yes","2010","no migration background","(0) in school","","","",""
"Yes","2010","no migration background","(1a) inadequately completed","","","",""
"Yes","2010","no migration background","(1b) general elementary school","","","",""
"Yes","2010","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","no migration background","(2a) intermediate vocational","","","",""
"Yes","2010","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","no migration background","(3a) lower tertiary education","","","",""
"Yes","2010","no migration background","(3b) higher tertiary education","","","",""
"Yes","2010","direct migration background","(0) in school","","","",""
"Yes","2010","direct migration background","(1a) inadequately completed","","","",""
"Yes","2010","direct migration background","(1b) general elementary school","","","",""
"Yes","2010","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2010","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2010","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2010","indirect migration background","(0) in school","","","",""
"Yes","2010","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2010","indirect migration background","(1b) general elementary school","","","",""
"Yes","2010","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2010","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2010","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2011","no migration background","(0) in school","2","","",""
"Yes","2011","no migration background","(1a) inadequately completed","10","","",""
"Yes","2011","no migration background","(1b) general elementary school","60","1","1","1"
"Yes","2011","no migration background","(1c) basic vocational qualification","305","1","1","1"
"Yes","2011","no migration background","(2b) intermediate general qualification","10","","",""
"Yes","2011","no migration background","(2a) intermediate vocational","195","1","1","1"
"Yes","2011","no migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","2011","no migration background","(2c_voc) vocational maturity certificate","54","1","1","1"
"Yes","2011","no migration background","(3a) lower tertiary education","92","1","1","1"
"Yes","2011","no migration background","(3b) higher tertiary education","129","1","1","1"
"Yes","2011","direct migration background","(0) in school","","","",""
"Yes","2011","direct migration background","(1a) inadequately completed","4","","",""
"Yes","2011","direct migration background","(1b) general elementary school","17","","",""
"Yes","2011","direct migration background","(1c) basic vocational qualification","17","","",""
"Yes","2011","direct migration background","(2b) intermediate general qualification","1","","",""
"Yes","2011","direct migration background","(2a) intermediate vocational","5","","",""
"Yes","2011","direct migration background","(2c_gen) general maturity certificate","4","","",""
"Yes","2011","direct migration background","(2c_voc) vocational maturity certificate","9","","",""
"Yes","2011","direct migration background","(3a) lower tertiary education","2","","",""
"Yes","2011","direct migration background","(3b) higher tertiary education","15","","",""
"Yes","2011","indirect migration background","(0) in school","","","",""
"Yes","2011","indirect migration background","(1a) inadequately completed","1","","",""
"Yes","2011","indirect migration background","(1b) general elementary school","1","","",""
"Yes","2011","indirect migration background","(1c) basic vocational qualification","1","","",""
"Yes","2011","indirect migration background","(2b) intermediate general qualification","1","","",""
"Yes","2011","indirect migration background","(2a) intermediate vocational","4","","",""
"Yes","2011","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","2011","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2011","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2011","indirect migration background","(3b) higher tertiary education","2","","",""
"Yes","2012","no migration background","(0) in school","","","",""
"Yes","2012","no migration background","(1a) inadequately completed","","","",""
"Yes","2012","no migration background","(1b) general elementary school","","","",""
"Yes","2012","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","no migration background","(2a) intermediate vocational","","","",""
"Yes","2012","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","no migration background","(3a) lower tertiary education","","","",""
"Yes","2012","no migration background","(3b) higher tertiary education","","","",""
"Yes","2012","direct migration background","(0) in school","","","",""
"Yes","2012","direct migration background","(1a) inadequately completed","","","",""
"Yes","2012","direct migration background","(1b) general elementary school","","","",""
"Yes","2012","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2012","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2012","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2012","indirect migration background","(0) in school","","","",""
"Yes","2012","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2012","indirect migration background","(1b) general elementary school","","","",""
"Yes","2012","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2012","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2012","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2013","no migration background","(0) in school","1","","",""
"Yes","2013","no migration background","(1a) inadequately completed","9","","",""
"Yes","2013","no migration background","(1b) general elementary school","66","1","1","1"
"Yes","2013","no migration background","(1c) basic vocational qualification","332","1","1","1"
"Yes","2013","no migration background","(2b) intermediate general qualification","17","","",""
"Yes","2013","no migration background","(2a) intermediate vocational","220","1","1","1"
"Yes","2013","no migration background","(2c_gen) general maturity certificate","6","","",""
"Yes","2013","no migration background","(2c_voc) vocational maturity certificate","58","1","1","1"
"Yes","2013","no migration background","(3a) lower tertiary education","104","1","1","1"
"Yes","2013","no migration background","(3b) higher tertiary education","152","1","1","1"
"Yes","2013","direct migration background","(0) in school","","","",""
"Yes","2013","direct migration background","(1a) inadequately completed","2","","",""
"Yes","2013","direct migration background","(1b) general elementary school","15","","",""
"Yes","2013","direct migration background","(1c) basic vocational qualification","23","","",""
"Yes","2013","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2013","direct migration background","(2a) intermediate vocational","4","","",""
"Yes","2013","direct migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","2013","direct migration background","(2c_voc) vocational maturity certificate","7","","",""
"Yes","2013","direct migration background","(3a) lower tertiary education","3","","",""
"Yes","2013","direct migration background","(3b) higher tertiary education","16","","",""
"Yes","2013","indirect migration background","(0) in school","","","",""
"Yes","2013","indirect migration background","(1a) inadequately completed","1","","",""
"Yes","2013","indirect migration background","(1b) general elementary school","","","",""
"Yes","2013","indirect migration background","(1c) basic vocational qualification","2","","",""
"Yes","2013","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2013","indirect migration background","(2a) intermediate vocational","2","","",""
"Yes","2013","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2013","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2013","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2013","indirect migration background","(3b) higher tertiary education","2","","",""
"Yes","2014","no migration background","(0) in school","","","",""
"Yes","2014","no migration background","(1a) inadequately completed","","","",""
"Yes","2014","no migration background","(1b) general elementary school","","","",""
"Yes","2014","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2014","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2014","no migration background","(2a) intermediate vocational","","","",""
"Yes","2014","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2014","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","no migration background","(3a) lower tertiary education","","","",""
"Yes","2014","no migration background","(3b) higher tertiary education","","","",""
"Yes","2014","direct migration background","(0) in school","","","",""
"Yes","2014","direct migration background","(1a) inadequately completed","","","",""
"Yes","2014","direct migration background","(1b) general elementary school","","","",""
"Yes","2014","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2014","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2014","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2014","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2014","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2014","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2014","indirect migration background","(0) in school","","","",""
"Yes","2014","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2014","indirect migration background","(1b) general elementary school","","","",""
"Yes","2014","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2014","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2014","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2014","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2014","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2014","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2015","no migration background","(0) in school","","","",""
"Yes","2015","no migration background","(1a) inadequately completed","13","","",""
"Yes","2015","no migration background","(1b) general elementary school","52","1","1","1"
"Yes","2015","no migration background","(1c) basic vocational qualification","339","1","1","1"
"Yes","2015","no migration background","(2b) intermediate general qualification","19","","",""
"Yes","2015","no migration background","(2a) intermediate vocational","258","1","1","1"
"Yes","2015","no migration background","(2c_gen) general maturity certificate","12","","",""
"Yes","2015","no migration background","(2c_voc) vocational maturity certificate","64","1","1","1"
"Yes","2015","no migration background","(3a) lower tertiary education","115","1","1","1"
"Yes","2015","no migration background","(3b) higher tertiary education","159","1","1","1"
"Yes","2015","direct migration background","(0) in school","","","",""
"Yes","2015","direct migration background","(1a) inadequately completed","4","","",""
"Yes","2015","direct migration background","(1b) general elementary school","23","","",""
"Yes","2015","direct migration background","(1c) basic vocational qualification","29","","",""
"Yes","2015","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2015","direct migration background","(2a) intermediate vocational","9","","",""
"Yes","2015","direct migration background","(2c_gen) general maturity certificate","2","","",""
"Yes","2015","direct migration background","(2c_voc) vocational maturity certificate","13","","",""
"Yes","2015","direct migration background","(3a) lower tertiary education","1","","",""
"Yes","2015","direct migration background","(3b) higher tertiary education","26","","",""
"Yes","2015","indirect migration background","(0) in school","","","",""
"Yes","2015","indirect migration background","(1a) inadequately completed","1","","",""
"Yes","2015","indirect migration background","(1b) general elementary school","3","","",""
"Yes","2015","indirect migration background","(1c) basic vocational qualification","3","","",""
"Yes","2015","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2015","indirect migration background","(2a) intermediate vocational","7","","",""
"Yes","2015","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2015","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2015","indirect migration background","(3a) lower tertiary education","2","","",""
"Yes","2015","indirect migration background","(3b) higher tertiary education","4","","",""
"Yes","2016","no migration background","(0) in school","","","",""
"Yes","2016","no migration background","(1a) inadequately completed","","","",""
"Yes","2016","no migration background","(1b) general elementary school","","","",""
"Yes","2016","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2016","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2016","no migration background","(2a) intermediate vocational","","","",""
"Yes","2016","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2016","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2016","no migration background","(3a) lower tertiary education","","","",""
"Yes","2016","no migration background","(3b) higher tertiary education","","","",""
"Yes","2016","direct migration background","(0) in school","","","",""
"Yes","2016","direct migration background","(1a) inadequately completed","","","",""
"Yes","2016","direct migration background","(1b) general elementary school","","","",""
"Yes","2016","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2016","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2016","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2016","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2016","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2016","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2016","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2016","indirect migration background","(0) in school","","","",""
"Yes","2016","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2016","indirect migration background","(1b) general elementary school","","","",""
"Yes","2016","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2016","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2016","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2016","indirect migration background","(2c_gen) general maturity certificate","","","",""
