"ple0015","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","no migration background","280","1","1","1"
"Yes","2009","lower secondary degree","direct migration background","15","","",""
"Yes","2009","lower secondary degree","indirect migration background","2","","",""
"Yes","2009","secondary school degree","no migration background","183","1","1","1"
"Yes","2009","secondary school degree","direct migration background","5","","",""
"Yes","2009","secondary school degree","indirect migration background","1","","",""
"Yes","2009","college entrance qualification","no migration background","160","1","1","1"
"Yes","2009","college entrance qualification","direct migration background","4","","",""
"Yes","2009","college entrance qualification","indirect migration background","2","","",""
"Yes","2009","Other degree","no migration background","5","","",""
"Yes","2009","Other degree","direct migration background","18","","",""
"Yes","2009","Other degree","indirect migration background","","","",""
"Yes","2009","no degree/no degree yet","no migration background","3","","",""
"Yes","2009","no degree/no degree yet","direct migration background","2","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","","","",""
"Yes","2010","lower secondary degree","no migration background","","","",""
"Yes","2010","lower secondary degree","direct migration background","","","",""
"Yes","2010","lower secondary degree","indirect migration background","","","",""
"Yes","2010","secondary school degree","no migration background","","","",""
"Yes","2010","secondary school degree","direct migration background","","","",""
"Yes","2010","secondary school degree","indirect migration background","","","",""
"Yes","2010","college entrance qualification","no migration background","","","",""
"Yes","2010","college entrance qualification","direct migration background","","","",""
"Yes","2010","college entrance qualification","indirect migration background","","","",""
"Yes","2010","Other degree","no migration background","","","",""
"Yes","2010","Other degree","direct migration background","","","",""
"Yes","2010","Other degree","indirect migration background","","","",""
"Yes","2010","no degree/no degree yet","no migration background","","","",""
"Yes","2010","no degree/no degree yet","direct migration background","","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","","","",""
"Yes","2011","lower secondary degree","no migration background","376","1","1","1"
"Yes","2011","lower secondary degree","direct migration background","15","","",""
"Yes","2011","lower secondary degree","indirect migration background","2","","",""
"Yes","2011","secondary school degree","no migration background","251","1","1","1"
"Yes","2011","secondary school degree","direct migration background","6","","",""
"Yes","2011","secondary school degree","indirect migration background","5","","",""
"Yes","2011","college entrance qualification","no migration background","218","1","1","1"
"Yes","2011","college entrance qualification","direct migration background","8","","",""
"Yes","2011","college entrance qualification","indirect migration background","4","","",""
"Yes","2011","Other degree","no migration background","4","","",""
"Yes","2011","Other degree","direct migration background","41","1","1","1"
"Yes","2011","Other degree","indirect migration background","","","",""
"Yes","2011","no degree/no degree yet","no migration background","13","","",""
"Yes","2011","no degree/no degree yet","direct migration background","4","","",""
"Yes","2011","no degree/no degree yet","indirect migration background","1","","",""
"Yes","2012","lower secondary degree","no migration background","","","",""
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","","","",""
"Yes","2012","secondary school degree","direct migration background","","","",""
"Yes","2012","secondary school degree","indirect migration background","","","",""
"Yes","2012","college entrance qualification","no migration background","","","",""
"Yes","2012","college entrance qualification","direct migration background","","","",""
"Yes","2012","college entrance qualification","indirect migration background","","","",""
"Yes","2012","Other degree","no migration background","","","",""
"Yes","2012","Other degree","direct migration background","","","",""
"Yes","2012","Other degree","indirect migration background","","","",""
"Yes","2012","no degree/no degree yet","no migration background","","","",""
"Yes","2012","no degree/no degree yet","direct migration background","","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","","","",""
"Yes","2013","lower secondary degree","no migration background","407","1","1","1"
"Yes","2013","lower secondary degree","direct migration background","16","","",""
"Yes","2013","lower secondary degree","indirect migration background","2","","",""
"Yes","2013","secondary school degree","no migration background","286","1","1","1"
"Yes","2013","secondary school degree","direct migration background","5","","",""
"Yes","2013","secondary school degree","indirect migration background","2","","",""
"Yes","2013","college entrance qualification","no migration background","250","1","1","1"
"Yes","2013","college entrance qualification","direct migration background","6","","",""
"Yes","2013","college entrance qualification","indirect migration background","3","","",""
"Yes","2013","Other degree","no migration background","10","","",""
"Yes","2013","Other degree","direct migration background","42","1","1","1"
"Yes","2013","Other degree","indirect migration background","","","",""
"Yes","2013","no degree/no degree yet","no migration background","11","","",""
"Yes","2013","no degree/no degree yet","direct migration background","2","","",""
"Yes","2013","no degree/no degree yet","indirect migration background","1","","",""
"Yes","2014","lower secondary degree","no migration background","","","",""
"Yes","2014","lower secondary degree","direct migration background","","","",""
"Yes","2014","lower secondary degree","indirect migration background","","","",""
"Yes","2014","secondary school degree","no migration background","","","",""
"Yes","2014","secondary school degree","direct migration background","","","",""
"Yes","2014","secondary school degree","indirect migration background","","","",""
"Yes","2014","college entrance qualification","no migration background","","","",""
"Yes","2014","college entrance qualification","direct migration background","","","",""
"Yes","2014","college entrance qualification","indirect migration background","","","",""
"Yes","2014","Other degree","no migration background","","","",""
"Yes","2014","Other degree","direct migration background","","","",""
"Yes","2014","Other degree","indirect migration background","","","",""
"Yes","2014","no degree/no degree yet","no migration background","","","",""
"Yes","2014","no degree/no degree yet","direct migration background","","","",""
"Yes","2014","no degree/no degree yet","indirect migration background","","","",""
"Yes","2015","lower secondary degree","no migration background","399","1","1","1"
"Yes","2015","lower secondary degree","direct migration background","23","","",""
"Yes","2015","lower secondary degree","indirect migration background","6","","",""
"Yes","2015","secondary school degree","no migration background","326","1","1","1"
"Yes","2015","secondary school degree","direct migration background","9","","",""
"Yes","2015","secondary school degree","indirect migration background","7","","",""
"Yes","2015","college entrance qualification","no migration background","279","1","1","1"
"Yes","2015","college entrance qualification","direct migration background","7","","",""
"Yes","2015","college entrance qualification","indirect migration background","6","","",""
"Yes","2015","Other degree","no migration background","13","","",""
"Yes","2015","Other degree","direct migration background","64","1","1","1"
"Yes","2015","Other degree","indirect migration background","1","","",""
"Yes","2015","no degree/no degree yet","no migration background","14","","",""
"Yes","2015","no degree/no degree yet","direct migration background","4","","",""
"Yes","2015","no degree/no degree yet","indirect migration background","1","","",""
"Yes","2016","lower secondary degree","no migration background","","","",""
"Yes","2016","lower secondary degree","direct migration background","","","",""
"Yes","2016","lower secondary degree","indirect migration background","","","",""
"Yes","2016","secondary school degree","no migration background","","","",""
"Yes","2016","secondary school degree","direct migration background","","","",""
"Yes","2016","secondary school degree","indirect migration background","","","",""
"Yes","2016","college entrance qualification","no migration background","","","",""
"Yes","2016","college entrance qualification","direct migration background","","","",""
"Yes","2016","college entrance qualification","indirect migration background","","","",""
"Yes","2016","Other degree","no migration background","","","",""
"Yes","2016","Other degree","direct migration background","","","",""
"Yes","2016","Other degree","indirect migration background","","","",""
"Yes","2016","no degree/no degree yet","no migration background","","","",""
"Yes","2016","no degree/no degree yet","direct migration background","","","",""
"Yes","2016","no degree/no degree yet","indirect migration background","","","",""
"Yes","2017","lower secondary degree","no migration background","414","1","1","1"
"Yes","2017","lower secondary degree","direct migration background","20","","",""
"Yes","2017","lower secondary degree","indirect migration background","6","","",""
"Yes","2017","secondary school degree","no migration background","362","1","1","1"
"Yes","2017","secondary school degree","direct migration background","9","","",""
"Yes","2017","secondary school degree","indirect migration background","7","","",""
"Yes","2017","college entrance qualification","no migration background","338","1","1","1"
"Yes","2017","college entrance qualification","direct migration background","7","","",""
"Yes","2017","college entrance qualification","indirect migration background","7","","",""
"Yes","2017","Other degree","no migration background","14","","",""
"Yes","2017","Other degree","direct migration background","75","1","1","1"
"Yes","2017","Other degree","indirect migration background","","","",""
"Yes","2017","no degree/no degree yet","no migration background","11","","",""
"Yes","2017","no degree/no degree yet","direct migration background","6","","",""
"Yes","2017","no degree/no degree yet","indirect migration background","1","","",""
"Yes","2018","lower secondary degree","no migration background","","","",""
"Yes","2018","lower secondary degree","direct migration background","","","",""
"Yes","2018","lower secondary degree","indirect migration background","","","",""
"Yes","2018","secondary school degree","no migration background","","","",""
"Yes","2018","secondary school degree","direct migration background","","","",""
"Yes","2018","secondary school degree","indirect migration background","","","",""
"Yes","2018","college entrance qualification","no migration background","","","",""
"Yes","2018","college entrance qualification","direct migration background","","","",""
"Yes","2018","college entrance qualification","indirect migration background","","","",""
"Yes","2018","Other degree","no migration background","","","",""
"Yes","2018","Other degree","direct migration background","","","",""
"Yes","2018","Other degree","indirect migration background","","","",""
"Yes","2018","no degree/no degree yet","no migration background","","","",""
"Yes","2018","no degree/no degree yet","direct migration background","","","",""
"Yes","2018","no degree/no degree yet","indirect migration background","","","",""
"Yes","2019","lower secondary degree","no migration background","388","1","1","1"
"Yes","2019","lower secondary degree","direct migration background","15","","",""
"Yes","2019","lower secondary degree","indirect migration background","6","","",""
"Yes","2019","secondary school degree","no migration background","416","1","1","1"
"Yes","2019","secondary school degree","direct migration background","8","","",""
"Yes","2019","secondary school degree","indirect migration background","9","","",""
"Yes","2019","college entrance qualification","no migration background","395","1","1","1"
"Yes","2019","college entrance qualification","direct migration background","12","","",""
"Yes","2019","college entrance qualification","indirect migration background","7","","",""
"Yes","2019","Other degree","no migration background","12","","",""
"Yes","2019","Other degree","direct migration background","86","1","1","1"
"Yes","2019","Other degree","indirect migration background","1","","",""
"Yes","2019","no degree/no degree yet","no migration background","6","","",""
"Yes","2019","no degree/no degree yet","direct migration background","4","","",""
"Yes","2019","no degree/no degree yet","indirect migration background","1","","",""
