"ple0015","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","in school","","","",""
"Yes","2009","16-34 y.","inadequately","","","",""
"Yes","2009","16-34 y.","general elemantary","2","","",""
"Yes","2009","16-34 y.","middle vocational","7","","",""
"Yes","2009","16-34 y.","vocational + Abi","","","",""
"Yes","2009","16-34 y.","higher vocational","","","",""
"Yes","2009","16-34 y.","higher education","2","","",""
"Yes","2009","35-65 y.","in school","","","",""
"Yes","2009","35-65 y.","inadequately","1","","",""
"Yes","2009","35-65 y.","general elemantary","14","","",""
"Yes","2009","35-65 y.","middle vocational","170","0.0368715892634234","0.0317077721942838","0.0420354063325631"
"Yes","2009","35-65 y.","vocational + Abi","21","","",""
"Yes","2009","35-65 y.","higher vocational","27","","",""
"Yes","2009","35-65 y.","higher education","74","0.0189408509601995","0.0137201636607806","0.0241615382596184"
"Yes","2009","66 and older","in school","","","",""
"Yes","2009","66 and older","inadequately","1","","",""
"Yes","2009","66 and older","general elemantary","35","0.059985505975129","0.0419915990233088","0.0779794129269493"
"Yes","2009","66 and older","middle vocational","190","0.0913772821811453","0.0793257341204046","0.103428830241886"
"Yes","2009","66 and older","vocational + Abi","7","","",""
"Yes","2009","66 and older","higher vocational","33","0.100689371132332","0.0677193079627591","0.133659434301904"
"Yes","2009","66 and older","higher education","98","0.116733170843364","0.0956373616158731","0.137828980070856"
"No","2009","16-34 y.","in school","313","1","1","1"
"No","2009","16-34 y.","inadequately","41","1","1","1"
"No","2009","16-34 y.","general elemantary","551","0.998567227124199","0.995414670795096","1.0017197834533"
"No","2009","16-34 y.","middle vocational","1792","0.997320042424944","0.994931055668179","0.99970902918171"
"No","2009","16-34 y.","vocational + Abi","338","1","1","1"
"No","2009","16-34 y.","higher vocational","109","1","1","1"
"No","2009","16-34 y.","higher education","538","0.994729355370894","0.98862224813491","1.00083646260688"
"No","2009","35-65 y.","in school","","","",""
"No","2009","35-65 y.","inadequately","84","0.994590452359168","0.978997037043999","1.01018386767434"
"No","2009","35-65 y.","general elemantary","576","0.975690748280336","0.963263814788495","0.988117681772176"
"No","2009","35-65 y.","middle vocational","4946","0.963128410736577","0.957964593667437","0.968292227805716"
"No","2009","35-65 y.","vocational + Abi","547","0.954888250741178","0.937819763499955","0.971956737982401"
"No","2009","35-65 y.","higher vocational","882","0.969736070614311","0.958599394690436","0.980872746538187"
"No","2009","35-65 y.","higher education","2545","0.9810591490398","0.975838461740381","0.986279836339219"
"No","2009","66 and older","in school","","","",""
"No","2009","66 and older","inadequately","42","0.97507638130544","0.928481444090338","1.02167131852054"
"No","2009","66 and older","general elemantary","634","0.940014494024871","0.922020587073051","0.958008400976691"
"No","2009","66 and older","middle vocational","2006","0.908622717818855","0.896571169758114","0.920674265879595"
"No","2009","66 and older","vocational + Abi","90","0.950534039858968","0.907382203461943","0.993685876255993"
"No","2009","66 and older","higher vocational","287","0.899310628867669","0.866340565698096","0.932280692037241"
"No","2009","66 and older","higher education","792","0.883266829156636","0.862171019929144","0.904362638384127"
"Yes","2010","16-34 y.","in school","","","",""
"Yes","2010","16-34 y.","inadequately","","","",""
"Yes","2010","16-34 y.","general elemantary","","","",""
"Yes","2010","16-34 y.","middle vocational","","","",""
"Yes","2010","16-34 y.","vocational + Abi","","","",""
"Yes","2010","16-34 y.","higher vocational","","","",""
"Yes","2010","16-34 y.","higher education","","","",""
"Yes","2010","35-65 y.","in school","","","",""
"Yes","2010","35-65 y.","inadequately","","","",""
