"ple0015","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"No","2009","16-34 y.","3995","0.997865547617955","0.996436417183445","0.999294678052465","2"
"No","2009","35-65 y.","9594","0.968523864220164","0.965084688002988","0.97196304043734","2"
"No","2009","66 and older","3854","0.911512061165731","0.902942342244481","0.920081780086982","2"
"Yes","2009","16-34 y.","11","","","","1"
"Yes","2009","35-65 y.","307","0.0314761357798356","0.0280369595626596","0.0349153119970116","1"
"Yes","2009","66 and older","365","0.0884879388342687","0.0799182199130183","0.0970576577555191","1"
"No","2010","16-34 y.","","","","","2"
"No","2010","35-65 y.","","","","","2"
"No","2010","66 and older","","","","","2"
"Yes","2010","16-34 y.","","","","","1"
"Yes","2010","35-65 y.","","","","","1"
"Yes","2010","66 and older","","","","","1"
"No","2011","16-34 y.","4289","0.996198025016306","0.994360056275691","0.998035993756921","2"
"No","2011","35-65 y.","10915","0.959556002243461","0.955933874275199","0.963178130211724","2"
"No","2011","66 and older","4706","0.907370701345487","0.899483353834313","0.915258048856662","2"
"Yes","2011","16-34 y.","18","","","","1"
"Yes","2011","35-65 y.","448","0.0404439977565385","0.0368218697882763","0.0440661257248008","1"
"Yes","2011","66 and older","484","0.0926292986545129","0.0847419511433383","0.100516646165687","1"
"No","2012","16-34 y.","","","","","2"
"No","2012","35-65 y.","","","","","2"
"No","2012","66 and older","","","","","2"
"Yes","2012","16-34 y.","","","","","1"
"Yes","2012","35-65 y.","","","","","1"
"Yes","2012","66 and older","","","","","1"
"No","2013","16-34 y.","3690","0.995541218723635","0.993397057776374","0.997685379670895","2"
"No","2013","35-65 y.","9809","0.951678939026641","0.947529514491989","0.955828363561293","2"
"No","2013","66 and older","4423","0.879437070641479","0.870413352379845","0.888460788903113","2"
"Yes","2013","16-34 y.","19","","","","1"
"Yes","2013","35-65 y.","451","0.0483210609733593","0.0441716364387072","0.0524704855080114","1"
"Yes","2013","66 and older","579","0.120562929358521","0.111539211096887","0.129586647620155","1"
"No","2014","16-34 y.","","","","","2"
"No","2014","35-65 y.","","","","","2"
"No","2014","66 and older","","","","","2"
"Yes","2014","16-34 y.","","","","","1"
"Yes","2014","35-65 y.","","","","","1"
"Yes","2014","66 and older","","","","","1"
"No","2015","16-34 y.","5736","0.993192475286285","0.991070836198145","0.995314114374425","2"
"No","2015","35-65 y.","13928","0.954478735284585","0.951079983224171","0.957877487344999","2"
"No","2015","66 and older","4334","0.876421129354667","0.867254067568944","0.885588191140389","2"
"Yes","2015","16-34 y.","34","0.00680752471371506","0.00468588562557462","0.0089291638018555","1"
"Yes","2015","35-65 y.","521","0.0455212647154151","0.042122512655001","0.0489200167758293","1"
"Yes","2015","66 and older","617","0.123578870645333","0.114411808859611","0.132745932431056","1"
"No","2016","16-34 y.","","","","","2"
"No","2016","35-65 y.","","","","","2"
"No","2016","66 and older","","","","","2"
"Yes","2016","16-34 y.","","","","","1"
"Yes","2016","35-65 y.","","","","","1"
"Yes","2016","66 and older","","","","","1"
"No","2017","16-34 y.","6207","0.994595191249642","0.992776767006531","0.996413615492752","2"
"No","2017","35-65 y.","14839","0.956250641947317","0.953024928037293","0.959476355857341","2"
"No","2017","66 and older","4379","0.87043062965583","0.861152661395373","0.879708597916286","2"
"Yes","2017","16-34 y.","38","0.00540480875035844","0.00358638450724819","0.00722323299346869","1"
"Yes","2017","35-65 y.","606","0.0437493580526832","0.0405236441426594","0.0469750719627069","1"
"Yes","2017","66 and older","654","0.129569370344171","0.120291402083714","0.138847338604627","1"
"No","2018","16-34 y.","","","","","2"
"No","2018","35-65 y.","","","","","2"
"No","2018","66 and older","","","","","2"
"Yes","2018","16-34 y.","","","","","1"
"Yes","2018","35-65 y.","","","","","1"
"Yes","2018","66 and older","","","","","1"
"No","2019","16-34 y.","5429","0.993434652134509","0.991291714985812","0.995577589283207","2"
"No","2019","35-65 y.","14490","0.952122064392893","0.948725270884101","0.955518857901684","2"
"No","2019","66 and older","4566","0.867550354282725","0.858378327691718","0.876722380873731","2"
"Yes","2019","16-34 y.","27","","","","1"
"Yes","2019","35-65 y.","687","0.0478779356071072","0.0444811420983157","0.0512747291158987","1"
"Yes","2019","66 and older","681","0.132449645717275","0.123277619126269","0.141621672308282","1"
