"ple0015","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Working","inadequately","96","0.989083150060395","0.968404256591742","1.00976204352905","2"
"No","2009","Not Working","vocational + Abi","229","0.951571280408764","0.924635762261908","0.978506798555621","2"
"No","2009","Not Working","higher vocational","386","0.90726606125414","0.879721873047645","0.934810249460635","2"
"No","2009","Not Working","middle vocational","3306","0.92854189422075","0.920073211141739","0.937010577299762","2"
"No","2009","Not Working","general elemantary","1013","0.952074873404431","0.939203572498677","0.964946174310184","2"
"No","2009","Part Time","higher vocational","298","0.971664940728303","0.953012673520942","0.990317207935664","2"
"No","2009","Part Time","higher education","860","0.959759317282375","0.946848107836999","0.97267052672775","2"
"No","2009","Not Working","higher education","997","0.907055948580136","0.889951774097786","0.924160123062486","2"
"No","2009","Part Time","middle vocational","2142","0.966088709483684","0.958525303502827","0.973652115464541","2"
"No","2009","Part Time","vocational + Abi","278","0.974464800639781","0.956053848822643","0.992875752456919","2"
"No","2009","Not Working","in school","252","1","1","1","2"
"No","2009","Part Time","in school","60","1","1","1","2"
"No","2009","Part Time","inadequately","32","1","1","1","2"
"No","2009","Part Time","general elemantary","360","0.997428814873295","0.992219238522913","1.00263839122368","2"
"No","2009","Full Time","higher vocational","594","0.980132803213251","0.969040874739144","0.991224731687357","2"
"No","2009","Full Time","higher education","2018","0.991432127374923","0.98744438211425","0.995419872635596","2"
"No","2009","Full Time","general elemantary","388","0.989264242287604","0.97904938698934","0.999479097585868","2"
"No","2009","Full Time","middle vocational","3296","0.980437904662296","0.975753114397687","0.985122694926905","2"
"No","2009","Full Time","vocational + Abi","468","0.976631992638422","0.963074942091031","0.990189043185814","2"
"No","2009","Full Time","in school","1","","","","2"
"No","2009","Full Time","inadequately","39","0.990206982333178","0.959690156677904","1.02072380798845","2"
"Yes","2009","Full Time","in school","","","","","1"
"Yes","2009","Full Time","inadequately","1","","","","1"
"Yes","2009","Full Time","general elemantary","3","","","","1"
"Yes","2009","Full Time","middle vocational","61","0.019562095337704","0.014877305073095","0.024246885602313","1"
"Yes","2009","Full Time","vocational + Abi","9","","","","1"
"Yes","2009","Full Time","higher vocational","14","","","","1"
"Yes","2009","Full Time","higher education","34","0.00856787262507681","0.00458012736440407","0.0125556178857495","1"
"Yes","2009","Part Time","in school","","","","","1"
"Yes","2009","Part Time","inadequately","","","","","1"
"Yes","2009","Part Time","general elemantary","3","","","","1"
"Yes","2009","Part Time","middle vocational","58","0.0339112905163158","0.026347884535459","0.0414746964971726","1"
"Yes","2009","Part Time","vocational + Abi","4","","","","1"
"Yes","2009","Part Time","higher vocational","6","","","","1"
"Yes","2009","Part Time","higher education","30","0.0402406827176255","0.02732947327225","0.053151892163001","1"
"Yes","2009","Not Working","in school","","","","","1"
"Yes","2009","Not Working","inadequately","1","","","","1"
"Yes","2009","Not Working","general elemantary","45","0.0479251265955693","0.0350538256898159","0.0607964275013227","1"
"Yes","2009","Not Working","middle vocational","248","0.0714581057792497","0.0629894227002385","0.0799267888582609","1"
"Yes","2009","Not Working","vocational + Abi","15","","","","1"
"Yes","2009","Not Working","higher vocational","40","0.09273393874586","0.0651897505393654","0.120278126952355","1"
"Yes","2009","Not Working","higher education","110","0.0929440514198642","0.0758398769375142","0.110048225902214","1"
"No","2010","Not Working","inadequately","","","","","2"
"No","2010","Not Working","vocational + Abi","","","","","2"
"No","2010","Not Working","general elemantary","","","","","2"
"No","2010","Not Working","middle vocational","","","","","2"
"No","2010","Part Time","middle vocational","","","","","2"
"No","2010","Part Time","vocational + Abi","","","","","2"
"No","2010","Not Working","higher vocational","","","","","2"
"No","2010","Part Time","higher vocational","","","","","2"
"No","2010","Not Working","higher education","","","","","2"
"No","2010","Part Time","higher education","","","","","2"
"No","2010","Not Working","in school","","","","","2"
"No","2010","Full Time","higher vocational","","","","","2"
"No","2010","Full Time","higher education","","","","","2"
"No","2010","Part Time","in school","","","","","2"
"No","2010","Part Time","inadequately","","","","","2"
"No","2010","Part Time","general elemantary","","","","","2"
"No","2010","Full Time","in school","","","","","2"
"No","2010","Full Time","inadequately","","","","","2"
"No","2010","Full Time","general elemantary","","","","","2"
"No","2010","Full Time","middle vocational","","","","","2"
"No","2010","Full Time","vocational + Abi","","","","","2"
"Yes","2010","Part Time","general elemantary","","","","","1"
"Yes","2010","Part Time","middle vocational","","","","","1"
"Yes","2010","Part Time","vocational + Abi","","","","","1"
"Yes","2010","Part Time","higher vocational","","","","","1"
"Yes","2010","Full Time","in school","","","","","1"
"Yes","2010","Full Time","inadequately","","","","","1"
"Yes","2010","Full Time","general elemantary","","","","","1"
"Yes","2010","Full Time","middle vocational","","","","","1"
"Yes","2010","Full Time","vocational + Abi","","","","","1"
"Yes","2010","Full Time","higher vocational","","","","","1"
"Yes","2010","Full Time","higher education","","","","","1"
"Yes","2010","Part Time","in school","","","","","1"
"Yes","2010","Part Time","inadequately","","","","","1"
"Yes","2010","Part Time","higher education","","","","","1"
"Yes","2010","Not Working","in school","","","","","1"
"Yes","2010","Not Working","inadequately","","","","","1"
"Yes","2010","Not Working","general elemantary","","","","","1"
"Yes","2010","Not Working","middle vocational","","","","","1"
"Yes","2010","Not Working","vocational + Abi","","","","","1"
"Yes","2010","Not Working","higher vocational","","","","","1"
"Yes","2010","Not Working","higher education","","","","","1"
"No","2011","Part Time","higher vocational","296","0.969365617321275","0.950026059342291","0.98870517530026","2"
"No","2011","Part Time","middle vocational","2541","0.959154040069591","0.95157062262259","0.966737457516592","2"
"No","2011","Part Time","vocational + Abi","365","0.955347254256844","0.934442880020459","0.976251628493229","2"
"No","2011","Part Time","higher education","915","0.940435551289801","0.92550270767842","0.955368394901183","2"
"No","2011","Not Working","in school","247","0.990132495967063","0.977855312924446","1.00240967900968","2"
"No","2011","Full Time","higher vocational","658","0.97622472704569","0.964723192175408","0.987726261915972","2"
"No","2011","Not Working","inadequately","132","0.9313972152591","0.889374991497412","0.973419439020787","2"
"No","2011","Not Working","general elemantary","1205","0.943772751864511","0.931138201991991","0.956407301737032","2"
"No","2011","Full Time","higher education","2244","0.984992590208935","0.980020523510581","0.989964656907289","2"
"No","2011","Part Time","in school","59","1","1","1","2"
"No","2011","Part Time","inadequately","48","0.970005326057723","0.923191715808748","1.0168189363067","2"
"No","2011","Not Working","middle vocational","3931","0.920397919798216","0.912272600291622","0.92852323930481","2"
"No","2011","Not Working","vocational + Abi","252","0.945085281983777","0.918110826384735","0.972059737582819","2"
"No","2011","Not Working","higher vocational","427","0.917722009106506","0.893010532384817","0.942433485828196","2"
"No","2011","Not Working","higher education","1201","0.899896843345023","0.883814834935534","0.915978851754513","2"
"No","2011","Part Time","general elemantary","430","0.973683526660511","0.958743493820925","0.988623559500097","2"
"No","2011","Full Time","in school","5","","","","2"
"No","2011","Full Time","inadequately","42","0.988115922041677","0.955726696930714","1.02050514715264","2"
"No","2011","Full Time","general elemantary","463","0.981801509991826","0.969717009960135","0.993886010023517","2"
"No","2011","Full Time","middle vocational","3586","0.975572336531649","0.970576547040743","0.980568126022556","2"
"No","2011","Full Time","vocational + Abi","550","0.976203782254996","0.963580325760616","0.988827238749377","2"
