"ple0015","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","West Germany","472","0.0439357343185578","0.0401563677735291","0.0477151008635866"
"Yes","2009","no migration background","East Germany","162","0.0383308964866518","0.0326873685164335","0.0439744244568701"
"Yes","2009","direct migration background","West Germany","38","0.0195535822644124","0.0127521299461182","0.0263550345827066"
"Yes","2009","direct migration background","East Germany","6","","",""
"Yes","2009","indirect migration background","West Germany","5","","",""
"Yes","2009","indirect migration background","East Germany","","","",""
"No","2009","no migration background","West Germany","10825","0.956064265681442","0.952284899136413","0.959843632226471"
"No","2009","no migration background","East Germany","4284","0.961669103513348","0.95602557554313","0.967312631483566"
"No","2009","direct migration background","West Germany","1554","0.980446417735587","0.973644965417293","0.987247870053882"
"No","2009","direct migration background","East Germany","70","0.947594478312576","0.897494091390194","0.997694865234959"
"No","2009","indirect migration background","West Germany","669","0.996272855097716","0.991672456841106","1.00087325335433"
"No","2009","indirect migration background","East Germany","41","1","1","1"
"Yes","2010","no migration background","West Germany","","","",""
"Yes","2010","no migration background","East Germany","","","",""
"Yes","2010","direct migration background","West Germany","","","",""
"Yes","2010","direct migration background","East Germany","","","",""
"Yes","2010","indirect migration background","West Germany","","","",""
"Yes","2010","indirect migration background","East Germany","","","",""
"No","2010","no migration background","West Germany","","","",""
"No","2010","no migration background","East Germany","","","",""
"No","2010","direct migration background","West Germany","","","",""
"No","2010","direct migration background","East Germany","","","",""
"No","2010","indirect migration background","West Germany","","","",""
"No","2010","indirect migration background","East Germany","","","",""
"Yes","2011","no migration background","West Germany","662","0.0508151144742487","0.0470754864803499","0.0545547424681475"
"Yes","2011","no migration background","East Germany","202","0.0437197954069414","0.0379305583989565","0.0495090324149263"
"Yes","2011","direct migration background","West Germany","67","0.0351611184423524","0.0269331718705047","0.0433890650142001"
"Yes","2011","direct migration background","East Germany","7","","",""
"Yes","2011","indirect migration background","West Germany","12","","",""
"Yes","2011","indirect migration background","East Germany","","","",""
"No","2011","no migration background","West Germany","12587","0.949184885525751","0.945445257531853","0.95292451351965"
"No","2011","no migration background","East Germany","4590","0.956280204593059","0.950490967585074","0.962069441601044"
