"ple0015","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Couple + C. LE 16 ","2411","0.9911428632903","0.98741834239823","0.994867384182371","2"
"No","2009","Not Employed","Single parent ","285","0.97154812116224","0.952510971934077","0.990585270390404","2"
"No","2009","Not Employed","Couple + C. LE 16 ","421","0.974904076694235","0.960102704571922","0.989705448816548","2"
"No","2009","Not Employed","(Married) couple without C. ","3095","0.91761810683655","0.908365437531565","0.926870776141536","2"
"No","2009","Employed","Single parent ","688","0.957511497229306","0.942601480148872","0.97242151430974","2"
"No","2009","Employed","Couple + C. GT 16 ","2288","0.986613643188627","0.981942304361389","0.991284982015865","2"
"No","2009","Employed","Couple + C. LE and GT 16","868","0.991625819631932","0.985601628783782","0.997650010480083","2"
"No","2009","Not Employed","1-pers.-HH","1369","0.930048655893018","0.917009775837274","0.943087535948761","2"
"No","2009","Not Employed","Couple + C. GT 16 ","811","0.968642347487766","0.956856469372684","0.980428225602848","2"
"No","2009","Not Employed","Couple + C. LE and GT 16","299","0.995063905607855","0.987159634381884","1.00296817683383","2"
"No","2009","Employed","1-pers.-HH","1405","0.979811092421684","0.972546781390332","0.987075403453036","2"
"No","2009","Employed","(Married) couple without C. ","3187","0.966391101670733","0.960231966237007","0.972550237104458","2"
"Yes","2009","Not Employed","1-pers.-HH","101","0.0699513441069825","0.0569124640512394","0.0829902241627255","1"
"Yes","2009","Not Employed","(Married) couple without C. ","297","0.0823818931634499","0.0731292238584645","0.0916345624684353","1"
"Yes","2009","Not Employed","Single parent ","8","","","","1"
"Yes","2009","Not Employed","Couple + C. LE 16 ","8","","","","1"
"Yes","2009","Not Employed","Couple + C. GT 16 ","29","","","","1"
"Yes","2009","Not Employed","Couple + C. LE and GT 16","3","","","","1"
"Yes","2009","Employed","1-pers.-HH","35","0.0201889075783159","0.0129245965469638","0.0274532186096679","1"
"Yes","2009","Employed","(Married) couple without C. ","102","0.0336088983292673","0.0274497628955421","0.0397680337629925","1"
"Yes","2009","Employed","Single parent ","15","","","","1"
"Yes","2009","Employed","Couple + C. LE 16 ","20","","","","1"
"Yes","2009","Employed","Couple + C. GT 16 ","37","0.0133863568113731","0.00871501798413499","0.0180576956386113","1"
"Yes","2009","Employed","Couple + C. LE and GT 16","11","","","","1"
"No","2010","Employed","Couple + C. LE 16 ","","","","","2"
"No","2010","Employed","Couple + C. LE and GT 16","","","","","2"
"No","2010","Not Employed","(Married) couple without C. ","","","","","2"
"No","2010","Not Employed","Couple + C. LE 16 ","","","","","2"
"No","2010","Employed","Single parent ","","","","","2"
"No","2010","Employed","Couple + C. GT 16 ","","","","","2"
"No","2010","Not Employed","1-pers.-HH","","","","","2"
"No","2010","Not Employed","Single parent ","","","","","2"
"No","2010","Not Employed","Couple + C. GT 16 ","","","","","2"
"No","2010","Not Employed","Couple + C. LE and GT 16","","","","","2"
"No","2010","Employed","1-pers.-HH","","","","","2"
"No","2010","Employed","(Married) couple without C. ","","","","","2"
"Yes","2010","Not Employed","1-pers.-HH","","","","","1"
"Yes","2010","Not Employed","(Married) couple without C. ","","","","","1"
"Yes","2010","Not Employed","Single parent ","","","","","1"
"Yes","2010","Not Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2010","Not Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2010","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2010","Employed","1-pers.-HH","","","","","1"
"Yes","2010","Employed","(Married) couple without C. ","","","","","1"
"Yes","2010","Employed","Single parent ","","","","","1"
"Yes","2010","Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2010","Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2010","Employed","Couple + C. LE and GT 16","","","","","1"
"No","2011","Employed","Couple + C. LE 16 ","2633","0.982146272085438","0.977128178689203","0.987164365481673","2"
"No","2011","Employed","Couple + C. LE and GT 16","925","0.990807774858354","0.984690650425176","0.996924899291533","2"
"No","2011","Employed","Single parent ","784","0.970640590165094","0.958971877340526","0.982309302989661","2"
"No","2011","Employed","Couple + C. GT 16 ","2313","0.981411114662947","0.975953670666008","0.986868558659885","2"
"No","2011","Not Employed","1-pers.-HH","1709","0.927858986473058","0.916098087887439","0.939619885058676","2"
"No","2011","Not Employed","(Married) couple without C. ","3749","0.906883384867897","0.898042141291062","0.915724628444733","2"
"No","2011","Not Employed","Couple + C. LE 16 ","435","0.97443253840124","0.959717660891054","0.989147415911426","2"
"No","2011","Not Employed","Single parent ","360","0.975018748626328","0.959116416957081","0.990921080295574","2"
"No","2011","Not Employed","Couple + C. GT 16 ","814","0.963915349530293","0.95136283119566","0.976467867864926","2"
"No","2011","Not Employed","Couple + C. LE and GT 16","295","0.980504995353347","0.964833910084744","0.99617608062195","2"
"No","2011","Employed","1-pers.-HH","1656","0.965730934968654","0.957121092046018","0.97434077789129","2"
"No","2011","Employed","(Married) couple without C. ","3841","0.961894055339123","0.955957292696463","0.967830817981784","2"
"Yes","2011","Not Employed","Couple + C. GT 16 ","34","0.036084650469707","0.0235321321350741","0.0486371688043398","1"
"Yes","2011","Not Employed","Couple + C. LE and GT 16","4","","","","1"
"Yes","2011","Employed","1-pers.-HH","59","0.034269065031346","0.0256592221087099","0.042878907953982","1"
"Yes","2011","Employed","(Married) couple without C. ","154","0.0381059446608766","0.0321691820182158","0.0440427073035374","1"
"Yes","2011","Employed","Single parent ","20","","","","1"
"Yes","2011","Employed","Couple + C. LE 16 ","42","0.0178537279145621","0.0128356345183268","0.0228718213107973","1"
"Yes","2011","Employed","Couple + C. GT 16 ","40","0.0185888853370535","0.0131314413401152","0.0240463293339918","1"
"Yes","2011","Employed","Couple + C. LE and GT 16","10","","","","1"
"Yes","2011","Not Employed","1-pers.-HH","150","0.0721410135269424","0.0603801149413235","0.0839019121125614","1"
"Yes","2011","Not Employed","(Married) couple without C. ","401","0.0931166151321028","0.0842753715552671","0.101957858708938","1"
"Yes","2011","Not Employed","Single parent ","10","","","","1"
"Yes","2011","Not Employed","Couple + C. LE 16 ","7","","","","1"
"No","2012","Employed","Couple + C. LE 16 ","","","","","2"
"No","2012","Employed","Couple + C. LE and GT 16","","","","","2"
"No","2012","Employed","Single parent ","","","","","2"
"No","2012","Employed","Couple + C. GT 16 ","","","","","2"
"No","2012","Not Employed","1-pers.-HH","","","","","2"
"No","2012","Not Employed","(Married) couple without C. ","","","","","2"
"No","2012","Not Employed","Single parent ","","","","","2"
"No","2012","Not Employed","Couple + C. LE 16 ","","","","","2"
"No","2012","Not Employed","Couple + C. GT 16 ","","","","","2"
"No","2012","Not Employed","Couple + C. LE and GT 16","","","","","2"
"No","2012","Employed","1-pers.-HH","","","","","2"
"No","2012","Employed","(Married) couple without C. ","","","","","2"
"Yes","2012","Not Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2012","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2012","Employed","1-pers.-HH","","","","","1"
"Yes","2012","Employed","(Married) couple without C. ","","","","","1"
"Yes","2012","Employed","Single parent ","","","","","1"
"Yes","2012","Employed","Couple + C. LE 16 ","","","","","1"
"Yes","2012","Employed","Couple + C. GT 16 ","","","","","1"
"Yes","2012","Employed","Couple + C. LE and GT 16","","","","","1"
"Yes","2012","Not Employed","1-pers.-HH","","","","","1"
"Yes","2012","Not Employed","(Married) couple without C. ","","","","","1"
"Yes","2012","Not Employed","Single parent ","","","","","1"
"Yes","2012","Not Employed","Couple + C. LE 16 ","","","","","1"
"No","2013","Not Employed","Couple + C. LE 16 ","377","0.987657956823454","0.976615154626901","0.998700759020007","2"
"No","2013","Employed","Couple + C. LE and GT 16","722","0.987465203198534","0.979411128502149","0.99551927789492","2"
"No","2013","Not Employed","1-pers.-HH","1587","0.899323315963176","0.885257626219903","0.91338900570645","2"
"No","2013","Not Employed","(Married) couple without C. ","3492","0.87892949272654","0.868751415298095","0.889107570154986","2"
