"ple0015","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Brandenburg","general elemantary","54","0.995387675272646","0.977480676091391","1.0132946744539","2"
"No","2009","Bavaria","in school","49","1","1","1","2"
"No","2009","Saxony","in school","15","","","","2"
"No","2009","Saxony","general elemantary","71","0.968871156588457","0.929032822720722","1.00870949045619","2"
"No","2009","Mecklenburg-Western Pomerania","higher education","128","0.951759292912585","0.915747144422162","0.987771441403007","2"
"No","2009","Saxony","inadequately","2","","","","2"
"No","2009","Mecklenburg-Western Pomerania","higher vocational","39","0.957075891891138","0.89503472021714","1.01911706356514","2"
"No","2009","Saxony-Anhalt","higher vocational","68","0.978788570572847","0.945034318921556","1.01254282222414","2"
"No","2009","Bavaria","inadequately","16","","","","2"
"No","2009","Bavaria","general elemantary","271","0.974783361520073","0.956320209038666","0.993246514001481","2"
"No","2009","Bavaria","middle vocational","1317","0.95470148443885","0.943681503928772","0.965721464948927","2"
"No","2009","Bavaria","vocational + Abi","128","0.989157928063162","0.971424144506544","1.00689171161978","2"
"No","2009","Bavaria","higher vocational","192","0.955244232307859","0.926939902373049","0.98354856224267","2"
"No","2009","Bavaria","higher education","513","0.962449617529117","0.946385638157962","0.978513596900271","2"
"No","2009","Thuringia","higher education","169","0.959664006605669","0.930760930153844","0.988567083057494","2"
"No","2009","Brandenburg","in school","13","","","","2"
"No","2009","Brandenburg","inadequately","","","","","2"
"No","2009","Mecklenburg-Western Pomerania","middle vocational","236","0.94565590591768","0.917211561792496","0.974100250042865","2"
"No","2009","Mecklenburg-Western Pomerania","vocational + Abi","9","","","","2"
"No","2009","Schleswig-Holstein","in school","11","","","","2"
"No","2009","Schleswig-Holstein","inadequately","5","","","","2"
"No","2009","Schleswig-Holstein","general elemantary","52","0.984923711524466","0.95211730425081","1.01773011879812","2"
"No","2009","Schleswig-Holstein","middle vocational","268","0.964537969789657","0.942875371941355","0.986200567637959","2"
"No","2009","Schleswig-Holstein","vocational + Abi","27","","","","2"
"No","2009","Schleswig-Holstein","higher vocational","42","0.986868131844066","0.952842462088064","1.02089380160007","2"
"No","2009","Schleswig-Holstein","higher education","80","0.938073939187943","0.88622208301081","0.989925795365076","2"
"No","2009","Saxony","higher education","324","0.942627056288709","0.918052120767384","0.967201991810035","2"
"No","2009","Saxony-Anhalt","in school","8","","","","2"
"No","2009","Saxony-Anhalt","inadequately","6","","","","2"
"No","2009","Saxony-Anhalt","general elemantary","46","1","1","1","2"
"No","2009","Saxony-Anhalt","middle vocational","379","0.936781377429399","0.912932950693499","0.9606298041653","2"
"No","2009","Saxony-Anhalt","vocational + Abi","26","","","","2"
"No","2009","Lower Saxony","in school","29","","","","2"
"No","2009","Lower Saxony","inadequately","14","","","","2"
"No","2009","Lower Saxony","general elemantary","186","0.954293532748468","0.924752389777616","0.98383467571932","2"
"No","2009","Lower Saxony","middle vocational","829","0.956463541492688","0.942919427266511","0.970007655718864","2"
"No","2009","Lower Saxony","vocational + Abi","97","0.988345165589532","0.967095973226356","1.00959435795271","2"
"No","2009","Lower Saxony","higher vocational","101","0.978785463114348","0.951223257098996","1.0063476691297","2"
"No","2009","Lower Saxony","higher education","290","0.955168804718397","0.931983244073774","0.978354365363019","2"
"No","2009","Bremen","in school","3","","","","2"
"No","2009","Bremen","inadequately","","","","","2"
"No","2009","Bremen","general elemantary","12","","","","2"
"No","2009","Bremen","middle vocational","54","0.87392528292635","0.789227266760767","0.958623299091933","2"
"No","2009","Bremen","vocational + Abi","10","","","","2"
"No","2009","Bremen","higher vocational","5","","","","2"
"No","2009","Bremen","higher education","28","","","","2"
"No","2009","North Rhine-Westphalia","in school","75","1","1","1","2"
"No","2009","North Rhine-Westphalia","inadequately","52","0.980836486775507","0.943926318248701","1.01774665530231","2"
"No","2009","North Rhine-Westphalia","general elemantary","401","0.967009708893741","0.949825381675515","0.984194036111968","2"
"No","2009","North Rhine-Westphalia","middle vocational","1690","0.959105580344151","0.949855752567507","0.968355408120795","2"
"No","2009","North Rhine-Westphalia","vocational + Abi","262","0.957635723380384","0.933699054850361","0.981572391910408","2"
"No","2009","North Rhine-Westphalia","higher vocational","244","0.925371980755578","0.893117717155194","0.957626244355961","2"
"No","2009","North Rhine-Westphalia","higher education","719","0.962962941659898","0.949392791505738","0.976533091814058","2"
"No","2009","Hesse","in school","21","","","","2"
"No","2009","Hesse","inadequately","10","","","","2"
"No","2009","Hesse","general elemantary","117","0.982443231632851","0.959042392664297","1.00584407060141","2"
"No","2009","Hesse","middle vocational","554","0.959755537411544","0.94374734894822","0.975763725874869","2"
"No","2009","Hesse","vocational + Abi","90","1","1","1","2"
"No","2009","Rhineland-Palatinate,Saarland","higher vocational","75","0.976167430798428","0.942533150933716","1.00980171066314","2"
"No","2009","Rhineland-Palatinate,Saarland","higher education","155","0.95772261776334","0.927019672728513","0.988425562798167","2"
"No","2009","Baden-Württemberg","in school","39","1","1","1","2"
"No","2009","Baden-Württemberg","inadequately","34","0.987604688851617","0.95094959321995","1.02425978448328","2"
"No","2009","Baden-Württemberg","general elemantary","270","0.963690088403164","0.941621485411656","0.985758691394672","2"
"No","2009","Baden-Württemberg","middle vocational","965","0.95992690822792","0.947825162705076","0.972028653750765","2"
"No","2009","Baden-Württemberg","vocational + Abi","115","0.954378447482171","0.917044594769567","0.991712300194775","2"
"No","2009","Brandenburg","middle vocational","372","0.958281170741951","0.938334658296132","0.978227683187769","2"
"No","2009","Brandenburg","vocational + Abi","28","","","","2"
"No","2009","Brandenburg","higher vocational","58","0.947632165907745","0.891729132212455","1.00353519960303","2"
"No","2009","Brandenburg","higher education","233","0.978156098933734","0.959624268209123","0.996687929658345","2"
"No","2009","Mecklenburg-Western Pomerania","in school","6","","","","2"
"No","2009","Mecklenburg-Western Pomerania","inadequately","4","","","","2"
"No","2009","Mecklenburg-Western Pomerania","general elemantary","22","","","","2"
"No","2009","Saxony","middle vocational","730","0.964356720237123","0.951105775094788","0.977607665379458","2"
"No","2009","Saxony","vocational + Abi","51","0.983312056672352","0.948824911401251","1.01779920194345","2"
"No","2009","Saxony","higher vocational","118","0.990995113922245","0.974163325091948","1.00782690275254","2"
"No","2009","Saxony-Anhalt","higher education","194","0.974700915236497","0.952883181123627","0.996518649349368","2"
"No","2009","Thuringia","in school","7","","","","2"
"No","2009","Thuringia","inadequately","1","","","","2"
"No","2009","Thuringia","general elemantary","51","0.962744905740865","0.911270082127454","1.01421972935428","2"
"No","2009","Thuringia","middle vocational","481","0.97575904401577","0.962196824150336","0.989321263881204","2"
"No","2009","Thuringia","vocational + Abi","20","","","","2"
