"ple0015","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","higher education","3875","0.962162210219478","0.956285135253751","0.968039285185205","2"
"No","2009","higher vocational","1278","0.95456795673074","0.943409488152401","0.965726425309079","2"
"No","2009","vocational + Abi","975","0.969566585157694","0.958935886996572","0.980197283318816","2"
"No","2009","middle vocational","8744","0.957108350399443","0.952947980025952","0.961268720772933","2"
"No","2009","general elemantary","1761","0.969120279658578","0.961155119468999","0.977085439848157","2"
"No","2009","inadequately","167","0.991395522305286","0.977470674030526","1.00532037058005","2"
"No","2009","in school","313","1","1","1","2"
"Yes","2009","in school","","","","","1"
"Yes","2009","inadequately","2","","","","1"
"Yes","2009","general elemantary","51","0.0308797203414221","0.0229145601518429","0.0388448805310014","1"
"Yes","2009","middle vocational","367","0.0428916496005575","0.0387312792270668","0.0470520199740482","1"
"Yes","2009","vocational + Abi","28","","","","1"
"Yes","2009","higher vocational","60","0.0454320432692605","0.0342735746909214","0.0565905118475995","1"
"Yes","2009","higher education","174","0.0378377897805223","0.0319607148147955","0.043714864746249","1"
"No","2010","higher education","","","","","2"
"No","2010","vocational + Abi","","","","","2"
"No","2010","higher vocational","","","","","2"
"No","2010","general elemantary","","","","","2"
"No","2010","middle vocational","","","","","2"
"No","2010","in school","","","","","2"
"No","2010","inadequately","","","","","2"
"Yes","2010","in school","","","","","1"
"Yes","2010","inadequately","","","","","1"
"Yes","2010","general elemantary","","","","","1"
"Yes","2010","middle vocational","","","","","1"
"Yes","2010","vocational + Abi","","","","","1"
"Yes","2010","higher vocational","","","","","1"
"Yes","2010","higher education","","","","","1"
"No","2011","higher education","4360","0.952136362458682","0.945967265424062","0.958305459493302","2"
"No","2011","vocational + Abi","1167","0.964093587395639","0.953605880384214","0.974581294407063","2"
"No","2011","higher vocational","1381","0.955815842403201","0.945252866484964","0.966378818321439","2"
"No","2011","general elemantary","2098","0.958064958081771","0.949666289367543","0.966463626795998","2"
"No","2011","middle vocational","10058","0.949803792363622","0.945636869762875","0.953970714964368","2"
"No","2011","inadequately","222","0.949680608508833","0.92161163013442","0.977749586883246","2"
"No","2011","in school","311","0.992459578348124","0.982875945842078","1.00204321085417","2"
"Yes","2011","general elemantary","90","0.041935041918229","0.0335363732040016","0.0503337106324564","1"
"Yes","2011","middle vocational","490","0.0501962076363784","0.0460292850356316","0.0543631302371252","1"
"Yes","2011","in school","2","","","","1"
"Yes","2011","inadequately","11","","","","1"
"Yes","2011","higher education","240","0.047863637541318","0.041694540506698","0.054032734575938","1"
"Yes","2011","vocational + Abi","42","0.0359064126043615","0.0254187055929372","0.0463941196157858","1"
"Yes","2011","higher vocational","73","0.0441841575967986","0.0336211816785615","0.0547471335150356","1"
"No","2012","vocational + Abi","","","","","2"
"No","2012","higher education","","","","","2"
"No","2012","higher vocational","","","","","2"
"No","2012","general elemantary","","","","","2"
"No","2012","middle vocational","","","","","2"
"No","2012","in school","","","","","2"
"No","2012","inadequately","","","","","2"
"Yes","2012","higher vocational","","","","","1"
"Yes","2012","higher education","","","","","1"
"Yes","2012","inadequately","","","","","1"
"Yes","2012","in school","","","","","1"
"Yes","2012","general elemantary","","","","","1"
"Yes","2012","middle vocational","","","","","1"
"Yes","2012","vocational + Abi","","","","","1"
"No","2013","vocational + Abi","1057","0.953967760005682","0.941600934356428","0.966334585654935","2"
"No","2013","higher education","4201","0.9401275614362","0.933178711829502","0.947076411042899","2"
"No","2013","higher vocational","1252","0.936486853698201","0.923394562010707","0.949579145385695","2"
"No","2013","general elemantary","1768","0.94085834402149","0.930155452293356","0.951561235749624","2"
"No","2013","middle vocational","8924","0.935412648431611","0.93045927767859","0.940366019184633","2"
"No","2013","in school","259","0.995003959946092","0.986433842425453","1.00357407746673","2"
"No","2013","inadequately","187","0.954696035210568","0.925506212961576","0.98388585745956","2"
"Yes","2013","higher vocational","81","0.0635131463017993","0.0504208546143052","0.0766054379892933","1"
"Yes","2013","higher education","277","0.0598724385637996","0.0529235889571009","0.0668212881704982","1"
"Yes","2013","middle vocational","535","0.0645873515683886","0.0596339808153669","0.0695407223214104","1"
"Yes","2013","in school","1","","","","1"
"Yes","2013","inadequately","8","","","","1"
"Yes","2013","general elemantary","98","0.0591416559785101","0.0484387642503763","0.069844547706644","1"
"Yes","2013","vocational + Abi","46","0.0460322399943184","0.0336654143450652","0.0583990656435715","1"
"No","2014","general elemantary","","","","","2"
"No","2014","higher education","","","","","2"
"No","2014","middle vocational","","","","","2"
"No","2014","vocational + Abi","","","","","2"
"No","2014","higher vocational","","","","","2"
"No","2014","in school","","","","","2"
"No","2014","inadequately","","","","","2"
"Yes","2014","higher vocational","","","","","1"
"Yes","2014","higher education","","","","","1"
"Yes","2014","inadequately","","","","","1"
"Yes","2014","general elemantary","","","","","1"
"Yes","2014","middle vocational","","","","","1"
"Yes","2014","in school","","","","","1"
"Yes","2014","vocational + Abi","","","","","1"
"No","2015","general elemantary","2591","0.954897483400181","0.947052135252735","0.962742831547628","2"
"No","2015","vocational + Abi","1901","0.95909825834093","0.950332050848203","0.967864465833656","2"
"No","2015","higher vocational","1440","0.932463935557907","0.919897774985961","0.945030096129854","2"
"No","2015","higher education","5586","0.944258727745203","0.938401207304729","0.950116248185678","2"
"No","2015","middle vocational","11120","0.936651264314349","0.932239533170025","0.941062995458674","2"
"No","2015","in school","352","1","1","1","2"
"No","2015","inadequately","397","0.944329482406542","0.922189672536614","0.96646929227647","2"
"Yes","2015","higher vocational","92","0.0675360644420928","0.0549699038701465","0.0801022250140392","1"
"Yes","2015","higher education","307","0.0557412722547966","0.0498837518143222","0.0615987926952709","1"
"Yes","2015","middle vocational","591","0.0633487356856506","0.0589370045413258","0.0677604668299753","1"
"Yes","2015","vocational + Abi","60","0.0409017416590704","0.0321355341663442","0.0496679491517966","1"
"Yes","2015","inadequately","15","","","","1"
"Yes","2015","in school","","","","","1"
"Yes","2015","general elemantary","97","0.0451025165998186","0.0372571684523722","0.052947864747265","1"
"No","2016","general elemantary","","","","","2"
"No","2016","middle vocational","","","","","2"
"No","2016","vocational + Abi","","","","","2"
"No","2016","higher education","","","","","2"
"No","2016","higher vocational","","","","","2"
"No","2016","in school","","","","","2"
"No","2016","inadequately","","","","","2"
"Yes","2016","higher vocational","","","","","1"
"Yes","2016","higher education","","","","","1"
"Yes","2016","middle vocational","","","","","1"
"Yes","2016","vocational + Abi","","","","","1"
"Yes","2016","inadequately","","","","","1"
"Yes","2016","in school","","","","","1"
"Yes","2016","general elemantary","","","","","1"
"No","2017","inadequately","443","0.964366128505291","0.947370294928143","0.981361962082439","2"
"No","2017","general elemantary","2671","0.959156579372705","0.951780462120409","0.966532696625","2"
"No","2017","in school","411","0.998325018135886","0.994376442013979","1.00227359425779","2"
"No","2017","higher vocational","1440","0.934576514041089","0.922250643041267","0.946902385040911","2"
"No","2017","higher education","6194","0.940528705528403","0.934802926338215","0.946254484718591","2"
"No","2017","middle vocational","11508","0.938362592577651","0.934084009787956","0.942641175367345","2"
"No","2017","vocational + Abi","2146","0.956030570820797","0.947513371422854","0.964547770218739","2"
"Yes","2017","higher education","360","0.0594712944715969","0.0537455152814092","0.0651970736617846","1"
"Yes","2017","higher vocational","106","0.0654234859589108","0.0530976149590885","0.0777493569587331","1"
"Yes","2017","middle vocational","629","0.0616374074223494","0.0573588246326552","0.0659159902120436","1"
"Yes","2017","vocational + Abi","80","0.0439694291792034","0.0354522297812611","0.0524866285771457","1"
"Yes","2017","inadequately","14","","","","1"
"Yes","2017","general elemantary","95","0.0408434206272954","0.0334673033749998","0.0482195378795909","1"
"Yes","2017","in school","1","","","","1"
"No","2018","in school","","","","","2"
