"year","age_gr","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","16-34 y.","(Married) couple without C.","2.54","2","631","2","2","3","4","4","2.47","2.61","1","5","2","2"
"1990","16-34 y.","1-pers.-HH","2.67","3","265","2","2","3","4","4","2.56","2.78","1","5","2","3"
"1990","16-34 y.","Couple + C. GT 16 ","3.04","3","845","2","2","4","4","5","2.97","3.11","1","5","3","3"
"1990","16-34 y.","Couple + C. LE 16","2.44","2","1044","1","2","3","4","4","2.39","2.49","1","5","2","2"
"1990","16-34 y.","Couple + C. LE and GT 16","3.09","3","357","2","2","4","4","5","2.98","3.2","1","5","3","3"
"1990","16-34 y.","Single parent","2.86","3","222","1","2","4","4","5","2.71","3.01","1","5","3","3"
"1990","35-65 y.","(Married) couple without C.","2.71","3","1175","2","2","3","4","5","2.65","2.77","1","5","3","3"
"1990","35-65 y.","1-pers.-HH","3.04","3","394","2","2","4","4","5","2.93","3.15","1","5","3","3"
"1990","35-65 y.","Couple + C. GT 16 ","2.92","3","1140","2","2","4","4","5","2.86","2.98","1","5","3","3"
"1990","35-65 y.","Couple + C. LE 16","2.88","3","1043","2","2","4","4","5","2.82","2.94","1","5","3","3"
"1990","35-65 y.","Couple + C. LE and GT 16","2.93","3","530","2","2","4","4","5","2.85","3.01","1","5","3","3"
"1990","35-65 y.","Single parent","2.91","3","211","2","2","4","4","5","2.77","3.05","1","5","3","3"
"1990","66 and older","(Married) couple without C.","2.77","3","500","2","2","4","4","5","2.68","2.86","1","5","3","3"
"1990","66 and older","1-pers.-HH","2.74","3","374","1","2","4","4","5","2.63","2.85","1","5","2","3"
"1990","66 and older","Couple + C. GT 16 ","2.79","3","67","2","2","3","4","5","2.56","3.02","1","5","2","3"
"1990","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"1990","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1990","66 and older","Single parent","","","","","","","","","","","","","",""
"1991","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"1991","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","16-34 y.","Single parent","","","","","","","","","","","","","",""
"1991","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
"1991","35-65 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","35-65 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","35-65 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","35-65 y.","Single parent","","","","","","","","","","","","","",""
"1991","66 and older","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","66 and older","1-pers.-HH","","","","","","","","","","","","","",""
"1991","66 and older","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","66 and older","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","66 and older","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","66 and older","Single parent","","","","","","","","","","","","","",""
"1992","16-34 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"1992","16-34 y.","1-pers.-HH","","","","","","","","","","","","","",""
"1992","16-34 y.","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1992","16-34 y.","Couple + C. LE 16","","","","","","","","","","","","","",""
"1992","16-34 y.","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","16-34 y.","Single parent","","","","","","","","","","","","","",""
"1992","35-65 y.","(Married) couple without C.","","","","","","","","","","","","","",""
"1992","35-65 y.","1-pers.-HH","","","","","","","","","","","","","",""
