"pgfamstd","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","Saxony","no migration background","","","","","4"
"Divorced","1984","North Rhine-Westphalia","no migration background","81","0.0428556351533876","0.0340733689083367","0.0516379013984384","4"
"Divorced","1984","Thuringia","direct migration background","","","","","4"
"Divorced","1984","Baden-Württemberg","direct migration background","12","","","","4"
"Divorced","1984","Schleswig-Holstein","indirect migration background","","","","","4"
"Divorced","1984","Schleswig-Holstein","direct migration background","1","","","","4"
"Divorced","1984","Thuringia","indirect migration background","","","","","4"
"Divorced","1984","Brandenburg","indirect migration background","","","","","4"
"Divorced","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"Divorced","1984","Mecklenburg-Western Pomerania","no migration background","","","","","4"
"Divorced","1984","Bremen","no migration background","2","","","","4"
"Divorced","1984","Bremen","direct migration background","","","","","4"
"Divorced","1984","Hamburg","no migration background","22","","","","4"
"Divorced","1984","Baden-Württemberg","no migration background","43","0.0388788565223275","0.0277258747120387","0.0500318383326162","4"
"Divorced","1984","Rhineland-Palatinate,Saarland","indirect migration background","","","","","4"
"Divorced","1984","Bremen","indirect migration background","","","","","4"
"Divorced","1984","Bavaria","no migration background","38","0.0280751420724373","0.019528422259863","0.0366218618850116","4"
"Divorced","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"Divorced","1984","Schleswig-Holstein","no migration background","14","","","","4"
"Divorced","1984","Saxony-Anhalt","direct migration background","","","","","4"
"Divorced","1984","Saxony-Anhalt","indirect migration background","","","","","4"
"Divorced","1984","Thuringia","no migration background","","","","","4"
"Divorced","1984","Lower Saxony","indirect migration background","1","","","","4"
"Divorced","1984","North Rhine-Westphalia","direct migration background","19","","","","4"
"Divorced","1984","North Rhine-Westphalia","indirect migration background","1","","","","4"
"Divorced","1984","Rhineland-Palatinate,Saarland","no migration background","21","","","","4"
"Divorced","1984","Rhineland-Palatinate,Saarland","direct migration background","2","","","","4"
"Divorced","1984","Baden-Württemberg","indirect migration background","","","","","4"
"Divorced","1984","Hamburg","direct migration background","4","","","","4"
"Divorced","1984","Hamburg","indirect migration background","","","","","4"
"Divorced","1984","Lower Saxony","no migration background","25","","","","4"
"Divorced","1984","Lower Saxony","direct migration background","5","","","","4"
"Divorced","1984","Hesse","no migration background","19","","","","4"
"Divorced","1984","Hesse","direct migration background","7","","","","4"
"Divorced","1984","Hesse","indirect migration background","","","","","4"
"Divorced","1984","Saxony","direct migration background","","","","","4"
"Divorced","1984","Saxony","indirect migration background","","","","","4"
"Divorced","1984","Saxony-Anhalt","no migration background","","","","","4"
"Divorced","1984","Bavaria","direct migration background","7","","","","4"
"Divorced","1984","Bavaria","indirect migration background","1","","","","4"
"Divorced","1984","Berlin","no migration background","22","","","","4"
"Divorced","1984","Berlin","direct migration background","4","","","","4"
"Divorced","1984","Berlin","indirect migration background","","","","","4"
"Divorced","1984","Brandenburg","no migration background","","","","","4"
"Divorced","1984","Brandenburg","direct migration background","","","","","4"
"Married","1984","Schleswig-Holstein","no migration background","199","0.602462637776916","0.547896541287821","0.65702873426601","1"
"Married","1984","Schleswig-Holstein","direct migration background","24","","","","1"
"Married","1984","Schleswig-Holstein","indirect migration background","","","","","1"
"Married","1984","Hamburg","no migration background","108","0.52259993797159","0.452313240382928","0.592886635560252","1"
"Married","1984","Hamburg","direct migration background","55","0.547484947935776","0.434079259895124","0.660890635976429","1"
"Married","1984","Hamburg","indirect migration background","1","","","","1"
"Married","1984","Lower Saxony","no migration background","592","0.620221981862732","0.588688938794855","0.651755024930608","1"
"Married","1984","Lower Saxony","direct migration background","118","0.699594286642855","0.630272352519955","0.768916220765754","1"
"Married","1984","Lower Saxony","indirect migration background","1","","","","1"
"Married","1984","Bremen","no migration background","50","0.512261288957905","0.407227786732819","0.617294791182992","1"
"Married","1984","Bremen","direct migration background","22","","","","1"
"Married","1984","Bremen","indirect migration background","","","","","1"
"Married","1984","North Rhine-Westphalia","no migration background","1311","0.602726650058602","0.581507947680995","0.623945352436208","1"
"Married","1984","North Rhine-Westphalia","direct migration background","579","0.673607890090506","0.641013869520115","0.706201910660897","1"
"Married","1984","North Rhine-Westphalia","indirect migration background","13","","","","1"
"Married","1984","Hesse","no migration background","437","0.61642221388466","0.579766590679615","0.653077837089705","1"
"Married","1984","Hesse","direct migration background","308","0.731958825902863","0.689136400469288","0.774781251336439","1"
"Married","1984","Hesse","indirect migration background","3","","","","1"
"Married","1984","Rhineland-Palatinate,Saarland","no migration background","398","0.621175854588499","0.582899407548947","0.659452301628051","1"
"Married","1984","Rhineland-Palatinate,Saarland","direct migration background","89","0.622364129302097","0.536689066355402","0.708039192248793","1"
"Married","1984","Rhineland-Palatinate,Saarland","indirect migration background","","","","","1"
"Married","1984","Baden-Württemberg","no migration background","737","0.60397667935527","0.575759366580548","0.632193992129992","1"
"Married","1984","Baden-Württemberg","direct migration background","580","0.691874859181205","0.659534521337445","0.724215197024965","1"
"Married","1984","Baden-Württemberg","indirect migration background","7","","","","1"
"Married","1984","Bavaria","no migration background","946","0.632581459472438","0.6076377577947","0.657525161150176","1"
"Married","1984","Bavaria","direct migration background","313","0.775580046752141","0.733960390760355","0.817199702743928","1"
"Married","1984","Bavaria","indirect migration background","7","","","","1"
"Married","1984","Berlin","no migration background","142","0.492534963137571","0.431530749499241","0.5535391767759","1"
"Married","1984","Berlin","direct migration background","68","0.61262268072795","0.514662423064527","0.710582938391372","1"
"Married","1984","Berlin","indirect migration background","1","","","","1"
"Married","1984","Brandenburg","no migration background","","","","","1"
"Married","1984","Brandenburg","direct migration background","","","","","1"
"Married","1984","Brandenburg","indirect migration background","","","","","1"
"Married","1984","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Married","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Married","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Married","1984","Saxony","no migration background","","","","","1"
"Married","1984","Saxony","direct migration background","","","","","1"
"Married","1984","Saxony","indirect migration background","","","","","1"
"Married","1984","Saxony-Anhalt","no migration background","","","","","1"
"Married","1984","Saxony-Anhalt","direct migration background","","","","","1"
"Married","1984","Saxony-Anhalt","indirect migration background","","","","","1"
"Married","1984","Thuringia","no migration background","","","","","1"
"Married","1984","Thuringia","direct migration background","","","","","1"
"Married","1984","Thuringia","indirect migration background","","","","","1"
"Married, but separated","1984","Schleswig-Holstein","direct migration background","1","","","","2"
"Married, but separated","1984","Hesse","no migration background","11","","","","2"
"Married, but separated","1984","Bremen","indirect migration background","","","","","2"
"Married, but separated","1984","Rhineland-Palatinate,Saarland","no migration background","5","","","","2"
"Married, but separated","1984","Saxony-Anhalt","direct migration background","","","","","2"
"Married, but separated","1984","Schleswig-Holstein","no migration background","5","","","","2"
"Married, but separated","1984","Hamburg","direct migration background","4","","","","2"
"Married, but separated","1984","Thuringia","indirect migration background","","","","","2"
"Married, but separated","1984","Lower Saxony","direct migration background","10","","","","2"
"Married, but separated","1984","Saxony","direct migration background","","","","","2"
"Married, but separated","1984","North Rhine-Westphalia","no migration background","25","","","","2"
"Married, but separated","1984","Saxony-Anhalt","no migration background","","","","","2"
"Married, but separated","1984","Thuringia","direct migration background","","","","","2"
"Married, but separated","1984","Hesse","direct migration background","18","","","","2"
"Married, but separated","1984","Hesse","indirect migration background","","","","","2"
"Married, but separated","1984","Lower Saxony","no migration background","7","","","","2"
"Married, but separated","1984","Saxony","no migration background","","","","","2"
"Married, but separated","1984","Brandenburg","indirect migration background","","","","","2"
"Married, but separated","1984","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Married, but separated","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Married, but separated","1984","Schleswig-Holstein","indirect migration background","","","","","2"
"Married, but separated","1984","Hamburg","no migration background","2","","","","2"
"Married, but separated","1984","Hamburg","indirect migration background","","","","","2"
"Married, but separated","1984","North Rhine-Westphalia","direct migration background","29","","","","2"
"Married, but separated","1984","North Rhine-Westphalia","indirect migration background","","","","","2"
"Married, but separated","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Married, but separated","1984","Saxony","indirect migration background","","","","","2"
"Married, but separated","1984","Lower Saxony","indirect migration background","","","","","2"
"Married, but separated","1984","Bremen","no migration background","1","","","","2"
"Married, but separated","1984","Bremen","direct migration background","","","","","2"
"Married, but separated","1984","Saxony-Anhalt","indirect migration background","","","","","2"
"Married, but separated","1984","Thuringia","no migration background","","","","","2"
"Married, but separated","1984","Rhineland-Palatinate,Saarland","direct migration background","4","","","","2"
"Married, but separated","1984","Rhineland-Palatinate,Saarland","indirect migration background","","","","","2"
"Married, but separated","1984","Baden-Württemberg","no migration background","14","","","","2"
"Married, but separated","1984","Baden-Württemberg","direct migration background","39","0.0675894711422581","0.0500057689928396","0.0851731732916766","2"
"Married, but separated","1984","Baden-Württemberg","indirect migration background","","","","","2"
"Married, but separated","1984","Bavaria","no migration background","11","","","","2"
"Married, but separated","1984","Bavaria","direct migration background","12","","","","2"
"Married, but separated","1984","Bavaria","indirect migration background","1","","","","2"
"Married, but separated","1984","Berlin","no migration background","3","","","","2"
"Married, but separated","1984","Berlin","direct migration background","4","","","","2"
"Married, but separated","1984","Berlin","indirect migration background","","","","","2"
"Married, but separated","1984","Brandenburg","no migration background","","","","","2"
"Married, but separated","1984","Brandenburg","direct migration background","","","","","2"
"Single","1984","Schleswig-Holstein","indirect migration background","2","","","","3"
"Single","1984","Hamburg","indirect migration background","","","","","3"
"Single","1984","Schleswig-Holstein","direct migration background","5","","","","3"
"Single","1984","Hamburg","direct migration background","10","","","","3"
"Single","1984","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"Single","1984","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Single","1984","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Single","1984","Saxony","no migration background","","","","","3"
"Single","1984","Saxony","direct migration background","","","","","3"
"Single","1984","Schleswig-Holstein","no migration background","67","0.213629792481058","0.167930099087673","0.259329485874443","3"
"Single","1984","Hamburg","no migration background","43","0.217646494363353","0.159580137253185","0.27571285147352","3"
"Single","1984","Brandenburg","indirect migration background","","","","","3"
"Single","1984","Lower Saxony","no migration background","217","0.237824084103769","0.210162125824805","0.265486042382734","3"
"Single","1984","Lower Saxony","direct migration background","33","0.160446738218908","0.104948011032587","0.215945465405228","3"
"Single","1984","Lower Saxony","indirect migration background","2","","","","3"
"Single","1984","Bremen","no migration background","19","","","","3"
"Single","1984","Bremen","direct migration background","2","","","","3"
"Single","1984","Bremen","indirect migration background","","","","","3"
"Single","1984","North Rhine-Westphalia","no migration background","474","0.234910794903946","0.216527581358593","0.2532940084493","3"
"Single","1984","North Rhine-Westphalia","direct migration background","153","0.167166255503675","0.141229360099996","0.193103150907353","3"
"Single","1984","Hesse","indirect migration background","7","","","","3"
"Single","1984","Rhineland-Palatinate,Saarland","no migration background","129","0.206158573430085","0.174237823303484","0.238079323556685","3"
"Single","1984","Rhineland-Palatinate,Saarland","direct migration background","24","","","","3"
"Single","1984","Rhineland-Palatinate,Saarland","indirect migration background","4","","","","3"
"Single","1984","Baden-Württemberg","no migration background","268","0.23442744746528","0.209985118025284","0.258869776905276","3"
"Single","1984","Baden-Württemberg","direct migration background","131","0.158406252083959","0.132831901194938","0.183980602972981","3"
"Single","1984","Baden-Württemberg","indirect migration background","17","","","","3"
"Single","1984","Berlin","direct migration background","16","","","","3"
"Single","1984","Berlin","indirect migration background","1","","","","3"
"Single","1984","Brandenburg","no migration background","","","","","3"
"Single","1984","Brandenburg","direct migration background","","","","","3"
"Single","1984","Saxony-Anhalt","no migration background","","","","","3"
