"pgfamstd","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Divorced","1984","direct migration background","in school","","","","","4"
"Divorced","1984","direct migration background","inadequately","18","","","","4"
"Divorced","1984","indirect migration background","in school","","","","","4"
"Divorced","1984","no migration background","in school","","","","","4"
"Divorced","1984","no migration background","inadequately","5","","","","4"
"Divorced","1984","no migration background","general elemantary","59","0.0295539095823322","0.0221686530776355","0.0369391660870288","4"
"Divorced","1984","no migration background","middle vocational","180","0.0469306857398172","0.0404767177353565","0.0533846537442778","4"
"Divorced","1984","no migration background","vocational + Abi","6","","","","4"
"Divorced","1984","no migration background","higher vocational","15","","","","4"
"Divorced","1984","direct migration background","general elemantary","21","","","","4"
"Divorced","1984","direct migration background","middle vocational","15","","","","4"
"Divorced","1984","direct migration background","vocational + Abi","2","","","","4"
"Divorced","1984","direct migration background","higher vocational","2","","","","4"
"Divorced","1984","indirect migration background","inadequately","","","","","4"
"Divorced","1984","indirect migration background","general elemantary","1","","","","4"
"Divorced","1984","indirect migration background","middle vocational","1","","","","4"
"Divorced","1984","indirect migration background","higher vocational","","","","","4"
"Divorced","1984","indirect migration background","higher education","1","","","","4"
"Divorced","1984","no migration background","higher education","22","","","","4"
"Divorced","1984","direct migration background","higher education","3","","","","4"
"Divorced","1984","indirect migration background","vocational + Abi","","","","","4"
"Married","1984","no migration background","in school","","","","","1"
"Married","1984","no migration background","inadequately","19","","","","1"
"Married","1984","no migration background","general elemantary","1132","0.525264776333738","0.503488316751298","0.547041235916178","1"
"Married","1984","no migration background","middle vocational","2821","0.650204141833969","0.635650612961605","0.664757670706333","1"
"Married","1984","no migration background","vocational + Abi","88","0.501322683536807","0.424799214134617","0.577846152938997","1"
"Married","1984","no migration background","higher vocational","405","0.713730170606021","0.675605506289033","0.75185483492301","1"
"Married","1984","no migration background","higher education","448","0.701434096790255","0.665236690995573","0.737631502584936","1"
"Married","1984","direct migration background","in school","","","","","1"
"Married","1984","direct migration background","inadequately","636","0.769267504274522","0.739529352241232","0.799005656307812","1"
"Married","1984","direct migration background","general elemantary","643","0.645715623165166","0.614588348683868","0.676842897646464","1"
"Married","1984","direct migration background","middle vocational","640","0.714908645367532","0.68528196704186","0.744535323693204","1"
"Married","1984","direct migration background","vocational + Abi","78","0.596414307617039","0.501202696829786","0.691625918404291","1"
"Married","1984","direct migration background","higher vocational","35","0.700030060137439","0.566142863922572","0.833917256352307","1"
"Married","1984","direct migration background","higher education","86","0.740917970466413","0.660491432445108","0.821344508487718","1"
"Married","1984","indirect migration background","in school","","","","","1"
"Married","1984","indirect migration background","inadequately","2","","","","1"
"Married","1984","indirect migration background","general elemantary","10","","","","1"
"Married","1984","indirect migration background","middle vocational","19","","","","1"
"Married","1984","indirect migration background","vocational + Abi","","","","","1"
"Married","1984","indirect migration background","higher vocational","2","","","","1"
"Married","1984","indirect migration background","higher education","","","","","1"
"Married, but separated","1984","indirect migration background","higher vocational","","","","","2"
"Married, but separated","1984","indirect migration background","higher education","1","","","","2"
"Married, but separated","1984","no migration background","in school","","","","","2"
"Married, but separated","1984","direct migration background","higher education","7","","","","2"
"Married, but separated","1984","indirect migration background","general elemantary","","","","","2"
"Married, but separated","1984","no migration background","inadequately","1","","","","2"
"Married, but separated","1984","no migration background","general elemantary","18","","","","2"
