"plh0224","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","2","","",""
"1 Strongly disagree","2005","in school","East Germany","","","",""
"1 Strongly disagree","2005","inadequately","West Germany","2","","",""
"1 Strongly disagree","2005","inadequately","East Germany","","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","6","","",""
"1 Strongly disagree","2005","general elemantary","East Germany","2","","",""
"1 Strongly disagree","2005","middle vocational","West Germany","29","","",""
"1 Strongly disagree","2005","middle vocational","East Germany","6","","",""
"1 Strongly disagree","2005","vocational + Abi","West Germany","6","","",""
"1 Strongly disagree","2005","vocational + Abi","East Germany","","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","4","","",""
"1 Strongly disagree","2005","higher vocational","East Germany","4","","",""
"1 Strongly disagree","2005","higher education","West Germany","4","","",""
"1 Strongly disagree","2005","higher education","East Germany","2","","",""
"2 on scale 1-7 ","2005","in school","West Germany","2","","",""
"2 on scale 1-7 ","2005","in school","East Germany","2","","",""
"2 on scale 1-7 ","2005","inadequately","West Germany","3","","",""
"2 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","19","","",""
"2 on scale 1-7 ","2005","general elemantary","East Germany","5","","",""
"2 on scale 1-7 ","2005","middle vocational","West Germany","47","0.0053047653089774","0.00367485416868899","0.0069346764492658"
"2 on scale 1-7 ","2005","middle vocational","East Germany","20","","",""
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","5","","",""
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","","","",""
"2 on scale 1-7 ","2005","higher vocational","West Germany","2","","",""
"2 on scale 1-7 ","2005","higher vocational","East Germany","3","","",""
"2 on scale 1-7 ","2005","higher education","West Germany","12","","",""
"2 on scale 1-7 ","2005","higher education","East Germany","6","","",""
"3 on scale 1-7 ","2005","in school","West Germany","13","","",""
"3 on scale 1-7 ","2005","in school","East Germany","","","",""
"3 on scale 1-7 ","2005","inadequately","West Germany","9","","",""
"3 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"3 on scale 1-7 ","2005","general elemantary","West Germany","63","0.0273913324322503","0.0203412277620914","0.0344414371024092"
"3 on scale 1-7 ","2005","general elemantary","East Germany","","","",""
"3 on scale 1-7 ","2005","middle vocational","West Germany","181","0.0231570637973937","0.0197823267567066","0.0265318008380808"
"3 on scale 1-7 ","2005","middle vocational","East Germany","47","0.0233366107478912","0.0175624073837473","0.0291108141120352"
"3 on scale 1-7 ","2005","vocational + Abi","West Germany","19","","",""
"3 on scale 1-7 ","2005","vocational + Abi","East Germany","1","","",""
"3 on scale 1-7 ","2005","higher vocational","West Germany","27","","",""
"3 on scale 1-7 ","2005","higher vocational","East Germany","11","","",""
"3 on scale 1-7 ","2005","higher education","West Germany","59","0.0185318871336182","0.0136385699488265","0.0234252043184099"
"3 on scale 1-7 ","2005","higher education","East Germany","12","","",""
"4 on scale 1-7","2005","in school","West Germany","63","0.109004173101203","0.0817423038990333","0.136266042303373"
"4 on scale 1-7","2005","in school","East Germany","14","","",""
"4 on scale 1-7","2005","inadequately","West Germany","26","","",""
"4 on scale 1-7","2005","inadequately","East Germany","1","","",""
"4 on scale 1-7","2005","general elemantary","West Germany","204","0.0880564303189457","0.0758163451901883","0.100296515447703"
"4 on scale 1-7","2005","general elemantary","East Germany","40","0.110241404790915","0.0770970555546433","0.143385754027188"
"4 on scale 1-7","2005","middle vocational","West Germany","748","0.0984123916490429","0.0917287265223505","0.105096056775735"
"4 on scale 1-7","2005","middle vocational","East Germany","230","0.080861320205913","0.070434265181237","0.091288375230589"
"4 on scale 1-7","2005","vocational + Abi","West Germany","89","0.095936514390996","0.0774412712623002","0.114431757519692"
"4 on scale 1-7","2005","vocational + Abi","East Germany","17","","",""
"4 on scale 1-7","2005","higher vocational","West Germany","110","0.0984968747527487","0.081176283920308","0.115817465585189"
"4 on scale 1-7","2005","higher vocational","East Germany","43","0.0884947382699121","0.0613650153874657","0.115624461152359"
"4 on scale 1-7","2005","higher education","West Germany","289","0.0920026781137907","0.0815157578535897","0.102489598373992"
"4 on scale 1-7","2005","higher education","East Germany","107","0.0904959434988744","0.0746171975928065","0.106374689404942"
"5 on scale 1-7","2005","in school","West Germany","106","0.206820447329646","0.171389829621425","0.242251065037867"
"5 on scale 1-7","2005","in school","East Germany","33","0.202939000599818","0.137701066234611","0.268176934965025"
"5 on scale 1-7","2005","inadequately","West Germany","35","0.128324736568027","0.0841301269380399","0.172519346198015"
"5 on scale 1-7","2005","inadequately","East Germany","4","","",""
"5 on scale 1-7","2005","general elemantary","West Germany","384","0.192665038557021","0.175629798633619","0.209700278480423"
"5 on scale 1-7","2005","general elemantary","East Germany","68","0.179853889744766","0.139208942596187","0.220498836893344"
"5 on scale 1-7","2005","middle vocational","West Germany","1553","0.200369079715004","0.191387639913385","0.209350519516624"
"5 on scale 1-7","2005","middle vocational","East Germany","466","0.173402278637183","0.158922056240593","0.187882501033773"
"5 on scale 1-7","2005","vocational + Abi","West Germany","216","0.222327034288183","0.196213644530992","0.248440424045374"
"5 on scale 1-7","2005","vocational + Abi","East Germany","29","","",""
"5 on scale 1-7","2005","higher vocational","West Germany","247","0.202394151837692","0.179040166499868","0.225748137175516"
"5 on scale 1-7","2005","higher vocational","East Germany","66","0.145170898351551","0.111520789403007","0.178821007300095"
"5 on scale 1-7","2005","higher education","West Germany","661","0.225347447081467","0.210187934190436","0.240506959972498"
"5 on scale 1-7","2005","higher education","East Germany","273","0.209843159820742","0.187305782100564","0.232380537540921"
"6 on scale 1-7","2005","in school","West Germany","193","0.397831585219676","0.355015707781473","0.440647462657878"
"6 on scale 1-7","2005","in school","East Germany","60","0.319168094173531","0.243554244726182","0.39478194362088"
"6 on scale 1-7","2005","inadequately","West Germany","62","0.275451557143097","0.216418798276657","0.334484316009536"
"6 on scale 1-7","2005","inadequately","East Germany","4","","",""
"6 on scale 1-7","2005","general elemantary","West Germany","697","0.33144954978637","0.311116818214325","0.351782281358416"
"6 on scale 1-7","2005","general elemantary","East Germany","103","0.28084987784801","0.233289211579719","0.328410544116301"
"6 on scale 1-7","2005","middle vocational","West Germany","2787","0.361407482260528","0.35062803965041","0.372186924870646"
"6 on scale 1-7","2005","middle vocational","East Germany","1026","0.388917356492595","0.370271627525287","0.407563085459903"
"6 on scale 1-7","2005","vocational + Abi","West Germany","384","0.385877412301834","0.355305625173342","0.416449199430325"
"6 on scale 1-7","2005","vocational + Abi","East Germany","64","0.431602589812697","0.355331728649222","0.507873450976173"
"6 on scale 1-7","2005","higher vocational","West Germany","422","0.385302210946015","0.357014393883978","0.413590028008052"
"6 on scale 1-7","2005","higher vocational","East Germany","174","0.441846921576031","0.3944096587309","0.489284184421161"
"6 on scale 1-7","2005","higher education","West Germany","1211","0.413583180370457","0.395714598323484","0.431451762417429"
"6 on scale 1-7","2005","higher education","East Germany","510","0.360348976035982","0.333776469738308","0.386921482333657"
"7 Strongly agree","2005","in school","West Germany","123","0.253267134384172","0.215224701438913","0.291309567329432"
"7 Strongly agree","2005","in school","East Germany","37","0.287928972032769","0.214481643420185","0.361376300645353"
"7 Strongly agree","2005","inadequately","West Germany","83","0.424924219958146","0.35960288795033","0.490245551965962"
"7 Strongly agree","2005","inadequately","East Germany","9","","",""
"7 Strongly agree","2005","general elemantary","West Germany","686","0.342808490009664","0.322306705027119","0.363310274992208"
"7 Strongly agree","2005","general elemantary","East Germany","125","0.403191350139119","0.351278581838624","0.455104118439614"
"7 Strongly agree","2005","middle vocational","West Germany","2285","0.306242740136575","0.295900312439355","0.316585167833795"
"7 Strongly agree","2005","middle vocational","East Germany","831","0.323067268892768","0.305180991281131","0.340953546504405"
"7 Strongly agree","2005","vocational + Abi","West Germany","255","0.262689471439962","0.235050927246855","0.29032801563307"
"7 Strongly agree","2005","vocational + Abi","East Germany","51","0.32842840256134","0.256108622296729","0.400748182825951"
"7 Strongly agree","2005","higher vocational","West Germany","325","0.28562221769596","0.259366262554232","0.311878172837687"
"7 Strongly agree","2005","higher vocational","East Germany","120","0.264471732941622","0.222341257764017","0.306602208119226"
"7 Strongly agree","2005","higher education","West Germany","682","0.245727803851385","0.230107242158606","0.261348365544163"
"7 Strongly agree","2005","higher education","East Germany","344","0.324778809478339","0.298859931494852","0.350697687461825"
"1 Strongly disagree","2006","in school","West Germany","","","",""
"1 Strongly disagree","2006","in school","East Germany","","","",""
"1 Strongly disagree","2006","inadequately","West Germany","","","",""
"1 Strongly disagree","2006","inadequately","East Germany","","","",""
"1 Strongly disagree","2006","general elemantary","West Germany","","","",""
"1 Strongly disagree","2006","general elemantary","East Germany","","","",""
"1 Strongly disagree","2006","middle vocational","West Germany","","","",""
"1 Strongly disagree","2006","middle vocational","East Germany","","","",""
"1 Strongly disagree","2006","vocational + Abi","West Germany","","","",""
"1 Strongly disagree","2006","vocational + Abi","East Germany","","","",""
"1 Strongly disagree","2006","higher vocational","West Germany","","","",""
"1 Strongly disagree","2006","higher vocational","East Germany","","","",""
"1 Strongly disagree","2006","higher education","West Germany","","","",""
"1 Strongly disagree","2006","higher education","East Germany","","","",""
"2 on scale 1-7 ","2006","in school","West Germany","","","",""
"2 on scale 1-7 ","2006","in school","East Germany","","","",""
"2 on scale 1-7 ","2006","inadequately","West Germany","","","",""
