"plh0224","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","in school","","","",""
"1 Strongly disagree","2005","Full Time","inadequately","1","","",""
"1 Strongly disagree","2005","Full Time","general elemantary","1","","",""
"1 Strongly disagree","2005","Full Time","middle vocational","7","","",""
"1 Strongly disagree","2005","Full Time","vocational + Abi","5","","",""
"1 Strongly disagree","2005","Full Time","higher vocational","6","","",""
"1 Strongly disagree","2005","Full Time","higher education","3","","",""
"1 Strongly disagree","2005","Part Time","in school","","","",""
"1 Strongly disagree","2005","Part Time","inadequately","","","",""
"1 Strongly disagree","2005","Part Time","general elemantary","1","","",""
"1 Strongly disagree","2005","Part Time","middle vocational","8","","",""
"1 Strongly disagree","2005","Part Time","vocational + Abi","","","",""
"1 Strongly disagree","2005","Part Time","higher vocational","","","",""
"1 Strongly disagree","2005","Part Time","higher education","1","","",""
"1 Strongly disagree","2005","Not Working","in school","2","","",""
"1 Strongly disagree","2005","Not Working","inadequately","1","","",""
"1 Strongly disagree","2005","Not Working","general elemantary","6","","",""
"1 Strongly disagree","2005","Not Working","middle vocational","20","","",""
"1 Strongly disagree","2005","Not Working","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Not Working","higher vocational","2","","",""
"1 Strongly disagree","2005","Not Working","higher education","2","","",""
"2 on scale 1-7 ","2005","Full Time","in school","","","",""
"2 on scale 1-7 ","2005","Full Time","inadequately","","","",""
"2 on scale 1-7 ","2005","Full Time","general elemantary","8","","",""
"2 on scale 1-7 ","2005","Full Time","middle vocational","30","0.0064328181326515","0.00389560469801151","0.00897003156729148"
"2 on scale 1-7 ","2005","Full Time","vocational + Abi","1","","",""
"2 on scale 1-7 ","2005","Full Time","higher vocational","3","","",""
"2 on scale 1-7 ","2005","Full Time","higher education","13","","",""
"2 on scale 1-7 ","2005","Part Time","in school","1","","",""
"2 on scale 1-7 ","2005","Part Time","inadequately","","","",""
"2 on scale 1-7 ","2005","Part Time","general elemantary","3","","",""
"2 on scale 1-7 ","2005","Part Time","middle vocational","10","","",""
"2 on scale 1-7 ","2005","Part Time","vocational + Abi","3","","",""
"2 on scale 1-7 ","2005","Part Time","higher vocational","1","","",""
"2 on scale 1-7 ","2005","Part Time","higher education","3","","",""
"2 on scale 1-7 ","2005","Not Working","in school","3","","",""
"2 on scale 1-7 ","2005","Not Working","inadequately","3","","",""
"2 on scale 1-7 ","2005","Not Working","general elemantary","13","","",""
"2 on scale 1-7 ","2005","Not Working","middle vocational","27","","",""
"2 on scale 1-7 ","2005","Not Working","vocational + Abi","1","","",""
"2 on scale 1-7 ","2005","Not Working","higher vocational","1","","",""
"2 on scale 1-7 ","2005","Not Working","higher education","2","","",""
"3 on scale 1-7 ","2005","Full Time","in school","","","",""
"3 on scale 1-7 ","2005","Full Time","inadequately","2","","",""
"3 on scale 1-7 ","2005","Full Time","general elemantary","16","","",""
"3 on scale 1-7 ","2005","Full Time","middle vocational","107","0.032142281901979","0.0265446819348321","0.0377398818691259"
"3 on scale 1-7 ","2005","Full Time","vocational + Abi","8","","",""
"3 on scale 1-7 ","2005","Full Time","higher vocational","23","","",""
"3 on scale 1-7 ","2005","Full Time","higher education","43","0.0143557729630439","0.00942973829669479","0.019281807629393"
"3 on scale 1-7 ","2005","Part Time","in school","","","",""
"3 on scale 1-7 ","2005","Part Time","inadequately","1","","",""
"3 on scale 1-7 ","2005","Part Time","general elemantary","11","","",""
"3 on scale 1-7 ","2005","Part Time","middle vocational","40","0.0135427088115148","0.00901738697170244","0.0180680306513272"
"3 on scale 1-7 ","2005","Part Time","vocational + Abi","6","","",""
"3 on scale 1-7 ","2005","Part Time","higher vocational","4","","",""
"3 on scale 1-7 ","2005","Part Time","higher education","12","","",""
"3 on scale 1-7 ","2005","Not Working","in school","13","","",""
"3 on scale 1-7 ","2005","Not Working","inadequately","6","","",""
"3 on scale 1-7 ","2005","Not Working","general elemantary","36","0.0239443739237296","0.0157924626511677","0.0320962851962915"
"3 on scale 1-7 ","2005","Not Working","middle vocational","81","0.0202663633132083","0.0158642373287799","0.0246684892976367"
"3 on scale 1-7 ","2005","Not Working","vocational + Abi","6","","",""
"3 on scale 1-7 ","2005","Not Working","higher vocational","11","","",""
"3 on scale 1-7 ","2005","Not Working","higher education","16","","",""
"4 on scale 1-7","2005","Full Time","in school","1","","",""
"4 on scale 1-7","2005","Full Time","inadequately","1","","",""
"4 on scale 1-7","2005","Full Time","general elemantary","55","0.0764023054473753","0.0543021030332368","0.0985025078615137"
"4 on scale 1-7","2005","Full Time","middle vocational","420","0.105114384378072","0.0953808047547753","0.114847964001369"
"4 on scale 1-7","2005","Full Time","vocational + Abi","49","0.0773393323779478","0.0545757049945608","0.100102959761335"
"4 on scale 1-7","2005","Full Time","higher vocational","93","0.121738886540706","0.0986432881987486","0.144834484882663"
"4 on scale 1-7","2005","Full Time","higher education","229","0.101686121870696","0.0891700231882084","0.114202220553183"
"4 on scale 1-7","2005","Part Time","in school","11","","",""
"4 on scale 1-7","2005","Part Time","inadequately","9","","",""
"4 on scale 1-7","2005","Part Time","general elemantary","56","0.101685881177672","0.0750877150776524","0.128284047277692"
"4 on scale 1-7","2005","Part Time","middle vocational","199","0.083656980606065","0.0728167707838631","0.0944971904282669"
"4 on scale 1-7","2005","Part Time","vocational + Abi","31","0.131258497277794","0.0943752496832138","0.168141744872374"
"4 on scale 1-7","2005","Part Time","higher vocational","25","","",""
"4 on scale 1-7","2005","Part Time","higher education","62","0.05225505950983","0.0379754221042196","0.0665346969154404"
"4 on scale 1-7","2005","Not Working","in school","65","0.120927303367418","0.0936540781591727","0.148200528575663"
"4 on scale 1-7","2005","Not Working","inadequately","17","","",""
"4 on scale 1-7","2005","Not Working","general elemantary","133","0.0916704850741381","0.076283380890552","0.107057589257724"
"4 on scale 1-7","2005","Not Working","middle vocational","359","0.0917810168854004","0.0827613132857845","0.100800720485016"
"4 on scale 1-7","2005","Not Working","vocational + Abi","26","","",""
