"plh0224","year","e11103","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","24","","",""
"1 Strongly disagree","2005","Part Time","10","","",""
"1 Strongly disagree","2005","Not Working","35","0.00476078253330825","0.00323952885959263","0.00628203620702386"
"2 on scale 1-7 ","2005","Full Time","55","0.00723614359510013","0.00538255730718231","0.00908972988301795"
"2 on scale 1-7 ","2005","Part Time","22","","",""
"2 on scale 1-7 ","2005","Not Working","53","0.00662240904181761","0.0048298894630875","0.00841492862054773"
"3 on scale 1-7 ","2005","Full Time","203","0.0280173295854359","0.0244083961520554","0.0316262630188164"
"3 on scale 1-7 ","2005","Part Time","77","0.0153130793109165","0.0118450304904559","0.0187811281313772"
"3 on scale 1-7 ","2005","Not Working","174","0.0218515097238822","0.0186204733593738","0.0250825460883906"
"4 on scale 1-7","2005","Full Time","854","0.100545649738454","0.0939689585946609","0.107122340882247"
"4 on scale 1-7","2005","Part Time","403","0.086153481238835","0.0782288712377729","0.0940780912398971"
"4 on scale 1-7","2005","Not Working","768","0.0951377399927979","0.0886533910085379","0.101622088977058"
"5 on scale 1-7","2005","Full Time","1776","0.219844067358231","0.210787068270189","0.228901066446272"
"5 on scale 1-7","2005","Part Time","888","0.18444726006554","0.17349340522069","0.19540111491039"
"5 on scale 1-7","2005","Not Working","1537","0.190535252288187","0.181855938954861","0.199214565621513"
"6 on scale 1-7","2005","Full Time","3081","0.378137734279097","0.367532790942341","0.388742677615852"
"6 on scale 1-7","2005","Part Time","1935","0.389388827704383","0.375617399942602","0.403160255466163"
"6 on scale 1-7","2005","Not Working","2776","0.345340136390267","0.334831893237454","0.35584837954308"
"7 Strongly agree","2005","Full Time","2039","0.261718986928142","0.252105859346475","0.27133211450981"
"7 Strongly agree","2005","Part Time","1481","0.31437982306888","0.301267670937598","0.327491975200162"
"7 Strongly agree","2005","Not Working","2522","0.33575217002974","0.325315229380248","0.346189110679232"
"1 Strongly disagree","2006","Full Time","","","",""
"1 Strongly disagree","2006","Part Time","","","",""
"1 Strongly disagree","2006","Not Working","","","",""
"2 on scale 1-7 ","2006","Full Time","","","",""
"2 on scale 1-7 ","2006","Part Time","","","",""
"2 on scale 1-7 ","2006","Not Working","","","",""
"3 on scale 1-7 ","2006","Full Time","","","",""
"3 on scale 1-7 ","2006","Part Time","","","",""
"3 on scale 1-7 ","2006","Not Working","","","",""
"4 on scale 1-7","2006","Full Time","","","",""
"4 on scale 1-7","2006","Part Time","","","",""
"4 on scale 1-7","2006","Not Working","","","",""
"5 on scale 1-7","2006","Full Time","","","",""
"5 on scale 1-7","2006","Part Time","","","",""
"5 on scale 1-7","2006","Not Working","","","",""
"6 on scale 1-7","2006","Full Time","","","",""
"6 on scale 1-7","2006","Part Time","","","",""
"6 on scale 1-7","2006","Not Working","","","",""
"7 Strongly agree","2006","Full Time","","","",""
