"plh0224","year","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","69","0.00420301106839536","0.00332197789802391","0.00508404423876681","1"
"2 on scale 1-7 ","2005","130","0.00707154999508649","0.00593039962937381","0.00821270036079916","2"
"3 on scale 1-7 ","2005","454","0.0226738234454368","0.0206465667930051","0.0247010800978685","3"
"4 on scale 1-7","2005","2025","0.0951270067397128","0.0911314958614543","0.0991225176179714","4"
"5 on scale 1-7","2005","4201","0.20007357780432","0.194625460138165","0.205521695470476","5"
"6 on scale 1-7","2005","7792","0.367470511453074","0.360904853952058","0.374036168954091","6"
"7 Strongly agree","2005","6042","0.303380519493974","0.297119886562895","0.309641152425053","7"
"1 Strongly disagree","2006","","","","","1"
"2 on scale 1-7 ","2006","","","","","2"
"3 on scale 1-7 ","2006","","","","","3"
"4 on scale 1-7","2006","","","","","4"
"5 on scale 1-7","2006","","","","","5"
"6 on scale 1-7","2006","","","","","6"
"7 Strongly agree","2006","","","","","7"
"1 Strongly disagree","2007","","","","","1"
"2 on scale 1-7 ","2007","","","","","2"
"3 on scale 1-7 ","2007","","","","","3"
"4 on scale 1-7","2007","","","","","4"
"5 on scale 1-7","2007","","","","","5"
"6 on scale 1-7","2007","","","","","6"
"7 Strongly agree","2007","","","","","7"
"1 Strongly disagree","2008","","","","","1"
"2 on scale 1-7 ","2008","","","","","2"
"3 on scale 1-7 ","2008","","","","","3"
"4 on scale 1-7","2008","","","","","4"
"5 on scale 1-7","2008","","","","","5"
"6 on scale 1-7","2008","","","","","6"
"7 Strongly agree","2008","","","","","7"
"1 Strongly disagree","2009","71","0.0045677334627321","0.00358266124095305","0.00555280568451115","1"
"2 on scale 1-7 ","2009","147","0.00927668032410796","0.00787617641057704","0.0106771842376389","2"
"3 on scale 1-7 ","2009","458","0.0278462649403139","0.0254426616577567","0.0302498682228711","3"
"4 on scale 1-7","2009","1940","0.110735535581311","0.106151258991143","0.115319812171478","4"
"5 on scale 1-7","2009","4046","0.224499251427212","0.218403736519356","0.230594766335068","5"
"6 on scale 1-7","2009","6758","0.364129538563517","0.357100043678056","0.371159033448978","6"
"7 Strongly agree","2009","4580","0.258944995700807","0.252545572641946","0.265344418759667","7"
"1 Strongly disagree","2010","","","","","1"
"2 on scale 1-7 ","2010","","","","","2"
"3 on scale 1-7 ","2010","","","","","3"
"4 on scale 1-7","2010","","","","","4"
"5 on scale 1-7","2010","","","","","5"
"6 on scale 1-7","2010","","","","","6"
"7 Strongly agree","2010","","","","","7"
"1 Strongly disagree","2011","","","","","1"
"2 on scale 1-7 ","2011","","","","","2"
"3 on scale 1-7 ","2011","","","","","3"
"4 on scale 1-7","2011","","","","","4"
"5 on scale 1-7","2011","","","","","5"
"6 on scale 1-7","2011","","","","","6"
"7 Strongly agree","2011","","","","","7"
"1 Strongly disagree","2012","18","","","","1"
"2 on scale 1-7 ","2012","47","0.00695167794710647","0.00502176327759701","0.00888159261661593","2"
"3 on scale 1-7 ","2012","129","0.0193298068971416","0.0161317709605944","0.0225278428336889","3"
