"plh0224","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","1-pers.-HH","3","","",""
"1 Strongly disagree","2005","16-34 y.","(Married) couple without C. ","","","",""
"1 Strongly disagree","2005","16-34 y.","Single parent ","1","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE 16 ","1","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. GT 16 ","6","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE and GT 16","1","","",""
"1 Strongly disagree","2005","35-65 y.","1-pers.-HH","1","","",""
"1 Strongly disagree","2005","35-65 y.","(Married) couple without C. ","15","","",""
"1 Strongly disagree","2005","35-65 y.","Single parent ","","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE 16 ","7","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. GT 16 ","9","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE and GT 16","2","","",""
"1 Strongly disagree","2005","66 and older","1-pers.-HH","6","","",""
"1 Strongly disagree","2005","66 and older","(Married) couple without C. ","12","","",""
"1 Strongly disagree","2005","66 and older","Single parent ","","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. GT 16 ","1","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","4","","",""
"2 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","4","","",""
"2 on scale 1-7 ","2005","16-34 y.","Single parent ","3","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","5","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","9","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","8","","",""
"2 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","14","","",""
"2 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","22","","",""
"2 on scale 1-7 ","2005","35-65 y.","Single parent ","5","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","10","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","13","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","8","","",""
"2 on scale 1-7 ","2005","66 and older","1-pers.-HH","2","","",""
"2 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","16","","",""
"2 on scale 1-7 ","2005","66 and older","Single parent ","","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","1","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","12","","",""
"3 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","15","","",""
"3 on scale 1-7 ","2005","16-34 y.","Single parent ","15","","",""
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","24","","",""
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","26","","",""
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","20","","",""
"3 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","25","","",""
"3 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","74","0.0204235784208856","0.0158843843068323","0.0249627725349389"
"3 on scale 1-7 ","2005","35-65 y.","Single parent ","9","","",""
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","53","0.0237316914907106","0.0178955296202254","0.0295678533611958"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","53","0.0223894008011707","0.0161211640623271","0.0286576375400144"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","25","","",""
"3 on scale 1-7 ","2005","66 and older","1-pers.-HH","17","","",""
"3 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","62","0.0272339176754987","0.0206531974146862","0.0338146379363111"
"3 on scale 1-7 ","2005","66 and older","Single parent ","","","",""
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","3","","",""
"3 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2005","16-34 y.","1-pers.-HH","59","0.0729256297361154","0.0536085775687916","0.0922426819034392"
"4 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","79","0.0707096661511065","0.054391963098455","0.0870273692037581"
"4 on scale 1-7","2005","16-34 y.","Single parent ","49","0.108569582659083","0.0803238436854366","0.13681532163273"
"4 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","90","0.0784589205402208","0.0624959630854999","0.0944218779949418"
"4 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","150","0.130332289213513","0.112306330315759","0.148358248111268"
"4 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","88","0.135227829221684","0.10863006577626","0.161825592667107"
"4 on scale 1-7","2005","35-65 y.","1-pers.-HH","106","0.0913582049250149","0.0749952270276141","0.107721182822416"
"4 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","348","0.100253132411433","0.090614779539334","0.109891485283531"
"4 on scale 1-7","2005","35-65 y.","Single parent ","46","0.0614780987255497","0.0418617005088675","0.081094496942232"
"4 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","297","0.106442478610361","0.0946175879684764","0.118267369252246"
"4 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","210","0.10344474139329","0.0905419420167828","0.116347540769796"
"4 on scale 1-7","2005","35-65 y.","Couple + C. LE and GT 16","113","0.103868256173778","0.0855622656865722","0.122174246660983"
"4 on scale 1-7","2005","66 and older","1-pers.-HH","81","0.0798288031727394","0.0636796933804561","0.0959779129650227"
"4 on scale 1-7","2005","66 and older","(Married) couple without C. ","208","0.083310842952919","0.072137684148461","0.0944840017573771"
"4 on scale 1-7","2005","66 and older","Single parent ","9","","",""
"4 on scale 1-7","2005","66 and older","Couple + C. LE 16 ","1","","",""
"4 on scale 1-7","2005","66 and older","Couple + C. GT 16 ","26","","",""
"4 on scale 1-7","2005","66 and older","Couple + C. LE and GT 16","","","",""
"5 on scale 1-7","2005","16-34 y.","1-pers.-HH","159","0.24453958826644","0.212607750432107","0.276471426100772"
"5 on scale 1-7","2005","16-34 y.","(Married) couple without C. ","190","0.212779207450727","0.186726264167731","0.238832150733722"
"5 on scale 1-7","2005","16-34 y.","Single parent ","98","0.206439556506063","0.169690888934763","0.243188224077362"
"5 on scale 1-7","2005","16-34 y.","Couple + C. LE 16 ","209","0.206935755655295","0.182886214453353","0.230985296857237"
"5 on scale 1-7","2005","16-34 y.","Couple + C. GT 16 ","307","0.230218246963821","0.207678482715086","0.252758011212556"
"5 on scale 1-7","2005","16-34 y.","Couple + C. LE and GT 16","127","0.209703114334394","0.178039622731508","0.241366605937279"
"5 on scale 1-7","2005","35-65 y.","1-pers.-HH","261","0.209740237316492","0.186618629917337","0.232861844715647"
"5 on scale 1-7","2005","35-65 y.","(Married) couple without C. ","751","0.193056208233492","0.180389691432901","0.205722725034084"
"5 on scale 1-7","2005","35-65 y.","Single parent ","102","0.171699252931188","0.140901780253337","0.20249672560904"
"5 on scale 1-7","2005","35-65 y.","Couple + C. LE 16 ","543","0.192023532592979","0.176920819587311","0.207126245598646"
"5 on scale 1-7","2005","35-65 y.","Couple + C. GT 16 ","465","0.226408999052194","0.208677569487874","0.244140428616515"
