"plh0224","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","Male","23","","","","1"
"1 Strongly disagree","2005","Urban Area","Female","23","","","","1"
"1 Strongly disagree","2005","Rural Area","Male","12","","","","1"
"1 Strongly disagree","2005","Rural Area","Female","11","","","","1"
"2 on scale 1-7 ","2005","Urban Area","Female","38","0.00664429432685955","0.00477500605771244","0.00851358259600666","2"
"2 on scale 1-7 ","2005","Rural Area","Male","25","","","","2"
"2 on scale 1-7 ","2005","Rural Area","Female","21","","","","2"
"2 on scale 1-7 ","2005","Urban Area","Male","46","0.00690362120268537","0.00490722263339349","0.00890001977197725","2"
"3 on scale 1-7 ","2005","Urban Area","Female","104","0.0120994706321482","0.00958388417528856","0.0146150570890078","3"
"3 on scale 1-7 ","2005","Rural Area","Male","88","0.0318092835134994","0.025813560651639","0.0378050063753597","3"
"3 on scale 1-7 ","2005","Rural Area","Female","59","0.0201952941228439","0.0155731873790925","0.0248174008665954","3"
"3 on scale 1-7 ","2005","Urban Area","Male","203","0.0309736458378763","0.0267965250646504","0.0351507666111023","3"
"4 on scale 1-7","2005","Rural Area","Female","249","0.0667699087356227","0.0585677177522553","0.0749720997189901","4"
"4 on scale 1-7","2005","Urban Area","Female","502","0.0675004103765831","0.061727737001737","0.0732730837514293","4"
"4 on scale 1-7","2005","Rural Area","Male","419","0.12604742010461","0.114707889831177","0.137386950378043","4"
"4 on scale 1-7","2005","Urban Area","Male","855","0.124154071536733","0.116203334042319","0.132104809031147","4"
"5 on scale 1-7","2005","Rural Area","Male","773","0.219627637736466","0.205483431339701","0.233771844133231","5"
"5 on scale 1-7","2005","Urban Area","Female","1287","0.179007608781499","0.170186873967047","0.187828343595951","5"
"5 on scale 1-7","2005","Urban Area","Male","1558","0.235336482360205","0.225108431289975","0.245564533430435","5"
"5 on scale 1-7","2005","Rural Area","Female","583","0.154931037634386","0.143041624737588","0.166820450531184","5"
"6 on scale 1-7","2005","Rural Area","Male","1223","0.357944476301609","0.341565819770235","0.374323132832983","6"
"6 on scale 1-7","2005","Rural Area","Female","1395","0.385005991650791","0.369017249247663","0.400994734053919","6"
"6 on scale 1-7","2005","Urban Area","Female","2812","0.37425352175661","0.363118742571881","0.385388300941339","6"
"6 on scale 1-7","2005","Urban Area","Male","2362","0.356130592896498","0.344584990151133","0.367676195641862","6"
"7 Strongly agree","2005","Rural Area","Female","1240","0.363933746445476","0.348124635013732","0.379742857877221","7"
"7 Strongly agree","2005","Urban Area","Female","2490","0.356004418104513","0.344987285117404","0.367021551091622","7"
