"plh0224","year","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","35","0.00476078253330825","0.00323952885959263","0.00628203620702386"
"1 Strongly disagree","2005","Employed","34","0.00382724870102806","0.00275956896955052","0.0048949284325056"
"2 on scale 1-7 ","2005","Not Employed","53","0.00662240904181761","0.0048298894630875","0.00841492862054773"
"2 on scale 1-7 ","2005","Employed","77","0.00737412959712525","0.00589475381487889","0.0088535053793716"
"3 on scale 1-7 ","2005","Not Employed","174","0.0218515097238822","0.0186204733593738","0.0250825460883906"
"3 on scale 1-7 ","2005","Employed","280","0.0232278040094627","0.0206232639117267","0.0258323441071987"
"4 on scale 1-7","2005","Not Employed","768","0.0951377399927979","0.0886533910085379","0.101622088977058"
"4 on scale 1-7","2005","Employed","1257","0.0951197759062219","0.090046817695726","0.100192734116718"
"5 on scale 1-7","2005","Not Employed","1537","0.190535252288187","0.181855938954861","0.199214565621513"
"5 on scale 1-7","2005","Employed","2664","0.206499406306002","0.199499965279502","0.213498847332503"
"6 on scale 1-7","2005","Not Employed","2776","0.345340136390267","0.334831893237454","0.35584837954308"
"6 on scale 1-7","2005","Employed","5016","0.38237941706664","0.373976337787705","0.390782496345575"
"7 Strongly agree","2005","Not Employed","2522","0.33575217002974","0.325315229380248","0.346189110679232"
"7 Strongly agree","2005","Employed","3520","0.28157221841352","0.273795134456485","0.289349302370555"
"1 Strongly disagree","2006","Not Employed","","","",""
"1 Strongly disagree","2006","Employed","","","",""
"2 on scale 1-7 ","2006","Not Employed","","","",""
"2 on scale 1-7 ","2006","Employed","","","",""
"3 on scale 1-7 ","2006","Not Employed","","","",""
"3 on scale 1-7 ","2006","Employed","","","",""
"4 on scale 1-7","2006","Not Employed","","","",""
"4 on scale 1-7","2006","Employed","","","",""
"5 on scale 1-7","2006","Not Employed","","","",""
"5 on scale 1-7","2006","Employed","","","",""
"6 on scale 1-7","2006","Not Employed","","","",""
"6 on scale 1-7","2006","Employed","","","",""
"7 Strongly agree","2006","Not Employed","","","",""
"7 Strongly agree","2006","Employed","","","",""
"1 Strongly disagree","2007","Not Employed","","","",""
"1 Strongly disagree","2007","Employed","","","",""
"2 on scale 1-7 ","2007","Not Employed","","","",""
"2 on scale 1-7 ","2007","Employed","","","",""
"3 on scale 1-7 ","2007","Not Employed","","","",""
"3 on scale 1-7 ","2007","Employed","","","",""
"4 on scale 1-7","2007","Not Employed","","","",""
"4 on scale 1-7","2007","Employed","","","",""
"5 on scale 1-7","2007","Not Employed","","","",""
"5 on scale 1-7","2007","Employed","","","",""
"6 on scale 1-7","2007","Not Employed","","","",""
"6 on scale 1-7","2007","Employed","","","",""
"7 Strongly agree","2007","Not Employed","","","",""
