"plh0224","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","46","0.00465197877190381","0.00351929114355839","0.00578466640024923","1"
"1 Strongly disagree","2005","Rural Area","23","","","","1"
"2 on scale 1-7 ","2005","Rural Area","46","0.00773838861833327","0.00566312691957349","0.00981365031709304","2"
"2 on scale 1-7 ","2005","Urban Area","84","0.00677005920077366","0.00540508340375635","0.00813503499779096","2"
"3 on scale 1-7 ","2005","Urban Area","307","0.0212528152572363","0.0188520631836837","0.0236535673307889","3"
"3 on scale 1-7 ","2005","Rural Area","147","0.0258168154097579","0.0220609834156983","0.0295726474038175","3"
"4 on scale 1-7","2005","Rural Area","668","0.0954620127825027","0.0885027504678635","0.102421275097142","4"
"4 on scale 1-7","2005","Urban Area","1357","0.0949755439503373","0.0900953186904289","0.0998557692102457","4"
"5 on scale 1-7","2005","Urban Area","2845","0.206325231225336","0.199589243711228","0.213061218739445","5"
"5 on scale 1-7","2005","Rural Area","1356","0.186246144134951","0.177026276571652","0.19546601169825","5"
"6 on scale 1-7","2005","Rural Area","2618","0.371907401711147","0.360461137758963","0.38335366566333","6"
"6 on scale 1-7","2005","Urban Area","5174","0.365464506519419","0.357448567979589","0.373480445059248","6"
"7 Strongly agree","2005","Rural Area","1991","0.309619254954188","0.298669791871216","0.32056871803716","7"
"7 Strongly agree","2005","Urban Area","4051","0.300559865074994","0.292927755722453","0.308191974427535","7"
"1 Strongly disagree","2006","Urban Area","","","","","1"
"1 Strongly disagree","2006","Rural Area","","","","","1"
"2 on scale 1-7 ","2006","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","","","","","2"
"3 on scale 1-7 ","2006","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Urban Area","","","","","3"
"4 on scale 1-7","2006","Urban Area","","","","","4"
"4 on scale 1-7","2006","Rural Area","","","","","4"
"5 on scale 1-7","2006","Rural Area","","","","","5"
"5 on scale 1-7","2006","Urban Area","","","","","5"
"6 on scale 1-7","2006","Rural Area","","","","","6"
"6 on scale 1-7","2006","Urban Area","","","","","6"
"7 Strongly agree","2006","Rural Area","","","","","7"
"7 Strongly agree","2006","Urban Area","","","","","7"
"1 Strongly disagree","2007","Urban Area","","","","","1"
"1 Strongly disagree","2007","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Urban Area","","","","","2"
"3 on scale 1-7 ","2007","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","","","","","3"
"4 on scale 1-7","2007","Rural Area","","","","","4"
"4 on scale 1-7","2007","Urban Area","","","","","4"
"5 on scale 1-7","2007","Rural Area","","","","","5"
"5 on scale 1-7","2007","Urban Area","","","","","5"
"6 on scale 1-7","2007","Rural Area","","","","","6"
"6 on scale 1-7","2007","Urban Area","","","","","6"
"7 Strongly agree","2007","Urban Area","","","","","7"
"7 Strongly agree","2007","Rural Area","","","","","7"
"1 Strongly disagree","2008","Urban Area","","","","","1"
"1 Strongly disagree","2008","Rural Area","","","","","1"
"2 on scale 1-7 ","2008","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","","","","","2"
"3 on scale 1-7 ","2008","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Urban Area","","","","","3"
"4 on scale 1-7","2008","Urban Area","","","","","4"
"4 on scale 1-7","2008","Rural Area","","","","","4"
"5 on scale 1-7","2008","Rural Area","","","","","5"
"5 on scale 1-7","2008","Urban Area","","","","","5"
"6 on scale 1-7","2008","Rural Area","","","","","6"
"6 on scale 1-7","2008","Urban Area","","","","","6"
"7 Strongly agree","2008","Urban Area","","","","","7"
"7 Strongly agree","2008","Rural Area","","","","","7"
"1 Strongly disagree","2009","Urban Area","42","0.00446610763242478","0.00326183900926899","0.00567037625558057","1"
"1 Strongly disagree","2009","Rural Area","29","","","","1"
"2 on scale 1-7 ","2009","Rural Area","58","0.0109393974719906","0.00835501764081342","0.0135237773031678","2"
"2 on scale 1-7 ","2009","Urban Area","89","0.00849989181237168","0.00684189444946496","0.0101578891752784","2"
"3 on scale 1-7 ","2009","Urban Area","316","0.030639145614464","0.0275266280016994","0.0337516632272286","3"
"3 on scale 1-7 ","2009","Rural Area","142","0.0218680990447862","0.018234371020634","0.0255018270689384","3"
"4 on scale 1-7","2009","Rural Area","662","0.106899885623909","0.0992229679505857","0.114576803297233","4"
"4 on scale 1-7","2009","Urban Area","1278","0.11252747525412","0.106820085921079","0.118234864587161","4"
"5 on scale 1-7","2009","Rural Area","1418","0.226169874561845","0.215775738786569","0.236564010337122","5"
"5 on scale 1-7","2009","Urban Area","2628","0.22371876939509","0.216192296409186","0.231245242380993","5"
"6 on scale 1-7","2009","Rural Area","2347","0.372280541764708","0.360269901629028","0.384291181900387","6"
"6 on scale 1-7","2009","Urban Area","4411","0.360321551345803","0.351650799991254","0.368992302700352","6"
"7 Strongly agree","2009","Urban Area","3013","0.259827058945727","0.251906797015102","0.267747320876352","7"
"7 Strongly agree","2009","Rural Area","1567","0.257056937805141","0.246199168221117","0.267914707389165","7"
"1 Strongly disagree","2010","Urban Area","","","","","1"
"1 Strongly disagree","2010","Rural Area","","","","","1"
"2 on scale 1-7 ","2010","Urban Area","","","","","2"
"2 on scale 1-7 ","2010","Rural Area","","","","","2"
"3 on scale 1-7 ","2010","Rural Area","","","","","3"
"3 on scale 1-7 ","2010","Urban Area","","","","","3"
"4 on scale 1-7","2010","Rural Area","","","","","4"
"4 on scale 1-7","2010","Urban Area","","","","","4"
"5 on scale 1-7","2010","Rural Area","","","","","5"
"5 on scale 1-7","2010","Urban Area","","","","","5"
"6 on scale 1-7","2010","Urban Area","","","","","6"
"6 on scale 1-7","2010","Rural Area","","","","","6"
"7 Strongly agree","2010","Urban Area","","","","","7"
"7 Strongly agree","2010","Rural Area","","","","","7"
"1 Strongly disagree","2011","Urban Area","","","","","1"
"1 Strongly disagree","2011","Rural Area","","","","","1"
"2 on scale 1-7 ","2011","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Urban Area","","","","","2"
"3 on scale 1-7 ","2011","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","","","","","3"
"4 on scale 1-7","2011","Rural Area","","","","","4"
"4 on scale 1-7","2011","Urban Area","","","","","4"
"5 on scale 1-7","2011","Rural Area","","","","","5"
"5 on scale 1-7","2011","Urban Area","","","","","5"
"6 on scale 1-7","2011","Rural Area","","","","","6"
"6 on scale 1-7","2011","Urban Area","","","","","6"
"7 Strongly agree","2011","Urban Area","","","","","7"
"7 Strongly agree","2011","Rural Area","","","","","7"
"1 Strongly disagree","2012","Urban Area","15","","","","1"
"1 Strongly disagree","2012","Rural Area","3","","","","1"
"2 on scale 1-7 ","2012","Urban Area","30","0.0061820505050244","0.00387649119669163","0.00848760981335716","2"
"2 on scale 1-7 ","2012","Rural Area","17","","","","2"
"3 on scale 1-7 ","2012","Rural Area","45","0.0160707685975658","0.0113099575016966","0.0208315796934349","3"
"3 on scale 1-7 ","2012","Urban Area","84","0.0209767228509216","0.0167614864600744","0.0251919592417687","3"
"4 on scale 1-7","2012","Rural Area","214","0.0770522741020919","0.0669559803827862","0.0871485678213976","4"
"4 on scale 1-7","2012","Urban Area","349","0.0788269780208987","0.0709007848958534","0.0867531711459439","4"
"5 on scale 1-7","2012","Rural Area","571","0.209834790196295","0.194418552652211","0.225251027740378","5"
"5 on scale 1-7","2012","Urban Area","960","0.208611440843981","0.196659992160491","0.22056288952747","5"
"6 on scale 1-7","2012","Urban Area","1864","0.413860104074027","0.399372918318187","0.428347289829867","6"
"6 on scale 1-7","2012","Rural Area","1130","0.419396865320582","0.400714452162443","0.438079278478721","6"
"7 Strongly agree","2012","Urban Area","1138","0.268865747093363","0.255824386296862","0.281907107889864","7"
"7 Strongly agree","2012","Rural Area","700","0.268387253030262","0.251610717982357","0.285163788078168","7"
"1 Strongly disagree","2013","Urban Area","31","0.00281724562227764","0.00187714960827235","0.00375734163628293","1"
"1 Strongly disagree","2013","Rural Area","24","","","","1"
"2 on scale 1-7 ","2013","Rural Area","52","0.00947372899354459","0.00714477236782011","0.0118026856192691","2"
"2 on scale 1-7 ","2013","Urban Area","78","0.00822544293674302","0.00662345735253329","0.00982742852095274","2"
"3 on scale 1-7 ","2013","Rural Area","131","0.0218385225340735","0.0183246595201741","0.0253523855479729","3"
"3 on scale 1-7 ","2013","Urban Area","241","0.021622072574842","0.0190423413586291","0.0242018037910549","3"
"4 on scale 1-7","2013","Rural Area","541","0.0825515621798776","0.0759351675060396","0.0891679568537156","4"
"4 on scale 1-7","2013","Urban Area","988","0.0835410037786006","0.078633294374055","0.0884487131831462","4"
"5 on scale 1-7","2013","Urban Area","2640","0.215949973988224","0.208651686945768","0.223248261030681","5"
"5 on scale 1-7","2013","Rural Area","1264","0.195450595159386","0.185916866656823","0.20498432366195","5"
"6 on scale 1-7","2013","Rural Area","2855","0.418570372742769","0.406709934297622","0.430430811187917","6"
"6 on scale 1-7","2013","Urban Area","4915","0.400016005207295","0.391326781223835","0.408705229190754","6"
