"plh0224","year","education","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","no migration background","29","","",""
"1 Strongly disagree","2005","lower secondary degree","direct migration background","4","","",""
"1 Strongly disagree","2005","lower secondary degree","indirect migration background","2","","",""
"1 Strongly disagree","2005","secondary school degree","no migration background","14","","",""
"1 Strongly disagree","2005","secondary school degree","direct migration background","","","",""
"1 Strongly disagree","2005","secondary school degree","indirect migration background","","","",""
"1 Strongly disagree","2005","college entrance qualification","no migration background","10","","",""
"1 Strongly disagree","2005","college entrance qualification","direct migration background","1","","",""
"1 Strongly disagree","2005","college entrance qualification","indirect migration background","","","",""
"1 Strongly disagree","2005","Other degree","no migration background","","","",""
"1 Strongly disagree","2005","Other degree","direct migration background","3","","",""
"1 Strongly disagree","2005","Other degree","indirect migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","no migration background","3","","",""
"1 Strongly disagree","2005","no degree/no degree yet","direct migration background","1","","",""
"1 Strongly disagree","2005","no degree/no degree yet","indirect migration background","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","no migration background","43","0.00799722100050449","0.00578674292228969","0.0102076990787193"
"2 on scale 1-7 ","2005","lower secondary degree","direct migration background","4","","",""
"2 on scale 1-7 ","2005","lower secondary degree","indirect migration background","3","","",""
"2 on scale 1-7 ","2005","secondary school degree","no migration background","38","0.00644488529132646","0.00434491856353818","0.00854485201911474"
"2 on scale 1-7 ","2005","secondary school degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","secondary school degree","indirect migration background","2","","",""
"2 on scale 1-7 ","2005","college entrance qualification","no migration background","24","","",""
"2 on scale 1-7 ","2005","college entrance qualification","direct migration background","1","","",""
"2 on scale 1-7 ","2005","college entrance qualification","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","no migration background","2","","",""
"2 on scale 1-7 ","2005","Other degree","direct migration background","2","","",""
"2 on scale 1-7 ","2005","Other degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","no migration background","3","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","2","","",""
