"plh0224","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","in school","","","",""
"1 Strongly disagree","2005","no migration background","inadequately","","","",""
"1 Strongly disagree","2005","no migration background","general elemantary","","","",""
"1 Strongly disagree","2005","no migration background","middle vocational","31","0.00429263481274249","0.00294560989859735","0.00563965972688763"
"1 Strongly disagree","2005","no migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","no migration background","higher vocational","","","",""
"1 Strongly disagree","2005","no migration background","higher education","","","",""
"1 Strongly disagree","2005","direct migration background","in school","","","",""
"1 Strongly disagree","2005","direct migration background","inadequately","","","",""
"1 Strongly disagree","2005","direct migration background","general elemantary","","","",""
"1 Strongly disagree","2005","direct migration background","middle vocational","","","",""
"1 Strongly disagree","2005","direct migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","direct migration background","higher vocational","","","",""
"1 Strongly disagree","2005","direct migration background","higher education","","","",""
"1 Strongly disagree","2005","indirect migration background","in school","","","",""
"1 Strongly disagree","2005","indirect migration background","inadequately","","","",""
"1 Strongly disagree","2005","indirect migration background","general elemantary","","","",""
"1 Strongly disagree","2005","indirect migration background","middle vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","indirect migration background","higher vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","higher education","","","",""
"2 on scale 1-7 ","2005","no migration background","in school","","","",""
"2 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","no migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","no migration background","middle vocational","63","0.00635422366315817","0.0047170496551686","0.00799139767114773"
"2 on scale 1-7 ","2005","no migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","no migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","no migration background","higher education","","","",""
"2 on scale 1-7 ","2005","direct migration background","in school","","","",""
"2 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","direct migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","direct migration background","middle vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","higher education","","","",""
"2 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"2 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","indirect migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","indirect migration background","middle vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"3 on scale 1-7 ","2005","no migration background","in school","","","",""
"3 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","no migration background","general elemantary","42","0.0265503331362783","0.0188026459774577","0.0342980202950989"
"3 on scale 1-7 ","2005","no migration background","middle vocational","200","0.0239569522457193","0.0208063174381943","0.0271075870532443"
"3 on scale 1-7 ","2005","no migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","no migration background","higher vocational","32","0.0278251589765654","0.0191601091975813","0.0364902087555496"
"3 on scale 1-7 ","2005","no migration background","higher education","64","0.0160411377824415","0.0120275816707656","0.0200546938941175"
"3 on scale 1-7 ","2005","direct migration background","in school","","","",""
"3 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","direct migration background","general elemantary","","","",""
"3 on scale 1-7 ","2005","direct migration background","middle vocational","","","",""
"3 on scale 1-7 ","2005","direct migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","direct migration background","higher education","","","",""
"3 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"3 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","indirect migration background","general elemantary","","","",""
"3 on scale 1-7 ","2005","indirect migration background","middle vocational","","","",""
"3 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"4 on scale 1-7","2005","no migration background","in school","55","0.105929471473971","0.0790619802814434","0.132796962666498"
"4 on scale 1-7","2005","no migration background","inadequately","","","",""
"4 on scale 1-7","2005","no migration background","general elemantary","178","0.0980050725334525","0.0836763767141361","0.112333768352769"
"4 on scale 1-7","2005","no migration background","middle vocational","857","0.091736113960442","0.0857887572199933","0.0976834707008908"
"4 on scale 1-7","2005","no migration background","vocational + Abi","85","0.103540049912668","0.0833303157840179","0.123749784041318"
"4 on scale 1-7","2005","no migration background","higher vocational","140","0.100694560238665","0.0848406402912946","0.116548480186035"
"4 on scale 1-7","2005","no migration background","higher education","366","0.0954130830060714","0.0860276913779825","0.10479847463416"
"4 on scale 1-7","2005","direct migration background","in school","","","",""
"4 on scale 1-7","2005","direct migration background","inadequately","","","",""
"4 on scale 1-7","2005","direct migration background","general elemantary","50","0.074684578145697","0.0530274811425993","0.0963416751487948"
"4 on scale 1-7","2005","direct migration background","middle vocational","86","0.109138590060202","0.0884189261021106","0.129858254018293"
"4 on scale 1-7","2005","direct migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","direct migration background","higher vocational","","","",""
"4 on scale 1-7","2005","direct migration background","higher education","","","",""
"4 on scale 1-7","2005","indirect migration background","in school","","","",""
"4 on scale 1-7","2005","indirect migration background","inadequately","","","",""
"4 on scale 1-7","2005","indirect migration background","general elemantary","","","",""
"4 on scale 1-7","2005","indirect migration background","middle vocational","35","0.144423978898351","0.106893673749227","0.181954284047476"
"4 on scale 1-7","2005","indirect migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","indirect migration background","higher vocational","","","",""
"4 on scale 1-7","2005","indirect migration background","higher education","","","",""
"5 on scale 1-7","2005","no migration background","in school","105","0.203478870385649","0.168331638046862","0.238626102724436"
"5 on scale 1-7","2005","no migration background","inadequately","","","",""
"5 on scale 1-7","2005","no migration background","general elemantary","308","0.179997703636675","0.161482804308979","0.19851260296437"
"5 on scale 1-7","2005","no migration background","middle vocational","1786","0.1972873670103","0.189088053655474","0.205486680365126"
"5 on scale 1-7","2005","no migration background","vocational + Abi","186","0.193794695574649","0.167574571791899","0.220014819357399"
"5 on scale 1-7","2005","no migration background","higher vocational","278","0.188595508842768","0.167986152768403","0.209204864917134"
"5 on scale 1-7","2005","no migration background","higher education","844","0.223442354400427","0.210134964459322","0.236749744341532"
"5 on scale 1-7","2005","direct migration background","in school","","","",""
"5 on scale 1-7","2005","direct migration background","inadequately","","","",""
"5 on scale 1-7","2005","direct migration background","general elemantary","109","0.230746692139946","0.196037675979978","0.265455708299913"
"5 on scale 1-7","2005","direct migration background","middle vocational","157","0.165849275824141","0.141133882853682","0.1905646687946"
"5 on scale 1-7","2005","direct migration background","vocational + Abi","49","0.283286959487141","0.223334891408327","0.343239027565955"
"5 on scale 1-7","2005","direct migration background","higher vocational","","","",""
"5 on scale 1-7","2005","direct migration background","higher education","73","0.209066345853017","0.165779062224337","0.252353629481696"
"5 on scale 1-7","2005","indirect migration background","in school","","","",""
"5 on scale 1-7","2005","indirect migration background","inadequately","","","",""
"5 on scale 1-7","2005","indirect migration background","general elemantary","35","0.177373258350856","0.121877744027434","0.232868772674277"
"5 on scale 1-7","2005","indirect migration background","middle vocational","76","0.21812196675558","0.174030723088827","0.262213210422333"
"5 on scale 1-7","2005","indirect migration background","vocational + Abi","","","",""
"5 on scale 1-7","2005","indirect migration background","higher vocational","","","",""
"5 on scale 1-7","2005","indirect migration background","higher education","","","",""
"6 on scale 1-7","2005","no migration background","in school","206","0.413372857438192","0.370381131758193","0.456364583118191"
"6 on scale 1-7","2005","no migration background","inadequately","","","",""
"6 on scale 1-7","2005","no migration background","general elemantary","560","0.33648025719871","0.313708997468857","0.359251516928562"
"6 on scale 1-7","2005","no migration background","middle vocational","3406","0.37018927869512","0.360240615234958","0.380137942155281"
"6 on scale 1-7","2005","no migration background","vocational + Abi","354","0.423861402449317","0.391080840816818","0.456641964081817"
"6 on scale 1-7","2005","no migration background","higher vocational","541","0.394776421112556","0.369024266660601","0.420528575564512"
"6 on scale 1-7","2005","no migration background","higher education","1565","0.400774309846588","0.385118756109154","0.416429863584023"
"6 on scale 1-7","2005","direct migration background","in school","","","",""
"6 on scale 1-7","2005","direct migration background","inadequately","49","0.371048491625714","0.293219545446431","0.448877437804997"
"6 on scale 1-7","2005","direct migration background","general elemantary","187","0.296652546641256","0.259021276624934","0.334283816657577"
"6 on scale 1-7","2005","direct migration background","middle vocational","298","0.349950165742397","0.318257053228841","0.381643278255952"
