"plh0224","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","no migration background","11","","",""
"1 Strongly disagree","2005","16-34 y.","direct migration background","1","","",""
"1 Strongly disagree","2005","16-34 y.","indirect migration background","2","","",""
"1 Strongly disagree","2005","35-65 y.","no migration background","30","0.00347583611403164","0.00232128578102426","0.00463038644703901"
"1 Strongly disagree","2005","35-65 y.","direct migration background","6","","",""
"1 Strongly disagree","2005","35-65 y.","indirect migration background","","","",""
"1 Strongly disagree","2005","66 and older","no migration background","17","","",""
"1 Strongly disagree","2005","66 and older","direct migration background","2","","",""
"1 Strongly disagree","2005","66 and older","indirect migration background","","","",""
"2 on scale 1-7 ","2005","16-34 y.","no migration background","27","","",""
"2 on scale 1-7 ","2005","16-34 y.","direct migration background","3","","",""
"2 on scale 1-7 ","2005","16-34 y.","indirect migration background","4","","",""
"2 on scale 1-7 ","2005","35-65 y.","no migration background","70","0.00808895979162949","0.00633175649798311","0.00984616308527586"
"2 on scale 1-7 ","2005","35-65 y.","direct migration background","3","","",""
"2 on scale 1-7 ","2005","35-65 y.","indirect migration background","2","","",""
"2 on scale 1-7 ","2005","66 and older","no migration background","16","","",""
"2 on scale 1-7 ","2005","66 and older","direct migration background","5","","",""
"2 on scale 1-7 ","2005","66 and older","indirect migration background","","","",""
"3 on scale 1-7 ","2005","16-34 y.","no migration background","89","0.0241834668460897","0.0194978257997562","0.0288691078924232"
"3 on scale 1-7 ","2005","16-34 y.","direct migration background","6","","",""
"3 on scale 1-7 ","2005","16-34 y.","indirect migration background","22","","",""
"3 on scale 1-7 ","2005","35-65 y.","no migration background","207","0.0223023875363647","0.0194055958554241","0.0251991792173053"
"3 on scale 1-7 ","2005","35-65 y.","direct migration background","39","0.022357478703417","0.0148023266598293","0.0299126307470046"
"3 on scale 1-7 ","2005","35-65 y.","indirect migration background","1","","",""
"3 on scale 1-7 ","2005","66 and older","no migration background","81","0.0242551780457662","0.0190886816554088","0.0294216744361236"
"3 on scale 1-7 ","2005","66 and older","direct migration background","7","","",""
"3 on scale 1-7 ","2005","66 and older","indirect migration background","2","","",""
"4 on scale 1-7","2005","16-34 y.","no migration background","413","0.0964000228060884","0.0873977468113438","0.105402298800833"
"4 on scale 1-7","2005","16-34 y.","direct migration background","38","0.084282858165289","0.0605865096196919","0.107979206710886"
"4 on scale 1-7","2005","16-34 y.","indirect migration background","80","0.111808934929877","0.0878215567568149","0.13579631310294"
"4 on scale 1-7","2005","35-65 y.","no migration background","1004","0.0991061035792643","0.0932443665448298","0.104967840613699"
"4 on scale 1-7","2005","35-65 y.","direct migration background","135","0.0895223784491138","0.0749328183073562","0.104111938590871"
"4 on scale 1-7","2005","35-65 y.","indirect migration background","14","","",""
"4 on scale 1-7","2005","66 and older","no migration background","308","0.0856803899628145","0.0762806572644517","0.0950801226611773"
"4 on scale 1-7","2005","66 and older","direct migration background","31","0.07958415987177","0.0518943216116223","0.107273998131918"
"4 on scale 1-7","2005","66 and older","indirect migration background","2","","",""
"5 on scale 1-7","2005","16-34 y.","no migration background","875","0.221226342073794","0.208565875955346","0.233886808192243"
"5 on scale 1-7","2005","16-34 y.","direct migration background","106","0.208556243972564","0.173902292995151","0.243210194949976"
"5 on scale 1-7","2005","16-34 y.","indirect migration background","139","0.213300002041666","0.182118909287897","0.244481094795434"
"5 on scale 1-7","2005","35-65 y.","no migration background","2056","0.19805957891737","0.19024135173416","0.205877806100579"
"5 on scale 1-7","2005","35-65 y.","direct migration background","289","0.20567046420815","0.1850153274652","0.226325600951101"
"5 on scale 1-7","2005","35-65 y.","indirect migration background","41","0.220814703584913","0.155514187949621","0.286115219220205"
"5 on scale 1-7","2005","66 and older","no migration background","632","0.181455465284809","0.16851255465404","0.194398375915577"
"5 on scale 1-7","2005","66 and older","direct migration background","62","0.173292712468232","0.134568633981717","0.212016790954746"
"5 on scale 1-7","2005","66 and older","indirect migration background","1","","",""
"6 on scale 1-7","2005","16-34 y.","no migration background","1638","0.390839547146918","0.375956537929754","0.405722556364082"
"6 on scale 1-7","2005","16-34 y.","direct migration background","191","0.362325962170219","0.321326305061939","0.4033256192785"
"6 on scale 1-7","2005","16-34 y.","indirect migration background","212","0.317936933152981","0.282490374007947","0.353383492298016"
"6 on scale 1-7","2005","35-65 y.","no migration background","3906","0.384560018450054","0.37501637454536","0.394103662354748"
"6 on scale 1-7","2005","35-65 y.","direct migration background","507","0.334419310541611","0.310309833796195","0.358528787287026"
"6 on scale 1-7","2005","35-65 y.","indirect migration background","48","0.290743234657924","0.219254305065707","0.362232164250141"
"6 on scale 1-7","2005","66 and older","no migration background","1170","0.33443063470414","0.318586247110335","0.350275022297946"
"6 on scale 1-7","2005","66 and older","direct migration background","117","0.329112950831681","0.281038730533813","0.377187171129549"
"6 on scale 1-7","2005","66 and older","indirect migration background","3","","",""
"7 Strongly agree","2005","16-34 y.","no migration background","1076","0.25580704194487","0.242498677801195","0.269115406088546"
"7 Strongly agree","2005","16-34 y.","direct migration background","183","0.324121947434328","0.284199282701546","0.364044612167111"
"7 Strongly agree","2005","16-34 y.","indirect migration background","204","0.315460546586278","0.280088263305815","0.350832829866741"
"7 Strongly agree","2005","35-65 y.","no migration background","2709","0.284407115611286","0.275557130421835","0.293257100800737"
"7 Strongly agree","2005","35-65 y.","direct migration background","492","0.336283494109388","0.312140794022811","0.360426194195964"
"7 Strongly agree","2005","35-65 y.","indirect migration background","49","0.32218361392123","0.248615436310895","0.395751791531565"
"7 Strongly agree","2005","66 and older","no migration background","1182","0.364348837669488","0.348186882933044","0.380510792405932"
"7 Strongly agree","2005","66 and older","direct migration background","143","0.389084060201158","0.339203938220176","0.438964182182141"
"7 Strongly agree","2005","66 and older","indirect migration background","4","","",""
"1 Strongly disagree","2006","16-34 y.","no migration background","","","",""
"1 Strongly disagree","2006","16-34 y.","direct migration background","","","",""
"1 Strongly disagree","2006","16-34 y.","indirect migration background","","","",""
"1 Strongly disagree","2006","35-65 y.","no migration background","","","",""
"1 Strongly disagree","2006","35-65 y.","direct migration background","","","",""
"1 Strongly disagree","2006","35-65 y.","indirect migration background","","","",""
"1 Strongly disagree","2006","66 and older","no migration background","","","",""
"1 Strongly disagree","2006","66 and older","direct migration background","","","",""
"1 Strongly disagree","2006","66 and older","indirect migration background","","","",""
"2 on scale 1-7 ","2006","16-34 y.","no migration background","","","",""
"2 on scale 1-7 ","2006","16-34 y.","direct migration background","","","",""
"2 on scale 1-7 ","2006","16-34 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2006","35-65 y.","no migration background","","","",""
"2 on scale 1-7 ","2006","35-65 y.","direct migration background","","","",""
"2 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2006","66 and older","no migration background","","","",""
"2 on scale 1-7 ","2006","66 and older","direct migration background","","","",""
"2 on scale 1-7 ","2006","66 and older","indirect migration background","","","",""
"3 on scale 1-7 ","2006","16-34 y.","no migration background","","","",""
"3 on scale 1-7 ","2006","16-34 y.","direct migration background","","","",""
"3 on scale 1-7 ","2006","16-34 y.","indirect migration background","","","",""
"3 on scale 1-7 ","2006","35-65 y.","no migration background","","","",""
"3 on scale 1-7 ","2006","35-65 y.","direct migration background","","","",""
"3 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","",""
"3 on scale 1-7 ","2006","66 and older","no migration background","","","",""
"3 on scale 1-7 ","2006","66 and older","direct migration background","","","",""
"3 on scale 1-7 ","2006","66 and older","indirect migration background","","","",""
"4 on scale 1-7","2006","16-34 y.","no migration background","","","",""
"4 on scale 1-7","2006","16-34 y.","direct migration background","","","",""
"4 on scale 1-7","2006","16-34 y.","indirect migration background","","","",""
"4 on scale 1-7","2006","35-65 y.","no migration background","","","",""
"4 on scale 1-7","2006","35-65 y.","direct migration background","","","",""
"4 on scale 1-7","2006","35-65 y.","indirect migration background","","","",""
"4 on scale 1-7","2006","66 and older","no migration background","","","",""
"4 on scale 1-7","2006","66 and older","direct migration background","","","",""
"4 on scale 1-7","2006","66 and older","indirect migration background","","","",""
"5 on scale 1-7","2006","16-34 y.","no migration background","","","",""
"5 on scale 1-7","2006","16-34 y.","direct migration background","","","",""
"5 on scale 1-7","2006","16-34 y.","indirect migration background","","","",""
"5 on scale 1-7","2006","35-65 y.","no migration background","","","",""
"5 on scale 1-7","2006","35-65 y.","direct migration background","","","",""
"5 on scale 1-7","2006","35-65 y.","indirect migration background","","","",""
"5 on scale 1-7","2006","66 and older","no migration background","","","",""
"5 on scale 1-7","2006","66 and older","direct migration background","","","",""
"5 on scale 1-7","2006","66 and older","indirect migration background","","","",""
"6 on scale 1-7","2006","16-34 y.","no migration background","","","",""
"6 on scale 1-7","2006","16-34 y.","direct migration background","","","",""
"6 on scale 1-7","2006","16-34 y.","indirect migration background","","","",""
"6 on scale 1-7","2006","35-65 y.","no migration background","","","",""
"6 on scale 1-7","2006","35-65 y.","direct migration background","","","",""
"6 on scale 1-7","2006","35-65 y.","indirect migration background","","","",""
"6 on scale 1-7","2006","66 and older","no migration background","","","",""
"6 on scale 1-7","2006","66 and older","direct migration background","","","",""
"6 on scale 1-7","2006","66 and older","indirect migration background","","","",""
"7 Strongly agree","2006","16-34 y.","no migration background","","","",""
"7 Strongly agree","2006","16-34 y.","direct migration background","","","",""
"7 Strongly agree","2006","16-34 y.","indirect migration background","","","",""
"7 Strongly agree","2006","35-65 y.","no migration background","","","",""
"7 Strongly agree","2006","35-65 y.","direct migration background","","","",""
"7 Strongly agree","2006","35-65 y.","indirect migration background","","","",""
"7 Strongly agree","2006","66 and older","no migration background","","","",""
"7 Strongly agree","2006","66 and older","direct migration background","","","",""
"7 Strongly agree","2006","66 and older","indirect migration background","","","",""
"1 Strongly disagree","2007","16-34 y.","no migration background","","","",""
"1 Strongly disagree","2007","16-34 y.","direct migration background","","","",""
"1 Strongly disagree","2007","16-34 y.","indirect migration background","","","",""
"1 Strongly disagree","2007","35-65 y.","no migration background","","","",""
"1 Strongly disagree","2007","35-65 y.","direct migration background","","","",""
"1 Strongly disagree","2007","35-65 y.","indirect migration background","","","",""
"1 Strongly disagree","2007","66 and older","no migration background","","","",""
"1 Strongly disagree","2007","66 and older","direct migration background","","","",""
"1 Strongly disagree","2007","66 and older","indirect migration background","","","",""
"2 on scale 1-7 ","2007","16-34 y.","no migration background","","","",""
"2 on scale 1-7 ","2007","16-34 y.","direct migration background","","","",""
"2 on scale 1-7 ","2007","16-34 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2007","35-65 y.","no migration background","","","",""
"2 on scale 1-7 ","2007","35-65 y.","direct migration background","","","",""
"2 on scale 1-7 ","2007","35-65 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2007","66 and older","no migration background","","","",""
"2 on scale 1-7 ","2007","66 and older","direct migration background","","","",""
"2 on scale 1-7 ","2007","66 and older","indirect migration background","","","",""
"3 on scale 1-7 ","2007","16-34 y.","no migration background","","","",""
"3 on scale 1-7 ","2007","16-34 y.","direct migration background","","","",""
"3 on scale 1-7 ","2007","16-34 y.","indirect migration background","","","",""
"3 on scale 1-7 ","2007","35-65 y.","no migration background","","","",""
"3 on scale 1-7 ","2007","35-65 y.","direct migration background","","","",""
"3 on scale 1-7 ","2007","35-65 y.","indirect migration background","","","",""
"3 on scale 1-7 ","2007","66 and older","no migration background","","","",""
"3 on scale 1-7 ","2007","66 and older","direct migration background","","","",""
