"plh0224","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","in school","","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","inadequately","","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","3","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","4","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","1","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","1","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","higher education","1","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","in school","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","2","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","19","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","2","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","2","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","2","","","","1"
"1 Strongly disagree","2005","Single parent ","in school","","","","","1"
"1 Strongly disagree","2005","Single parent ","inadequately","","","","","1"
"1 Strongly disagree","2005","Single parent ","general elemantary","","","","","1"
"1 Strongly disagree","2005","Single parent ","middle vocational","1","","","","1"
"1 Strongly disagree","2005","Single parent ","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Single parent ","higher vocational","","","","","1"
"1 Strongly disagree","2005","Single parent ","higher education","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","in school","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","inadequately","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","general elemantary","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","middle vocational","3","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","vocational + Abi","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher vocational","2","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher education","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","in school","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","inadequately","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","general elemantary","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","middle vocational","6","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","vocational + Abi","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher vocational","3","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher education","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","in school","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","inadequately","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","general elemantary","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","middle vocational","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher vocational","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher education","1","","","","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher education","9","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","3","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","2","","","","2"
"2 on scale 1-7 ","2005","Single parent ","in school","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","inadequately","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","general elemantary","4","","","","2"
"2 on scale 1-7 ","2005","Single parent ","middle vocational","3","","","","2"
"2 on scale 1-7 ","2005","Single parent ","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","higher vocational","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","higher education","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","4","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","11","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","3","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","7","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","in school","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","inadequately","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","general elemantary","4","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","middle vocational","11","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","higher vocational","2","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","higher education","3","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","7","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","23","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","2","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","10","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","","","","","2"
"3 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","4","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","","","3"
"3 on scale 1-7 ","2005","Single parent ","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","20","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","83","0.0218555929840068","0.0171141990469413","0.0265969869210722","3"
"3 on scale 1-7 ","2005","Single parent ","inadequately","","","","","3"
"3 on scale 1-7 ","2005","Single parent ","general elemantary","5","","","","3"
"3 on scale 1-7 ","2005","Single parent ","in school","5","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","4","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher education","31","0.0210979768811006","0.0141846981679815","0.0280112555942196","3"
"3 on scale 1-7 ","2005","1-pers.-HH","in school","","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","inadequately","","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","general elemantary","4","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","middle vocational","30","0.0202892905097351","0.0132636602192019","0.0273149208002683","3"
"3 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","5","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","higher education","8","","","","3"
"3 on scale 1-7 ","2005","Single parent ","middle vocational","12","","","","3"
"3 on scale 1-7 ","2005","Single parent ","higher vocational","","","","","3"
"3 on scale 1-7 ","2005","Single parent ","higher education","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","39","0.0252187586859696","0.0180411084246982","0.0323964089472409","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","10","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","13","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","4","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","11","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","37","0.0204266300388135","0.0138441715355558","0.0270090885420713","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","5","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","13","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","4","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","10","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","18","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","4","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","6","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","higher vocational","4","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","7","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","9","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","9","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","5","","","","3"
"4 on scale 1-7","2005","(Married) couple without C. ","higher education","158","0.0925397672758118","0.0785994695366909","0.106480065014933","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","2","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher education","102","0.11355752182242","0.0920248313055443","0.135090212339296","4"
"4 on scale 1-7","2005","Single parent ","vocational + Abi","5","","","","4"
"4 on scale 1-7","2005","Single parent ","middle vocational","46","0.0758758162716864","0.0533744374751854","0.0983771950681873","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","in school","42","0.167208311315036","0.121317223310613","0.213099399319459","4"
"4 on scale 1-7","2005","Single parent ","general elemantary","24","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","37","0.0850927522578293","0.0580518451394478","0.112133659376211","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","6","","","","4"
"4 on scale 1-7","2005","Single parent ","higher vocational","3","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","28","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","77","0.115172173406682","0.0908176693328273","0.139526677480536","4"
"4 on scale 1-7","2005","Single parent ","in school","8","","","","4"
"4 on scale 1-7","2005","Single parent ","inadequately","3","","","","4"
"4 on scale 1-7","2005","Single parent ","higher education","9","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","in school","","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher education","52","0.0752302052374031","0.0546174659772563","0.0958429444975499","4"
"4 on scale 1-7","2005","1-pers.-HH","in school","2","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","inadequately","4","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","2","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","28","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","198","0.103611504616065","0.0896600662203156","0.117562943011814","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","21","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","in school","23","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","8","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","52","0.109848175989493","0.0802234273228474","0.139472924656138","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","183","0.110870609725484","0.0962602138234225","0.125481005627545","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","23","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","27","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","general elemantary","42","0.0930890211911415","0.0656261825731873","0.120551859809096","4"
"4 on scale 1-7","2005","1-pers.-HH","middle vocational","111","0.0766570848200913","0.0633996166062753","0.0899145530339073","4"
"4 on scale 1-7","2005","1-pers.-HH","vocational + Abi","18","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","higher vocational","22","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","higher education","43","0.0805028164766635","0.0579689966966526","0.103036636256674","4"
"4 on scale 1-7","2005","(Married) couple without C. ","in school","","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","inadequately","6","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","general elemantary","52","0.0663121783621382","0.0477996451664738","0.0848247115578026","4"
"4 on scale 1-7","2005","(Married) couple without C. ","middle vocational","331","0.0956742222680647","0.0861356542604591","0.10521279027567","4"
"4 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","33","0.0650889477463507","0.0393188817034907","0.0908590137892107","4"
"4 on scale 1-7","2005","(Married) couple without C. ","higher vocational","51","0.103696483286117","0.0784913210291572","0.128901645543077","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","9","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","25","","","","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","84","0.216294304983014","0.17639314874266","0.256195461223367","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","higher education","178","0.214226460485483","0.186381261747384","0.242071659223583","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","in school","54","0.175717373200873","0.129981950523207","0.221452795878539","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","9","","","","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","86","0.202580032160613","0.164502562776594","0.240657501544632","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","380","0.225580596614215","0.206131014858995","0.245030178369434","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","52","0.313636319014084","0.244498550070453","0.382774087957715","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","in school","53","0.219714290516293","0.168794429248381","0.270634151784206","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","7","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","46","0.200326942056296","0.150106666557737","0.250547217554855","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","122","0.189378624030441","0.159486923161254","0.219270324899628","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","6","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","25","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","63","0.237375804330586","0.188322001143087","0.286429607518084","5"
"5 on scale 1-7","2005","1-pers.-HH","in school","1","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","inadequately","6","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","general elemantary","66","0.144089738580549","0.110896891396228","0.17728258576487","5"
"5 on scale 1-7","2005","1-pers.-HH","middle vocational","290","0.191768479377597","0.172150266701936","0.211386692053259","5"
"5 on scale 1-7","2005","1-pers.-HH","vocational + Abi","41","0.234717938850003","0.172456092139422","0.296979785560584","5"
"5 on scale 1-7","2005","1-pers.-HH","higher vocational","40","0.159036449589418","0.10796809088821","0.210104808290626","5"
"5 on scale 1-7","2005","1-pers.-HH","higher education","126","0.233238588516582","0.198213083662377","0.268264093370787","5"
"5 on scale 1-7","2005","(Married) couple without C. ","in school","1","","","","5"
"5 on scale 1-7","2005","(Married) couple without C. ","inadequately","8","","","","5"
"5 on scale 1-7","2005","(Married) couple without C. ","general elemantary","136","0.230496720409317","0.199163432550179","0.261830008268454","5"
"5 on scale 1-7","2005","(Married) couple without C. ","middle vocational","703","0.190714847179975","0.177974939130521","0.203454755229429","5"
"5 on scale 1-7","2005","(Married) couple without C. ","higher education","384","0.22064260153231","0.200694247693571","0.240590955371049","5"
"5 on scale 1-7","2005","Single parent ","in school","25","","","","5"
"5 on scale 1-7","2005","Single parent ","inadequately","2","","","","5"
"5 on scale 1-7","2005","Single parent ","general elemantary","43","0.203625792908626","0.149031161902714","0.258220423914538","5"
"5 on scale 1-7","2005","Single parent ","middle vocational","101","0.180635068744166","0.147943783475437","0.213326354012895","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","40","0.188863592200789","0.135800076769081","0.241927107632497","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","higher education","144","0.228423949462071","0.195615707756924","0.261232191167218","5"
"5 on scale 1-7","2005","Single parent ","vocational + Abi","8","","","","5"
"5 on scale 1-7","2005","Single parent ","higher vocational","13","","","","5"
"5 on scale 1-7","2005","Single parent ","higher education","19","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","in school","1","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","6","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","48","0.167131811545688","0.122793276841302","0.211470346250075","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","370","0.194015770704887","0.175912850079245","0.212118691330528","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","62","0.14341603408693","0.10471018144729","0.18212188672657","5"
"5 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","73","0.223066174934595","0.179576552808866","0.266555797060325","5"
"5 on scale 1-7","2005","(Married) couple without C. ","higher vocational","110","0.183501440473686","0.151499421116454","0.215503459830919","5"
"6 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","168","0.4417813122241","0.393653924093711","0.489908700354489","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","75","0.31836703489433","0.255211082734209","0.381522987054452","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","10","","","","6"
