"plh0224","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","58","0.00401366639169803","0.0030773652528062","0.00494996753058985"
"1 Strongly disagree","2005","direct migration background","","","",""
"1 Strongly disagree","2005","indirect migration background","","","",""
"2 on scale 1-7 ","2005","no migration background","113","0.0071354296886715","0.00588898417641918","0.00838187520092382"
"2 on scale 1-7 ","2005","direct migration background","","","",""
"2 on scale 1-7 ","2005","indirect migration background","","","",""
"3 on scale 1-7 ","2005","no migration background","377","0.0231942598498572","0.0209652469249893","0.0254232727747251"
"3 on scale 1-7 ","2005","direct migration background","52","0.0166507866328572","0.0114947975861617","0.0218067756795527"
"3 on scale 1-7 ","2005","indirect migration background","","","",""
"4 on scale 1-7","2005","no migration background","1725","0.0953094874764863","0.090961019150345","0.0996579558026277"
"4 on scale 1-7","2005","direct migration background","204","0.0865761081527703","0.0752449074001064","0.0979073089054343"
"4 on scale 1-7","2005","indirect migration background","96","0.120552461432466","0.0984010167853984","0.142703906079534"
"5 on scale 1-7","2005","no migration background","3563","0.19941821444095","0.193501188269267","0.205335240612633"
"5 on scale 1-7","2005","direct migration background","457","0.201116445829862","0.184965191569871","0.217267700089854"
"5 on scale 1-7","2005","indirect migration background","181","0.210748028004873","0.183002139136027","0.238493916873719"
"6 on scale 1-7","2005","no migration background","6714","0.374125096039494","0.366959201446854","0.381290990632134"
"6 on scale 1-7","2005","direct migration background","815","0.340608006604103","0.321512113191204","0.359703900017001"
"6 on scale 1-7","2005","indirect migration background","263","0.31502500496005","0.283422688528684","0.346627321391417"
"7 Strongly agree","2005","no migration background","4967","0.296803846112843","0.290038481123794","0.303569211101892"
"7 Strongly agree","2005","direct migration background","818","0.34182533476145","0.322713014007664","0.360937655515235"
"7 Strongly agree","2005","indirect migration background","257","0.31431363030396","0.282730628112382","0.345896632495538"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
"7 Strongly agree","2006","direct migration background","","","",""
"7 Strongly agree","2006","indirect migration background","","","",""
"1 Strongly disagree","2007","no migration background","","","",""
"1 Strongly disagree","2007","direct migration background","","","",""
"1 Strongly disagree","2007","indirect migration background","","","",""
"2 on scale 1-7 ","2007","no migration background","","","",""
"2 on scale 1-7 ","2007","direct migration background","","","",""
"2 on scale 1-7 ","2007","indirect migration background","","","",""
"3 on scale 1-7 ","2007","no migration background","","","",""
"3 on scale 1-7 ","2007","direct migration background","","","",""
"3 on scale 1-7 ","2007","indirect migration background","","","",""
"4 on scale 1-7","2007","no migration background","","","",""
