"plh0224","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Urban Area","11","","","","1"
"1 Strongly disagree","2005","16-34 y.","Rural Area","3","","","","1"
"1 Strongly disagree","2005","35-65 y.","Urban Area","22","","","","1"
"1 Strongly disagree","2005","35-65 y.","Rural Area","14","","","","1"
"1 Strongly disagree","2005","66 and older","Urban Area","13","","","","1"
"1 Strongly disagree","2005","66 and older","Rural Area","6","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","54","0.00839589879956389","0.00636995975767187","0.0104218378414559","2"
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","19","","","","2"
"2 on scale 1-7 ","2005","66 and older","Rural Area","10","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","15","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","21","","","","2"
"2 on scale 1-7 ","2005","66 and older","Urban Area","11","","","","2"
"3 on scale 1-7 ","2005","66 and older","Urban Area","61","0.0231485227260292","0.0172738673811146","0.0290231780709438","3"
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","81","0.0230849629025259","0.0181484386359325","0.0280214871691193","3"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","82","0.0275298420388971","0.0223384490136755","0.0327212350641187","3"
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","165","0.0195869672355711","0.0165100787583968","0.0226638557127454","3"
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","36","0.0244571493426969","0.0172510237141605","0.0316632749712332","3"
"3 on scale 1-7 ","2005","66 and older","Rural Area","29","","","","3"
"4 on scale 1-7","2005","66 and older","Rural Area","116","0.0771840584491587","0.0624944637363324","0.0918736531619851","4"
"4 on scale 1-7","2005","16-34 y.","Rural Area","184","0.107558750309165","0.0931047377472897","0.122012762871041","4"
"4 on scale 1-7","2005","35-65 y.","Urban Area","785","0.0987505277504709","0.0921265960856607","0.105374459415281","4"
"4 on scale 1-7","2005","66 and older","Urban Area","225","0.0896458320253151","0.0784855099801951","0.100806154070435","4"
"4 on scale 1-7","2005","16-34 y.","Urban Area","347","0.0917220145236039","0.0822340189180996","0.101210010129108","4"
"4 on scale 1-7","2005","35-65 y.","Rural Area","368","0.0970936193306064","0.0876994017591194","0.106487836902094","4"
"5 on scale 1-7","2005","66 and older","Rural Area","241","0.185392162981532","0.164002278361787","0.206782047601277","5"
"5 on scale 1-7","2005","35-65 y.","Rural Area","758","0.19008590578026","0.177636794625773","0.202535016934748","5"
"5 on scale 1-7","2005","66 and older","Urban Area","454","0.177738500000234","0.162803603520527","0.192673396479941","5"
"5 on scale 1-7","2005","16-34 y.","Urban Area","763","0.23676168054668","0.222787894844149","0.250735466249212","5"
"5 on scale 1-7","2005","16-34 y.","Rural Area","357","0.179115476094777","0.161226588875944","0.19700436331361","5"
"5 on scale 1-7","2005","35-65 y.","Urban Area","1628","0.203645271351261","0.194703695484175","0.212586847218347","5"
"6 on scale 1-7","2005","66 and older","Rural Area","432","0.328900622743636","0.303041473655278","0.354759771831995","6"
"6 on scale 1-7","2005","35-65 y.","Urban Area","2982","0.374075134290051","0.363331180252545","0.384819088327557","6"
"6 on scale 1-7","2005","66 and older","Urban Area","858","0.336453669709529","0.317994815324067","0.354912524094992","6"
"6 on scale 1-7","2005","16-34 y.","Urban Area","1334","0.372687679003974","0.356793331097855","0.388582026910093","6"
"6 on scale 1-7","2005","35-65 y.","Rural Area","1479","0.380800256013588","0.36539361696495","0.396206895062225","6"
"6 on scale 1-7","2005","16-34 y.","Rural Area","707","0.39003595002041","0.367280775275456","0.412791124765363","6"
"7 Strongly agree","2005","66 and older","Rural Area","434","0.373484218491764","0.346859158222763","0.400109278760764","7"
"7 Strongly agree","2005","66 and older","Urban Area","895","0.362968129806373","0.344182692465384","0.381753567147362","7"
"7 Strongly agree","2005","35-65 y.","Urban Area","2156","0.291147982219525","0.281061068608244","0.301234895830805","7"
"7 Strongly agree","2005","35-65 y.","Rural Area","1094","0.295163698477315","0.280691999789329","0.309635397165302","7"
"7 Strongly agree","2005","16-34 y.","Urban Area","1000","0.265991172860418","0.251466293228026","0.280516052492811","7"
"7 Strongly agree","2005","16-34 y.","Rural Area","463","0.285253830108626","0.264188542318536","0.306319117898716","7"
"1 Strongly disagree","2006","16-34 y.","Rural Area","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Urban Area","","","","","1"
"1 Strongly disagree","2006","35-65 y.","Rural Area","","","","","1"
"1 Strongly disagree","2006","66 and older","Urban Area","","","","","1"
"1 Strongly disagree","2006","66 and older","Rural Area","","","","","1"
"1 Strongly disagree","2006","16-34 y.","Urban Area","","","","","1"
"2 on scale 1-7 ","2006","16-34 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","35-65 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","16-34 y.","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","66 and older","Urban Area","","","","","2"
"3 on scale 1-7 ","2006","66 and older","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","66 and older","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","35-65 y.","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","16-34 y.","Urban Area","","","","","3"
"4 on scale 1-7","2006","16-34 y.","Rural Area","","","","","4"
"4 on scale 1-7","2006","16-34 y.","Urban Area","","","","","4"
"4 on scale 1-7","2006","66 and older","Rural Area","","","","","4"
"4 on scale 1-7","2006","66 and older","Urban Area","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Rural Area","","","","","4"
"4 on scale 1-7","2006","35-65 y.","Urban Area","","","","","4"
"5 on scale 1-7","2006","66 and older","Rural Area","","","","","5"
"5 on scale 1-7","2006","66 and older","Urban Area","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Urban Area","","","","","5"
"5 on scale 1-7","2006","35-65 y.","Rural Area","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Urban Area","","","","","5"
"5 on scale 1-7","2006","16-34 y.","Rural Area","","","","","5"
"6 on scale 1-7","2006","66 and older","Rural Area","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Urban Area","","","","","6"
"6 on scale 1-7","2006","66 and older","Urban Area","","","","","6"
"6 on scale 1-7","2006","35-65 y.","Rural Area","","","","","6"
"6 on scale 1-7","2006","16-34 y.","Rural Area","","","","","6"
