"plh0224","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","no migration background","19","","",""
"1 Strongly disagree","2005","Full Time","direct migration background","5","","",""
"1 Strongly disagree","2005","Full Time","indirect migration background","","","",""
"1 Strongly disagree","2005","Part Time","no migration background","10","","",""
"1 Strongly disagree","2005","Part Time","direct migration background","","","",""
"1 Strongly disagree","2005","Part Time","indirect migration background","","","",""
"1 Strongly disagree","2005","Not Working","no migration background","29","","",""
"1 Strongly disagree","2005","Not Working","direct migration background","4","","",""
"1 Strongly disagree","2005","Not Working","indirect migration background","2","","",""
"2 on scale 1-7 ","2005","Full Time","no migration background","54","0.00855514428755636","0.00638161283481631","0.0107286757402964"
"2 on scale 1-7 ","2005","Full Time","direct migration background","1","","",""
"2 on scale 1-7 ","2005","Full Time","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Part Time","no migration background","17","","",""
"2 on scale 1-7 ","2005","Part Time","direct migration background","4","","",""
"2 on scale 1-7 ","2005","Part Time","indirect migration background","1","","",""
"2 on scale 1-7 ","2005","Not Working","no migration background","42","0.00624209793100941","0.00433923400865851","0.00814496185336032"
"2 on scale 1-7 ","2005","Not Working","direct migration background","6","","",""
"2 on scale 1-7 ","2005","Not Working","indirect migration background","5","","",""
"3 on scale 1-7 ","2005","Full Time","no migration background","174","0.0285002711775396","0.0245732448214492","0.03242729753363"
"3 on scale 1-7 ","2005","Full Time","direct migration background","21","","",""
"3 on scale 1-7 ","2005","Full Time","indirect migration background","8","","",""
"3 on scale 1-7 ","2005","Part Time","no migration background","68","0.0161523004572615","0.0122646044912456","0.0200399964232773"
"3 on scale 1-7 ","2005","Part Time","direct migration background","7","","",""
"3 on scale 1-7 ","2005","Part Time","indirect migration background","2","","",""
"3 on scale 1-7 ","2005","Not Working","no migration background","135","0.0220406497292638","0.01849353901845","0.0255877604400775"
"3 on scale 1-7 ","2005","Not Working","direct migration background","24","","",""
"3 on scale 1-7 ","2005","Not Working","indirect migration background","15","","",""
"4 on scale 1-7","2005","Full Time","no migration background","745","0.101601295679297","0.0944710883272479","0.108731503031345"
"4 on scale 1-7","2005","Full Time","direct migration background","70","0.0916172651371233","0.0717135374598116","0.111520992814435"
"4 on scale 1-7","2005","Full Time","indirect migration background","39","0.104597999407616","0.0714786430274586","0.137717355787774"
"4 on scale 1-7","2005","Part Time","no migration background","341","0.0885237063992532","0.079763513935812","0.0972838988626943"
"4 on scale 1-7","2005","Part Time","direct migration background","40","0.0633106710553665","0.0431052811130712","0.0835160609976618"
"4 on scale 1-7","2005","Part Time","indirect migration background","22","","",""
"4 on scale 1-7","2005","Not Working","no migration background","639","0.0930985524778864","0.0860782850323922","0.100118819923381"
"4 on scale 1-7","2005","Not Working","direct migration background","94","0.0966026207768189","0.0783020380048212","0.114903203548817"
"4 on scale 1-7","2005","Not Working","indirect migration background","35","0.145591849763344","0.104499961699497","0.186683737827191"
"5 on scale 1-7","2005","Full Time","no migration background","1524","0.221488503443197","0.211688503175753","0.23128850371064"
"5 on scale 1-7","2005","Full Time","direct migration background","173","0.202667669998773","0.174932984340307","0.230402355657238"
"5 on scale 1-7","2005","Full Time","indirect migration background","79","0.2357306785942","0.189795814497384","0.281665542691017"
"5 on scale 1-7","2005","Part Time","no migration background","744","0.179156130669865","0.167329602216878","0.190982659122852"
"5 on scale 1-7","2005","Part Time","direct migration background","105","0.213337090037049","0.179346514975274","0.247327665098823"
"5 on scale 1-7","2005","Part Time","indirect migration background","39","0.184990090091423","0.13356421267271","0.236415967510136"
"5 on scale 1-7","2005","Not Working","no migration background","1295","0.189754763897094","0.180281345190538","0.199228182603651"
"5 on scale 1-7","2005","Not Working","direct migration background","179","0.192466547487817","0.168044113671316","0.216888981304318"
