"year","hgtyp1hh","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","(Married) couple without C.","direct migration background","1.92","2","149","1","2","2","3","3","1.82","2.02","1","4","2","2"
"1990","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1990","(Married) couple without C.","no migration background","1.87","2","1862","1","2","2","2","3","1.85","1.89","1","4","2","2"
"1990","1-pers.-HH","direct migration background","1.94","2","49","1","2","2","3","3","1.77","2.11","1","3","2","2"
"1990","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1990","1-pers.-HH","no migration background","1.98","2","862","1","2","2","3","4","1.94","2.02","1","4","2","2"
"1990","Couple + C. GT 16 ","direct migration background","1.85","2","84","1","2","2","2","3","1.74","1.96","1","3","2","2"
"1990","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"1990","Couple + C. GT 16 ","no migration background","1.93","2","1426","1","2","2","3","3","1.9","1.96","1","4","2","2"
"1990","Couple + C. LE 16","direct migration background","1.79","2","85","1","1","2","2","4","1.65","1.93","1","4","2","2"
"1990","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"1990","Couple + C. LE 16","no migration background","1.9","2","1372","1","2","2","2","3","1.87","1.93","1","4","2","2"
"1990","Couple + C. LE and GT 16","direct migration background","1.74","2","33","1","1","2","2","2","1.59","1.89","1","2","2","2"
"1990","Couple + C. LE and GT 16","indirect migration background","","","","","","","","","","","","","",""
"1990","Couple + C. LE and GT 16","no migration background","1.9","2","396","1","2","2","3","3","1.84","1.96","1","4","2","2"
"1990","Single parent","direct migration background","","","","","","","","","","","","","",""
"1990","Single parent","indirect migration background","","","","","","","","","","","","","",""
"1990","Single parent","no migration background","1.9","2","366","1","2","2","3","3","1.84","1.96","1","4","2","2"
"1991","(Married) couple without C.","direct migration background","","","","","","","","","","","","","",""
"1991","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1991","(Married) couple without C.","no migration background","","","","","","","","","","","","","",""
"1991","1-pers.-HH","direct migration background","","","","","","","","","","","","","",""
"1991","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1991","1-pers.-HH","no migration background","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","direct migration background","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"1991","Couple + C. GT 16 ","no migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","direct migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE 16","no migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","direct migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","indirect migration background","","","","","","","","","","","","","",""
"1991","Couple + C. LE and GT 16","no migration background","","","","","","","","","","","","","",""
"1991","Single parent","direct migration background","","","","","","","","","","","","","",""
"1991","Single parent","indirect migration background","","","","","","","","","","","","","",""
"1991","Single parent","no migration background","","","","","","","","","","","","","",""
"1992","(Married) couple without C.","direct migration background","1.8","2","212","1","1","2","2","3","1.73","1.87","1","4","2","2"
"1992","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1992","(Married) couple without C.","no migration background","1.92","2","2734","1","2","2","3","4","1.9","1.94","1","4","2","2"
"1992","1-pers.-HH","direct migration background","1.86","2","67","1","1","2","3","4","1.69","2.03","1","4","2","2"
"1992","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1992","1-pers.-HH","no migration background","1.97","2","1136","1","2","2","3","4","1.93","2.01","1","4","2","2"
"1992","Couple + C. GT 16 ","direct migration background","2","2","112","1","2","2","3","4","1.88","2.12","1","4","2","2"
"1992","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"1992","Couple + C. GT 16 ","no migration background","1.89","2","2048","1","2","2","3","3","1.86","1.92","1","4","2","2"
"1992","Couple + C. LE 16","direct migration background","1.79","2","100","1","1","2","2","3","1.67","1.91","1","3","2","2"
"1992","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"1992","Couple + C. LE 16","no migration background","1.85","2","2613","1","1","2","2","3","1.83","1.87","1","4","2","2"
"1992","Couple + C. LE and GT 16","direct migration background","","","","","","","","","","","","","",""
"1992","Couple + C. LE and GT 16","indirect migration background","","","","","","","","","","","","","",""
"1992","Couple + C. LE and GT 16","no migration background","1.87","2","688","1","2","2","3","3","1.83","1.91","1","4","2","2"
"1992","Single parent","direct migration background","","","","","","","","","","","","","",""
"1992","Single parent","indirect migration background","","","","","","","","","","","","","",""
"1992","Single parent","no migration background","1.82","2","499","1","1","2","2","4","1.77","1.87","1","4","2","2"
"1993","(Married) couple without C.","direct migration background","","","","","","","","","","","","","",""
"1993","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1993","(Married) couple without C.","no migration background","","","","","","","","","","","","","",""
"1993","1-pers.-HH","direct migration background","","","","","","","","","","","","","",""
"1993","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1993","1-pers.-HH","no migration background","","","","","","","","","","","","","",""
"1993","Couple + C. GT 16 ","direct migration background","","","","","","","","","","","","","",""
"1993","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
