"year","migback","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","direct migration background","Ostdeutschland, neue Bundeslaender","4.58","5","100","4.31","4.85","3","4","5","6"
"2005","direct migration background","Westdeutschland, alte Bundeslaender","4.45","4","2256","4.39","4.51","2","3","6","7"
"2005","indirect migration background","Ostdeutschland, neue Bundeslaender","4.45","4","35","3.94","4.96","3","3","6","7"
"2005","indirect migration background","Westdeutschland, alte Bundeslaender","4.7","5","796","4.6","4.8","3","4","6","7"
"2005","no migration background","Ostdeutschland, neue Bundeslaender","4.51","5","4911","4.47","4.55","2","4","6","6"
"2005","no migration background","Westdeutschland, alte Bundeslaender","4.54","5","12586","4.51","4.57","2","4","6","7"
"2006","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2009","direct migration background","Ostdeutschland, neue Bundeslaender","4.63","5","73","4.24","5.02","3","4","6","7"
"2009","direct migration background","Westdeutschland, alte Bundeslaender","4.4","4","1572","4.33","4.47","2","3","6","6"
"2009","indirect migration background","Ostdeutschland, neue Bundeslaender","4.6","4.52","41","4.11","5.09","3","4","5","6"
"2009","indirect migration background","Westdeutschland, alte Bundeslaender","4.7","5","671","4.59","4.81","3","4","6","7"
"2009","no migration background","Ostdeutschland, neue Bundeslaender","4.4","4","4425","4.36","4.44","2","3","5","6"
"2009","no migration background","Westdeutschland, alte Bundeslaender","4.41","4","11214","4.38","4.44","2","3","6","6"
"2010","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2011","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2011","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2012","direct migration background","Ostdeutschland, neue Bundeslaender","4.72","5","55","4.29","5.15","3","4","5","6"
"2012","direct migration background","Westdeutschland, alte Bundeslaender","4.7","5","1033","4.6","4.8","2","4","6","7"
"2012","indirect migration background","Ostdeutschland, neue Bundeslaender","3.6","3.41","32","3.07","4.13","2","2","5","6"
"2012","indirect migration background","Westdeutschland, alte Bundeslaender","4.5","5","452","4.35","4.65","2","3","6","7"
"2012","no migration background","Ostdeutschland, neue Bundeslaender","4.53","5","1249","4.45","4.61","2","4","6","6"
"2012","no migration background","Westdeutschland, alte Bundeslaender","4.56","5","4296","4.52","4.6","2","4","6","6"
"2013","direct migration background","Ostdeutschland, neue Bundeslaender","4.63","5","81","4.35","4.91","3","4","5","6"
"2013","direct migration background","Westdeutschland, alte Bundeslaender","4.64","5","1604","4.56","4.72","2","4","6","7"
"2013","indirect migration background","Ostdeutschland, neue Bundeslaender","4.68","4.62","45","4.19","5.17","3","4","5","7"
"2013","indirect migration background","Westdeutschland, alte Bundeslaender","4.71","5","669","4.59","4.83","2","4","6","7"
"2013","no migration background","Ostdeutschland, neue Bundeslaender","4.56","5","4334","4.52","4.6","3","4","6","6"
"2013","no migration background","Westdeutschland, alte Bundeslaender","4.59","5","12125","4.56","4.62","3","4","6","6"
"2014","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2017","direct migration background","Ostdeutschland, neue Bundeslaender","4.68","5","833","4.56","4.8","2","4","6","7"
"2017","direct migration background","Westdeutschland, alte Bundeslaender","4.66","5","6424","4.62","4.7","2","4","6","7"
"2017","indirect migration background","Ostdeutschland, neue Bundeslaender","4.64","5","107","4.33","4.95","2","4","6","6"
"2017","indirect migration background","Westdeutschland, alte Bundeslaender","4.61","5","1607","4.53","4.69","2","4","6","7"
"2017","no migration background","Ostdeutschland, neue Bundeslaender","4.52","5","5151","4.48","4.56","2","4","6","6"
"2017","no migration background","Westdeutschland, alte Bundeslaender","4.56","5","15141","4.54","4.58","2","4","6","6"
"2018","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2018","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
