"year","pgcasmin","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","(0) in school","Female","4.45","5","340","3","4","5","6","4.3","4.6","4","5"
"2005","(0) in school","Male","4.84","5","313","3","4","6","7","4.69","4.99","5","5"
"2005","(1a) inadequately completed","Female","4.04","4","140","2","3","5","7","3.77","4.31","4","4"
"2005","(1a) inadequately completed","Male","4.59","5","105","2","4","6","7","4.26","4.92","4","5"
"2005","(1b) general elementary school","Female","4.28","4","1282","2","3","5","7","4.19","4.37","4","4"
"2005","(1b) general elementary school","Male","4.41","4","573","2","3","5","7","4.28","4.54","4","5"
"2005","(1c) basic vocational qualification","Female","4.43","4","2628","2","3","6","6","4.37","4.49","4","4"
"2005","(1c) basic vocational qualification","Male","4.66","5","3079","2","4","6","7","4.61","4.71","5","5"
"2005","(2a) intermediate vocational","Female","4.41","4","2733","2","3","6","6","4.35","4.47","4","5"
"2005","(2a) intermediate vocational","Male","4.72","5","2059","3","4","6","7","4.66","4.78","5","5"
"2005","(2b) intermediate general qualification","Female","4.48","5","354","2","4","6","7","4.31","4.65","4","5"
"2005","(2b) intermediate general qualification","Male","4.87","5","226","3","4","6","7","4.69","5.05","5","5"
"2005","(2c_gen) general maturity certificate","Female","4.38","4","432","3","3","5","6","4.24","4.52","4","5"
"2005","(2c_gen) general maturity certificate","Male","4.74","5","363","3","4","6","6","4.6","4.88","5","5"
"2005","(2c_voc) vocational maturity certificate","Female","4.33","4","846","2","3","5","6","4.22","4.44","4","4"
"2005","(2c_voc) vocational maturity certificate","Male","4.65","5","671","3","4","6","6","4.54","4.76","5","5"
"2005","(3a) lower tertiary education","Female","4.46","5","769","2","3","6","6","4.36","4.56","4","5"
"2005","(3a) lower tertiary education","Male","4.81","5","883","3","4","6","7","4.72","4.9","5","5"
"2005","(3b) higher tertiary education","Female","4.32","4","1093","2","3","5","6","4.23","4.41","4","5"
"2005","(3b) higher tertiary education","Male","4.79","5","1423","3","4","6","7","4.72","4.86","5","5"
"2006","(0) in school","Female","","","","","","","","","","",""
"2006","(0) in school","Male","","","","","","","","","","",""
"2006","(1a) inadequately completed","Female","","","","","","","","","","",""
"2006","(1a) inadequately completed","Male","","","","","","","","","","",""
"2006","(1b) general elementary school","Female","","","","","","","","","","",""
"2006","(1b) general elementary school","Male","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","Female","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","Male","","","","","","","","","","",""
"2006","(2a) intermediate vocational","Female","","","","","","","","","","",""
"2006","(2a) intermediate vocational","Male","","","","","","","","","","",""
"2006","(2b) intermediate general qualification","Female","","","","","","","","","","",""
"2006","(2b) intermediate general qualification","Male","","","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Female","","","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Male","","","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","",""
