"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","direct migration background","4.79","5","266","3","4","6","7","4.6","4.98","5","5"
"2005","college entrance qualification","indirect migration background","4.86","5","196","3","4","6","7","4.65","5.07","5","5"
"2005","college entrance qualification","no migration background","4.56","5","4733","3","4","6","6","4.52","4.6","5","5"
"2005","lower secondary degree","direct migration background","4.47","5","595","2","3","6","7","4.34","4.6","4","5"
"2005","lower secondary degree","indirect migration background","4.58","5","254","2","4","6","7","4.38","4.78","4","5"
"2005","lower secondary degree","no migration background","4.52","5","6226","2","4","6","7","4.48","4.56","5","5"
"2005","no degree/no degree yet","direct migration background","4.41","4","217","2","4","6","6","4.21","4.61","4","4"
"2005","no degree/no degree yet","indirect migration background","4.64","4","98","3","4","6","6","4.4","4.88","4","5"
"2005","no degree/no degree yet","no migration background","4.54","5","585","2","3","6","6","4.42","4.66","4","5"
"2005","Other degree","direct migration background","4.35","4","987","2","3","6","6","4.25","4.45","4","5"
"2005","Other degree","indirect migration background","","","","","","","","","","",""
"2005","Other degree","no migration background","4.29","4","110","2","3","6","7","3.94","4.64","4","5"
"2005","secondary school degree","direct migration background","4.6","5","240","3","4","6","7","4.42","4.78","4","5"
"2005","secondary school degree","indirect migration background","4.9","5","203","3","4","6","7","4.71","5.09","5","5"
"2005","secondary school degree","no migration background","4.54","5","5570","2","4","6","6","4.5","4.58","5","5"
"2006","college entrance qualification","direct migration background","","","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2006","Other degree","direct migration background","","","","","","","","","","",""
"2006","Other degree","indirect migration background","","","","","","","","","","",""
"2006","Other degree","no migration background","","","","","","","","","","",""
"2006","secondary school degree","direct migration background","","","","","","","","","","",""
"2006","secondary school degree","indirect migration background","","","","","","","","","","",""
"2006","secondary school degree","no migration background","","","","","","","","","","",""
"2007","college entrance qualification","direct migration background","","","","","","","","","","",""
"2007","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2007","college entrance qualification","no migration background","","","","","","","","","","",""
"2007","lower secondary degree","direct migration background","","","","","","","","","","",""
"2007","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2007","lower secondary degree","no migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2007","Other degree","direct migration background","","","","","","","","","","",""
"2007","Other degree","indirect migration background","","","","","","","","","","",""
"2007","Other degree","no migration background","","","","","","","","","","",""
"2007","secondary school degree","direct migration background","","","","","","","","","","",""
"2007","secondary school degree","indirect migration background","","","","","","","","","","",""
"2007","secondary school degree","no migration background","","","","","","","","","","",""
"2008","college entrance qualification","direct migration background","","","","","","","","","","",""
"2008","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2008","college entrance qualification","no migration background","","","","","","","","","","",""
"2008","lower secondary degree","direct migration background","","","","","","","","","","",""
"2008","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2008","lower secondary degree","no migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2008","Other degree","direct migration background","","","","","","","","","","",""
"2008","Other degree","indirect migration background","","","","","","","","","","",""
"2008","Other degree","no migration background","","","","","","","","","","",""
"2008","secondary school degree","direct migration background","","","","","","","","","","",""
"2008","secondary school degree","indirect migration background","","","","","","","","","","",""
"2008","secondary school degree","no migration background","","","","","","","","","","",""
"2009","college entrance qualification","direct migration background","4.58","5","223","2","3","6","6","4.37","4.79","4","5"
"2009","college entrance qualification","indirect migration background","4.67","5","182","3","4","6","6","4.47","4.87","4","5"
"2009","college entrance qualification","no migration background","4.44","5","4481","3","4","5","6","4.4","4.48","5","5"
"2009","lower secondary degree","direct migration background","4.38","4","407","2","3","6","6","4.23","4.53","4","5"
"2009","lower secondary degree","indirect migration background","4.83","5","207","2","4","6","7","4.62","5.04","5","5"
"2009","lower secondary degree","no migration background","4.37","4","5304","2","3","6","6","4.33","4.41","4","5"
"2009","no degree/no degree yet","direct migration background","3.9","4","112","2","3","5","6","3.59","4.21","4","4"
"2009","no degree/no degree yet","indirect migration background","4.42","5","56","1","4","6","7","3.91","4.93","4","5"
"2009","no degree/no degree yet","no migration background","4.34","4","315","3","3","5","6","4.18","4.5","4","5"
"2009","Other degree","direct migration background","4.46","5","678","3","3","6","6","4.35","4.57","4","5"
"2009","Other degree","indirect migration background","","","","","","","","","","",""
"2009","Other degree","no migration background","4.06","4","109","1","3","6","7","3.73","4.39","4","5"
"2009","secondary school degree","direct migration background","4.27","4","181","2","3","5","6","4.06","4.48","4","5"
"2009","secondary school degree","indirect migration background","4.68","5","174","3","4","6","6","4.46","4.9","4","5"
"2009","secondary school degree","no migration background","4.44","4","5051","2","3","6","6","4.4","4.48","4","5"
"2010","college entrance qualification","direct migration background","","","","","","","","","","",""
"2010","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2010","college entrance qualification","no migration background","","","","","","","","","","",""
"2010","lower secondary degree","direct migration background","","","","","","","","","","",""
"2010","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2010","lower secondary degree","no migration background","","","","","","","","","","",""
"2010","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2010","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2010","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2010","Other degree","direct migration background","","","","","","","","","","",""
"2010","Other degree","indirect migration background","","","","","","","","","","",""
"2010","Other degree","no migration background","","","","","","","","","","",""
"2010","secondary school degree","direct migration background","","","","","","","","","","",""
"2010","secondary school degree","indirect migration background","","","","","","","","","","",""
"2010","secondary school degree","no migration background","","","","","","","","","","",""
"2011","college entrance qualification","direct migration background","","","","","","","","","","",""
"2011","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2011","college entrance qualification","no migration background","","","","","","","","","","",""
"2011","lower secondary degree","direct migration background","","","","","","","","","","",""
"2011","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2011","lower secondary degree","no migration background","","","","","","","","","","",""
"2011","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2011","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2011","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2011","Other degree","direct migration background","","","","","","","","","","",""
"2011","Other degree","indirect migration background","","","","","","","","","","",""
"2011","Other degree","no migration background","","","","","","","","","","",""
"2011","secondary school degree","direct migration background","","","","","","","","","","",""
"2011","secondary school degree","indirect migration background","","","","","","","","","","",""
"2011","secondary school degree","no migration background","","","","","","","","","","",""
"2012","college entrance qualification","direct migration background","5.03","5","105","3","4","6","7","4.73","5.33","5","5"
"2012","college entrance qualification","indirect migration background","4.32","4","139","2","3","5","6","4.08","4.56","4","5"
"2012","college entrance qualification","no migration background","4.53","5","1901","3","4","6","6","4.47","4.59","5","5"
"2012","lower secondary degree","direct migration background","4.64","5","153","2","4","6","7","4.39","4.89","5","5"
"2012","lower secondary degree","indirect migration background","4.61","5","111","2","3","6","7","4.3","4.92","4","5"
"2012","lower secondary degree","no migration background","4.62","5","1142","2","4","6","7","4.53","4.71","5","5"
"2012","no degree/no degree yet","direct migration background","4.58","5","81","2","3","6","7","4.21","4.95","4","5"
"2012","no degree/no degree yet","indirect migration background","4.2","4","47","1","3","6","7","3.63","4.77","3","5"
"2012","no degree/no degree yet","no migration background","4.6","5","224","2","4","6","6","4.39","4.81","5","5"
"2012","Other degree","direct migration background","4.62","5","614","2","4","6","7","4.5","4.74","5","5"
"2012","Other degree","indirect migration background","","","","","","","","","","",""
"2012","Other degree","no migration background","3.41","3","42","1","2","5","6","2.81","4.01","2","5"
"2012","secondary school degree","direct migration background","5","5","110","3","4","6","7","4.71","5.29","5","5"
"2012","secondary school degree","indirect migration background","4.58","5","144","2","4","6","7","4.33","4.83","4","5"
"2012","secondary school degree","no migration background","4.55","5","2132","2","4","6","6","4.49","4.61","5","5"
"2013","college entrance qualification","direct migration background","4.95","5","218","3","4","6","7","4.75","5.15","5","5"
"2013","college entrance qualification","indirect migration background","4.86","5","228","3","4","6","7","4.66","5.06","4","5"
"2013","college entrance qualification","no migration background","4.6","5","4942","3","4","6","6","4.56","4.64","5","5"
"2013","lower secondary degree","direct migration background","4.51","5","304","3","4","6","6","4.34","4.68","4","5"
"2013","lower secondary degree","indirect migration background","4.6","5","179","2","4","6","7","4.38","4.82","4","5"
"2013","lower secondary degree","no migration background","4.56","5","5331","2","4","6","6","4.52","4.6","5","5"
"2013","no degree/no degree yet","direct migration background","4.4","4","96","2","3","6","7","4.04","4.76","4","5"
"2013","no degree/no degree yet","indirect migration background","4.33","4","63","3","3","5","7","3.93","4.73","4","5"
"2013","no degree/no degree yet","no migration background","4.21","4","328","2","3","5","6","4.04","4.38","4","5"
"2013","Other degree","direct migration background","4.65","5","845","3","4","6","6","4.55","4.75","5","5"
"2013","Other degree","indirect migration background","","","","","","","","","","",""
"2013","Other degree","no migration background","4.51","4","163","3","3","6","7","4.27","4.75","4","5"
"2013","secondary school degree","direct migration background","4.48","5","170","3","4","5","6","4.26","4.7","4","5"
"2013","secondary school degree","indirect migration background","4.64","5","167","2","4","6","7","4.41","4.87","5","5"
"2013","secondary school degree","no migration background","4.61","5","5297","3","4","6","6","4.57","4.65","5","5"
"2014","college entrance qualification","direct migration background","","","","","","","","","","",""
"2014","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2014","college entrance qualification","no migration background","","","","","","","","","","",""
"2014","lower secondary degree","direct migration background","","","","","","","","","","",""
"2014","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2014","lower secondary degree","no migration background","","","","","","","","","","",""
"2014","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2014","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2014","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2014","Other degree","direct migration background","","","","","","","","","","",""
"2014","Other degree","indirect migration background","","","","","","","","","","",""
"2014","Other degree","no migration background","","","","","","","","","","",""
"2014","secondary school degree","direct migration background","","","","","","","","","","",""
"2014","secondary school degree","indirect migration background","","","","","","","","","","",""
"2014","secondary school degree","no migration background","","","","","","","","","","",""
"2015","college entrance qualification","direct migration background","","","","","","","","","","",""
"2015","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2015","college entrance qualification","no migration background","","","","","","","","","","",""
"2015","lower secondary degree","direct migration background","","","","","","","","","","",""
"2015","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2015","lower secondary degree","no migration background","","","","","","","","","","",""
"2015","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2015","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2015","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2015","Other degree","direct migration background","","","","","","","","","","",""
"2015","Other degree","indirect migration background","","","","","","","","","","",""
"2015","Other degree","no migration background","","","","","","","","","","",""
"2015","secondary school degree","direct migration background","","","","","","","","","","",""
"2015","secondary school degree","indirect migration background","","","","","","","","","","",""
"2015","secondary school degree","no migration background","","","","","","","","","","",""
"2016","college entrance qualification","direct migration background","","","","","","","","","","",""
"2016","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2016","college entrance qualification","no migration background","","","","","","","","","","",""
"2016","lower secondary degree","direct migration background","","","","","","","","","","",""
"2016","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2016","lower secondary degree","no migration background","","","","","","","","","","",""
"2016","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2016","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2016","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2016","Other degree","direct migration background","","","","","","","","","","",""
