"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","4.57","5","5317","3","4","6","6","4.53","4.61","5","5"
"2005","35-65 y.","4.5","5","11604","2","3","6","6","4.47","4.53","5","5"
"2005","66 and older","4.55","5","3763","2","4","6","7","4.5","4.6","4","5"
"2006","16-34 y.","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","",""
"2009","16-34 y.","4.5","5","3987","2","4","6","6","4.45","4.55","5","5"
"2009","35-65 y.","4.39","4","9860","2","3","6","6","4.36","4.42","4","5"
"2009","66 and older","4.42","4","4149","2","3","6","6","4.37","4.47","4","5"
"2010","16-34 y.","","","","","","","","","","",""
"2010","35-65 y.","","","","","","","","","","",""
"2010","66 and older","","","","","","","","","","",""
"2011","16-34 y.","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","",""
"2012","16-34 y.","4.58","5","2198","2","4","6","6","4.52","4.64","5","5"
"2012","35-65 y.","4.58","5","4895","2","4","6","6","4.54","4.62","5","5"
"2012","66 and older","","","","","","","","","","",""
"2013","16-34 y.","4.63","5","3695","3","4","6","6","4.58","4.68","5","5"
"2013","35-65 y.","4.55","5","10225","2","4","6","6","4.52","4.58","5","5"
"2013","66 and older","4.63","5","4938","3","4","6","6","4.59","4.67","5","5"
"2014","16-34 y.","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","",""
"2015","16-34 y.","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","",""
"2016","16-34 y.","","","","","","","","","","",""
"2016","35-65 y.","","","","","","","","","","",""
"2016","66 and older","","","","","","","","","","",""
"2017","16-34 y.","4.54","5","7565","2","4","6","6","4.5","4.58","5","5"
"2017","35-65 y.","4.57","5","16677","2","4","6","6","4.55","4.59","5","5"
"2017","66 and older","4.61","5","5021","3","4","6","6","4.57","4.65","5","5"
"2018","16-34 y.","","","","","","","","","","",""
"2018","35-65 y.","","","","","","","","","","",""
"2018","66 and older","","","","","","","","","","",""
"2019","16-34 y.","4.59","5","5428","3","4","6","6","4.55","4.63","5","5"
"2019","35-65 y.","4.58","5","15135","2","4","6","6","4.56","4.6","5","5"
"2019","66 and older","4.62","5","5204","3","4","6","6","4.58","4.66","5","5"
