"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","direct migration background","(0) in school","","","","","","","","","","",""
"1984","direct migration background","(1a) inadequately completed","1185.52","1227","640","716","920","1432","1636","1151.1","1219.94","1125","1227"
"1984","direct migration background","(1b) general elementary school","1064.27","1054.94","682","409","767","1380","1585","1031.29","1097.25","1043","1150"
"1984","direct migration background","(1c) basic vocational qualification","1300.1","1278","573","564","920","1585","1892","1238.07","1362.13","1253","1329"
"1984","direct migration background","(2a) intermediate vocational","1649.32","1369.16","52","614","971","1790","2444","1300.25","1998.39","1023","1500"
"1984","direct migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"1984","direct migration background","(2c_gen) general maturity certificate","1135.55","1076.15","75","317","716","1457","1738","1022.41","1248.69","997","1278"
"1984","direct migration background","(2c_voc) vocational maturity certificate","1340.84","1224.37","107","746","984","1687","2045","1244.86","1436.82","1176","1432"
"1984","direct migration background","(3a) lower tertiary education","","","","","","","","","","",""
"1984","direct migration background","(3b) higher tertiary education","1906.36","1837.97","75","562","1023","2659","3272","1547.57","2265.15","1278","1892"
"1984","indirect migration background","(0) in school","","","","","","","","","","",""
"1984","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"1984","indirect migration background","(1b) general elementary school","","","","","","","","","","",""
"1984","indirect migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"1984","indirect migration background","(2a) intermediate vocational","","","","","","","","","","",""
"1984","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"1984","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"1984","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"1984","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"1984","indirect migration background","(3b) higher tertiary education","","","","","","","","","","",""
"1984","no migration background","(0) in school","","","","","","","","","","",""
"1984","no migration background","(1a) inadequately completed","","","","","","","","","","",""
"1984","no migration background","(1b) general elementary school","830.88","793.88","720","199","358","1219","1534","793.12","868.64","726","869"
