"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","direct migration background","9.04","5","1571","1","2","12","20","43","8.38","9.7","0","260","5","5"
"1985","Employed","indirect migration background","14.52","8","56","1","3","15","50","62","11.22","17.82","1","62","3","9"
"1985","Employed","no migration background","12.27","8","3588","1","3","15","27","77","11.7","12.84","0","360","7","8"
"1985","Not Employed","direct migration background","10.28","8","44","2","5","10","20","30","8.12","12.44","1","30","5","9"
"1985","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"1985","Not Employed","no migration background","11.02","5","78","1","2","13","35","52","7.72","14.32","1","90","4","8"
"1986","Employed","direct migration background","","","","","","","","","","","","","",""
"1986","Employed","indirect migration background","","","","","","","","","","","","","",""
"1986","Employed","no migration background","","","","","","","","","","","","","",""
"1986","Not Employed","direct migration background","","","","","","","","","","","","","",""
"1986","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"1986","Not Employed","no migration background","","","","","","","","","","","","","",""
"1987","Employed","direct migration background","","","","","","","","","","","","","",""
"1987","Employed","indirect migration background","","","","","","","","","","","","","",""
"1987","Employed","no migration background","","","","","","","","","","","","","",""
"1987","Not Employed","direct migration background","","","","","","","","","","","","","",""
"1987","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"1987","Not Employed","no migration background","","","","","","","","","","","","","",""
"1988","Employed","direct migration background","","","","","","","","","","","","","",""
"1988","Employed","indirect migration background","","","","","","","","","","","","","",""
"1988","Employed","no migration background","","","","","","","","","","","","","",""
"1988","Not Employed","direct migration background","","","","","","","","","","","","","",""
"1988","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"1988","Not Employed","no migration background","","","","","","","","","","","","","",""
"1989","Employed","direct migration background","","","","","","","","","","","","","",""
"1989","Employed","indirect migration background","","","","","","","","","","","","","",""
"1989","Employed","no migration background","","","","","","","","","","","","","",""
"1989","Not Employed","direct migration background","","","","","","","","","","","","","",""
"1989","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"1989","Not Employed","no migration background","","","","","","","","","","","","","",""
"1990","Employed","direct migration background","10.63","6","1376","1","3","15","25","74","9.94","11.32","0","130","5","6"
"1990","Employed","indirect migration background","9.62","8","135","1","3","13","20","50","8.04","11.2","1","60","5","8"
"1990","Employed","no migration background","14.04","8","3173","2","4","17","30","88","13.31","14.77","0","330","8","9"
"1990","Not Employed","direct migration background","8.04","6.07","35","1","3","11","15","32","5.38","10.7","1","32","3","7"
