"year","e11102","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","East Germany","","","","","","","","","","","","","",""
"1985","Employed","West Germany","11.93","7","5215","1","3","15","26","75","11.49","12.37","0","360","6","7"
"1985","Not Employed","East Germany","","","","","","","","","","","","","",""
"1985","Not Employed","West Germany","10.91","6","123","1","2","12","32","52","8.69","13.13","1","90","5","8"
"1986","Employed","East Germany","","","","","","","","","","","","","",""
"1986","Employed","West Germany","","","","","","","","","","","","","",""
"1986","Not Employed","East Germany","","","","","","","","","","","","","",""
"1986","Not Employed","West Germany","","","","","","","","","","","","","",""
"1987","Employed","East Germany","","","","","","","","","","","","","",""
"1987","Employed","West Germany","","","","","","","","","","","","","",""
"1987","Not Employed","East Germany","","","","","","","","","","","","","",""
"1987","Not Employed","West Germany","","","","","","","","","","","","","",""
"1988","Employed","East Germany","","","","","","","","","","","","","",""
"1988","Employed","West Germany","","","","","","","","","","","","","",""
"1988","Not Employed","East Germany","","","","","","","","","","","","","",""
"1988","Not Employed","West Germany","","","","","","","","","","","","","",""
"1989","Employed","East Germany","","","","","","","","","","","","","",""
"1989","Employed","West Germany","","","","","","","","","","","","","",""
"1989","Not Employed","East Germany","","","","","","","","","","","","","",""
"1989","Not Employed","West Germany","","","","","","","","","","","","","",""
"1990","Employed","East Germany","","","","","","","","","","","","","",""
"1990","Employed","West Germany","13.58","8","4684","2","4","17","30","86","13.04","14.12","0","330","7","8"
"1990","Not Employed","East Germany","","","","","","","","","","","","","",""
"1990","Not Employed","West Germany","9.78","5","87","2","4","10","20","120","6.61","12.95","1","120","4","6"
"1991","Employed","East Germany","","","","","","","","","","","","","",""
"1991","Employed","West Germany","","","","","","","","","","","","","",""
"1991","Not Employed","East Germany","","","","","","","","","","","","","",""
"1991","Not Employed","West Germany","","","","","","","","","","","","","",""
"1992","Employed","East Germany","39.73","12","765","5","8","22","50","550","32.43","47.03","1","800","12","15"
"1992","Employed","West Germany","","","","","","","","","","","","","",""
"1992","Not Employed","East Germany","","","","","","","","","","","","","",""
"1992","Not Employed","West Germany","","","","","","","","","","","","","",""
"1993","Employed","East Germany","8.79","5","1890","1","2","12","21","60","8.29","9.29","0","125","4","5"
"1993","Employed","West Germany","12.09","7","4951","1","3","15","30","70","11.69","12.49","0","180","6","7"
"1993","Not Employed","East Germany","12.85","7","53","1","3","17","30","80","8.59","17.11","0","80","4","10"
"1993","Not Employed","West Germany","9.02","6","97","1","2","14","23","35","7.16","10.88","0","40","4","8"
"1994","Employed","East Germany","","","","","","","","","","","","","",""
"1994","Employed","West Germany","","","","","","","","","","","","","",""
"1994","Not Employed","East Germany","","","","","","","","","","","","","",""
"1994","Not Employed","West Germany","","","","","","","","","","","","","",""
"1995","Employed","East Germany","13.54","5","1913","1","2","15","25","150","11.7","15.38","0","750","5","6"
"1995","Employed","West Germany","13.73","8","5103","1","3","18","32","87","13.23","14.23","0","500","7","8"
"1995","Not Employed","East Germany","8.84","6","53","1","3","11","25","30","3.92","13.76","0","124","4","10"
"1995","Not Employed","West Germany","7.83","4.24","109","1","1","14","25","30","6.26","9.4","0","35","3","7"
"1996","Employed","East Germany","","","","","","","","","","","","","",""
"1996","Employed","West Germany","","","","","","","","","","","","","",""
"1996","Not Employed","East Germany","","","","","","","","","","","","","",""
"1996","Not Employed","West Germany","","","","","","","","","","","","","",""
"1997","Employed","East Germany","34.66","17","821","6","10","30","50","450","29.25","40.07","2","540","15","20"
"1997","Employed","West Germany","29.17","18","2337","7","10","30","52","200","27.1","31.24","1","800","16","18"
"1997","Not Employed","East Germany","","","","","","","","","","","","","",""
"1997","Not Employed","West Germany","65.9","20","37","8","13","70","150","350","26.66","105.14","5","650","12","25"
"1998","Employed","East Germany","13.09","8","1752","1","3","17","30","76","12.27","13.91","0","190","8","9"
"1998","Employed","West Germany","15.39","10","4915","2","4","20","35","90","14.9","15.88","0","200","9","10"
"1998","Not Employed","East Germany","15.31","7.95","121","1","3","19","30","110","10.4","20.22","1","170","6","12"
"1998","Not Employed","West Germany","15.03","8","373","2","4","15","35","150","12.77","17.29","0","193","6","10"
"1999","Employed","East Germany","34.04","16","918","6","10","29","50","465","29.24","38.84","2","630","15","20"
"1999","Employed","West Germany","29.22","18","2752","6","10","30","50","240","27.36","31.08","2","999","16","18"
"1999","Not Employed","East Germany","","","","","","","","","","","","","",""
"1999","Not Employed","West Germany","21.48","13","45","5","8","20","55","100","14.81","28.15","2","100","10","20"
"2000","Employed","East Germany","37.32","17","1377","6","10","30","60","500","32.92","41.72","2","850","17","20"
"2000","Employed","West Germany","25.83","17","4953","6","10","30","49","170","24.66","27","1","800","16","18"
"2000","Not Employed","East Germany","","","","","","","","","","","","","",""
"2000","Not Employed","West Germany","29.39","15","69","4","7","25","60","476","15.39","43.39","2","476","10","18"
"2001","Employed","East Germany","24.56","10","2453","1","3","20","38","450","21.5","27.62","1","850","9","10"
"2001","Employed","West Germany","16.57","10","8302","1","3","20","35","110","15.81","17.33","1","999","9","10"
"2001","Not Employed","East Germany","16.01","9.11","61","1","4","20","37","80","9.61","22.41","1","160","6","17"
"2001","Not Employed","West Germany","13.28","6","128","1","2","13","25","148","4.46","22.1","1","450","5","10"
"2002","Employed","East Germany","27.81","10","2406","1","3","20","40","500","24.29","31.33","0","999","10","10"
"2002","Employed","West Germany","16.65","10","9011","1","3","20","35","113","15.79","17.51","0","999","10","10"
"2002","Not Employed","East Germany","43.15","10.44","55","3","5","28","76","600","17.72","68.58","1","600","7","17"
"2002","Not Employed","West Germany","24.44","10","122","2","3","20","40","175","12.52","36.36","1","550","5","12"
"2003","Employed","East Germany","16.2","10","2315","2","4","20","35","120","14.96","17.44","1","600","10","10"
"2003","Employed","West Germany","15.7","10","8361","2","4","20","35","90","15.23","16.17","0","340","10","10"
"2003","Not Employed","East Germany","19.21","10","221","2","4","25","45","120","15.41","23.01","1","200","6","10"
"2003","Not Employed","West Germany","16.82","10","460","1","3","20","35","145","14.15","19.49","1","250","8","10"
"2004","Employed","East Germany","28.7","10","2271","2","4","21","45","450","25.67","31.73","0","800","10","12"
"2004","Employed","West Germany","18.12","10","8173","2","4","20","35","140","17.21","19.03","0","960","10","10"
"2004","Not Employed","East Germany","45.92","10.67","52","2","6","33","250","350","26.13","65.71","1","350","6","12"
"2004","Not Employed","West Germany","12.98","7.52","100","1","2","15","30","86","9.08","16.88","1","145","6","10"
"2005","Employed","East Germany","26","10","2125","2","4","20","43","360","22.64","29.36","1","999","10","11"
"2005","Employed","West Germany","19.48","10","7677","2","4","20","40","195","18.42","20.54","1","999","10","10"
"2005","Not Employed","East Germany","16.49","11","47","2","6","25","32","74","10.65","22.33","1","100","6","15"
"2005","Not Employed","West Germany","20.92","5","92","1","2","21","35","300","7.3","34.54","1","560","3","9"
"2006","Employed","East Germany","30.2","10","2260","1","3","24","50","450","26.87","33.53","1","999","10","11"
"2006","Employed","West Germany","18.75","10","8179","2","4","21","38","165","17.81","19.69","1","999","10","10"
"2006","Not Employed","East Germany","62.42","10","50","2","3","21","300","400","30.55","94.29","1","580","7","15"
"2006","Not Employed","West Germany","19.81","7","119","1","2","24","50","300","10.61","29.01","1","400","5","11"
"2007","Employed","East Germany","35.73","11","2191","1","4","25","56","530","32.03","39.43","1","999","10","11"
"2007","Employed","West Germany","18.46","10","7688","2","4","21","37","147","17.51","19.41","1","999","10","10"
"2007","Not Employed","East Germany","29.66","12.92","55","3","7","22","40","400","7.63","51.69","2","400","10","15"
"2007","Not Employed","West Germany","15.75","5","116","1","2","12","30","300","9.74","21.76","1","300","5","10"
"2008","Employed","East Germany","33.28","11","2127","1","3","25","50","530","29.48","37.08","1","900","10","11"
"2008","Employed","West Germany","19.05","10","7361","1","4","21","39","150","17.96","20.14","1","999","10","11"
"2008","Not Employed","East Germany","18.36","6","54","1","3","20","60","82","12.85","23.87","1","82","5","18"
"2008","Not Employed","West Germany","16.9","8","121","2","3","20","30","140","7.99","25.81","1","493","6","10"
"2009","Employed","East Germany","29.28","11","2049","1","4","23","47","500","25.45","33.11","1","999","10","11"
"2009","Employed","West Germany","19.73","10","6846","2","4","22","40","200","18.6","20.86","1","999","10","11"
"2009","Not Employed","East Germany","11.81","3.09","32","1","1","20","25","100","3.24","20.38","1","100","3","20"
"2009","Not Employed","West Germany","9.46","5","83","1","2","12","20","51","-1.55","20.47","1","450","5","10"
"2010","Employed","East Germany","28.48","10","2532","1","3","23","45","450","25.17","31.79","1","999","10","10"
"2010","Employed","West Germany","20.35","10","9459","1","4","22","40","155","19.41","21.29","1","999","10","10"
"2010","Not Employed","East Germany","21.93","14.74","84","1","3","25","35","150","10.55","33.31","1","366","8","16"
"2010","Not Employed","West Germany","13.78","5","228","1","3","13","30","85","7.02","20.54","1","540","5","9"
"2011","Employed","East Germany","29.32","10","3029","1","3","23","49","530","26.28","32.36","1","999","10","10"
"2011","Employed","West Germany","19.44","10","11491","1","4","22","40","150","18.58","20.3","1","999","10","10"
"2011","Not Employed","East Germany","12.2","6.12","83","1","4","15","36","62","8.98","15.42","1","75","4","10"
"2011","Not Employed","West Germany","15.86","7","299","1","3","15","33","140","11.89","19.83","1","380","6","8"
"2012","Employed","East Germany","26.94","10","2943","1","3","20","44","500","24.07","29.81","0","999","10","10"
"2012","Employed","West Germany","19.14","10","11363","1","4","22","40","150","18.27","20.01","0","999","10","10"
"2012","Not Employed","East Germany","46.34","9.6","104","1","1","26","40","999","25.53","67.15","1","999","5","10"
"2012","Not Employed","West Germany","16.08","7","292","1","2","20","30","120","8.56","23.6","0","999","6","10"
"2013","Employed","East Germany","27.09","10","2808","1","3","21","46","430","24.44","29.74","1","800","9","10"
"2013","Employed","West Germany","19.87","10","10741","2","4","22","40","180","18.95","20.79","1","999","10","10"
"2013","Not Employed","East Germany","23.11","8","288","1","3","21","38","400","15.91","30.31","1","700","6","10"
"2013","Not Employed","West Germany","14.28","8","2996","1","3","18","30","100","13.26","15.3","1","820","7","8"
"2014","Employed","East Germany","","","","","","","","","","","","","",""
"2014","Employed","West Germany","","","","","","","","","","","","","",""
"2014","Not Employed","East Germany","","","","","","","","","","","","","",""
"2014","Not Employed","West Germany","","","","","","","","","","","","","",""
"2015","Employed","East Germany","14.85","9","2506","1","3","20","35","110","13.93","15.77","1","400","8","10"
"2015","Employed","West Germany","15.98","10","10701","1","4","21","37","86","15.6","16.36","0","800","10","10"
"2015","Not Employed","East Germany","10.79","6","153","1","3","16","20","60","8.09","13.49","1","150","4","6"
"2015","Not Employed","West Germany","13.48","7","1161","1","3","16","30","84","12.3","14.66","0","480","7","8"
"2016","Employed","East Germany","","","","","","","","","","","","","",""
"2016","Employed","West Germany","","","","","","","","","","","","","",""
"2016","Not Employed","East Germany","","","","","","","","","","","","","",""
"2016","Not Employed","West Germany","","","","","","","","","","","","","",""
"2017","Employed","East Germany","15.56","10","2833","1","3","20","38","85","14.8","16.32","1","380","8","10"
"2017","Employed","West Germany","15.78","10","11691","2","4","20","35","85","15.43","16.13","1","700","10","10"
"2017","Not Employed","East Germany","9.39","2","53","1","1","16","21","50","5.97","12.81","1","50","3","10"
"2017","Not Employed","West Germany","9.72","6","304","1","2","13","24","46","8.45","10.99","1","67","5","8"
"2018","Employed","East Germany","","","","","","","","","","","","","",""
"2018","Employed","West Germany","","","","","","","","","","","","","",""
"2018","Not Employed","East Germany","","","","","","","","","","","","","",""
"2018","Not Employed","West Germany","","","","","","","","","","","","","",""
"2019","Employed","East Germany","15.21","10","2837","1","4","20","35","90","14.44","15.98","1","450","8","10"
"2019","Employed","West Germany","15.36","10","11235","2","4","20","35","83","14.99","15.73","1","675","10","10"
"2019","Not Employed","East Germany","11.25","5","117","1","2","16","25","70","8.1","14.4","1","110","3","8"
"2019","Not Employed","West Germany","14.35","6","402","1","2","18","35","80","12.97","15.73","1","80","5","8"
