"year","age_gr","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","16-34 y.","Employed","11.92","8","2198","1","3","15","26","73","11.33","12.51","0","150","7","8"
"1985","16-34 y.","Not Employed","10.69","6","96","1","2","12","32","90","8.18","13.2","1","90","5","8"
"1985","35-65 y.","Employed","11.98","7","3000","1","3","15","26","76","11.34","12.62","0","360","6","7"
"1985","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1985","66 and older","Employed","","","","","","","","","","","","","",""
"1985","66 and older","Not Employed","","","","","","","","","","","","","",""
"1986","16-34 y.","Employed","","","","","","","","","","","","","",""
"1986","16-34 y.","Not Employed","","","","","","","","","","","","","",""
"1986","35-65 y.","Employed","","","","","","","","","","","","","",""
"1986","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1986","66 and older","Employed","","","","","","","","","","","","","",""
"1986","66 and older","Not Employed","","","","","","","","","","","","","",""
"1987","16-34 y.","Employed","","","","","","","","","","","","","",""
"1987","16-34 y.","Not Employed","","","","","","","","","","","","","",""
"1987","35-65 y.","Employed","","","","","","","","","","","","","",""
"1987","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1987","66 and older","Employed","","","","","","","","","","","","","",""
"1987","66 and older","Not Employed","","","","","","","","","","","","","",""
"1988","16-34 y.","Employed","","","","","","","","","","","","","",""
"1988","16-34 y.","Not Employed","","","","","","","","","","","","","",""
"1988","35-65 y.","Employed","","","","","","","","","","","","","",""
"1988","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1988","66 and older","Employed","","","","","","","","","","","","","",""
"1988","66 and older","Not Employed","","","","","","","","","","","","","",""
"1989","16-34 y.","Employed","","","","","","","","","","","","","",""
"1989","16-34 y.","Not Employed","","","","","","","","","","","","","",""
"1989","35-65 y.","Employed","","","","","","","","","","","","","",""
"1989","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1989","66 and older","Employed","","","","","","","","","","","","","",""
"1989","66 and older","Not Employed","","","","","","","","","","","","","",""
"1990","16-34 y.","Employed","14.85","9.48","2092","2","4","18","30","92","13.92","15.78","1","330","8","10"
"1990","16-34 y.","Not Employed","10.51","5","60","2","4","10","23","120","6.1","14.92","1","120","4","9"
"1990","35-65 y.","Employed","12.67","8","2583","2","3","15","30","74","12.05","13.29","0","300","6","7"
"1990","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1990","66 and older","Employed","","","","","","","","","","","","","",""
"1990","66 and older","Not Employed","","","","","","","","","","","","","",""
"1991","16-34 y.","Employed","","","","","","","","","","","","","",""
"1991","16-34 y.","Not Employed","","","","","","","","","","","","","",""
"1991","35-65 y.","Employed","","","","","","","","","","","","","",""
"1991","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1991","66 and older","Employed","","","","","","","","","","","","","",""
"1991","66 and older","Not Employed","","","","","","","","","","","","","",""
"1992","16-34 y.","Employed","52.49","15","351","5","8","30","115","600","39.45","65.53","2","650","15","18"
"1992","16-34 y.","Not Employed","","","","","","","","","","","","","",""
"1992","35-65 y.","Employed","28.63","11","414","5","7","20","35","500","21.05","36.21","1","800","10","13"
"1992","35-65 y.","Not Employed","","","","","","","","","","","","","",""
"1992","66 and older","Employed","","","","","","","","","","","","","",""
"1992","66 and older","Not Employed","","","","","","","","","","","","","",""
"1993","16-34 y.","Employed","12.66","8","2834","1","3","18","30","65","12.14","13.18","0","180","7","8"
"1993","16-34 y.","Not Employed","10.91","7","110","1","3","15","30","50","8.85","12.97","0","50","5","8"
"1993","35-65 y.","Employed","10.84","6","3986","1","2","15","25","70","10.43","11.25","0","150","5","6"
"1993","35-65 y.","Not Employed","8.28","3.89","40","1","1","14","20","80","3.7","12.86","0","80","2","10"
"1993","66 and older","Employed","","","","","","","","","","","","","",""
"1993","66 and older","Not Employed","","","","","","","","","","","","","",""
"1994","16-34 y.","Employed","","","","","","","","","","","","","",""
